,HCA
2015-03-09,67.13964080810547
2015-03-10,65.78167724609375
2015-03-11,67.20520782470703
2015-03-12,67.82333374023438
2015-03-13,67.24267578125
2015-03-16,68.49760437011719
2015-03-17,68.5163345336914
2015-03-18,70.26763153076172
2015-03-19,70.63288879394531
2015-03-20,71.20417022705078
2015-03-23,72.71196746826172
2015-03-24,71.64434051513672
2015-03-25,70.84831237792969
2015-03-26,71.26973724365234
2015-03-27,71.24162292480469
2015-03-30,71.33529663085938
2015-03-31,70.45494079589844
2015-04-01,70.09905242919922
2015-04-02,70.28636169433594
2015-04-06,71.12924194335938
2015-04-07,70.9138412475586
2015-04-08,71.88784790039062
2015-04-09,72.90867614746094
2015-04-10,73.27388763427734
2015-04-13,72.49656677246094
2015-04-14,72.43101501464844
2015-04-15,74.21041870117188
2015-04-16,72.87118530273438
2015-04-17,73.08658599853516
2015-04-20,73.57360076904297
2015-04-21,72.74945831298828
2015-04-22,72.60897064208984
2015-04-23,72.52469635009766
2015-04-24,72.80560302734375
2015-04-27,71.53195190429688
2015-04-28,71.12924194335938
2015-04-29,71.23226165771484
2015-04-30,69.3124008178711
2015-05-01,69.77128601074219
2015-05-04,70.6516342163086
2015-05-05,68.93778228759766
2015-05-06,69.77128601074219
2015-05-07,71.7286376953125
2015-05-08,72.01896667480469
2015-05-11,72.70263671875
2015-05-12,71.6537094116211
2015-05-13,72.79627990722656
2015-05-14,74.05121612548828
2015-05-15,74.77233123779297
2015-05-18,75.85869598388672
2015-05-19,77.2822265625
2015-05-20,76.92635345458984
2015-05-21,76.4112319946289
2015-05-22,76.91699981689453
2015-05-26,76.97318267822266
2015-05-27,76.7484130859375
2015-05-28,76.60795593261719
2015-05-29,76.63603973388672
2015-06-01,77.1604995727539
2015-06-02,76.37382507324219
2015-06-03,75.94302368164062
2015-06-04,75.37171173095703
2015-06-05,76.1209487915039
2015-06-08,75.15631866455078
2015-06-09,76.1584243774414
2015-06-10,77.8160629272461
2015-06-11,78.31239318847656
2015-06-12,77.2260513305664
2015-06-15,78.50907135009766
2015-06-16,77.75050354003906
2015-06-17,78.78070068359375
2015-06-18,78.29367065429688
2015-06-19,79.04290771484375
2015-06-22,79.14591979980469
2015-06-23,78.63085174560547
2015-06-24,78.0782699584961
2015-06-25,84.96175384521484
2015-06-26,86.01068115234375
2015-06-29,84.85874938964844
2015-06-30,84.96175384521484
2015-07-01,85.10224914550781
2015-07-02,84.75570678710938
2015-07-06,86.25415802001953
2015-07-07,86.58194732666016
2015-07-08,85.26146697998047
2015-07-09,85.82337188720703
2015-07-10,87.06893920898438
