,BDX
2014-09-29,95.9801254272461
2014-09-30,95.52688598632812
2014-10-01,95.35063171386719
2014-10-02,95.78710174560547
2014-10-03,97.23074340820312
2014-10-06,104.90245056152344
2014-10-07,107.43730926513672
2014-10-08,109.03209686279297
2014-10-09,107.38694763183594
2014-10-10,107.32820129394531
2014-10-13,105.61592102050781
2014-10-14,104.9780044555664
2014-10-15,104.52474212646484
2014-10-16,101.37716674804688
2014-10-17,102.17457580566406
2014-10-20,102.95518493652344
2014-10-21,103.50074768066406
2014-10-22,103.84489440917969
2014-10-23,104.91924285888672
2014-10-24,105.53196716308594
2014-10-27,105.59073638916016
2014-10-28,106.195068359375
2014-10-29,106.40493774414062
2014-10-30,107.03440856933594
2014-10-31,108.02487182617188
2014-11-03,106.95049285888672
2014-11-04,106.04398345947266
