,MDLZ
2019-09-11,48.36041259765625
2019-09-12,48.62657928466797
2019-09-13,47.978946685791016
2019-09-16,47.95232009887695
2019-09-17,48.528995513916016
2019-09-18,48.54673385620117
2019-09-19,48.83063888549805
2019-09-20,48.484642028808594
2019-09-23,48.44914245605469
2019-09-24,48.83950424194336
2019-09-25,48.963706970214844
2019-09-26,49.40729904174805
2019-09-27,49.39392852783203
2019-09-30,49.331504821777344
2019-10-01,48.72511291503906
2019-10-02,48.13655471801758
2019-10-03,48.61811065673828
2019-10-04,49.92006301879883
2019-10-07,49.108558654785156
2019-10-08,48.65378189086914
2019-10-09,49.001564025878906
2019-10-10,49.411766052246094
2019-10-11,48.88563919067383
2019-10-14,48.35057830810547
2019-10-15,48.1900749206543
2019-10-16,48.39516067504883
2019-10-17,48.71620178222656
2019-10-18,48.58243179321289
2019-10-21,47.77095413208008
2019-10-22,47.00404357910156
2019-10-23,46.950538635253906
2019-10-24,47.298316955566406
2019-10-25,47.057552337646484
2019-10-28,46.736515045166016
2019-10-29,47.11105728149414
2019-10-30,46.39765548706055
2019-10-31,46.772193908691406
2019-11-01,46.39765548706055
2019-11-04,46.13904571533203
2019-11-05,46.10337448120117
2019-11-06,46.56708526611328
2019-11-07,46.13904571533203
2019-11-08,46.130130767822266
2019-11-11,46.19255065917969
2019-11-12,46.433326721191406
2019-11-13,46.99513244628906
2019-11-14,47.17346954345703
2019-11-15,47.10213088989258
2019-11-18,47.3339958190918
2019-11-19,47.00404357910156
2019-11-20,46.736515045166016
2019-11-21,46.433326721191406
2019-11-22,46.19255065917969
2019-11-25,46.40657043457031
2019-11-26,46.92377853393555
2019-11-27,47.02187728881836
2019-11-29,46.85243225097656
2019-12-02,47.11996841430664
2019-12-03,47.37858200073242
2019-12-04,47.56584930419922
2019-12-05,47.98497009277344
2019-12-06,48.011714935302734
2019-12-09,48.305999755859375
2019-12-10,48.207908630371094
2019-12-11,48.09197235107422
2019-12-12,47.24481964111328
2019-12-13,47.47666549682617
2019-12-16,47.89579391479492
2019-12-17,48.234657287597656
2019-12-18,48.62702941894531
2019-12-19,49.1799201965332
2019-12-20,49.4028434753418
2019-12-23,48.805381774902344
2019-12-24,49.037227630615234
2019-12-26,48.912384033203125
2019-12-27,49.295833587646484
2019-12-30,49.300323486328125
2019-12-31,49.37203598022461
2020-01-02,48.69975280761719
2020-01-03,48.61907958984375
2020-01-06,48.53840637207031
2020-01-07,48.332237243652344
2020-01-08,48.44877243041992
2020-01-09,48.574256896972656
2020-01-10,48.62803268432617
2020-01-13,48.93280792236328
2020-01-14,48.574256896972656
2020-01-15,49.067264556884766
