,DOW
2020-05-18,28.74306869506836
2020-05-19,27.882497787475582
2020-05-20,28.304954528808594
2020-05-21,28.023305892944336
2020-05-22,28.25801658630371
2020-05-26,30.34684944152832
2020-05-27,31.152660369873047
2020-05-28,30.826156616210938
2020-05-29,30.738569259643555
2020-06-01,30.746522903442383
2020-06-02,32.33123016357422
2020-06-03,33.151458740234375
2020-06-04,34.01150131225586
2020-06-05,35.01488494873047
2020-06-08,36.55182647705078
2020-06-09,35.36527633666992
2020-06-10,34.70431900024414
2020-06-11,31.264141082763672
2020-06-12,32.83293151855469
2020-06-15,33.430179595947266
2020-06-16,33.64519500732422
2020-06-17,32.78514862060547
2020-06-18,33.11164474487305
2020-06-19,33.167396545410156
2020-06-22,33.23906707763672
2020-06-23,32.928489685058594
2020-06-24,30.61911964416504
2020-06-25,31.83750915527344
2020-06-26,31.69416618347168
2020-06-29,32.63383483886719
2020-06-30,32.458648681640625
2020-07-01,32.45069122314453
2020-07-02,33.119606018066406
2020-07-06,33.804466247558594
2020-07-07,33.199241638183594
2020-07-08,32.13214874267578
2020-07-09,31.407482147216797
2020-07-10,32.458648681640625
2020-07-13,32.84090042114258
2020-07-14,33.796485900878906
2020-07-15,34.50522994995117
2020-07-16,34.90339660644531
2020-07-17,34.77598190307617
2020-07-20,33.68501281738281
2020-07-21,34.2743034362793
2020-07-22,35.309532165527344
2020-07-23,34.099098205566406
2020-07-24,33.9318733215332
2020-07-27,35.038780212402344
2020-07-28,33.93982696533203
2020-07-29,34.65653991699219
2020-07-30,33.2310905456543
2020-07-31,32.697547912597656
2020-08-03,31.92510223388672
2020-08-04,32.904598236083984
2020-08-05,33.43814468383789
2020-08-06,33.485923767089844
2020-08-07,33.94779968261719
2020-08-10,35.675846099853516
2020-08-11,35.436946868896484
2020-08-12,35.261749267578125
2020-08-13,35.381202697753906
2020-08-14,35.731597900390625
2020-08-17,35.405094146728516
2020-08-18,35.60417175292969
2020-08-19,35.54842758178711
2020-08-20,34.79191207885742
2020-08-21,34.71228790283203
2020-08-24,36.72700881958008
2020-08-25,36.30495071411133
2020-08-26,36.90220260620117
2020-08-27,36.75885772705078
2020-08-28,37.235939025878906
2020-08-31,36.48394012451172
2020-09-01,38.22241973876953
2020-09-02,39.799198150634766
2020-09-03,39.12805938720703
2020-09-04,39.29785919189453
2020-09-08,38.756099700927734
2020-09-09,39.80727767944336
2020-09-10,39.37872314453125
2020-09-11,40.30861282348633
2020-09-14,40.50267028808594
2020-09-15,41.29510116577149
2020-09-16,40.18732070922851
2020-09-17,41.214237213134766
2020-09-18,40.72907638549805
2020-09-21,38.73992538452149
2020-09-22,38.650978088378906
2020-09-23,37.79387283325195
2020-09-24,37.52703475952149
2020-09-25,37.22785568237305
2020-09-28,38.39223861694336
2020-09-29,37.65640640258789
2020-09-30,38.04453659057617
2020-10-01,37.284454345703125
2020-10-02,38.2547721862793
2020-10-05,39.28169631958008
2020-10-06,38.715667724609375
2020-10-07,39.05527877807617
2020-10-08,39.928565979003906
2020-10-09,39.91239547729492
2020-10-12,39.28169631958008
2020-10-13,38.715667724609375
2020-10-14,39.48383712768555
2020-10-15,39.6293830871582
2020-10-16,39.86387634277344
2020-10-19,39.49192810058594
2020-10-20,39.89622116088867
2020-10-21,39.25743103027344
2020-10-22,39.47575378417969
2020-10-23,39.24126434326172
2020-10-26,38.125396728515625
2020-10-27,37.65640640258789
2020-10-28,36.53245162963867
2020-10-29,37.39765930175781
2020-10-30,36.78311920166016
2020-11-02,38.66715240478515
2020-11-03,39.40298080444336
2020-11-04,37.55937957763672
2020-11-05,39.5970458984375
2020-11-06,38.998680114746094
2020-11-09,42.14412689208984
2020-11-10,43.22764587402344
2020-11-11,42.216896057128906
2020-11-12,41.270843505859375
2020-11-13,42.02284240722656
2020-11-16,43.60769271850586
2020-11-17,44.05242156982422
2020-11-18,44.71546936035156
2020-11-19,44.7478141784668
2020-11-20,44.25456619262695
2020-11-23,45.232967376708984
2020-11-24,46.68035507202149
2020-11-25,45.62918472290039
2020-11-27,45.35899353027344
2020-11-30,43.40217208862305
2020-12-01,43.82792282104492
2020-12-02,43.557735443115234
2020-12-03,43.88523483276367
2020-12-04,45.07243347167969
2020-12-07,43.565921783447266
2020-12-08,44.66305160522461
2020-12-09,44.75311279296875
2020-12-10,44.5648078918457
2020-12-11,44.212745666503906
2020-12-14,43.443115234375
2020-12-15,44.31917572021485
2020-12-16,44.07355117797851
2020-12-17,44.07355117797851
2020-12-18,45.57186508178711
2020-12-21,45.09698867797851
2020-12-22,44.76130676269531
2020-12-23,44.8267936706543
2020-12-24,44.85955810546875
2020-12-28,44.45018005371094
2020-12-29,44.482933044433594
2020-12-30,45.41631317138672
2020-12-31,45.44087600708008
2021-01-04,44.24549102783203
2021-01-05,45.686500549316406
2021-01-06,47.839820861816406
2021-01-07,47.90531921386719
2021-01-08,47.65969467163086
2021-01-11,48.1918830871582
2021-01-12,49.976776123046875
2021-01-13,49.14982986450195
2021-01-14,48.83869934082031
2021-01-15,46.922821044921875
2021-01-19,47.11931991577149
2021-01-20,47.95445251464844
2021-01-21,47.12751007080078
2021-01-22,47.078372955322266
2021-01-25,46.85731506347656
2021-01-26,45.63737487792969
2021-01-27,44.53204727172851
2021-01-28,44.52387237548828
2021-01-29,42.49335479736328
2021-02-01,43.18928909301758
2021-02-02,44.71217727661133
2021-02-03,45.318058013916016
2021-02-04,46.128623962402344
2021-02-05,46.86549758911133
2021-02-08,46.95556640625
2021-02-09,46.34150314331055
2021-02-10,47.217567443847656
2021-02-11,47.217567443847656
2021-02-12,47.610565185546875
2021-02-16,48.10182571411133
2021-02-17,47.929874420166016
2021-02-18,47.12751007080078
2021-02-19,49.444580078125
2021-02-22,51.155784606933594
2021-02-23,50.86102294921875
2021-02-24,52.146461486816406
2021-02-25,50.78879165649414
2021-02-26,49.0999755859375
2021-03-01,50.946083068847656
2021-03-02,51.93122482299805
2021-03-03,51.53385925292969
2021-03-04,50.66461563110352
2021-03-05,52.08024215698242
2021-03-08,52.519004821777344
2021-03-09,51.542137145996094
2021-03-10,53.057106018066406
2021-03-11,53.24751663208008
2021-03-12,53.264068603515625
2021-03-15,52.07196044921875
2021-03-16,52.30376052856445
2021-03-17,54.6465950012207
2021-03-18,53.57865524291992
2021-03-19,52.9080924987793
2021-03-22,52.57694625854492
2021-03-23,50.29207992553711
2021-03-24,51.36001205444336
2021-03-25,52.35343551635742
2021-03-26,52.97431945800781
2021-03-29,52.89982604980469
2021-03-30,53.48759460449219
2021-03-31,52.93292999267578
2021-04-01,53.47931289672851
2021-04-05,53.47103118896485
2021-04-06,53.47931289672851
2021-04-07,52.97431945800781
2021-04-08,52.31204605102539
2021-04-09,52.27064895629883
2021-04-12,52.80875396728515
2021-04-13,52.41139221191406
2021-04-14,53.1812858581543
2021-04-15,53.4544792175293
2021-04-16,53.54553985595703
2021-04-19,53.43792343139648
2021-04-20,51.724273681640625
2021-04-21,53.66143798828125
2021-04-22,50.44109344482422
2021-04-23,51.4179573059082
2021-04-26,51.49246597290039
2021-04-27,51.8650016784668
2021-04-28,52.41139221191406
2021-04-29,53.03227615356445
2021-04-30,51.740814208984375
2021-05-03,53.43792343139648
2021-05-04,54.8204345703125
2021-05-05,56.35196685791016
2021-05-06,57.15498352050781
2021-05-07,57.15498352050781
2021-05-10,56.898345947265625
2021-05-11,56.76588439941406
2021-05-12,55.96286392211914
2021-05-13,56.3602409362793
2021-05-14,57.80898666381836
2021-05-17,58.70305633544922
2021-05-18,57.56063079833984
2021-05-19,56.74934005737305
2021-05-20,56.509254455566406
2021-05-21,56.98114013671875
2021-05-24,57.57719421386719
2021-05-25,57.15498352050781
2021-05-26,57.593746185302734
2021-05-27,57.41812515258789
2021-05-28,57.21742248535156
2021-06-01,58.881595611572266
2021-06-02,57.660640716552734
2021-06-03,59.04885482788086
2021-06-04,58.84813690185547
2021-06-07,57.90316009521485
2021-06-08,58.020233154296875
2021-06-09,57.56865692138672
2021-06-10,56.85782241821289
2021-06-11,56.86619567871094
2021-06-14,55.9964714050293
2021-06-15,56.213897705078125
2021-06-16,54.85077667236328
2021-06-17,53.13644027709961
2021-06-18,51.83185958862305
2021-06-21,52.77684020996094
2021-06-22,53.102989196777344
2021-06-23,52.81029510498047
2021-06-24,52.77684020996094
2021-06-25,52.9273681640625
2021-06-28,52.601226806640625
2021-06-29,52.66812896728515
2021-06-30,52.91901016235352
2021-07-01,53.102989196777344
2021-07-02,53.11134719848633
2021-07-06,51.79004669189453
2021-07-07,52.05765151977539
2021-07-08,51.35518264770508
2021-07-09,52.75175476074219
2021-07-12,52.86883163452149
2021-07-13,52.43397521972656
2021-07-14,52.11619567871094
2021-07-15,51.77332305908203
2021-07-16,50.18441390991211
2021-07-19,48.32789611816406
2021-07-20,49.021995544433594
2021-07-21,49.95025634765625
2021-07-22,50.57745361328125
2021-07-23,50.268043518066406
2021-07-26,51.85695266723633
2021-07-27,51.8067741394043
2021-07-28,51.7398796081543
2021-07-29,52.35034942626953
2021-07-30,51.98238754272461
2021-08-02,51.19630432128906
2021-08-03,52.040924072265625
2021-08-04,51.00395965576172
2021-08-05,51.01232147216797
2021-08-06,51.84858703613281
2021-08-09,51.69805908203125
2021-08-10,52.78520202636719
2021-08-11,53.721824645996094
2021-08-12,53.52947998046875
2021-08-13,53.26187515258789
2021-08-16,52.95245361328125
2021-08-17,52.10783004760742
2021-08-18,51.748233795166016
2021-08-19,50.6359977722168
2021-08-20,50.92032241821289
2021-08-23,51.89876174926758
2021-08-24,52.90228271484375
2021-08-25,53.41240310668945
2021-08-26,53.22842788696289
2021-08-27,54.6751708984375
2021-08-30,54.08344650268555
2021-08-31,53.17050552368164
2021-09-01,52.86619567871094
2021-09-02,52.933815002441406
2021-09-03,52.51115798950195
2021-09-07,52.299835205078125
2021-09-08,51.30235290527344
2021-09-09,50.95576095581055
2021-09-10,51.0656623840332
2021-09-13,51.32771301269531
2021-09-14,50.42322540283203
2021-09-15,50.888145446777344
2021-09-16,50.27106857299805
2021-09-17,48.81711196899414
2021-09-20,47.48996353149414
2021-09-21,46.94050979614258
2021-09-22,47.591407775878906
2021-09-23,48.54662322998047
2021-09-24,48.02251434326172
2021-09-27,50.45703125
2021-09-28,50.26260757446289
2021-09-29,49.72160720825195
2021-09-30,48.65650939941406
2021-10-01,49.51873016357422
2021-10-04,49.23133087158203
2021-10-05,49.95829391479492
2021-10-06,48.31838607788086
2021-10-07,49.45954895019531
2021-10-08,49.62862777709961
2021-10-11,49.22287368774414
2021-10-12,48.80866241455078
2021-10-13,48.10704803466797
2021-10-14,49.65398025512695
2021-10-15,49.83995056152344
2021-10-18,49.83149719238281
2021-10-19,50.03437042236328
2021-10-20,50.6260986328125
2021-10-21,50.09354782104492
2021-10-22,49.366573333740234
2021-10-25,49.62862777709961
2021-10-26,49.62862777709961
2021-10-27,47.33781051635742
2021-10-28,47.81964111328125
2021-10-29,47.31245040893555
2021-11-01,48.55506896972656
2021-11-02,49.425743103027344
2021-11-03,49.91603088378906
2021-11-04,48.32683181762695
2021-11-05,49.29050064086914
2021-11-08,49.51028060913086
2021-11-09,49.69625473022461
2021-11-10,49.6708869934082
2021-11-11,50.44857406616211
2021-11-12,50.769798278808594
2021-11-15,50.651458740234375
2021-11-16,49.75542449951172
2021-11-17,49.31585693359375
2021-11-18,49.01153564453125
2021-11-19,48.47053146362305
2021-11-22,49.69625473022461
2021-11-23,50.02592086791992
2021-11-24,49.56100082397461
2021-11-26,48.6903190612793
2021-11-29,48.65608596801758
2021-11-30,47.00455093383789
2021-12-01,45.147647857666016
2021-12-02,45.507057189941406
2021-12-03,45.41291809082031
2021-12-06,46.106056213378906
2021-12-07,46.94466018676758
2021-12-08,46.9874382019043
2021-12-09,46.54246520996094
2021-12-10,46.79063034057617
2021-12-13,45.62685012817383
2021-12-14,46.106056213378906
2021-12-15,46.24296951293945
2021-12-16,46.72217559814453
2021-12-17,46.2943115234375
2021-12-20,45.789432525634766
2021-12-21,46.379878997802734
2021-12-22,46.40555191040039
2021-12-23,47.18425750732422
2021-12-27,47.80893325805664
2021-12-28,48.45927810668945
2021-12-29,48.82723236083984
2021-12-30,48.5876350402832
2021-12-31,48.536285400390625
2022-01-03,48.664649963378906
2022-01-04,49.98245620727539
2022-01-05,49.93111038208008
2022-01-06,49.83698272705078
2022-01-07,50.572898864746094
2022-01-10,49.973899841308594
2022-01-11,50.641361236572266
2022-01-12,50.709815979003906
2022-01-13,51.29169845581055
2022-01-14,51.97627639770508
2022-01-18,51.514183044433594
2022-01-19,51.20612335205078
2022-01-20,49.46902084350586
2022-01-21,48.536285400390625
2022-01-24,48.450721740722656
2022-01-25,48.9299201965332
2022-01-26,48.964149475097656
2022-01-27,51.49707794189453
2022-01-28,51.37726974487305
2022-01-31,51.112003326416016
2022-02-01,52.89188766479492
2022-02-02,52.76353454589844
2022-02-03,52.37846374511719
2022-02-04,51.856475830078125
2022-02-07,51.26603317260742
2022-02-08,52.27576446533203
2022-02-09,53.045921325683594
2022-02-10,52.15597152709961
2022-02-11,52.27576446533203
2022-02-14,52.05329132080078
2022-02-15,52.9346809387207
2022-02-16,53.12293243408203
2022-02-17,52.3442268371582
2022-02-18,51.847923278808594
2022-02-22,51.599761962890625
2022-02-23,51.31737518310547
2022-02-24,50.24773025512695
2022-02-25,51.65937042236328
2022-02-28,51.06180953979492
2022-03-01,49.47695541381836
2022-03-02,51.269657135009766
2022-03-03,51.67669296264648
2022-03-04,50.949214935302734
2022-03-07,50.21307373046875
2022-03-08,50.09184265136719
2022-03-09,51.78927993774414
2022-03-10,52.508094787597656
2022-03-11,52.75058364868164
2022-03-14,52.204978942871094
2022-03-15,50.98386001586914
2022-03-16,51.65071487426758
2022-03-17,54.42204666137695
2022-03-18,54.03232955932617
2022-03-21,54.85506820678711
2022-03-22,55.03693389892578
2022-03-23,54.8204231262207
2022-03-24,55.50459289550781
2022-03-25,56.03287887573242
2022-03-28,55.52192306518555
2022-03-29,55.59120559692383
2022-03-30,55.65182876586914
2022-03-31,55.18416976928711
2022-04-01,55.58254623413086
2022-04-04,55.43531036376953
2022-04-05,54.98496627807617
2022-04-06,53.40877532958984
2022-04-07,53.04503631591797
2022-04-08,53.417442321777344
2022-04-11,53.651275634765625
2022-04-12,54.78578186035156
2022-04-13,55.56521987915039
2022-04-14,56.71705627441406
2022-04-18,57.054805755615234
2022-04-19,58.068084716796875
2022-04-20,58.49244689941406
2022-04-21,60.19853591918945
2022-04-22,59.32383728027344
2022-04-25,58.951446533203125
2022-04-26,58.345211029052734
2022-04-27,58.41450119018555
2022-04-28,58.72627258300781
2022-04-29,57.59175491333008
2022-05-02,58.07674026489258
2022-05-03,59.02072525024414
2022-05-04,61.15118408203125
2022-05-05,59.2978630065918
2022-05-06,58.8302116394043
2022-05-09,57.704349517822266
2022-05-10,56.99418258666992
2022-05-11,57.84291458129883
2022-05-12,58.05942916870117
2022-05-13,58.5097541809082
2022-05-16,58.87350082397461
2022-05-17,60.59693145751953
2022-05-18,59.678924560546875
2022-05-19,59.54901885986328
2022-05-20,58.98609161376953
2022-05-23,58.44913482666016
2022-05-24,58.08539962768555
2022-05-25,58.28459167480469
2022-05-26,58.75225067138672
2022-05-27,60.432376861572266
2022-05-31,59.48731994628906
2022-06-01,59.601078033447266
2022-06-02,59.59233093261719
2022-06-03,58.65599822998047
2022-06-06,58.69100189208984
2022-06-07,58.95351791381836
2022-06-08,58.83975982666016
2022-06-09,57.63216400146485
2022-06-10,54.14063262939453
2022-06-13,51.34915542602539
2022-06-14,51.24414825439453
2022-06-15,50.23781204223633
2022-06-16,48.49642181396485
2022-06-17,47.9276237487793
2022-06-21,48.08514022827149
2022-06-22,45.80120849609375
2022-06-23,44.68111801147461
2022-06-24,46.50126266479492
2022-06-27,45.696197509765625
2022-06-28,45.96746826171875
2022-06-29,45.48618698120117
2022-06-30,45.16240692138672
2022-07-01,45.2324104309082
2022-07-05,44.39234161376953
2022-07-06,44.7861213684082
2022-07-07,45.74869918823242
2022-07-08,44.96113204956055
2022-07-11,44.63736343383789
2022-07-12,44.121070861816406
2022-07-13,43.46476745605469
2022-07-14,42.790958404541016
2022-07-15,43.3597526550293
2022-07-18,44.164817810058594
2022-07-19,45.897464752197266
2022-07-20,45.98497009277344
2022-07-21,44.9786376953125
2022-07-22,44.49734878540039
2022-07-25,45.13615798950195
2022-07-26,44.89112854003906
2022-07-27,45.71369552612305
2022-07-28,45.76620101928711
2022-07-29,46.56251907348633
2022-08-01,45.906219482421875
