,EQIX
2019-10-08,521.3025512695312
2019-10-09,526.337158203125
2019-10-10,523.7741088867188
2019-10-11,518.6571655273438
2019-10-14,519.471923828125
2019-10-15,523.2706909179688
2019-10-16,519.8287963867188
2019-10-17,523.4447021484375
2019-10-18,527.6278076171875
2019-10-21,528.48828125
2019-10-22,521.6961059570312
2019-10-23,518.666259765625
2019-10-24,515.6640014648438
2019-10-25,517.8606567382812
2019-10-28,519.1332397460938
2019-10-29,519.4902954101562
2019-10-30,522.8220825195312
2019-10-31,518.8128051757812
2019-11-01,514.6568603515625
2019-11-04,497.2283935546875
2019-11-05,482.5733642578125
2019-11-06,486.8664245605469
2019-11-07,478.28021240234375
2019-11-08,485.42926025390625
2019-11-11,489.7223205566406
2019-11-12,486.2806091308594
2019-11-13,494.96734619140625
2019-11-14,498.6105651855469
2019-11-15,503.8281555175781
2019-11-18,510.9681091308594
2019-11-19,519.4359741210938
2019-11-20,522.9298095703125
2019-11-21,515.0316772460938
2019-11-22,512.6505737304688
2019-11-25,509.2210388183594
2019-11-26,509.98431396484375
2019-11-27,519.6473999023438
2019-11-29,521.1736450195312
2019-12-02,505.44232177734375
2019-12-03,508.07177734375
2019-12-04,517.5694580078125
2019-12-05,514.9307250976562
2019-12-06,514.130859375
2019-12-09,515.5375366210938
2019-12-10,512.7884521484375
2019-12-11,514.0848999023438
2019-12-12,503.6587219238281
2019-12-13,507.37310791015625
2019-12-16,517.4500122070312
2019-12-17,512.595458984375
2019-12-18,519.8864135742188
2019-12-19,529.5128173828125
2019-12-20,531.1585083007812
2019-12-23,525.5776977539062
2019-12-24,527.0487060546875
2019-12-26,532.8134155273438
2019-12-27,535.5626220703125
2019-12-30,533.4846801757812
2019-12-31,536.6659545898438
2020-01-02,532.6663818359375
2020-01-03,537.9713134765625
2020-01-06,537.3829956054688
2020-01-07,534.9925537109375
2020-01-08,536.7577514648438
2020-01-09,541.5296020507812
2020-01-10,546.1359252929688
2020-01-13,547.0184936523438
2020-01-14,539.2401123046875
2020-01-15,539.0011596679688
2020-01-16,547.1656494140625
2020-01-17,540.6194458007812
2020-01-21,542.458251953125
2020-01-22,543.864990234375
2020-01-23,547.9839477539062
2020-01-24,544.2601928710938
2020-01-27,546.0899047851562
2020-01-28,554.015380859375
2020-01-29,554.116455078125
2020-01-30,554.4105834960938
2020-01-31,542.2099609375
2020-02-03,554.9622802734375
