,WMT
2015-10-26,16.1383113861084
2015-10-27,15.988113403320312
2015-10-28,16.032623291015625
2015-10-29,16.12162208557129
2015-10-30,15.921361923217773
2015-11-02,16.024272918701172
2015-11-03,16.16335678100586
2015-11-04,16.235671997070312
2015-11-05,16.302425384521484
2015-11-06,16.349714279174805
2015-11-09,16.2690486907959
2015-11-10,16.321895599365234
2015-11-11,16.015926361083984
2015-11-12,15.840699195861816
2015-11-13,15.693276405334473
2015-11-16,16.096595764160156
2015-11-17,16.66680335998535
2015-11-18,16.947738647460938
2015-11-19,16.883760452270508
2015-11-20,16.708524703979492
2015-11-23,16.761371612548828
2015-11-24,16.66680335998535
2015-11-25,16.755809783935547
2015-11-27,16.658462524414062
2015-11-30,16.36640167236328
2015-12-01,16.408126831054688
2015-12-02,16.36604881286621
2015-12-03,16.55958366394043
2015-12-04,16.73348617553711
2015-12-07,16.969087600708008
2015-12-08,16.719459533691406
2015-12-09,16.584819793701172
2015-12-10,16.70543098449707
2015-12-11,16.649341583251953
2015-12-14,16.938228607177734
2015-12-15,16.727872848510742
2015-12-16,16.912992477416992
2015-12-17,16.54275131225586
2015-12-18,16.50629234313965
2015-12-21,16.702632904052734
2015-12-22,16.980302810668945
2015-12-23,17.134572982788086
2015-12-24,17.061647415161133
2015-12-28,17.039203643798828
2015-12-29,17.280414581298828
2015-12-30,17.300048828125
2015-12-31,17.193470001220703
2016-01-04,17.238344192504883
2016-01-05,17.647850036621094
2016-01-06,17.824546813964844
2016-01-07,18.239662170410156
2016-01-08,17.821746826171875
2016-01-11,18.01247215270996
2016-01-12,17.84418296813965
2016-01-13,17.367366790771484
2016-01-14,17.687118530273438
2016-01-15,17.37017059326172
2016-01-19,17.546875
2016-01-20,17.064451217651367
2016-01-21,17.35614585876465
2016-01-22,17.583335876464844
2016-01-25,17.7965030670166
2016-01-26,17.950769424438477
2016-01-27,17.936742782592773
2016-01-28,18.01247215270996
2016-01-29,18.612703323364258
2016-02-01,18.93244743347168
2016-02-02,18.752941131591797
2016-02-03,18.58746337890625
2016-02-04,18.629533767700195
2016-02-05,18.792207717895508
2016-02-08,18.764162063598633
2016-02-09,18.458436965942383
2016-02-10,18.45282554626465
2016-02-11,18.320993423461914
2016-02-12,18.562210083007812
2016-02-16,18.48368263244629
2016-02-17,18.542577743530273
2016-02-18,17.984434127807617
2016-02-19,18.135881423950195
2016-02-22,18.40794563293457
2016-02-23,18.64635467529297
2016-02-24,18.825864791870117
2016-02-25,19.083908081054688
2016-02-26,18.654769897460938
2016-02-29,18.607093811035156
2016-03-01,18.640748977661133
2016-03-02,18.570632934570312
2016-03-03,18.55099868774414
2016-03-04,18.730504989624023
2016-03-07,19.041837692260742
2016-03-08,19.083908081054688
2016-03-09,19.081085205078125
2016-03-10,19.047182083129883
2016-03-11,18.97936248779297
2016-03-14,19.033050537109375
2016-03-15,19.239315032958984
2016-03-16,19.2110595703125
2016-03-17,19.0584774017334
2016-03-18,18.91720199584961
2016-03-21,19.20541000366211
2016-03-22,19.177154541015625
2016-03-23,19.06130599975586
2016-03-24,19.21388816833496
2016-03-28,19.247793197631836
2016-03-29,19.22236442565918
2016-03-30,19.43992805480957
2016-03-31,19.352338790893555
2016-04-01,19.513391494750977
2016-04-04,19.52469825744629
2016-04-05,19.394716262817383
2016-04-06,19.50774574279785
2016-04-07,19.276050567626953
2016-04-08,19.2308406829834
2016-04-11,19.044353485107422
2016-04-12,19.43992805480957
2016-04-13,19.538827896118164
2016-04-14,19.43992805480957
2016-04-15,19.513391494750977
2016-04-18,19.739444732666016
2016-04-19,19.714012145996094
2016-04-20,19.5557804107666
2016-04-21,19.346694946289062
2016-04-22,19.417329788208008
2016-04-25,19.62924575805664
2016-04-26,19.581209182739258
2016-04-27,19.6151180267334
2016-04-28,19.471010208129883
2016-04-29,18.894594192504883
2016-05-02,19.098045349121094
2016-05-03,18.931325912475586
2016-05-04,18.985010147094727
2016-05-05,18.99066734313965
2016-05-06,19.284523010253906
2016-05-09,19.482318878173828
2016-05-10,19.437110900878906
2016-05-11,18.90201187133789
2016-05-12,19.027250289916992
2016-05-13,18.483604431152344
2016-05-16,18.791004180908203
2016-05-17,18.529155731201172
2016-05-18,17.97412872314453
2016-05-19,19.69611358642578
2016-05-20,19.88397216796875
2016-05-23,19.7814998626709
2016-05-24,19.99211883544922
2016-05-25,20.060436248779297
2016-05-26,20.16575050354004
2016-05-27,20.13728904724121
2016-05-31,20.145828247070312
2016-06-01,20.066133499145508
2016-06-02,20.1942081451416
2016-06-03,20.171443939208984
2016-06-06,20.222679138183594
2016-06-07,20.216983795166016
2016-06-08,20.28813934326172
2016-06-09,20.234058380126953
2016-06-10,20.248294830322266
2016-06-13,20.07466697692871
2016-06-14,20.1942081451416
2016-06-15,20.242599487304688
2016-06-16,20.29383087158203
2016-06-17,20.1942081451416
2016-06-20,20.236907958984375
2016-06-21,20.33936882019043
2016-06-22,20.42190933227539
2016-06-23,20.521526336669922
2016-06-24,20.481689453125
2016-06-27,20.350757598876953
2016-06-28,20.35360336303711
2016-06-29,20.62399673461914
2016-06-30,20.78339195251465
2016-07-01,20.723615646362305
2016-07-05,20.817543029785156
2016-07-06,21.011089324951172
2016-07-07,20.928552627563477
2016-07-08,21.016775131225586
2016-07-11,21.07940101623535
2016-07-12,20.85453987121582
2016-07-13,20.954166412353516
2016-07-14,20.976932525634766
2016-07-15,20.968393325805664
2016-07-18,21.016775131225586
2016-07-19,20.96554183959961
2016-07-20,21.00255012512207
2016-07-21,20.925701141357422
2016-07-22,20.934236526489258
2016-07-25,20.99115753173828
2016-07-26,20.9854736328125
2016-07-27,20.8687801361084
2016-07-28,20.84600257873535
2016-07-29,20.76915740966797
2016-08-01,20.99970054626465
2016-08-02,20.814695358276367
2016-08-03,20.7606143951416
2016-08-04,20.863082885742188
2016-08-05,20.9940128326416
2016-08-08,20.874465942382812
2016-08-09,20.931394577026367
2016-08-10,21.192174911499023
2016-08-11,21.149194717407227
2016-08-12,21.174978256225586
2016-08-15,21.011638641357422
2016-08-16,20.888402938842773
2016-08-17,20.899871826171875
2016-08-18,21.2924747467041
2016-08-19,20.865482330322266
2016-08-22,20.833959579467773
2016-08-23,20.624753952026367
2016-08-24,20.699275970458984
2016-08-25,20.409832000732422
2016-08-26,20.386899948120117
2016-08-29,20.461406707763672
2016-08-30,20.435619354248047
2016-08-31,20.472877502441406
2016-09-01,20.87407684326172
2016-09-02,20.776641845703125
2016-09-06,20.9199275970459
2016-09-07,20.650550842285156
2016-09-08,20.58463478088379
2016-09-09,20.146177291870117
2016-09-12,20.616165161132812
2016-09-13,20.478605270385742
2016-09-14,20.49579429626465
2016-09-15,20.747983932495117
2016-09-16,20.882675170898438
2016-09-19,20.65914535522461
2016-09-20,20.624753952026367
2016-09-21,20.687807083129883
2016-09-22,20.710723876953125
2016-09-23,20.733657836914062
2016-09-26,20.524457931518555
2016-09-27,20.727933883666992
2016-09-28,20.573179244995117
2016-09-29,20.2694091796875
2016-09-30,20.667743682861328
2016-10-03,20.63621711730957
2016-10-04,20.56171417236328
2016-10-05,20.538785934448242
2016-10-06,19.876802444458008
2016-10-07,19.687660217285156
2016-10-10,19.481332778930664
2016-10-11,19.312246322631836
2016-10-12,19.332305908203125
2016-10-13,19.55296516418457
2016-10-14,19.61601448059082
2016-10-17,19.550107955932617
2016-10-18,19.736377716064453
2016-10-19,19.742116928100586
2016-10-20,19.696260452270508
2016-10-21,19.584497451782227
2016-10-24,19.828083038330078
2016-10-25,19.876802444458008
2016-10-26,19.942716598510742
2016-10-27,20.011489868164062
2016-10-28,20.057340621948242
2016-10-31,20.065933227539062
2016-11-01,19.859601974487305
