,EQR
2014-12-01,42.80199432373047
2014-12-02,43.074668884277344
2014-12-03,43.00196838378906
2014-12-04,43.19585037231445
2014-12-05,42.589935302734375
2014-12-08,43.36550521850586
2014-12-09,43.76542282104492
2014-12-10,43.910831451416016
2014-12-11,43.79570388793945
2014-12-12,43.068603515625
2014-12-15,42.62629699707031
2014-12-16,42.64447021484375
2014-12-17,43.78965759277344
2014-12-18,44.21379852294922
2014-12-19,44.450096130371094
2014-12-22,45.171146392822266
2014-12-23,44.969844818115234
2014-12-24,44.664833068847656
2014-12-26,44.89053726196289
2014-12-29,44.982032775878906
2014-12-30,44.46353530883789
2014-12-31,43.82302474975586
2015-01-02,44.78075408935547
2015-01-05,45.177242279052734
2015-01-06,45.43345260620117
2015-01-07,46.10445022583008
2015-01-08,46.62297821044922
2015-01-09,46.970664978027344
2015-01-12,47.51355743408203
2015-01-13,47.02556228637695
2015-01-14,47.62948226928711
2015-01-15,47.90397262573242
2015-01-16,48.4285888671875
2015-01-20,47.568477630615234
2015-01-21,47.41596984863281
2015-01-22,48.37979507446289
2015-01-23,48.678680419921875
2015-01-26,48.8617057800293
2015-01-27,48.94708251953125
2015-01-28,48.57497787475586
2015-01-29,48.3980827331543
2015-01-30,47.3427619934082
2015-02-02,47.031673431396484
2015-02-03,47.57456970214844
2015-02-04,48.15409469604492
2015-02-05,48.965389251708984
2015-02-06,47.65388870239258
2015-02-09,47.501365661621094
2015-02-10,47.397674560546875
2015-02-11,47.5623779296875
2015-02-12,48.71529769897461
2015-02-13,48.03818130493164
2015-02-17,48.196773529052734
2015-02-18,48.79460525512695
2015-02-19,47.32447814941406
2015-02-20,47.977195739746094
2015-02-23,48.77018737792969
2015-02-24,47.568477630615234
2015-02-25,47.397674560546875
2015-02-26,46.873069763183594
2015-02-27,46.98896789550781
2015-03-02,47.32447814941406
2015-03-03,47.1292610168457
2015-03-04,46.873069763183594
2015-03-05,47.17198181152344
2015-03-06,45.76893997192383
2015-03-09,46.2447624206543
2015-03-10,46.33014678955078
2015-03-11,46.21426010131836
2015-03-12,47.04998016357422
2015-03-13,46.98287582397461
2015-03-16,48.12968444824219
2015-03-17,47.95886993408203
2015-03-18,49.05078887939453
2015-03-19,48.97217559814453
2015-03-20,50.200626373291016
2015-03-23,50.03477478027344
2015-03-24,49.6478385925293
2015-03-25,48.407100677490234
2015-03-26,48.216678619384766
2015-03-27,48.18596267700195
2015-03-30,48.46236038208008
2015-03-31,47.82358169555664
2015-04-01,47.63930130004883
2015-04-02,48.09998321533203
2015-04-06,48.57292175292969
2015-04-07,47.725303649902344
2015-04-08,47.93413543701172
2015-04-09,46.60127258300781
2015-04-10,46.44771957397461
2015-04-13,46.26343536376953
2015-04-14,46.742530822753906
2015-04-15,46.257301330566406
2015-04-16,46.53985595703125
2015-04-17,46.26343536376953
2015-04-20,46.23273849487305
2015-04-21,46.53985595703125
2015-04-22,46.83466720581055
2015-04-23,46.982093811035156
2015-04-24,47.01893615722656
2015-04-27,47.10493850708008
2015-04-28,47.00666046142578
2015-04-29,46.32486343383789
2015-04-30,45.36668014526367
2015-05-01,45.92560958862305
2015-05-04,46.189735412597656
2015-05-05,44.85686492919922
2015-05-06,44.50676727294922
2015-05-07,45.563228607177734
2015-05-08,45.96862030029297
2015-05-11,45.065704345703125
2015-05-12,45.33596420288086
2015-05-13,45.08413314819336
2015-05-14,46.03005599975586
2015-05-15,46.177452087402344
2015-05-18,45.94403839111328
2015-05-19,45.8334846496582
2015-05-20,45.96862030029297
2015-05-21,45.78435134887695
2015-05-22,45.8334846496582
2015-05-26,45.42194366455078
2015-05-27,46.11603927612305
2015-05-28,45.99932861328125
2015-05-29,45.64922332763672
2015-06-01,46.079185485839844
2015-06-02,45.323692321777344
2015-06-03,44.16895294189453
2015-06-04,44.15665817260742
2015-06-05,43.91096878051758
2015-06-08,43.695987701416016
2015-06-09,43.45029830932617
2015-06-10,43.54241943359375
2015-06-11,43.97238540649414
2015-06-12,43.947818756103516
2015-06-15,43.92937088012695
2015-06-16,44.62346267700195
2015-06-17,45.24998092651367
2015-06-18,45.92560958862305
2015-06-19,45.495670318603516
2015-06-22,44.81387710571289
2015-06-23,44.107513427734375
2015-06-24,44.16508483886719
2015-06-25,43.73179244995117
2015-06-26,44.072227478027344
2015-06-29,43.403717041015625
2015-06-30,43.43467712402344
2015-07-01,44.34458541870117
2015-07-02,44.93263244628906
2015-07-06,45.1492805480957
2015-07-07,45.85492706298828
2015-07-08,45.85492706298828
2015-07-09,45.92301940917969
2015-07-10,46.2263298034668
2015-07-13,46.07157897949219
2015-07-14,46.30678939819336
2015-07-15,46.27583312988281
2015-07-16,46.46773147583008
2015-07-17,46.25727462768555
2015-07-20,46.597721099853516
2015-07-21,46.282020568847656
2015-07-22,46.64104461669922
2015-07-23,46.13345718383789
2015-07-24,46.1644172668457
2015-07-27,46.45534133911133
2015-07-28,46.35631561279297
2015-07-29,46.08396530151367
2015-07-30,45.98490524291992
2015-07-31,46.30678939819336
2015-08-03,46.74626541137695
2015-08-04,46.158241271972656
2015-08-05,46.114898681640625
2015-08-06,46.282020568847656
2015-08-07,46.54819869995117
2015-08-10,46.597721099853516
2015-08-11,47.27243423461914
2015-08-12,47.56953430175781
2015-08-13,47.538578033447266
2015-08-14,47.74905014038086
2015-08-17,47.99045944213867
2015-08-18,48.10187530517578
2015-08-19,47.33431625366211
2015-08-20,47.01863098144531
2015-08-21,46.04681396484375
2015-08-24,43.65131378173828
2015-08-25,42.67949676513672
2015-08-26,44.12794494628906
2015-08-27,45.260704040527344
2015-08-28,45.1492805480957
2015-08-31,44.10319137573242
2015-09-01,43.0075569152832
2015-09-02,43.42847442626953
2015-09-03,43.601802825927734
2015-09-04,42.80950164794922
2015-09-08,43.4718132019043
2015-09-09,42.920902252197266
2015-09-10,43.032318115234375
2015-09-11,43.88653564453125
2015-09-14,43.6884651184082
2015-09-15,44.45600128173828
2015-09-16,44.79026794433594
2015-09-17,45.291141510009766
2015-09-18,44.979270935058594
2015-09-21,45.621726989746094
2015-09-22,45.23500061035156
2015-09-23,45.447086334228516
2015-09-24,45.07905197143555
2015-09-25,45.45332336425781
2015-09-28,44.49272918701172
2015-09-29,45.877479553222656
2015-09-30,46.856781005859375
2015-10-01,46.95033645629883
2015-10-02,47.455562591552734
2015-10-05,47.667659759521484
2015-10-06,47.1998405456543
2015-10-07,47.85478591918945
2015-10-08,48.24775695800781
