,CTSH
2019-03-12,65.9592056274414
2019-03-13,65.4354248046875
2019-03-14,65.17813873291016
2019-03-15,66.28083038330078
2019-03-18,66.05110931396484
2019-03-19,66.17973327636719
2019-03-20,65.89488983154297
2019-03-21,66.34514617919922
2019-03-22,65.141357421875
2019-03-25,65.01272583007812
2019-03-26,65.32516479492188
2019-03-27,65.27002716064453
2019-03-28,65.77540588378906
2019-03-29,66.57486724853516
2019-04-01,67.86134338378906
2019-04-02,67.60404968261719
2019-04-03,68.16458892822266
2019-04-04,67.80621337890625
2019-04-05,68.18295288085938
2019-04-08,68.37593078613281
2019-04-09,68.33916473388672
2019-04-10,68.55052185058594
2019-04-11,68.17378234863281
2019-04-12,68.26566314697266
2019-04-15,68.29322052001953
2019-04-16,66.06947326660156
2019-04-17,66.29920959472656
2019-04-18,65.55487060546875
2019-04-22,65.68354034423828
2019-04-23,66.94243621826172
2019-04-24,66.77702331542969
2019-04-25,67.01593780517578
2019-04-26,67.42025756835938
2019-04-29,66.5289306640625
2019-04-30,67.04349517822266
2019-05-01,66.32677459716797
2019-05-02,61.20845031738281
2019-05-03,54.44528579711914
2019-05-06,54.766902923583984
2019-05-07,53.76530075073242
2019-05-08,54.19718551635742
2019-05-09,54.307456970214844
2019-05-10,54.33501434326172
2019-05-13,52.267486572265625
2019-05-14,53.066925048828125
2019-05-15,53.847991943359375
2019-05-16,53.88475036621094
2019-05-17,54.6198844909668
2019-05-20,55.12528610229492
2019-05-21,56.240875244140625
2019-05-22,56.701873779296875
2019-05-23,56.314640045166016
2019-05-24,57.042999267578125
2019-05-28,57.22739028930664
2019-05-29,57.05221939086914
2019-05-30,57.49477005004883
2019-05-31,57.098323822021484
2019-06-03,55.81675720214844
2019-06-04,56.333072662353516
2019-06-05,57.32880783081055
2019-06-06,57.070655822753906
2019-06-07,57.88200378417969
2019-06-10,58.11249923706055
2019-06-11,58.42597579956055
2019-06-12,57.30116653442383
2019-06-13,57.4763298034668
2019-06-14,56.830936431884766
2019-06-17,57.679168701171875
