,EIX
2021-02-02,50.238685607910156
2021-02-03,50.034912109375
2021-02-04,50.00094223022461
2021-02-05,49.79717254638672
2021-02-08,49.01604461669922
2021-02-09,49.05848693847656
2021-02-10,49.69528579711914
2021-02-11,49.533966064453125
2021-02-12,49.16886901855469
2021-02-16,48.37924575805664
2021-02-17,47.96320724487305
2021-02-18,47.28396224975586
2021-02-19,46.88490295410156
2021-02-22,46.99528884887695
2021-02-23,47.47924041748047
2021-02-24,47.946231842041016
2021-02-25,47.25849914550781
2021-02-26,45.8405647277832
2021-03-01,46.621707916259766
2021-03-02,46.613216400146484
2021-03-03,47.37736129760742
2021-03-04,48.4132080078125
2021-03-05,48.99057388305664
2021-03-08,48.727359771728516
2021-03-09,48.78678894042969
2021-03-10,49.43207931518555
2021-03-11,48.829246520996094
2021-03-12,49.43207931518555
2021-03-15,50.57830810546875
2021-03-16,50.56980895996094
2021-03-17,50.55283737182617
2021-03-18,49.72075653076172
2021-03-19,50.49340057373047
2021-03-22,50.24717330932617
2021-03-23,50.13679122924805
2021-03-24,50.88396453857422
2021-03-25,51.21509552001953
2021-03-26,51.520755767822266
2021-03-29,51.29999923706055
2021-03-30,51.02786636352539
2021-03-31,50.30674362182617
2021-04-01,50.04062271118164
2021-04-05,51.34550476074219
2021-04-06,51.69747543334961
2021-04-07,51.474273681640625
2021-04-08,51.79191589355469
2021-04-09,51.25965881347656
2021-04-12,51.37126159667969
2021-04-13,51.82624816894531
2021-04-14,52.410011291503906
2021-04-15,52.74481201171875
2021-04-16,52.676143646240234
2021-04-19,52.4701042175293
2021-04-20,52.81350326538086
2021-04-21,52.495872497558594
2021-04-22,51.062198638916016
2021-04-23,50.81324768066406
2021-04-26,50.538536071777344
2021-04-27,50.22090148925781
2021-04-28,50.135047912597656
2021-04-29,50.52994918823242
2021-04-30,51.03645324707031
2021-05-03,50.97636413574219
2021-05-04,51.17380905151367
2021-05-05,49.9976921081543
2021-05-06,50.57286834716797
2021-05-07,50.289581298828125
2021-05-10,50.641544342041016
2021-05-11,50.33250045776367
2021-05-12,48.77007293701172
2021-05-13,50.06637191772461
2021-05-14,50.12646484375
2021-05-17,49.59421157836914
2021-05-18,49.41393280029297
2021-05-19,49.482608795166016
2021-05-20,49.51694869995117
2021-05-21,49.93759536743164
2021-05-24,50.10929870605469
2021-05-25,47.860084533691406
2021-05-26,48.177730560302734
2021-05-27,47.5767936706543
2021-05-28,47.963096618652344
2021-06-01,47.74848556518555
2021-06-02,48.1519660949707
2021-06-03,48.272159576416016
2021-06-04,48.47819519042969
2021-06-07,48.25498580932617
2021-06-08,48.752899169921875
2021-06-09,48.8387565612793
2021-06-10,49.35383605957031
2021-06-11,49.765907287597656
2021-06-14,50.375423431396484
2021-06-15,50.298160552978516
2021-06-16,49.602787017822266
2021-06-17,48.916011810302734
2021-06-18,47.714149475097656
2021-06-21,48.160552978515625
2021-06-22,47.78282928466797
2021-06-23,47.22481155395508
