,WRB
2017-11-29,17.426706314086914
2017-11-30,17.584436416625977
2017-12-01,17.686206817626953
2017-12-04,17.744712829589844
2017-12-05,17.676025390625
2017-12-06,17.73453712463379
2017-12-07,17.775245666503906
2017-12-08,17.910076141357422
2017-12-11,17.932971954345703
2017-12-12,18.067806243896484
2017-12-13,17.935518264770508
2017-12-14,17.871917724609375
2017-12-15,18.123779296875
2017-12-18,17.94823455810547
2017-12-19,17.833751678466797
2017-12-20,17.999120712280273
2017-12-21,17.991483688354492
2017-12-22,18.037273406982422
2017-12-26,18.037273406982422
2017-12-27,18.077991485595703
2017-12-28,18.258615493774414
2017-12-29,18.228084564208984
2018-01-02,17.818490982055664
2018-01-03,17.670936584472656
2018-01-04,17.742168426513672
2018-01-05,17.66839599609375
2018-01-08,17.579347610473633
2018-01-09,17.500484466552734
2018-01-10,17.286787033081055
2018-01-11,17.454692840576172
2018-01-12,17.665851593017578
2018-01-16,17.660762786865234
2018-01-17,17.8362979888916
2018-01-18,17.81340217590332
2018-01-19,17.994028091430664
2018-01-22,18.22553825378418
2018-01-23,18.32730484008789
2018-01-24,18.263694763183594
2018-01-25,18.39853286743164
2018-01-26,18.34002113342285
2018-01-29,18.235713958740234
2018-01-30,18.210275650024414
2018-01-31,18.56644630432129
2018-02-01,18.680923461914062
2018-02-02,18.6503963470459
2018-02-05,18.08816146850586
2018-02-06,18.01437759399414
2018-02-07,17.841384887695312
2018-02-08,17.238449096679688
2018-02-09,17.304594039916992
2018-02-12,17.304594039916992
2018-02-13,17.35547637939453
2018-02-14,17.66330337524414
2018-02-15,17.742168426513672
2018-02-16,17.765066146850586
2018-02-20,17.48522186279297
2018-02-21,17.589529037475586
2018-02-22,17.495391845703125
2018-02-23,17.564083099365234
2018-02-26,17.82866668701172
2018-02-27,17.681108474731445
2018-02-28,17.396177291870117
2018-03-01,17.27406883239746
2018-03-02,17.35547637939453
2018-03-05,17.854108810424805
2018-03-06,17.94060707092285
2018-03-07,17.968584060668945
2018-03-08,17.935518264770508
2018-03-09,18.314573287963867
2018-03-12,18.474857330322266
2018-03-13,18.37289047241211
2018-03-14,18.181724548339844
2018-03-15,18.146034240722656
2018-03-16,18.18427276611328
2018-03-19,18.24544906616211
2018-03-20,18.3677978515625
2018-03-21,18.209758758544922
2018-03-22,18.148588180541992
2018-03-23,17.89879035949707
2018-03-26,18.283679962158203
2018-03-27,18.153682708740234
2018-03-28,18.50798225402832
2018-03-29,18.53093910217285
2018-04-02,18.232704162597656
2018-04-03,18.528383255004883
2018-04-04,18.671127319335938
2018-04-05,18.691511154174805
2018-04-06,18.403478622436523
2018-04-09,18.421323776245117
2018-04-10,18.5181884765625
2018-04-11,18.54877281188965
2018-04-12,18.666027069091797
2018-04-13,18.625240325927734
2018-04-16,18.948965072631836
2018-04-17,18.938762664794922
2018-04-18,18.88778305053711
2018-04-19,18.903079986572266
2018-04-20,19.05091667175293
2018-04-23,19.038171768188477
2018-04-24,18.94386100769043
2018-04-25,19.40522575378418
2018-04-26,19.265031814575195
2018-04-27,19.32620620727539
