,BWA
2015-05-29,45.81196975708008
2015-06-01,46.35270690917969
2015-06-02,46.60405349731445
2015-06-03,46.931549072265625
2015-06-04,46.101375579833984
2015-06-05,45.7433967590332
2015-06-08,45.61393356323242
2015-06-09,45.69009017944336
2015-06-10,46.42886734008789
2015-06-11,46.3070182800293
2015-06-12,46.07853317260742
2015-06-15,45.73579406738281
2015-06-16,45.84242630004883
2015-06-17,46.07853317260742
2015-06-18,46.39079284667969
2015-06-19,45.979515075683594
2015-06-22,46.29177474975586
2015-06-23,46.01759719848633
2015-06-24,45.49208068847656
2015-06-25,45.27119827270508
2015-06-26,45.30928039550781
2015-06-29,43.763160705566406
2015-06-30,43.29096984863281
2015-07-01,43.73271179199219
2015-07-02,43.90788269042969
2015-07-06,43.260501861572266
2015-07-07,43.1234130859375
2015-07-08,40.7166633605957
2015-07-09,40.579559326171875
2015-07-10,40.84613800048828
2015-07-13,41.729618072509766
2015-07-14,41.546836853027344
2015-07-15,40.99845886230469
2015-07-16,39.452362060546875
2015-07-17,39.77225112915039
2015-07-20,39.63514709472656
2015-07-21,39.83317565917969
2015-07-22,39.261940002441406
2015-07-23,39.38381576538086
2015-07-24,38.736427307128906
2015-07-27,38.370845794677734
2015-07-28,39.147705078125
2015-07-29,39.93217849731445
2015-07-30,37.967166900634766
2015-07-31,37.86056137084961
2015-08-03,37.3045654296875
2015-08-04,36.89329147338867
2015-08-05,36.3753662109375
2015-08-06,36.314449310302734
2015-08-07,36.451541900634766
2015-08-10,36.855201721191406
2015-08-11,35.49189758300781
2015-08-12,35.628990173339844
2015-08-13,35.324317932128906
2015-08-14,35.316715240478516
2015-08-17,35.636592864990234
2015-08-18,35.91078567504883
2015-08-19,35.40810775756836
2015-08-20,34.50177764892578
2015-08-21,33.67920684814453
2015-08-24,33.03182601928711
2015-08-25,32.85666275024414
2015-08-26,33.557342529296875
2015-08-27,33.67920684814453
2015-08-28,33.8472785949707
2015-08-31,33.335472106933594
2015-09-01,32.44173812866211
2015-09-02,32.78547668457031
2015-09-03,32.81603240966797
2015-09-04,32.51049041748047
2015-09-08,33.557003021240234
2015-09-09,33.595191955566406
2015-09-10,33.41184997558594
2015-09-11,32.9764518737793
2015-09-14,32.92298126220703
2015-09-15,33.22853469848633
2015-09-16,34.09170150756836
2015-09-17,33.91602325439453
2015-09-18,32.808387756347656
2015-09-21,32.548683166503906
2015-09-22,30.073728561401367
2015-09-23,29.775814056396484
2015-09-24,29.707063674926758
