,PHM
2016-08-10,19.125520706176758
2016-08-11,19.278745651245117
2016-08-12,19.062427520751953
2016-08-15,19.305782318115234
2016-08-16,19.251708984375
2016-08-17,18.990324020385742
2016-08-18,19.05341148376465
2016-08-19,19.098487854003906
2016-08-22,19.215654373168945
2016-08-23,19.76544761657715
2016-08-24,19.44097328186035
2016-08-25,19.44097328186035
2016-08-26,19.098487854003906
2016-08-29,19.089473724365234
2016-08-30,19.251708984375
2016-08-31,19.260713577270508
2016-09-01,19.017366409301758
2016-09-02,18.819074630737305
2016-09-06,18.78302574157715
2016-09-07,18.99933433532715
2016-09-08,18.819074630737305
2016-09-09,18.061992645263672
2016-09-12,18.215213775634766
2016-09-13,17.87271499633789
2016-09-14,17.91778564453125
2016-09-15,18.016925811767578
2016-09-16,17.718154907226562
2016-09-19,17.989765167236328
2016-09-20,17.464651107788086
2016-09-21,17.57329559326172
2016-09-22,17.980712890625
2016-09-23,17.935440063476562
2016-09-26,17.899227142333984
2016-09-27,18.00787353515625
2016-09-28,18.234214782714844
2016-09-29,17.935440063476562
2016-09-30,18.1436767578125
2016-10-03,18.1436767578125
2016-10-04,18.188945770263672
2016-10-05,18.514875411987305
2016-10-06,18.415292739868164
2016-10-07,18.053142547607422
2016-10-10,18.04408836364746
2016-10-11,17.8177433013916
2016-10-12,17.881122589111328
2016-10-13,17.564237594604492
2016-10-14,17.591402053833008
2016-10-17,17.564237594604492
2016-10-18,17.935440063476562
2016-10-19,17.998821258544922
2016-10-20,17.383167266845703
2016-10-21,17.25641441345215
2016-10-24,17.28357696533203
2016-10-25,16.812780380249023
2016-10-26,16.821836471557617
2016-10-27,16.468740463256836
2016-10-28,16.75845718383789
2016-10-31,16.839942932128906
2016-11-01,16.86709976196289
2016-11-02,16.577377319335938
2016-11-03,16.305770874023438
2016-11-04,16.514005661010742
2016-11-07,16.839942932128906
2016-11-08,16.577377319335938
2016-11-09,16.332929611206055
2016-11-10,16.92142677307129
2016-11-11,16.586437225341797
2016-11-14,16.87615394592285
2016-11-15,16.89426612854004
2016-11-16,16.695083618164062
2016-11-17,17.14776611328125
2016-11-18,17.057228088378906
2016-11-21,17.120609283447266
2016-11-22,17.039119720458984
2016-11-23,17.193038940429688
2016-11-25,17.446542739868164
2016-11-28,17.292627334594727
2016-11-29,17.464651107788086
2016-11-30,17.07533836364746
2016-12-01,16.649812698364258
2016-12-02,16.577377319335938
2016-12-05,16.55022430419922
2016-12-06,16.912368774414062
2016-12-07,17.482755661010742
2016-12-08,17.971654891967773
2016-12-09,17.745309829711914
2016-12-12,17.953550338745117
2016-12-13,17.83585548400879
2016-12-14,17.28357696533203
2016-12-15,16.9576358795166
2016-12-16,17.130491256713867
2016-12-19,17.20327377319336
2016-12-20,17.36702537536621
2016-12-21,17.421606063842773
2016-12-22,16.875768661499023
2016-12-23,16.72110366821289
2016-12-27,16.93944549560547
2016-12-28,16.784786224365234
2016-12-29,16.830272674560547
2016-12-30,16.72110366821289
2017-01-03,16.875768661499023
2017-01-04,17.27604866027832
2017-01-05,17.22146224975586
2017-01-06,16.793886184692383
2017-01-09,16.857566833496094
2017-01-10,17.00313377380371
2017-01-11,17.139591217041016
2017-01-12,17.294240951538086
2017-01-13,17.45800018310547
2017-01-17,17.430702209472656
2017-01-18,17.47618865966797
2017-01-19,17.23056411743164
2017-01-20,17.39432144165039
2017-01-23,17.47618865966797
2017-01-24,18.50420379638672
2017-01-25,18.595184326171875
2017-01-26,19.26839828491211
2017-01-27,19.34117317199707
2017-01-30,19.459440231323242
2017-01-31,19.568603515625
2017-02-01,19.295679092407227
2017-02-02,19.34117317199707
2017-02-03,19.459440231323242
2017-02-06,19.36846351623535
2017-02-07,19.332075119018555
2017-02-08,19.35026741027832
2017-02-09,19.46853256225586
2017-02-10,19.668682098388672
2017-02-13,19.57771110534668
2017-02-14,19.5504150390625
2017-02-15,19.677780151367188
2017-02-16,19.4139461517334
2017-02-17,19.46853256225586
2017-02-21,19.65958023071289
2017-02-22,19.750551223754883
2017-02-23,19.650487899780273
2017-02-24,19.76874542236328
2017-02-27,20.105358123779297
2017-02-28,20.059865951538086
2017-03-01,20.460161209106445
2017-03-02,20.396474838256836
2017-03-03,20.45106315612793
2017-03-06,20.4328670501709
2017-03-07,20.73307991027832
2017-03-08,21.153221130371094
2017-03-09,21.116689682006836
2017-03-10,21.491165161132812
2017-03-13,21.363296508789062
2017-03-14,21.171489715576172
2017-03-15,21.39982795715332
2017-03-16,21.746898651123047
2017-03-17,21.66469955444336
2017-03-20,21.682964324951172
2017-03-21,21.372426986694336
2017-03-22,21.345027923583984
2017-03-23,21.39069366455078
2017-03-24,21.454627990722656
2017-03-27,21.436359405517578
2017-03-28,21.673831939697266
2017-03-29,21.692096710205078
2017-03-30,21.765169143676758
2017-03-31,21.509429931640625
2017-04-03,21.44549560546875
2017-04-04,21.345027923583984
2017-04-05,21.27195930480957
2017-04-06,21.33589744567871
2017-04-07,21.262828826904297
2017-04-10,21.427228927612305
2017-04-11,21.70123291015625
2017-04-12,21.71036720275879
2017-04-13,21.655559539794922
2017-04-17,22.020902633666992
2017-04-18,22.10310935974121
2017-04-19,22.093976974487305
2017-04-20,21.3176212310791
2017-04-21,21.29935646057129
2017-04-24,21.080156326293945
2017-04-25,20.276411056518555
2017-04-26,20.733078002929688
2017-04-27,20.888351440429688
2017-04-28,20.705678939819336
2017-05-01,20.53214454650879
2017-05-02,20.386009216308594
2017-05-03,20.258140563964844
2017-05-04,20.23073959350586
2017-05-05,20.404273986816406
2017-05-08,20.322067260742188
2017-05-09,20.74221420288086
2017-05-10,20.906612396240234
2017-05-11,21.025352478027344
2017-05-12,20.77874755859375
2017-05-15,20.952285766601562
2017-05-16,21.071020126342773
2017-05-17,20.586944580078125
2017-05-18,20.77874755859375
2017-05-19,21.12582015991211
2017-05-22,21.27195930480957
2017-05-23,20.934017181396484
2017-05-24,21.080156326293945
2017-05-25,20.906612396240234
2017-05-26,20.860942840576172
2017-05-30,20.705678939819336
2017-05-31,20.705678939819336
2017-06-01,21.080156326293945
2017-06-02,21.655559539794922
2017-06-05,21.372426986694336
2017-06-06,21.491626739501953
2017-06-07,21.629159927368164
2017-06-08,21.47328758239746
2017-06-09,21.491626739501953
2017-06-12,21.51912498474121
2017-06-13,22.115100860595703
2017-06-14,22.261802673339844
2017-06-15,22.07842254638672
2017-06-16,22.01424217224121
2017-06-19,22.15177345275879
2017-06-20,22.21595573425293
2017-06-21,22.261802673339844
2017-06-22,22.041748046875
2017-06-23,22.14260482788086
2017-06-26,22.179279327392578
2017-06-27,22.069255828857422
2017-06-28,22.454345703125
2017-06-29,22.06008529663086
2017-06-30,22.491016387939453
2017-07-03,22.454345703125
2017-07-05,22.591875076293945
2017-07-06,22.38099479675293
2017-07-07,22.866941452026367
2017-07-10,22.98613166809082
2017-07-11,22.619382858276367
2017-07-12,22.362661361694336
2017-07-13,22.344314575195312
2017-07-14,22.335147857666016
2017-07-17,22.335147857666016
2017-07-18,22.15177345275879
2017-07-19,22.426834106445312
2017-07-20,22.27096939086914
2017-07-21,22.289304733276367
2017-07-24,22.390161514282227
2017-07-25,22.500185012817383
2017-07-26,22.27096939086914
2017-07-27,22.335147857666016
2017-07-28,22.325979232788086
2017-07-31,22.390161514282227
2017-08-01,22.821096420288086
2017-08-02,23.105327606201172
2017-08-03,23.187850952148438
2017-08-04,23.472074508666992
2017-08-07,23.343713760375977
2017-08-08,23.2061767578125
2017-08-09,23.2061767578125
2017-08-10,22.720239639282227
2017-08-11,22.77525520324707
2017-08-14,23.2795352935791
2017-08-15,23.407899856567383
2017-08-16,23.765478134155273
2017-08-17,23.325374603271484
2017-08-18,23.178680419921875
2017-08-21,23.2887020111084
2017-08-22,23.169509887695312
2017-08-23,22.866941452026367
2017-08-24,22.83942985534668
2017-08-25,23.2061767578125
2017-08-28,23.197017669677734
2017-08-29,23.2061767578125
2017-08-30,23.389558792114258
2017-08-31,23.67378807067871
2017-09-01,23.719636917114258
2017-09-05,23.517921447753906
2017-09-06,23.49958610534668
2017-09-07,23.307037353515625
2017-09-08,23.6187744140625
2017-09-11,23.994699478149414
2017-09-12,24.26976203918457
2017-09-13,24.013038635253906
2017-09-14,24.178075790405273
2017-09-15,24.104724884033203
2017-09-18,24.224328994750977
2017-09-19,24.132320404052734
2017-09-20,23.607908248901367
2017-09-21,23.598711013793945
2017-09-22,23.810314178466797
2017-09-25,24.07712173461914
2017-09-26,24.224328994750977
2017-09-27,24.40833282470703
2017-09-28,24.81314468383789
2017-09-29,25.14435386657715
2017-10-02,25.181154251098633
2017-10-03,25.30995750427246
2017-10-04,25.420360565185547
2017-10-05,25.024747848510742
2017-10-06,25.05234718322754
2017-10-09,24.97875213623047
2017-10-10,24.70273780822754
2017-10-11,24.81314468383789
2017-10-12,24.923547744750977
2017-10-13,24.905149459838867
2017-10-16,24.94194984436035
2017-10-17,25.13515281677246
2017-10-18,25.14435386657715
2017-10-19,25.558366775512695
2017-10-20,25.760772705078125
2017-10-23,25.66877555847168
2017-10-24,26.38639259338379
2017-10-25,26.89240264892578
2017-10-26,27.380016326904297
2017-10-27,27.665233612060547
2017-10-30,27.40762710571289
2017-10-31,27.812437057495117
2017-11-01,27.978036880493164
2017-11-02,27.68362808227539
2017-11-03,27.886037826538086
2017-11-06,28.060836791992188
2017-11-07,28.005640029907227
2017-11-08,28.438053131103516
2017-11-09,28.585256576538086
2017-11-10,28.658855438232422
2017-11-13,29.045272827148438
2017-11-14,29.229276657104492
2017-11-15,29.19247055053711
2017-11-16,29.3488826751709
2017-11-17,29.670886993408203
2017-11-20,29.854894638061523
2017-11-21,30.11250114440918
2017-11-22,30.21370506286621
2017-11-24,30.49891471862793
2017-11-27,30.167705535888672
2017-11-28,30.58171844482422
2017-11-29,31.106121063232422
2017-11-30,31.40053939819336
2017-12-01,31.225738525390625
2017-12-04,31.685752868652344
2017-12-05,30.811721801757812
2017-12-06,30.45290756225586
2017-12-07,30.903732299804688
2017-12-08,31.372947692871094
2017-12-11,31.188444137573242
2017-12-12,31.07775115966797
2017-12-13,30.736440658569336
2017-12-14,30.487377166748047
2017-12-15,30.83791732788086
2017-12-18,31.216135025024414
2017-12-19,30.782562255859375
2017-12-20,30.93938636779785
2017-12-21,31.15155029296875
2017-12-22,30.782562255859375
2017-12-26,30.957836151123047
2017-12-27,30.92093276977539
2017-12-28,31.105430603027344
2017-12-29,30.67186737060547
2018-01-02,30.782562255859375
2018-01-03,31.612773895263672
2018-01-04,31.206893920898438
2018-01-05,31.86185073852539
2018-01-08,31.769603729248047
2018-01-09,31.963314056396484
2018-01-10,31.059310913085938
2018-01-11,31.843395233154297
2018-01-12,31.806493759155273
2018-01-16,31.1423282623291
2018-01-17,31.73270606994629
2018-01-18,31.50208854675293
2018-01-19,31.917192459106445
2018-01-22,32.42455291748047
2018-01-23,32.22160339355469
2018-01-24,32.11091232299805
2018-01-25,31.60355567932129
2018-01-26,31.843395233154297
2018-01-29,30.83791732788086
2018-01-30,30.182968139648438
2018-01-31,29.361976623535156
2018-02-01,29.020660400390625
2018-02-02,28.3195858001709
