,SPGI
2015-04-01,95.17507934570312
2015-04-02,94.76683044433594
2015-04-06,94.81221771240234
2015-04-07,94.14994812011719
2015-04-08,94.75776672363281
2015-04-09,95.4835433959961
2015-04-10,95.35652923583984
2015-04-13,95.6196060180664
2015-04-14,94.18621826171875
2015-04-15,94.00480651855469
2015-04-16,93.54210662841797
2015-04-17,93.31531524658203
2015-04-20,93.97757720947266
2015-04-21,93.95034790039062
2015-04-22,94.57632446289062
2015-04-23,95.49260711669922
2015-04-24,96.3725814819336
2015-04-27,95.51983642578125
2015-04-28,95.86456298828125
2015-04-29,95.85550689697266
2015-04-30,94.6217041015625
2015-05-01,94.54913330078125
2015-05-04,95.91900634765625
2015-05-05,95.1932373046875
2015-05-06,94.33135986328125
2015-05-07,95.20230865478516
2015-05-08,96.73548126220703
2015-05-11,97.58826446533203
2015-05-12,96.23651123046875
2015-05-13,95.2295150756836
2015-05-14,95.9825210571289
2015-05-15,95.89176940917969
2015-05-18,97.27071380615234
2015-05-19,97.47034454345703
2015-05-20,96.79898834228516
2015-05-21,96.9532241821289
2015-05-22,96.32530212402344
2015-05-26,95.3151626586914
2015-05-27,95.99767303466797
2015-05-28,95.8612060546875
2015-05-29,94.41426086425781
2015-06-01,94.41426086425781
2015-06-02,94.35057067871094
2015-06-03,94.26866149902344
2015-06-04,92.90364074707031
2015-06-05,92.85813903808594
2015-06-08,92.2939453125
2015-06-09,92.7398452758789
2015-06-10,94.11396789550781
2015-06-11,95.04219055175781
2015-06-12,94.36876678466797
2015-06-15,94.21406555175781
2015-06-16,94.59627532958984
2015-06-17,94.67816925048828
2015-06-18,95.91576385498047
2015-06-19,95.3151626586914
2015-06-22,96.32530212402344
2015-06-23,95.67009735107422
2015-06-24,94.59627532958984
2015-06-25,94.02296447753906
2015-06-26,94.27777862548828
2015-06-29,91.55681610107422
2015-06-30,91.41120910644531
2015-07-01,92.32123565673828
2015-07-02,92.8945541381836
2015-07-06,92.46681213378906
2015-07-07,92.13014221191406
2015-07-08,91.24739837646484
2015-07-09,91.81161499023438
2015-07-10,93.87735748291016
