,IBM
2015-08-18,99.91622161865234
2015-08-19,98.59051513671875
2015-08-20,97.7707290649414
2015-08-21,95.33060455322266
2015-08-24,91.88502502441406
2015-08-25,90.27748107910156
2015-08-26,93.95368194580078
2015-08-27,95.13207244873047
2015-08-28,94.77345275878906
2015-08-31,94.71578979492188
2015-09-01,91.37907409667969
2015-09-02,92.89694213867188
2015-09-03,94.00487518310547
2015-09-04,92.03231811523438
2015-09-08,94.29307556152344
2015-09-09,92.89694213867188
2015-09-10,93.63345336914062
2015-09-11,94.38278198242188
2015-09-14,93.28121948242188
2015-09-15,94.48524475097656
2015-09-16,95.04882049560547
2015-09-17,94.87593078613281
2015-09-18,92.55107116699219
2015-09-21,93.81277465820312
2015-09-22,92.49983215332031
2015-09-23,92.00672912597656
2015-09-24,92.487060546875
2015-09-25,93.1338882446289
2015-09-28,91.27662658691406
2015-09-29,91.24456787109375
2015-09-30,92.845703125
2015-10-01,91.96186065673828
2015-10-02,92.5959243774414
2015-10-05,95.4522933959961
2015-10-06,95.2857894897461
2015-10-07,96.12480163574219
2015-10-08,97.5273666381836
2015-10-09,97.59782409667969
2015-10-12,96.79725646972656
2015-10-13,95.82376861572266
2015-10-14,96.07354736328125
2015-10-15,96.12480163574219
2015-10-16,96.3169174194336
2015-10-19,95.56758880615234
2015-10-20,90.07255554199219
2015-10-21,90.25186157226562
2015-10-22,92.28209686279297
2015-10-23,92.65996551513672
2015-10-26,92.00672912597656
2015-10-27,88.29209899902344
2015-10-28,90.19422149658203
2015-10-29,90.0149154663086
2015-10-30,89.71390533447266
2015-11-02,89.89962005615234
2015-11-03,90.86671447753906
2015-11-04,90.70659637451172
2015-11-05,89.59223937988281
2015-11-06,89.3724136352539
2015-11-09,87.47185516357422
2015-11-10,87.57525634765625
2015-11-11,87.28437042236328
2015-11-12,86.00438690185547
2015-11-13,85.17047119140625
2015-11-16,86.43750762939453
2015-11-17,86.50862121582031
2015-11-18,87.80150604248047
2015-11-19,88.39627075195312
2015-11-20,89.53402709960938
2015-11-23,89.50817108154297
2015-11-24,89.59868621826172
2015-11-25,89.21082305908203
2015-11-27,89.50817108154297
2015-11-30,90.12879180908203
2015-12-01,91.33116912841797
2015-12-02,90.30976867675781
2015-12-03,89.80553436279297
2015-12-04,90.78167724609375
2015-12-07,90.21279907226562
2015-12-08,89.2431411743164
2015-12-09,88.3122329711914
2015-12-10,88.422119140625
2015-12-11,86.99347686767578
2015-12-14,87.8726577758789
2015-12-15,89.0750503540039
2015-12-16,90.04473114013672
2015-12-17,88.40276336669922
2015-12-18,87.20677947998047
2015-12-21,87.59467315673828
2015-12-22,89.16555786132812
2015-12-23,89.55988311767578
2015-12-24,89.3724136352539
2015-12-28,88.95870208740234
2015-12-29,90.36149597167969
2015-12-30,90.07707214355469
2015-12-31,88.96516418457031
2016-01-04,87.88558197021484
2016-01-05,87.82093811035156
2016-01-06,87.38134002685547
2016-01-07,85.88802337646484
2016-01-08,85.09290313720703
2016-01-11,86.12720489501953
2016-01-12,85.91390228271484
2016-01-13,84.79552459716797
2016-01-14,85.92036437988281
2016-01-15,84.05855560302734
2016-01-19,82.81736755371094
2016-01-20,78.77703094482422
2016-01-21,79.4557876586914
2016-01-22,79.19075775146484
2016-01-25,78.91924285888672
2016-01-26,79.24893951416016
2016-01-27,78.19522857666016
2016-01-28,79.00975036621094
2016-01-29,80.67113494873047
2016-02-01,80.69701385498047
2016-02-02,79.4751968383789
2016-02-03,80.62589263916016
2016-02-04,82.52000427246094
2016-02-05,83.11473846435547
2016-02-08,82.92534637451172
2016-02-09,81.02494049072266
2016-02-10,78.49108123779297
2016-02-11,76.9629135131836
2016-02-12,79.04619598388672
2016-02-16,80.15637969970703
2016-02-17,82.35066223144531
2016-02-18,86.49757385253906
2016-02-19,86.90901947021484
2016-02-22,87.359619140625
2016-02-23,86.4649429321289
2016-02-24,86.72614288330078
2016-02-25,87.83634185791016
2016-02-26,86.22328186035156
2016-02-29,85.57023620605469
2016-03-01,87.75144958496094
2016-03-02,89.01184844970703
2016-03-03,89.99144744873047
2016-03-04,89.99144744873047
2016-03-07,91.5261459350586
2016-03-08,90.82080841064453
2016-03-09,91.69593048095703
2016-03-10,91.55224609375
2016-03-11,92.96939849853516
2016-03-14,93.24368286132812
2016-03-15,93.3612289428711
2016-03-16,94.55632781982422
2016-03-17,96.02569580078125
2016-03-18,96.05835723876953
2016-03-21,97.06404113769531
2016-03-22,96.71794891357422
2016-03-23,94.95467376708984
2016-03-24,96.61998748779297
2016-03-28,96.9138412475586
2016-03-29,97.52123260498047
2016-03-30,96.9203872680664
2016-03-31,98.90570831298828
2016-04-01,99.6044692993164
2016-04-04,99.31059265136719
2016-04-05,97.95877838134766
2016-04-06,97.9718246459961
2016-04-07,96.81593322753906
2016-04-08,97.53428649902344
2016-04-11,97.46894073486328
2016-04-12,97.71713256835938
2016-04-13,98.76201629638672
2016-04-14,98.71629333496094
2016-04-15,99.08202362060547
2016-04-18,99.61095428466797
2016-04-19,94.04037475585938
2016-04-20,95.4183578491211
2016-04-21,97.5016098022461
2016-04-22,96.97916412353516
2016-04-25,97.1816177368164
2016-04-26,97.35797119140625
2016-04-27,98.26569366455078
2016-04-28,96.0452880859375
2016-04-29,95.30731201171875
2016-05-02,94.86976623535156
2016-05-03,94.1252670288086
2016-05-04,94.20368957519531
2016-05-05,95.6534652709961
2016-05-06,97.11724853515625
2016-05-09,97.15020751953125
2016-05-10,98.88432312011719
2016-05-11,98.21177673339844
2016-05-12,98.13923645019531
2016-05-13,97.4007568359375
2016-05-16,98.54805755615234
2016-05-17,97.5853500366211
2016-05-18,97.15020751953125
2016-05-19,95.56114196777344
2016-05-20,97.09088134765625
2016-05-23,96.77436065673828
2016-05-24,97.78978729248047
2016-05-25,100.01844024658203
2016-05-26,100.512939453125
2016-05-27,100.77668762207031
2016-05-31,101.37013244628906
2016-06-01,100.55909729003906
2016-06-02,101.21188354492188
2016-06-03,100.80968475341797
2016-06-06,100.7041244506836
2016-06-07,101.09976959228516
2016-06-08,101.54154205322266
2016-06-09,101.15911102294922
2016-06-10,100.46678924560547
2016-06-13,99.74807739257812
2016-06-14,99.60304260253906
2016-06-15,99.35246276855469
2016-06-16,99.60304260253906
2016-06-17,100.2162094116211
2016-06-20,101.284423828125
2016-06-21,101.57451629638672
2016-06-22,100.82943725585938
2016-06-23,102.43167114257812
2016-06-24,96.65571594238281
