,ALB
2021-03-23,141.2755584716797
2021-03-24,141.4298858642578
2021-03-25,143.6483154296875
2021-03-26,145.06619262695312
2021-03-29,141.21771240234375
2021-03-30,140.2338409423828
2021-03-31,140.92835998535156
2021-04-01,145.39414978027344
2021-04-05,144.89259338378906
2021-04-06,147.4678955078125
2021-04-07,138.6038055419922
2021-04-08,140.98623657226562
2021-04-09,142.09542846679688
2021-04-12,142.4716033935547
2021-04-13,143.310791015625
2021-04-14,147.50645446777344
2021-04-15,145.1722869873047
2021-04-16,146.6383819580078
2021-04-19,151.9143829345703
2021-04-20,143.2528839111328
2021-04-21,147.6222381591797
2021-04-22,150.274658203125
2021-04-23,155.51210021972656
2021-04-26,164.52088928222656
2021-04-27,163.72999572753906
2021-04-28,163.3923797607422
2021-04-29,161.67543029785156
2021-04-30,162.2059783935547
2021-05-03,160.10330200195312
2021-05-04,156.36093139648438
2021-05-05,161.22216796875
2021-05-06,147.42929077148438
2021-05-07,156.9492645263672
2021-05-10,153.82420349121094
2021-05-11,154.80801391601562
2021-05-12,149.11724853515625
2021-05-13,152.09767150878906
2021-05-14,158.00064086914062
2021-05-17,152.19410705566406
2021-05-18,153.6988067626953
2021-05-19,151.41282653808594
2021-05-20,152.3870849609375
2021-05-21,153.92063903808594
2021-05-24,153.93031311035156
2021-05-25,152.41598510742188
2021-05-26,156.44773864746094
2021-05-27,162.58216857910156
2021-05-28,161.15469360351562
2021-06-01,165.35037231445312
2021-06-02,164.31832885742188
2021-06-03,162.2059783935547
2021-06-04,167.3855438232422
2021-06-07,164.7234344482422
2021-06-08,169.76795959472656
2021-06-09,168.1861114501953
2021-06-10,162.1925811767578
2021-06-11,164.51266479492188
2021-06-14,162.73394775390625
2021-06-15,160.50086975097656
2021-06-16,159.77584838867188
2021-06-17,158.41281127929688
2021-06-18,152.7092742919922
2021-06-21,156.03472900390625
2021-06-22,156.19906616210938
2021-06-23,158.2194366455078
2021-06-24,160.44285583496094
2021-06-25,161.2162322998047
2021-06-28,163.4202880859375
2021-06-29,161.96054077148438
2021-06-30,162.8499298095703
2021-07-01,166.30108642578125
2021-07-02,164.96702575683594
2021-07-06,162.94662475585938
2021-07-07,164.37733459472656
2021-07-08,162.3182830810547
2021-07-09,169.66517639160156
2021-07-12,181.24620056152344
