,IR
2020-04-13,26.117712020874023
2020-04-14,26.247201919555664
2020-04-15,24.26496696472168
2020-04-16,24.5040283203125
2020-04-17,26.70541000366211
2020-04-20,26.326892852783203
2020-04-21,26.27708625793457
2020-04-22,26.71536636352539
2020-04-23,27.253263473510746
2020-04-24,27.71146583557129
2020-04-27,28.65776634216309
2020-04-28,29.15581512451172
2020-04-29,30.201717376708984
2020-04-30,28.966552734375
2020-05-01,28.0202579498291
2020-05-04,27.26322555541992
2020-05-05,27.482364654541016
2020-05-06,27.1735782623291
2020-05-07,27.57201385498047
2020-05-08,29.05620002746582
2020-05-11,28.97651481628418
2020-05-12,27.35287094116211
2020-05-13,25.818883895874023
2020-05-14,26.60580062866211
2020-05-15,26.31692886352539
2020-05-18,28.588037490844727
2020-05-19,28.368896484375
2020-05-20,28.90678596496582
2020-05-21,29.29526710510254
2020-05-22,28.428661346435547
2020-05-26,30.29136085510254
2020-05-27,29.882963180541992
2020-05-28,28.637840270996097
2020-05-29,28.08998680114746
2020-06-01,28.647802352905273
2020-06-02,28.737449645996097
2020-06-03,30.66988182067871
2020-06-04,30.560314178466797
2020-06-05,33.110328674316406
2020-06-08,34.89333724975586
2020-06-09,32.96091079711914
2020-06-10,32.652122497558594
2020-06-11,30.630041122436523
2020-06-12,31.098203659057617
2020-06-15,30.898984909057617
2020-06-16,31.247617721557617
2020-06-17,29.434722900390625
2020-06-18,29.265380859375
2020-06-19,28.697603225708008
2020-06-22,29.05620002746582
2020-06-23,28.866941452026367
2020-06-24,27.392719268798828
2020-06-25,27.462446212768555
2020-06-26,27.12377166748047
2020-06-29,28.000337600708008
2020-06-30,28.01029586791992
2020-07-01,27.93060874938965
2020-07-02,28.348974227905273
2020-07-06,29.195653915405273
2020-07-07,27.99037742614746
2020-07-08,28.01029586791992
2020-07-09,27.751314163208008
2020-07-10,28.199554443359375
2020-07-13,28.518310546875
2020-07-14,29.614013671875
2020-07-15,30.83921813964844
2020-07-16,30.560314178466797
2020-07-17,30.53042984008789
2020-07-20,31.177892684936523
2020-07-21,31.526525497436523
2020-07-22,31.775548934936523
2020-07-23,31.506603240966797
2020-07-24,31.476722717285156
2020-07-27,31.69586753845215
2020-07-28,31.227699279785156
2020-07-29,32.034542083740234
2020-07-30,31.685901641845703
2020-07-31,31.46676254272461
2020-08-03,32.50270462036133
2020-08-04,32.52262496948242
2020-08-05,32.77165603637695
2020-08-06,32.91110610961914
2020-08-07,33.76774597167969
2020-08-10,34.89333724975586
2020-08-11,35.72010040283203
2020-08-12,35.4710807800293
2020-08-13,34.98298263549805
2020-08-14,35.261898040771484
2020-08-17,34.6741943359375
2020-08-18,34.48493576049805
2020-08-19,34.29568099975586
2020-08-20,34.49489974975586
2020-08-21,34.574581146240234
2020-08-24,35.30173873901367
2020-08-25,35.10251998901367
2020-08-26,35.02284240722656
2020-08-27,35.1523323059082
2020-08-28,35.62049102783203
2020-08-31,34.923221588134766
2020-09-01,36.06874465942383
2020-09-02,35.95916748046875
2020-09-03,35.25193786621094
2020-09-04,35.172245025634766
2020-09-08,34.33552551269531
2020-09-09,35.28181457519531
2020-09-10,34.89333724975586
2020-09-11,35.83963394165039
2020-09-14,36.17831039428711
2020-09-15,36.188270568847656
2020-09-16,36.785926818847656
2020-09-17,37.04491424560547
2020-09-18,35.75994873046875
