,UNH
2015-11-24,98.38221740722656
2015-11-25,99.44258117675781
2015-11-27,99.38174438476562
2015-11-30,97.9649887084961
2015-12-01,101.05057525634766
2015-12-02,102.6916732788086
2015-12-03,100.38712310791016
2015-12-04,102.77896118164062
2015-12-07,101.18146514892578
2015-12-08,101.15528869628906
2015-12-09,100.4307861328125
2015-12-10,101.44337463378906
2015-12-11,101.24260711669922
2015-12-14,101.12910461425781
2015-12-15,102.66549682617188
2015-12-16,103.73046112060547
2015-12-17,104.07091522216797
2015-12-18,101.10295104980469
2015-12-21,102.49091339111328
2015-12-22,102.51708984375
2015-12-23,103.6082534790039
2015-12-24,103.30271911621094
2015-12-28,103.29399871826172
2015-12-29,104.59468078613281
2015-12-30,103.80902862548828
2015-12-31,102.6916732788086
2016-01-04,101.66160583496094
2016-01-05,101.85364532470703
2016-01-06,100.81485748291016
2016-01-07,97.8469009399414
2016-01-08,96.16214752197266
2016-01-11,95.65584564208984
2016-01-12,97.99530792236328
2016-01-13,95.35032653808594
2016-01-14,96.68589782714844
2016-01-15,95.38522338867188
2016-01-19,98.2746353149414
2016-01-20,100.20381927490234
2016-01-21,99.07772827148438
2016-01-22,99.8022689819336
2016-01-25,98.97298431396484
2016-01-26,99.47930145263672
2016-01-27,98.05641174316406
2016-01-28,97.22712707519531
2016-01-29,100.52680206298828
2016-02-01,101.16403198242188
2016-02-02,99.40945434570312
2016-02-03,98.42305755615234
2016-02-04,99.68878936767578
2016-02-05,97.52391815185547
2016-02-08,96.03992462158203
2016-02-09,97.03507232666016
2016-02-10,98.41429901123047
2016-02-11,96.56370544433594
2016-02-12,97.61121368408203
2016-02-16,100.51806640625
2016-02-17,103.267822265625
2016-02-18,102.52581787109375
2016-02-19,102.72660064697266
2016-02-22,105.86039733886719
2016-02-23,105.75565338134766
2016-02-24,104.92635345458984
2016-02-25,105.79930114746094
2016-02-26,105.91278839111328
2016-02-29,103.96614837646484
2016-03-01,106.20958709716797
2016-03-02,105.86039733886719
2016-03-03,106.34052276611328
2016-03-04,106.32307434082031
2016-03-07,106.28813934326172
2016-03-08,106.20086669921875
2016-03-09,106.14826965332031
2016-03-10,107.01604461669922
2016-03-11,109.65438842773438
2016-03-14,109.75958251953125
2016-03-15,109.43527221679688
2016-03-16,109.47909545898438
2016-03-17,109.1547622680664
2016-03-18,111.07437133789062
2016-03-21,111.09191131591797
2016-03-22,112.21387481689453
2016-03-23,113.76531982421875
2016-03-24,112.7135009765625
2016-03-28,113.00275421142578
2016-03-29,113.8004379272461
2016-03-30,113.66891479492188
2016-03-31,112.9852294921875
2016-04-01,113.87928771972656
2016-04-04,113.50238800048828
2016-04-05,111.35488891601562
2016-04-06,112.22265625
2016-04-07,111.20585632324219
2016-04-08,110.16279602050781
2016-04-11,110.73252868652344
2016-04-12,111.14453125
2016-04-13,111.98599243164062
2016-04-14,112.1788330078125
2016-04-15,111.60905456542969
2016-04-18,112.02979278564453
2016-04-19,114.38768005371094
2016-04-20,117.39419555664062
2016-04-21,116.54395294189453
2016-04-22,117.56951141357422
2016-04-25,117.26272583007812
2016-04-26,117.66593170166016
2016-04-27,116.40369415283203
2016-04-28,115.76383972167969
2016-04-29,115.42201232910156
2016-05-02,115.79012298583984
2016-05-03,116.1056900024414
2016-05-04,115.72877502441406
2016-05-05,115.97419738769531
2016-05-06,115.73753356933594
2016-05-09,116.28974151611328
2016-05-10,117.07867431640625
2016-05-11,114.55422973632812
2016-05-12,113.72151947021484
2016-05-13,113.07284545898438
2016-05-16,114.51038360595703
2016-05-17,113.56372833251953
2016-05-18,114.39644622802734
2016-05-19,113.94940948486328
2016-05-20,114.7733383178711
2016-05-23,114.31755828857422
2016-05-24,116.21965026855469
2016-05-25,116.94713592529297
2016-05-26,116.56147766113281
2016-05-27,117.45555877685547
2016-05-31,117.1662826538086
2016-06-01,117.92011260986328
2016-06-02,119.24369049072266
2016-06-03,119.94490051269531
2016-06-06,121.09317016601562
2016-06-07,120.03254699707031
2016-06-08,123.06538391113281
2016-06-09,123.310791015625
2016-06-10,122.04861450195312
2016-06-13,121.04060363769531
2016-06-14,120.84771728515625
2016-06-15,120.8609619140625
2016-06-16,122.09369659423828
2016-06-17,121.23954010009766
2016-06-20,121.9704360961914
2016-06-21,121.6798324584961
2016-06-22,121.4244613647461
2016-06-23,122.56039428710938
2016-06-24,120.88735961914062
2016-06-27,120.72884368896484
2016-06-28,122.1376724243164
2016-06-29,123.73145294189453
2016-06-30,124.33020782470703
2016-07-01,124.0308609008789
2016-07-05,124.6471939086914
2016-07-06,125.36924743652344
2016-07-07,123.9780044555664
2016-07-08,124.39181518554688
2016-07-11,123.55535888671875
2016-07-12,123.15032196044922
2016-07-13,124.5767593383789
2016-07-14,124.01322937011719
2016-07-15,124.44467163085938
2016-07-18,123.93397521972656
2016-07-19,125.5541763305664
2016-07-20,125.93281555175781
2016-07-21,125.80069732666016
2016-07-22,126.52274322509766
2016-07-25,124.79690551757812
2016-07-26,124.7704849243164
2016-07-27,124.75288391113281
2016-07-28,125.70381927490234
2016-07-29,126.09124755859375
2016-08-01,126.36419677734375
2016-08-02,126.06478118896484
2016-08-03,125.80953979492188
2016-08-04,125.65980529785156
2016-08-05,125.90636444091797
2016-08-08,125.14910125732422
2016-08-09,124.87614440917969
2016-08-10,125.20194244384766
2016-08-11,125.58940124511719
2016-08-12,125.80953979492188
2016-08-15,124.70005798339844
2016-08-16,124.22451782226562
2016-08-17,124.77931213378906
2016-08-18,125.184326171875
2016-08-19,125.06987762451172
2016-08-22,125.11388397216797
2016-08-23,125.04344177246094
2016-08-24,123.1590805053711
2016-08-25,120.89619445800781
2016-08-26,120.29740142822266
2016-08-29,120.8697509765625
2016-08-30,120.51756286621094
2016-08-31,119.79548645019531
2016-09-01,119.52254486083984
2016-09-02,120.28857421875
2016-09-06,119.72509765625
2016-09-07,119.41101837158203
2016-09-08,119.80909729003906
2016-09-09,118.19916534423828
2016-09-12,119.88874816894531
2016-09-13,118.49108123779297
2016-09-14,118.26106262207031
2016-09-15,119.95950317382812
2016-09-16,122.48942565917969
2016-09-19,121.79055786132812
2016-09-20,121.6048355102539
2016-09-21,123.76323699951172
2016-09-22,124.76278686523438
2016-09-23,124.29397583007812
2016-09-26,123.5951919555664
2016-09-27,124.54167938232422
2016-09-28,124.2055435180664
2016-09-29,122.35672760009766
2016-09-30,123.84288787841797
2016-10-03,122.50716400146484
2016-10-04,122.21519470214844
2016-10-05,121.71984100341797
2016-10-06,120.72022247314453
2016-10-07,120.88826751708984
2016-10-10,122.14441680908203
2016-10-11,119.19869232177734
2016-10-12,119.50830841064453
2016-10-13,118.70333862304688
2016-10-14,118.46452331542969
2016-10-17,118.65029907226562
2016-10-18,126.84158325195312
2016-10-19,127.70851135253906
2016-10-20,128.32774353027344
