,BA
2016-10-12,122.51754760742188
2016-10-13,122.71996307373047
2016-10-14,122.83036804199219
2016-10-17,123.29039001464844
2016-10-18,124.30249786376953
2016-10-19,125.29618072509766
2016-10-20,124.98335266113281
2016-10-21,124.79014587402344
2016-10-24,126.46466827392578
2016-10-25,127.90919494628906
2016-10-26,133.9080810546875
2016-10-27,131.85633850097656
2016-10-28,131.58030700683594
2016-10-31,131.046630859375
2016-11-01,131.02830505371094
2016-11-02,129.5009307861328
2016-11-03,128.82928466796875
2016-11-04,128.38766479492188
2016-11-07,131.59869384765625
2016-11-08,131.83975219726562
2016-11-09,134.5192108154297
2016-11-10,136.92977905273438
2016-11-11,137.69932556152344
2016-11-14,139.06224060058594
2016-11-15,137.31918334960938
2016-11-16,135.77084350585938
2016-11-17,134.74169921875
2016-11-18,135.6874237060547
2016-11-21,136.30857849121094
2016-11-22,138.62648010253906
2016-11-23,138.8303985595703
2016-11-25,139.1085662841797
2016-11-28,138.8582305908203
2016-11-29,140.59201049804688
2016-11-30,139.5906982421875
2016-12-01,141.28733825683594
2016-12-02,141.1575469970703
2016-12-05,141.0741424560547
2016-12-06,141.1482696533203
2016-12-07,142.90985107421875
2016-12-08,144.06878662109375
2016-12-09,145.0886688232422
2016-12-12,145.70985412597656
2016-12-13,145.24624633789062
2016-12-14,143.21580505371094
2016-12-15,142.56680297851562
2016-12-16,143.2436065673828
2016-12-19,144.8012237548828
2016-12-20,144.99595642089844
2016-12-21,146.00650024414062
2016-12-22,145.98797607421875
2016-12-23,146.3124542236328
2016-12-27,146.00650024414062
2016-12-28,144.72705078125
2016-12-29,144.346923828125
2016-12-30,144.337646484375
2017-01-03,145.53367614746094
2017-01-04,147.06344604492188
2017-01-05,147.14691162109375
2017-01-06,147.50848388671875
2017-01-09,146.78530883789062
2017-01-10,147.4806671142578
2017-01-11,147.78663635253906
2017-01-12,146.7574920654297
2017-01-13,147.25814819335938
2017-01-17,146.18264770507812
2017-01-18,146.78530883789062
2017-01-19,147.41575622558594
2017-01-20,147.90716552734375
2017-01-23,146.34027099609375
2017-01-24,148.8528289794922
2017-01-25,155.1667022705078
2017-01-26,156.7984619140625
2017-01-27,155.48191833496094
2017-01-30,153.50711059570312
2017-01-31,151.5137481689453
2017-02-01,152.02369689941406
2017-02-02,150.43824768066406
2017-02-03,150.56805419921875
2017-02-06,152.03294372558594
2017-02-07,154.3693389892578
2017-02-08,153.18173217773438
2017-02-09,153.62124633789062
2017-02-10,155.4447021484375
2017-02-13,157.12794494628906
2017-02-14,157.5674285888672
2017-02-15,158.3155517578125
2017-02-16,159.72755432128906
2017-02-17,161.5043182373047
2017-02-21,164.16940307617188
2017-02-22,163.98236083984375
2017-02-23,165.3850555419922
2017-02-24,165.92742919921875
2017-02-27,167.7882843017578
2017-02-28,168.53636169433594
2017-03-01,171.97764587402344
2017-03-02,171.11732482910156
2017-03-03,170.35984802246094
2017-03-06,169.19091796875
2017-03-07,170.21026611328125
2017-03-08,169.94842529296875
2017-03-09,168.85433959960938
2017-03-10,167.10565185546875
2017-03-13,167.4329376220703
2017-03-14,167.13369750976562
2017-03-15,167.1150360107422
2017-03-16,166.62875366210938
2017-03-17,168.4148406982422
2017-03-20,167.75088500976562
2017-03-21,164.54344177246094
2017-03-22,165.4972686767578
2017-03-23,165.75909423828125
2017-03-24,164.41250610351562
2017-03-27,164.6743621826172
2017-03-28,165.8525848388672
2017-03-29,166.10508728027344
2017-03-30,166.43240356445312
2017-03-31,165.3850555419922
2017-04-03,165.18865966796875
2017-04-04,167.10565185546875
2017-04-05,165.59078979492188
2017-04-06,165.8619384765625
2017-04-07,167.24595642089844
2017-04-10,166.0396270751953
2017-04-11,166.98410034179688
2017-04-12,164.62759399414062
2017-04-13,164.22549438476562
2017-04-17,167.40489196777344
2017-04-18,166.31080627441406
2017-04-19,166.8251190185547
2017-04-20,167.66671752929688
2017-04-21,168.6766815185547
2017-04-24,170.24765014648438
2017-04-25,171.6035919189453
2017-04-26,169.9203643798828
2017-04-27,171.33241271972656
2017-04-28,172.83795166015625
2017-05-01,170.55624389648438
2017-05-02,171.5381317138672
2017-05-03,171.4913787841797
2017-05-04,171.19210815429688
2017-05-05,173.00624084472656
