,PEG
2020-08-18,46.75737762451172
2020-08-19,46.59446334838867
2020-08-20,46.1743049621582
2020-08-21,45.685546875
2020-08-24,46.21718215942383
2020-08-25,45.959938049316406
2020-08-26,44.97386169433594
2020-08-27,44.836669921875
2020-08-28,44.725181579589844
2020-08-31,44.79378890991211
2020-09-01,43.730533599853516
2020-09-02,45.376869201660156
2020-09-03,44.61372375488281
2020-09-04,45.03388595581055
2020-09-08,45.00791549682617
2020-09-09,46.24563217163086
2020-09-10,45.267574310302734
2020-09-11,45.34546661376953
2020-09-14,45.42337417602539
2020-09-15,44.704978942871094
2020-09-16,45.87344741821289
2020-09-17,45.215641021728516
2020-09-18,44.42801284790039
2020-09-21,44.289512634277344
2020-09-22,45.41472625732422
2020-09-23,44.93867492675781
2020-09-24,46.28025436401367
2020-09-25,46.85151290893555
2020-09-28,47.041927337646484
2020-09-29,47.43142318725586
2020-09-30,47.5266227722168
2020-10-01,47.66511535644531
2020-10-02,48.42678451538086
2020-10-05,48.74702835083008
2020-10-06,48.383514404296875
2020-10-07,49.3615608215332
2020-10-08,50.54734420776367
2020-10-09,49.8203010559082
2020-10-12,49.99340057373047
2020-10-13,50.13188552856445
2020-10-14,50.21845245361328
2020-10-15,50.59062957763672
2020-10-16,51.49943542480469
2020-10-19,51.49943542480469
2020-10-20,51.837005615234375
2020-10-21,51.516754150390625
2020-10-22,52.68521499633789
2020-10-23,52.7285041809082
2020-10-26,52.780433654785156
2020-10-27,52.79774475097656
2020-10-28,50.78970718383789
2020-10-29,51.68986511230469
2020-10-30,50.33095932006836
2020-11-02,50.6252555847168
2020-11-03,51.34364318847656
2020-11-04,50.54734420776367
2020-11-05,50.88490676879883
2020-11-06,50.56465530395508
2020-11-09,52.26111602783203
2020-11-10,52.56405258178711
2020-11-11,52.693885803222656
2020-11-12,51.222476959228516
2020-11-13,51.39558410644531
2020-11-16,51.516754150390625
2020-11-17,51.109954833984375
2020-11-18,50.04533767700195
2020-11-19,49.872230529785156
2020-11-20,50.38289260864258
2020-11-23,50.56465530395508
2020-11-24,51.655235290527344
2020-11-25,51.90624237060547
2020-11-27,51.36961364746094
2020-11-30,50.44349670410156
2020-12-01,49.77702331542969
2020-12-02,49.94147491455078
2020-12-03,49.880889892578125
2020-12-04,49.880889892578125
2020-12-07,49.794334411621094
2020-12-08,49.53468322753906
2020-12-09,49.665626525878906
