,URI
2014-09-29,110.15834045410156
2014-09-30,108.76815032958984
2014-10-01,102.23815155029297
2014-10-02,103.23673248291016
2014-10-03,106.8688735961914
2014-10-06,104.81294250488281
2014-10-07,97.18643188476562
2014-10-08,100.95563507080078
2014-10-09,95.85498809814453
2014-10-10,91.77250671386719
2014-10-13,88.40471649169922
2014-10-14,90.50959014892578
2014-10-15,91.46902465820312
2014-10-16,97.54867553710938
2014-10-17,101.10248565673828
2014-10-20,101.82696533203125
2014-10-21,106.36957550048828
2014-10-22,102.69828033447266
2014-10-23,105.15559387207031
2014-10-24,105.69405364990234
2014-10-27,103.93183135986328
2014-10-28,106.45767974853516
2014-10-29,104.91085052490234
2014-10-30,103.8926773071289
2014-10-31,107.7499771118164
2014-11-03,109.4632568359375
2014-11-04,107.29962921142578
