,TFX
2018-11-23,245.79786682128906
2018-11-26,251.0220489501953
2018-11-27,251.42088317871094
2018-11-28,260.02081298828125
2018-11-29,264.1358947753906
2018-11-30,267.93963623046875
2018-12-03,268.14410400390625
2018-12-04,258.95068359375
2018-12-06,260.7698059082031
2018-12-07,249.6697540283203
2018-12-10,250.1853485107422
2018-12-11,248.41481018066406
2018-12-12,251.4987030029297
2018-12-13,249.46542358398438
2018-12-14,240.70986938476562
2018-12-17,239.07550048828125
2018-12-18,239.25062561035156
2018-12-19,238.4821014404297
2018-12-20,232.1877899169922
2018-12-21,231.70138549804688
2018-12-24,223.30580139160156
2018-12-26,232.61587524414062
2018-12-27,242.18862915039062
2018-12-28,247.58790588378906
2018-12-31,251.45977783203125
2019-01-02,245.52548217773438
2019-01-03,239.5133056640625
2019-01-04,244.31912231445312
2019-01-07,243.3852081298828
2019-01-08,245.9729461669922
2019-01-09,252.56878662109375
2019-01-10,255.4873809814453
2019-01-11,249.03741455078125
2019-01-14,243.1517333984375
2019-01-15,249.15414428710938
2019-01-16,241.88702392578125
2019-01-17,247.78244018554688
2019-01-18,250.91500854492188
2019-01-22,250.5355987548828
2019-01-23,253.5027313232422
2019-01-24,258.7755126953125
2019-01-25,261.5286560058594
2019-01-28,260.58502197265625
2019-01-29,260.5946960449219
2019-01-30,265.23529052734375
2019-01-31,266.0718078613281
2019-02-01,264.32073974609375
2019-02-04,264.7973937988281
2019-02-05,265.9842834472656
2019-02-06,265.1476135253906
2019-02-07,263.5327453613281
2019-02-08,266.69451904296875
2019-02-11,268.1050720214844
2019-02-12,270.3523254394531
2019-02-13,273.93243408203125
2019-02-14,273.8740234375
2019-02-15,278.12530517578125
2019-02-19,274.3409423828125
2019-02-20,278.6993408203125
2019-02-21,267.7548522949219
2019-02-22,277.66796875
2019-02-25,282.2696533203125
2019-02-26,280.5476989746094
2019-02-27,282.5225524902344
2019-02-28,282.2986145019531
2019-03-01,286.8470458984375
2019-03-04,284.9964294433594
2019-03-05,285.9413146972656
2019-03-06,279.6688232421875
2019-03-07,280.0681457519531
2019-03-08,279.4253845214844
2019-03-11,284.2855224609375
2019-03-12,288.726806640625
2019-03-13,289.7008361816406
2019-03-14,291.0838623046875
2019-03-15,295.01873779296875
2019-03-18,293.2558898925781
2019-03-19,293.57720947265625
2019-03-20,293.94732666015625
2019-03-21,297.025146484375
2019-03-22,293.8401794433594
2019-03-25,291.79486083984375
2019-03-26,296.129150390625
2019-03-27,291.9798889160156
2019-03-28,292.30133056640625
2019-03-29,294.29803466796875
2019-04-01,294.3953857421875
2019-04-02,294.8531494140625
2019-04-03,294.4635009765625
2019-04-04,294.3370056152344
2019-04-05,294.41485595703125
2019-04-08,295.4570617675781
2019-04-09,295.4667663574219
2019-04-10,296.91796875
2019-04-11,297.2978820800781
2019-04-12,297.1907653808594
2019-04-15,294.86297607421875
2019-04-16,286.379638671875
2019-04-17,270.52313232421875
2019-04-18,269.8413391113281
2019-04-22,267.3966369628906
2019-04-23,272.86065673828125
2019-04-24,271.623779296875
2019-04-25,273.99053955078125
2019-04-26,274.7014465332031
2019-04-29,273.2795104980469
2019-04-30,278.7337951660156
2019-05-01,273.3086853027344
2019-05-02,290.27545166015625
2019-05-03,292.5448303222656
2019-05-06,291.2201843261719
2019-05-07,286.6717834472656
2019-05-08,288.6293640136719
2019-05-09,293.4993896484375
2019-05-10,294.9505920410156
2019-05-13,286.4186096191406
2019-05-14,290.1044921875
2019-05-15,288.24200439453125
2019-05-16,294.0047912597656
2019-05-17,288.6319274902344
2019-05-20,284.4682922363281
2019-05-21,288.0273742675781
2019-05-22,290.33843994140625
2019-05-23,284.6632385253906
2019-05-24,288.2516784667969
2019-05-28,282.42059326171875
2019-05-29,281.50396728515625
2019-05-30,283.658935546875
2019-05-31,281.1236267089844
2019-06-03,282.4595947265625
2019-06-04,285.5506896972656
2019-06-05,290.73822021484375
2019-06-06,294.2486267089844
