,CBOE
2017-05-04,74.1502456665039
2017-05-05,74.84723663330078
2017-05-08,73.50686645507812
2017-05-09,75.94637298583984
2017-05-10,75.81232452392578
2017-05-11,75.38338470458984
2017-05-12,75.12428283691406
2017-05-15,75.95530700683594
2017-05-16,74.99916076660156
2017-05-17,75.19573974609375
2017-05-18,75.4281005859375
2017-05-19,75.9910659790039
2017-05-22,75.99998474121094
2017-05-23,76.60762023925781
2017-05-24,76.87570190429688
2017-05-25,77.09911346435547
2017-05-26,77.411865234375
2017-05-30,77.42974090576172
2017-05-31,77.63111114501953
2017-06-01,78.03558349609375
2017-06-02,77.97266387939453
2017-06-05,78.10749053955078
2017-06-06,77.99064636230469
2017-06-07,79.88715362548828
2017-06-08,79.97705078125
2017-06-09,80.66912841796875
2017-06-12,80.6781234741211
2017-06-13,80.83091735839844
2017-06-14,80.89383697509766
2017-06-15,80.48037719726562
2017-06-16,79.60855102539062
2017-06-19,80.55229187011719
2017-06-20,79.95905303955078
2017-06-21,79.83324432373047
2017-06-22,79.60855102539062
2017-06-23,79.78829956054688
2017-06-26,80.55229187011719
2017-06-27,80.90282440185547
2017-06-28,81.38819122314453
2017-06-29,81.79267883300781
2017-06-30,82.1521987915039
2017-07-03,82.61058044433594
2017-07-05,83.61727142333984
2017-07-06,82.85328674316406
2017-07-07,83.57231140136719
2017-07-10,83.3116683959961
2017-07-11,83.40154266357422
2017-07-12,82.63753509521484
2017-07-13,83.17684173583984
2017-07-14,82.67350006103516
2017-07-17,82.70945739746094
2017-07-18,83.69816589355469
2017-07-19,83.50941467285156
2017-07-20,83.7251205444336
2017-07-21,84.4352035522461
2017-07-24,84.3542709350586
2017-07-25,83.94981384277344
2017-07-26,84.52506256103516
2017-07-27,83.85095977783203
2017-07-28,84.03070068359375
2017-07-31,84.96549987792969
2017-08-01,85.5766830444336
2017-08-02,85.1991958618164
2017-08-03,85.37895965576172
2017-08-04,84.03971099853516
2017-08-07,85.06434631347656
2017-08-08,85.8013916015625
2017-08-09,87.00582122802734
2017-08-10,86.88895416259766
2017-08-11,86.49349212646484
2017-08-14,87.24848175048828
2017-08-15,87.67094421386719
2017-08-16,87.93158721923828
2017-08-17,87.35633850097656
2017-08-18,86.55641174316406
2017-08-21,87.26647186279297
2017-08-22,89.08209228515625
2017-08-23,88.44392395019531
2017-08-24,88.49787139892578
2017-08-25,89.67529296875
2017-08-28,90.016845703125
2017-08-29,90.18761444091797
2017-08-30,90.61568450927734
2017-08-31,91.17599487304688
2017-09-01,91.2211685180664
2017-09-05,92.35983276367188
2017-09-06,93.74252319335938
2017-09-07,93.69734191894531
2017-09-08,94.6552963256836
2017-09-11,94.32994842529297
2017-09-12,94.646240234375
2017-09-13,95.22461700439453
2017-09-14,95.65840148925781
2017-09-15,94.5920181274414
2017-09-18,95.33306121826172
2017-09-19,95.27885437011719
2017-09-20,96.15544891357422
2017-09-21,96.0289306640625
2017-09-22,96.336181640625
2017-09-25,96.0741195678711
2017-09-26,94.62816619873047
2017-09-27,96.42655944824219
2017-09-28,96.98687744140625
2017-09-29,97.26701354980469
2017-10-02,97.7640609741211
2017-10-03,98.56839752197266
2017-10-04,98.81239318847656
2017-10-05,97.9900131225586
2017-10-06,97.75503540039062
2017-10-09,98.70393371582031
2017-10-10,97.9900131225586
2017-10-11,98.59551239013672
2017-10-12,99.4269027709961
2017-10-13,99.86070251464844
2017-10-16,99.1377182006836
2017-10-17,98.98409271240234
2017-10-18,99.03832244873047
2017-10-19,98.44186401367188
