,VST
2019-03-21,22.627262115478516
2019-03-22,22.488759994506836
2019-03-25,22.583986282348633
2019-03-26,22.471452713012695
2019-03-27,22.419513702392575
2019-03-28,22.332950592041016
2019-03-29,22.53205108642578
2019-04-01,22.53205108642578
2019-04-02,22.783071517944336
2019-04-03,22.670543670654297
2019-04-04,22.549354553222656
2019-04-05,22.45414161682129
2019-04-08,22.298330307006836
2019-04-09,22.064611434936523
2019-04-10,22.419513702392575
2019-04-11,22.54070281982422
2019-04-12,22.59263801574707
2019-04-15,22.497426986694336
2019-04-16,22.488759994506836
2019-04-17,22.22042465209961
2019-04-18,22.51473617553711
2019-04-22,22.67919921875
2019-04-23,22.869638442993164
2019-04-24,23.01679229736328
2019-04-25,23.198570251464844
2019-04-26,23.389005661010746
2019-04-29,23.414976119995117
2019-04-30,23.58810234069824
2019-05-01,23.58810234069824
2019-05-02,23.58810234069824
2019-05-03,23.077383041381836
2019-05-06,22.774417877197266
2019-05-07,22.63591957092285
2019-05-08,21.804927825927734
2019-05-09,21.51061630249023
2019-05-10,21.49330139160156
2019-05-13,21.18168067932129
2019-05-14,21.26824188232422
2019-05-15,21.20764923095703
2019-05-16,21.346147537231445
2019-05-17,21.47599220275879
2019-05-20,21.692394256591797
2019-05-21,22.289670944213867
2019-05-22,22.02998924255371
2019-05-23,21.46733283996582
2019-05-24,21.19033432006836
2019-05-28,21.285554885864254
2019-05-29,20.79214859008789
2019-05-30,20.272777557373047
2019-05-31,20.39396858215332
2019-06-03,20.567094802856445
2019-06-04,21.008556365966797
2019-06-05,21.302867889404297
2019-06-06,21.311525344848633
2019-06-07,21.043182373046875
2019-06-10,20.87005615234375
2019-06-11,21.26824188232422
2019-06-12,20.96527671813965
2019-06-13,20.760801315307617
2019-06-14,20.682493209838867
2019-06-17,20.23873710632324
2019-06-18,20.534574508666992
2019-06-19,20.725997924804688
2019-06-20,21.04793357849121
2019-06-21,20.96962547302246
2019-06-24,20.786903381347656
2019-06-25,20.334449768066406
2019-06-26,19.368627548217773
2019-06-27,19.351219177246097
2019-06-28,19.69927024841309
2019-07-01,19.803680419921875
2019-07-02,19.681867599487305
2019-07-03,19.612255096435547
2019-07-05,19.612255096435547
2019-07-08,19.51654624938965
2019-07-09,19.50784492492676
2019-07-10,19.51654624938965
2019-07-11,19.481739044189453
2019-07-12,19.647064208984375
2019-07-15,19.62095642089844
2019-07-16,19.11629295349121
2019-07-17,19.333824157714844
2019-07-18,19.23811149597168
2019-07-19,18.994482040405273
2019-07-22,18.803054809570312
2019-07-23,18.646438598632812
2019-07-24,18.75954818725586
2019-07-25,19.072792053222656
2019-07-26,18.924869537353516
2019-07-29,18.942272186279297
2019-07-30,19.029281616210938
2019-07-31,18.67254066467285
2019-08-01,18.7508487701416
2019-08-02,19.177202224731445
2019-08-05,18.898767471313477
2019-08-06,19.386032104492188
2019-08-07,19.194604873657227
2019-08-08,19.79498291015625
2019-08-09,19.255510330200195
2019-08-12,19.229408264160156
2019-08-13,19.655765533447266
2019-08-14,19.394729614257812
2019-08-15,19.673168182373047
2019-08-16,20.612884521484375
2019-08-19,20.612884521484375
2019-08-20,20.699893951416016
2019-08-21,20.978328704833984
2019-08-22,21.004430770874023
