,LOW
2014-12-03,53.761871337890625
2014-12-04,53.97089767456055
2014-12-05,54.23008728027344
2014-12-08,55.25850296020508
2014-12-09,55.04946517944336
2014-12-10,54.45582580566406
2014-12-11,54.982574462890625
2014-12-12,54.23845291137695
2014-12-15,54.614688873291016
2014-12-16,53.69498062133789
2014-12-17,55.14145278930664
2014-12-18,55.70163345336914
2014-12-19,55.93574905395508
2014-12-22,56.721717834472656
2014-12-23,56.8053092956543
2014-12-24,56.445777893066406
2014-12-26,56.43742370605469
2014-12-29,57.33205032348633
2014-12-30,57.31534194946289
2014-12-31,57.524356842041016
2015-01-02,56.60464096069336
2015-01-05,55.250125885009766
2015-01-06,55.37555694580078
2015-01-07,57.022674560546875
2015-01-08,58.22669982910156
2015-01-09,57.13138961791992
2015-01-12,56.730037689208984
2015-01-13,56.7384147644043
2015-01-14,56.34545135498047
2015-01-15,55.475894927978516
2015-01-16,57.04484176635742
2015-01-20,55.811492919921875
2015-01-21,56.482704162597656
2015-01-22,58.35373306274414
2015-01-23,58.48796463012695
2015-01-26,59.10045623779297
2015-01-27,58.60541534423828
2015-01-28,58.07685089111328
2015-01-29,58.672542572021484
2015-01-30,56.85188674926758
2015-02-02,57.397239685058594
2015-02-03,58.42083740234375
2015-02-04,59.29343032836914
2015-02-05,59.96464920043945
2015-02-06,60.325408935546875
2015-02-09,59.528350830078125
2015-02-10,60.20796585083008
2015-02-11,59.93107604980469
2015-02-12,60.568729400634766
2015-02-13,60.451290130615234
2015-02-17,60.80364990234375
2015-02-18,60.84561538696289
2015-02-19,60.652645111083984
2015-02-20,61.71818542480469
2015-02-23,61.86084747314453
2015-02-24,62.63272476196289
2015-02-25,62.44812774658203
2015-02-26,62.17124938964844
2015-02-27,62.162864685058594
2015-03-02,63.00187683105469
2015-03-03,62.93476486206055
2015-03-04,62.104122161865234
2015-03-05,62.55720901489258
2015-03-06,61.67624282836914
2015-03-09,62.30550003051758
2015-03-10,61.29867935180664
2015-03-11,61.30707550048828
2015-03-12,62.87604522705078
2015-03-13,62.22159957885742
2015-03-16,63.29556655883789
2015-03-17,62.565608978271484
2015-03-18,62.52363967895508
2015-03-19,62.55720901489258
2015-03-20,63.11935043334961
2015-03-23,63.23680877685547
2015-03-24,63.43817901611328
2015-03-25,62.30550003051758
2015-03-26,61.13087844848633
2015-03-27,61.81045913696289
2015-03-30,62.758575439453125
2015-03-31,62.41459655761719
2015-04-01,62.41459655761719
2015-04-02,62.79210662841797
2015-04-06,62.97670364379883
2015-04-07,62.179622650146484
2015-04-08,62.76692199707031
2015-04-09,62.297096252441406
2015-04-10,62.842472076416016
2015-04-13,61.92794418334961
2015-04-14,62.07059097290039
2015-04-15,61.592323303222656
2015-04-16,62.15449905395508
2015-04-17,60.87078857421875
2015-04-20,61.1317024230957
2015-04-21,61.6451301574707
2015-04-22,61.502044677734375
2015-04-23,61.75455093383789
2015-04-24,61.57779312133789
2015-04-27,60.46674728393555
2015-04-28,60.38261032104492
2015-04-29,59.28840637207031
2015-04-30,57.95854568481445
2015-05-01,59.50725173950195
2015-05-04,59.97018051147461
2015-05-05,59.279998779296875
2015-05-06,59.56616973876953
2015-05-07,60.84553909301758
2015-05-08,61.66197204589844
2015-05-11,61.62832260131836
2015-05-12,62.00705337524414
2015-05-13,61.535709381103516
2015-05-14,60.82027816772461
2015-05-15,61.51887512207031
2015-05-18,61.49363327026367
2015-05-19,60.45833969116211
2015-05-20,57.655540466308594
2015-05-21,57.8407096862793
2015-05-22,58.53090286254883
2015-05-26,58.56454849243164
2015-05-27,59.52408981323242
2015-05-28,59.29684066772461
2015-05-29,58.9012451171875
2015-06-01,59.03590774536133
2015-06-02,59.0443229675293
2015-06-03,59.46516799926758
2015-06-04,59.03590774536133
2015-06-05,58.74132537841797
2015-06-08,57.80704879760742
2015-06-09,57.68077087402344
2015-06-10,58.21945571899414
2015-06-11,58.11007308959961
2015-06-12,58.10163116455078
2015-06-15,58.168975830078125
2015-06-16,58.41307830810547
2015-06-17,58.64030075073242
2015-06-18,59.0443229675293
2015-06-19,58.9096565246582
2015-06-22,59.16215515136719
2015-06-23,59.42308044433594
2015-06-24,58.98541259765625
2015-06-25,58.63190841674805
2015-06-26,57.74812316894531
2015-06-29,56.83909225463867
2015-06-30,56.36776351928711
2015-07-01,56.59501266479492
2015-07-02,56.14048385620117
2015-07-06,55.76174545288086
2015-07-07,56.70444107055664
2015-07-08,55.99740982055664
2015-07-09,56.40983963012695
2015-07-10,57.10843276977539
2015-07-13,57.48720169067383
2015-07-14,57.562950134277344
2015-07-15,57.46195983886719
2015-07-16,57.42829513549805
2015-07-17,56.83909225463867
2015-07-20,56.37424087524414
2015-07-21,56.11222839355469
2015-07-22,56.99969482421875
2015-07-23,57.21943664550781
2015-07-24,56.779930114746094
2015-07-27,56.66160202026367
2015-07-28,57.303958892822266
2015-07-29,58.09843444824219
2015-07-30,58.19985580444336
2015-07-31,58.622459411621094
