,LIN
2020-03-06,176.78533935546875
2020-03-09,161.7698211669922
2020-03-10,164.64772033691406
2020-03-11,162.50796508789062
2020-03-12,147.6512451171875
2020-03-13,164.91868591308594
2020-03-16,147.95960998535156
2020-03-17,153.1267852783203
2020-03-18,147.1747283935547
2020-03-19,143.90440368652344
2020-03-20,141.3722381591797
2020-03-23,140.15750122070312
2020-03-24,153.9957275390625
2020-03-25,154.4535675048828
2020-03-26,162.76025390625
2020-03-27,156.35972595214844
2020-03-30,165.19900512695312
2020-03-31,161.6483154296875
2020-04-01,150.31423950195312
2020-04-02,153.3229522705078
2020-04-03,151.49160766601562
2020-04-06,164.37672424316406
2020-04-07,168.1329345703125
2020-04-08,174.67364501953125
2020-04-09,177.0469512939453
2020-04-13,173.89808654785156
2020-04-14,177.38331604003906
2020-04-15,169.26356506347656
2020-04-16,171.1136474609375
2020-04-17,176.17799377441406
2020-04-20,172.86094665527344
2020-04-21,167.1425018310547
2020-04-22,169.68402099609375
2020-04-23,169.4037322998047
2020-04-24,169.5625457763672
2020-04-27,172.46852111816406
2020-04-28,174.61758422851562
2020-04-29,176.30880737304688
2020-04-30,171.9171905517578
2020-05-01,168.49737548828125
2020-05-04,170.67446899414062
2020-05-05,170.06712341308594
2020-05-06,167.20791625976562
2020-05-07,172.66468811035156
2020-05-08,176.0471649169922
2020-05-11,174.59886169433594
2020-05-12,171.07627868652344
2020-05-13,167.04908752441406
2020-05-14,167.4882354736328
2020-05-15,170.6090545654297
2020-05-18,179.6352081298828
2020-05-19,177.76644897460938
2020-05-20,183.12979125976562
2020-05-21,180.96202087402344
2020-05-22,178.3457489013672
2020-05-26,180.33596801757812
2020-05-27,180.45750427246094
2020-05-28,186.91407775878906
2020-05-29,189.0631561279297
2020-06-01,191.75413513183594
2020-06-02,193.63453674316406
2020-06-03,199.8587188720703
2020-06-04,199.5489044189453
2020-06-05,207.7351837158203
2020-06-08,203.1820526123047
2020-06-09,201.11671447753906
2020-06-10,200.3000030517578
2020-06-11,186.92222595214844
2020-06-12,189.57901000976562
