,GIS
2015-02-27,38.66384506225586
2015-03-02,38.455406188964844
2015-03-03,38.44103240966797
2015-03-04,38.2469482421875
2015-03-05,38.29726028442383
2015-03-06,37.470645904541016
2015-03-09,37.73661804199219
2015-03-10,37.22626495361328
2015-03-11,37.16157531738281
2015-03-12,37.82284927368164
2015-03-13,37.48503112792969
2015-03-16,37.67191696166992
2015-03-17,37.41314697265625
2015-03-18,37.9953727722168
2015-03-19,37.76536560058594
2015-03-20,38.419456481933594
2015-03-23,38.62792205810547
2015-03-24,38.23977279663086
2015-03-25,38.62792205810547
2015-03-26,38.771671295166016
2015-03-27,39.526397705078125
2015-03-30,40.50395965576172
2015-03-31,40.68364715576172
2015-04-01,40.5974006652832
2015-04-02,40.6477165222168
2015-04-06,40.78429412841797
2015-04-07,40.30989074707031
2015-04-08,40.447532653808594
2015-04-09,40.66488265991211
2015-04-10,40.92568588256836
2015-04-13,40.882225036621094
2015-04-14,41.02711486816406
2015-04-15,40.89671325683594
2015-04-16,40.73732376098633
2015-04-17,40.63589859008789
2015-04-20,40.89671325683594
2015-04-21,40.650386810302734
2015-04-22,40.722835540771484
2015-04-23,40.78078842163086
2015-04-24,40.84599685668945
2015-04-27,40.6069221496582
2015-04-28,40.64314651489258
2015-04-29,40.25917434692383
2015-04-30,40.09254837036133
2015-05-01,40.35334396362305
2015-05-04,40.46201705932617
2015-05-05,40.302642822265625
2015-05-06,40.06356430053711
2015-05-07,40.302642822265625
2015-05-08,40.76630783081055
2015-05-11,40.62141036987305
2015-05-12,40.8604850769043
2015-05-13,40.730072021484375
2015-05-14,41.179264068603516
2015-05-15,41.3965950012207
2015-05-18,41.186500549316406
2015-05-19,41.19374465942383
2015-05-20,41.2734375
2015-05-21,41.16476058959961
2015-05-22,40.94742202758789
2015-05-26,40.55620574951172
2015-05-27,40.91120529174805
2015-05-28,40.7518196105957
2015-05-29,40.67937469482422
2015-06-01,40.78078842163086
2015-06-02,40.469268798828125
2015-06-03,40.35334396362305
2015-06-04,39.88969039916992
2015-06-05,39.4260139465332
2015-06-08,39.382545471191406
2015-06-09,39.447757720947266
2015-06-10,39.911415100097656
2015-06-11,39.9259033203125
2015-06-12,39.78826141357422
2015-06-15,39.411529541015625
2015-06-16,39.911415100097656
2015-06-17,40.02734375
2015-06-18,40.46201705932617
2015-06-19,40.66488265991211
2015-06-22,40.98365020751953
2015-06-23,40.97640609741211
2015-06-24,40.96915054321289
2015-06-25,40.92568588256836
2015-06-26,41.244468688964844
2015-06-29,40.614166259765625
2015-06-30,40.36785125732422
2015-07-01,41.360374450683594
2015-07-02,41.33140182495117
2015-07-06,40.998146057128906
2015-07-07,41.93995666503906
2015-07-08,41.57494354248047
2015-07-09,41.560340881347656
2015-07-10,41.80855178833008
2015-07-13,41.99106216430664
2015-07-14,41.793949127197266
2015-07-15,41.47273635864258
2015-07-16,41.63334274291992
2015-07-17,41.56765365600586
2015-07-20,41.48735427856445
2015-07-21,41.76475143432617
2015-07-22,42.071372985839844
2015-07-23,41.66985321044922
2015-07-24,41.55302810668945
2015-07-27,41.582244873046875
2015-07-28,42.012962341308594
2015-07-29,41.96916198730469
2015-07-30,42.53126525878906
2015-07-31,42.49477767944336
2015-08-03,43.020389556884766
2015-08-04,43.064208984375
2015-08-05,43.363502502441406
2015-08-06,43.47300720214844
2015-08-07,43.151798248291016
2015-08-10,43.363502502441406
2015-08-11,43.173702239990234
2015-08-12,43.14449691772461
2015-08-13,42.991180419921875
2015-08-14,43.26130294799805
2015-08-17,43.283203125
2015-08-18,43.027687072753906
2015-08-19,42.72838592529297
2015-08-20,42.2100715637207
2015-08-21,41.03472137451172
2015-08-24,39.80098342895508
2015-08-25,40.0126838684082
2015-08-26,40.80112075805664
2015-08-27,41.582244873046875
2015-08-28,41.70635986328125
2015-08-31,41.43622970581055
2015-09-01,40.53830337524414
2015-09-02,41.48004150390625
2015-09-03,42.05677032470703
2015-09-04,41.312129974365234
2015-09-08,41.728248596191406
2015-09-09,40.72811508178711
2015-09-10,40.80112075805664
2015-09-11,41.22453689575195
2015-09-14,40.94712448120117
2015-09-15,41.42163848876953
2015-09-16,41.69904327392578
2015-09-17,41.961856842041016
2015-09-18,41.29753494262695
2015-09-21,41.4581413269043
2015-09-22,41.70635986328125
2015-09-23,41.9107551574707
2015-09-24,41.57494354248047
2015-09-25,41.92535400390625
2015-09-28,40.450706481933594
2015-09-29,40.560211181640625
2015-09-30,40.9763298034668
2015-10-01,40.87412643432617
2015-10-02,41.33403778076172
2015-10-05,41.77204513549805
2015-10-06,40.66241455078125
2015-10-07,41.00089645385742
2015-10-08,41.560142517089844
2015-10-09,41.65579605102539
2015-10-12,42.0678596496582
