,SO
2019-03-06,39.78597640991211
2019-03-07,40.07169723510742
2019-03-08,40.3970947265625
2019-03-11,40.79391860961914
2019-03-12,41.016143798828125
2019-03-13,41.05583190917969
2019-03-14,40.8970947265625
2019-03-15,41.15899658203125
2019-03-18,41.09550476074219
2019-03-19,40.46852493286133
2019-03-20,40.61931610107422
2019-03-21,40.9288330078125
2019-03-22,41.174861907958984
2019-03-25,41.3098030090332
2019-03-26,41.69075012207031
2019-03-27,41.452659606933594
2019-03-28,40.754241943359375
2019-03-29,41.016143798828125
2019-04-01,40.801856994628906
2019-04-02,40.984397888183594
2019-04-03,40.873291015625
2019-04-04,40.63519287109375
2019-04-05,40.99233627319336
2019-04-08,40.8812141418457
2019-04-09,41.23042297363281
2019-04-10,41.08757400512695
2019-04-11,41.365352630615234
2019-04-12,41.66694641113281
2019-04-15,41.841548919677734
2019-04-16,41.57963180541992
2019-04-17,41.397098541259766
2019-04-18,41.23836135864258
2019-04-22,41.21456527709961
2019-04-23,41.143131256103516
2019-04-24,41.452659606933594
2019-04-25,41.619319915771484
2019-04-26,41.698692321777344
2019-04-29,41.47645568847656
2019-04-30,42.238372802734375
2019-05-01,41.68281173706055
2019-05-02,41.8653564453125
2019-05-03,42.25424575805664
2019-05-06,42.07170104980469
2019-05-07,41.95265579223633
2019-05-08,41.42884063720703
2019-05-09,41.55583572387695
2019-05-10,42.357418060302734
2019-05-13,42.93678283691406
2019-05-14,42.563777923583984
2019-05-15,42.571712493896484
2019-05-16,42.90504837036133
2019-05-17,43.21014404296875
2019-05-20,43.418880462646484
2019-05-21,43.330562591552734
2019-05-22,43.442970275878906
2019-05-23,43.62761688232422
2019-05-24,43.635650634765625
2019-05-28,43.001380920410156
2019-05-29,42.46346664428711
2019-05-30,42.55179214477539
2019-05-31,42.95322036743164
2019-06-03,43.48311233520508
2019-06-04,43.51522445678711
2019-06-05,44.00497055053711
2019-06-06,44.46260452270508
2019-06-07,43.9246826171875
2019-06-10,43.740028381347656
2019-06-11,43.79621887207031
2019-06-12,44.277950286865234
2019-06-13,44.277950286865234
2019-06-14,44.679378509521484
2019-06-17,44.55894088745117
2019-06-18,44.36625289916992
2019-06-19,44.75163650512695
2019-06-20,44.976436614990234
2019-06-21,45.177146911621094
2019-06-24,45.1851806640625
2019-06-25,44.9443244934082
2019-06-26,44.141448974609375
2019-06-27,44.22174072265625
2019-06-28,44.382320404052734
2019-07-01,44.029052734375
2019-07-02,44.84797668457031
2019-07-03,45.20926284790039
2019-07-05,45.2494010925293
2019-07-08,45.20926284790039
2019-07-09,45.409976959228516
2019-07-10,45.69099044799805
2019-07-11,45.35378646850586
2019-07-12,44.695430755615234
2019-07-15,45.04869079589844
2019-07-16,44.68739700317383
2019-07-17,44.79177474975586
2019-07-18,45.06475830078125
2019-07-19,44.374290466308594
2019-07-22,44.542884826660156
2019-07-23,44.494712829589844
2019-07-24,44.67134475708008
2019-07-25,44.44654846191406
2019-07-26,44.75163650512695
2019-07-29,45.04869079589844
2019-07-30,44.39033889770508
2019-07-31,45.120941162109375
2019-08-01,45.74717712402344
2019-08-02,46.05227279663086
2019-08-05,44.904170989990234
2019-08-06,45.71507263183594
2019-08-07,46.12453079223633
2019-08-08,46.71864700317383
2019-08-09,46.831058502197266
2019-08-12,47.1120491027832
2019-08-13,45.92381286621094
2019-08-14,45.81140899658203
2019-08-15,46.269046783447266
2019-08-16,46.65049743652344
2019-08-19,47.023834228515625
2019-08-20,46.82093048095703
2019-08-21,47.031951904296875
2019-08-22,47.437744140625
2019-08-23,46.81280517578125
2019-08-26,47.34846878051758
2019-08-27,46.87773895263672
2019-08-28,46.91832733154297
2019-08-29,47.169921875
2019-08-30,47.28353500366211
2019-09-03,48.509056091308594
2019-09-04,48.78499221801758
2019-09-05,48.28990936279297
2019-09-06,48.435997009277344
2019-09-09,47.90034866333008
2019-09-10,48.038330078125
2019-09-11,48.46036148071289
2019-09-12,48.68760299682617
2019-09-13,48.80122756958008
2019-09-16,48.58209228515625
2019-09-17,49.142093658447266
2019-09-18,49.34498977661133
2019-09-19,49.55601501464844
2019-09-20,49.59658432006836
2019-09-23,49.76702117919922
2019-09-24,50.30267333984375
2019-09-25,50.09977340698242
2019-09-26,50.205284118652344
2019-09-27,50.13223648071289
2019-09-30,50.13223648071289
2019-10-01,50.22150421142578
2019-10-02,49.62904357910156
2019-10-03,49.79948806762695
2019-10-04,50.35948944091797
2019-10-07,50.25398254394531
2019-10-08,49.79948806762695
2019-10-09,50.23774337768555
2019-10-10,50.156578063964844
2019-10-11,49.92933654785156
2019-10-14,49.442378997802734
2019-10-15,49.26382827758789
2019-10-16,49.580352783203125
2019-10-17,49.55601501464844
2019-10-18,49.620933532714844
2019-10-21,49.98615646362305
2019-10-22,49.86440658569336
2019-10-23,50.2783317565918
2019-10-24,50.2783317565918
2019-10-25,49.7913703918457
2019-10-28,49.51543426513672
2019-10-29,49.442378997802734
2019-10-30,50.83021545410156
2019-10-31,50.854557037353516
2019-11-01,50.5299186706543
2019-11-04,50.107887268066406
2019-11-05,49.79948806762695
2019-11-06,50.19716262817383
2019-11-07,49.27195358276367
2019-11-08,49.718326568603516
2019-11-11,49.07716369628906
2019-11-12,49.25571060180664
2019-11-13,50.24586486816406
2019-11-14,50.635433197021484
2019-11-15,50.987918853759766
2019-11-18,51.217445373535156
2019-11-19,50.99610900878906
2019-11-20,51.46336364746094
2019-11-21,51.38140106201172
2019-11-22,51.55353546142578
2019-11-25,50.97151565551758
2019-11-26,51.02890396118164
2019-11-27,51.078094482421875
2019-11-29,50.815765380859375
2019-12-02,50.49606704711914
2019-12-03,51.12727737426758
2019-12-04,51.38958740234375
2019-12-05,51.446964263916016
2019-12-06,50.9387321472168
2019-12-09,50.36491012573242
2019-12-10,49.45500946044922
2019-12-11,49.750099182128906
2019-12-12,49.766502380371094
2019-12-13,49.807491302490234
2019-12-16,51.04530334472656
2019-12-17,52.217529296875
2019-12-18,52.16014099121094
2019-12-19,51.701087951660156
2019-12-20,52.34868240356445
2019-12-23,51.85683059692383
2019-12-24,51.75027084350586
2019-12-26,51.78306198120117
2019-12-27,52.020782470703125
2019-12-30,51.92241668701172
2019-12-31,52.217529296875
2020-01-02,51.33220291137695
2020-01-03,51.28302001953125
2020-01-06,51.487953186035156
2020-01-07,51.33220291137695
2020-01-08,51.3158073425293
2020-01-09,51.85683059692383
2020-01-10,52.18473815917969
2020-01-13,52.90610885620117
2020-01-14,53.21760559082031
2020-01-15,53.758644104003906
2020-01-16,54.22589111328125
2020-01-17,55.135807037353516
2020-01-21,55.840789794921875
2020-01-22,55.98834991455078
2020-01-23,56.52936935424805
2020-01-24,56.9228401184082
2020-01-27,57.16876220703125
2020-01-28,57.422889709472656
2020-01-29,57.4638671875
2020-01-30,58.07868576049805
2020-01-31,57.70979690551758
2020-02-03,57.95571517944336
2020-02-04,57.00480651855469
2020-02-05,56.58675003051758
2020-02-06,56.43098449707031
2020-02-07,56.05391311645508
2020-02-10,56.10310745239258
2020-02-11,56.22605514526367
2020-02-12,56.250675201416016
2020-02-13,57.00480651855469
2020-02-14,57.08753204345703
2020-02-18,57.40183639526367
2020-02-19,56.748409271240234
2020-02-20,57.74094009399414
2020-02-21,57.062721252441406
2020-02-24,56.078453063964844
2020-02-25,55.30096435546875
2020-02-26,54.74679946899414
2020-02-27,52.009037017822266
2020-02-28,49.92470932006836
2020-03-02,52.87751388549805
2020-03-03,52.85269546508789
2020-03-04,56.078453063964844
2020-03-05,55.888214111328125
2020-03-06,55.30923080444336
2020-03-09,51.413509368896484
2020-03-10,51.29772186279297
2020-03-11,48.121585845947266
2020-03-12,43.16717529296875
2020-03-13,44.639434814453125
2020-03-16,39.38724899291992
2020-03-17,46.78166580200195
2020-03-18,46.2523078918457
2020-03-19,42.100189208984375
2020-03-20,38.34507751464844
2020-03-23,35.756221771240234
2020-03-24,40.561763763427734
2020-03-25,41.47158432006836
2020-03-26,45.60715866088867
2020-03-27,46.32674789428711
2020-03-30,47.96444320678711
2020-03-31,44.78004837036133
2020-04-01,41.47158432006836
2020-04-02,43.34086227416992
2020-04-03,41.57910919189453
2020-04-06,45.82220458984375
2020-04-07,45.59061813354492
2020-04-08,48.121585845947266
2020-04-09,49.899898529052734
2020-04-13,47.741127014160156
2020-04-14,48.799827575683594
2020-04-15,46.227500915527344
2020-04-16,45.75604248046875
2020-04-17,47.534339904785156
2020-04-20,45.92973327636719
2020-04-21,45.90492248535156
2020-04-22,47.186954498291016
2020-04-23,46.98017883300781
2020-04-24,47.7493896484375
2020-04-27,48.36972427368164
2020-04-28,48.022342681884766
2020-04-29,47.451637268066406
2020-04-30,46.92227554321289
2020-05-01,45.00336456298828
2020-05-04,45.425193786621094
2020-05-05,46.012451171875
2020-05-06,44.366485595703125
2020-05-07,44.8544921875
2020-05-08,45.83047866821289
2020-05-11,46.16133117675781
2020-05-12,45.921470642089844
2020-05-13,44.49055862426758
2020-05-14,45.284584045410156
2020-05-15,43.97066116333008
2020-05-18,45.54402542114258
2020-05-19,44.83265686035156
2020-05-20,45.887149810791016
2020-05-21,45.05025100708008
2020-05-22,45.67793273925781
2020-05-26,45.74488067626953
2020-05-27,46.03779220581055
2020-05-28,47.627899169921875
2020-05-29,47.76180648803711
2020-06-01,48.2890510559082
2020-06-02,48.54011917114258
2020-06-03,49.13431930541992
2020-06-04,48.49827575683594
2020-06-05,48.916725158691406
2020-06-08,50.43988037109375
2020-06-09,49.67829895019531
2020-06-10,49.54439926147461
2020-06-11,46.9416389465332
2020-06-12,47.00859451293945
2020-06-15,47.21781921386719
2020-06-16,47.05044174194336
2020-06-17,46.89979934692383
2020-06-18,46.958377838134766
2020-06-19,44.86613082885742
2020-06-22,45.75324630737305
2020-06-23,44.58159255981445
2020-06-24,43.83675003051758
2020-06-25,42.89105224609375
2020-06-26,42.61488342285156
2020-06-29,43.15049743652344
2020-06-30,43.39319610595703
2020-07-01,44.24683380126953
2020-07-02,44.17987823486328
2020-07-06,44.029239654541016
2020-07-07,44.121299743652344
2020-07-08,44.405853271484375
2020-07-09,43.46851348876953
2020-07-10,44.54811096191406
2020-07-13,44.50627517700195
2020-07-14,44.92472457885742
2020-07-15,44.37236022949219
2020-07-16,44.97492980957031
2020-07-17,45.67793273925781
2020-07-20,45.410118103027344
2020-07-21,45.92062759399414
2020-07-22,46.68220520019531
2020-07-23,46.49809265136719
2020-07-24,45.90388870239258
2020-07-27,45.410118103027344
2020-07-28,46.263755798339844
2020-07-29,46.35581970214844
2020-07-30,46.230281829833984
2020-07-31,45.703033447265625
2020-08-03,45.200897216796875
2020-08-04,45.560768127441406
2020-08-05,44.690391540527344
2020-08-06,45.10047149658203
2020-08-07,45.769981384277344
2020-08-10,46.088008880615234
2020-08-11,45.351531982421875
2020-08-12,45.912261962890625
2020-08-13,46.03779220581055
2020-08-14,45.3519287109375
2020-08-17,45.37733459472656
2020-08-18,44.92007827758789
2020-08-19,45.03862762451172
2020-08-20,44.2426872253418
2020-08-21,44.34429168701172
2020-08-24,44.75919723510742
2020-08-25,44.37815856933594
2020-08-26,43.793907165527344
2020-08-27,44.200355529785156
2020-08-28,44.38663101196289
2020-08-31,44.18340301513672
2020-09-01,43.8701057434082
2020-09-02,45.05556106567383
2020-09-03,44.539039611816406
2020-09-04,44.27655029296875
2020-09-08,44.75072479248047
2020-09-09,44.75072479248047
2020-09-10,43.65843200683594
2020-09-11,43.82777786254883
2020-09-14,44.75919723510742
2020-09-15,44.88621520996094
2020-09-16,45.1233024597168
2020-09-17,45.318050384521484
2020-09-18,44.71686935424805
2020-09-21,44.90315628051758
2020-09-22,44.9793586730957
2020-09-23,44.479766845703125
2020-09-24,44.92007827758789
2020-09-25,45.56361770629883
2020-09-28,45.478939056396484
2020-09-29,45.4704704284668
2020-09-30,45.910789489746094
2020-10-01,46.24948501586914
2020-10-02,47.638153076171875
2020-10-05,48.40869140625
2020-10-06,48.96755599975586
2020-10-07,48.94214630126953
2020-10-08,49.712684631347656
2020-10-09,49.73808670043945
2020-10-12,49.839698791503906
2020-10-13,49.399391174316406
2020-10-14,49.11149597167969
2020-10-15,49.1284294128418
2020-10-16,49.407859802246094
2020-10-19,49.14537048339844
2020-10-20,49.619544982910156
2020-10-21,49.84817123413086
2020-10-22,51.279178619384766
2020-10-23,51.52473831176758
2020-10-26,51.32151794433594
2020-10-27,50.98281478881836
2020-10-28,49.41632843017578
2020-10-29,49.289310455322266
2020-10-30,48.645782470703125
2020-11-02,49.96670913696289
2020-11-03,50.68644714355469
2020-11-04,50.60177230834961
2020-11-05,50.94894027709961
2020-11-06,50.771121978759766
2020-11-09,52.76945495605469
2020-11-10,54.3359489440918
2020-11-11,54.1242561340332
2020-11-12,53.785552978515625
2020-11-13,54.65803527832031
2020-11-16,54.846214294433594
2020-11-17,53.340763092041016
2020-11-18,52.844642639160156
2020-11-19,52.23733139038086
2020-11-20,52.0748176574707
2020-11-23,51.70701599121094
2020-11-24,52.339988708496094
2020-11-25,52.083370208740234
2020-11-27,51.87808609008789
2020-11-30,51.193790435791016
2020-12-01,51.809654235839844
2020-12-02,52.93019104003906
2020-12-03,52.93019104003906
2020-12-04,52.62225341796875
2020-12-07,52.801883697509766
2020-12-08,52.177459716796875
2020-12-09,51.98072814941406
2020-12-10,51.749778747558594
2020-12-11,51.68135070800781
2020-12-14,51.03126907348633
2020-12-15,52.05771255493164
