,FOXA
2020-12-22,25.795127868652344
2020-12-23,26.589696884155273
2020-12-24,26.778881072998047
2020-12-28,27.563989639282227
2020-12-29,27.45047950744629
2020-12-30,27.51669692993164
2020-12-31,27.545074462890625
2021-01-04,27.2518367767334
2021-01-05,27.852495193481445
2021-01-06,30.278770446777344
2021-01-07,29.266639709472656
2021-01-08,28.46261405944824
2021-01-11,28.68963050842285
2021-01-12,28.159921646118164
2021-01-13,28.33964157104492
2021-01-14,29.578792572021484
2021-01-15,29.786893844604492
2021-01-19,28.386940002441406
2021-01-20,29.342315673828125
2021-01-21,29.361234664916992
2021-01-22,28.52882194519043
2021-01-25,30.35444450378418
2021-01-26,33.04084777832031
2021-01-27,32.52058792114258
2021-01-28,30.174718856811523
2021-01-29,29.49365997314453
2021-02-01,30.155799865722656
2021-02-02,28.859893798828125
2021-02-03,28.642337799072266
2021-02-04,28.774763107299805
2021-02-05,29.720680236816406
2021-02-08,30.9219913482666
2021-02-09,29.067995071411133
2021-02-10,30.061206817626953
2021-02-11,30.269309997558594
2021-02-12,30.82740020751953
2021-02-16,30.013912200927734
2021-02-17,30.0328311920166
2021-02-18,30.43484687805176
2021-02-19,31.95303726196289
2021-02-22,32.81382369995117
2021-02-23,32.27465057373047
2021-02-24,32.198978424072266
2021-02-25,31.253063201904297
2021-02-26,31.508460998535156
2021-03-01,32.908416748046875
2021-03-02,35.89751052856445
2021-03-03,37.202877044677734
2021-03-04,36.97585678100586
2021-03-05,39.0568733215332
2021-03-08,40.040626525878906
2021-03-09,38.347694396972656
2021-03-10,39.43193054199219
2021-03-11,39.798099517822266
2021-03-12,40.68735885620117
2021-03-15,40.61127471923828
2021-03-16,42.01887512207031
2021-03-17,40.82051086425781
2021-03-18,40.78246307373047
2021-03-19,40.82526779174805
2021-03-22,41.514801025390625
2021-03-23,39.76480865478515
2021-03-24,38.157474517822266
2021-03-25,38.328670501708984
2021-03-26,35.950965881347656
2021-03-29,35.408843994140625
2021-03-30,35.294715881347656
2021-03-31,34.343631744384766
2021-04-01,34.533851623535156
2021-04-05,34.61944580078125
2021-04-06,35.237648010253906
2021-04-07,35.48493194580078
2021-04-08,35.190093994140625
2021-04-09,35.627593994140625
2021-04-12,35.58955001831055
2021-04-13,35.63711166381836
2021-04-14,35.408843994140625
2021-04-15,36.03180694580078
2021-04-16,36.088871002197266
2021-04-19,35.83683776855469
2021-04-20,35.950965881347656
2021-04-21,36.72134780883789
2021-04-22,36.25531005859375
2021-04-23,36.5311279296875
2021-04-26,36.33140182495117
2021-04-27,36.4074821472168
2021-04-28,35.9699821472168
2021-04-29,35.92243194580078
2021-04-30,35.58955001831055
2021-05-03,34.819175720214844
2021-05-04,34.94281768798828
2021-05-05,34.56238555908203
2021-05-06,35.73221206665039
2021-05-07,36.44552993774414
2021-05-10,36.93058013916016
2021-05-11,36.62147521972656
2021-05-12,36.07936477661133
2021-05-13,36.8449821472168
2021-05-14,35.4373779296875
2021-05-17,34.971351623535156
2021-05-18,35.522972106933594
2021-05-19,35.522972106933594
2021-05-20,35.4278678894043
2021-05-21,35.74173355102539
2021-05-24,35.60857391357422
2021-05-25,35.332763671875
2021-05-26,35.67514419555664
2021-05-27,36.093624114990234
2021-05-28,35.522972106933594
2021-06-01,35.49443817138672
2021-06-02,34.980857849121094
2021-06-03,34.82868194580078
2021-06-04,35.37080001831055
2021-06-07,35.332763671875
2021-06-08,34.80015182495117
2021-06-09,35.798789978027344
2021-06-10,35.63711166381836
2021-06-11,36.07460021972656
2021-06-14,35.83683776855469
2021-06-15,35.8653678894043
2021-06-16,35.82732009887695
2021-06-17,35.332763671875
2021-06-18,35.78927993774414
2021-06-21,35.656124114990234
2021-06-22,35.80830383300781
2021-06-23,35.7607421875
2021-06-24,36.4265022277832
2021-06-25,36.48356246948242
2021-06-28,36.43601608276367
2021-06-29,35.028419494628906
2021-06-30,35.31373596191406
2021-07-01,35.713191986083984
2021-07-02,35.49443817138672
2021-07-06,34.93330001831055
2021-07-07,34.61944580078125
2021-07-08,33.95368576049805
2021-07-09,34.666996002197266
2021-07-12,34.999881744384766
2021-07-13,34.19145965576172
2021-07-14,34.58140563964844
2021-07-15,34.08683776855469
2021-07-16,33.554229736328125
2021-07-19,33.02162551879883
2021-07-20,33.259403228759766
2021-07-21,34.41971206665039
2021-07-22,34.239017486572266
2021-07-23,34.41971206665039
2021-07-26,34.77162170410156
2021-07-27,34.429229736328125
2021-07-28,34.543357849121094
2021-07-29,34.52433395385742
2021-07-30,33.91564178466797
2021-08-02,33.89662551879883
2021-08-03,33.31645965576172
2021-08-04,33.202335357666016
2021-08-05,35.38982391357422
2021-08-06,34.69552993774414
2021-08-09,34.72406005859375
2021-08-10,35.17107391357422
2021-08-11,35.63711166381836
2021-08-12,35.218631744384766
2021-08-13,35.190093994140625
2021-08-16,35.37080001831055
2021-08-17,35.17107391357422
2021-08-18,34.77162170410156
2021-08-19,34.410213470458984
2021-08-20,34.96183395385742
2021-08-23,35.32324981689453
2021-08-24,35.25667190551758
2021-08-25,35.22814178466797
2021-08-26,34.88574981689453
2021-08-27,35.380313873291016
2021-08-30,35.25667190551758
2021-08-31,35.840614318847656
2021-09-01,35.41940689086914
2021-09-02,35.582149505615234
2021-09-03,35.31410217285156
2021-09-07,35.180091857910156
2021-09-08,34.4238395690918
2021-09-09,34.8067512512207
2021-09-10,34.40468978881836
2021-09-13,34.7876091003418
2021-09-14,33.79203414916992
2021-09-15,34.998207092285156
2021-09-16,35.73530960083008
2021-09-17,36.09907913208008
2021-09-20,35.54385757446289
2021-09-21,35.54385757446289
2021-09-22,36.57772445678711
2021-09-23,36.77875518798828
2021-09-24,37.58286666870117
2021-09-27,38.4061279296875
2021-09-28,38.128517150878906
2021-09-29,38.530574798583984
2021-09-30,38.39655685424805
2021-10-01,39.03792953491211
2021-10-04,39.70802688598633
2021-10-05,40.110084533691406
2021-10-06,39.77503967285156
2021-10-07,40.34941101074219
2021-10-08,40.44513702392578
2021-10-11,40.30154037475586
2021-10-12,40.20581817626953
2021-10-13,40.54086685180664
2021-10-14,40.636592864990234
2021-10-15,39.83247756958008
2021-10-18,40.13880920410156
2021-10-19,41.19182205200195
2021-10-20,41.3641242980957
2021-10-21,40.789756774902344
2021-10-22,40.7036018371582
2021-10-25,40.0430793762207
2021-10-26,39.813331604003906
2021-10-27,38.48271179199219
2021-10-28,39.0187873840332
2021-10-29,38.042362213134766
2021-11-01,39.30597305297851
2021-11-02,39.82290267944336
2021-11-03,39.80376434326172
2021-11-04,39.5644416809082
2021-11-05,39.70802688598633
2021-11-08,38.82733154296875
2021-11-09,38.80818939208984
2021-11-10,38.9517822265625
2021-11-11,39.392127990722656
2021-11-12,39.344261169433594
2021-11-15,39.50699996948242
2021-11-16,38.69330978393555
2021-11-17,38.568870544433594
2021-11-18,37.8796272277832
2021-11-19,37.32439804077149
2021-11-22,37.085079193115234
2021-11-23,37.45842361450195
2021-11-24,36.8553352355957
2021-11-26,36.01292037963867
2021-11-29,35.34282302856445
2021-11-30,34.18451690673828
2021-12-01,32.96876907348633
2021-12-02,33.82075119018555
2021-12-03,34.50041961669922
2021-12-06,34.95991134643555
2021-12-07,34.92162322998047
2021-12-08,35.180091857910156
2021-12-09,34.97906494140625
2021-12-10,35.247100830078125
2021-12-13,34.758888244628906
2021-12-14,34.44298553466797
2021-12-15,34.70144271850586
2021-12-16,35.428985595703125
2021-12-17,35.38111877441406
2021-12-20,34.83546829223633
2021-12-21,35.32368087768555
2021-12-22,35.247100830078125
2021-12-23,35.68745040893555
2021-12-27,35.72573471069336
2021-12-28,35.88847732543945
2021-12-29,35.50556564331055
2021-12-30,35.9267692565918
2021-12-31,35.32368087768555
2022-01-03,36.03207015991211
2022-01-04,36.34796905517578
2022-01-05,36.003353118896484
2022-01-06,36.788326263427734
2022-01-07,37.353118896484375
2022-01-10,37.36268997192383
2022-01-11,37.286109924316406
2022-01-12,37.6115837097168
2022-01-13,38.35826110839844
2022-01-14,39.26768493652344
2022-01-18,38.19552993774414
2022-01-19,37.96577835083008
2022-01-20,36.558570861816406
2022-01-21,36.079933166503906
2022-01-24,37.420127868652344
2022-01-25,37.48713684082031
2022-01-26,36.414981842041016
2022-01-27,36.61601257324219
2022-01-28,38.38698196411133
2022-01-31,38.87519454956055
2022-02-01,38.588016510009766
2022-02-02,38.9326286315918
2022-02-03,39.15281295776367
2022-02-04,38.9517822265625
2022-02-07,38.87519454956055
2022-02-08,39.07622528076172
2022-02-09,41.97678756713867
2022-02-10,42.12038040161133
2022-02-11,41.546016693115234
2022-02-14,40.847190856933594
2022-02-15,41.30668640136719
2022-02-16,41.17267227172851
2022-02-17,41.076942443847656
2022-02-18,40.56958770751953
2022-02-22,40.033504486083984
2022-02-23,39.219818115234375
2022-02-24,39.12408828735352
2022-02-25,39.98564529418945
2022-02-28,40.0430793762207
2022-03-01,39.72534942626953
2022-03-02,41.48728942871094
2022-03-03,41.55467987060547
2022-03-04,41.10216522216797
2022-03-07,40.052703857421875
2022-03-08,40.28377914428711
2022-03-09,39.349857330322266
2022-03-10,38.31003189086914
2022-03-11,37.86713790893555
2022-03-14,37.30870819091797
2022-03-15,38.30039978027344
2022-03-16,39.15729141235352
2022-03-17,38.78180694580078
2022-03-18,39.349857330322266
2022-03-21,39.330596923828125
2022-03-22,39.5713005065918
2022-03-23,39.051387786865234
2022-03-24,39.38837432861328
2022-03-25,39.68684387207031
2022-03-28,38.993621826171875
2022-03-29,39.2824592590332
2022-03-30,38.64700698852539
2022-03-31,37.9826774597168
2022-04-01,37.89602279663086
2022-04-04,38.078956604003906
2022-04-05,37.2220573425293
2022-04-06,37.318336486816406
2022-04-07,36.990989685058594
2022-04-08,37.52052688598633
2022-04-11,37.27983093261719
2022-04-12,37.39536666870117
2022-04-13,37.65532302856445
2022-04-14,37.66495132446289
2022-04-18,37.5397834777832
2022-04-19,37.72271728515625
2022-04-20,38.088584899902344
2022-04-21,37.48201751708984
2022-04-22,36.78879928588867
2022-04-25,36.57698059082031
2022-04-26,35.238677978515625
2022-04-27,34.911319732666016
2022-04-28,35.18091583251953
2022-04-29,34.5069465637207
2022-05-02,35.20979309082031
2022-05-03,34.892066955566406
2022-05-04,35.66231918334961
2022-05-05,35.18091583251953
2022-05-06,33.31306838989258
2022-05-09,31.974763870239254
2022-05-10,31.21415138244629
2022-05-11,31.974763870239254
2022-05-12,32.205841064453125
2022-05-13,32.542823791503906
2022-05-16,32.43691635131836
2022-05-17,33.4478645324707
