,LLY
2014-07-01,50.95873260498047
2014-07-02,51.12180709838867
2014-07-03,51.41533279418945
2014-07-07,51.04844284057617
2014-07-08,50.926124572753906
2014-07-09,51.05659484863281
2014-07-10,50.98320007324219
2014-07-11,51.23595428466797
2014-07-14,51.37456130981445
2014-07-15,51.25225830078125
2014-07-16,51.21150207519531
2014-07-17,50.76305389404297
2014-07-18,51.7496337890625
2014-07-21,51.88822937011719
2014-07-22,51.95346450805664
2014-07-23,52.38557815551758
2014-07-24,52.483421325683594
2014-07-25,52.002376556396484
2014-07-28,51.68438720703125
2014-07-29,51.17887496948242
2014-07-30,51.05659484863281
2014-07-31,49.784664154052734
2014-08-01,49.474815368652344
2014-08-04,50.24939727783203
2014-08-05,49.629737854003906
2014-08-06,49.8254280090332
2014-08-07,49.20576858520508
2014-08-08,49.71941375732422
2014-08-11,49.80096435546875
2014-08-12,50.03740310668945
2014-08-13,49.7990608215332
2014-08-14,50.292198181152344
2014-08-15,50.00454330444336
2014-08-18,50.423702239990234
2014-08-19,51.089439392089844
2014-08-20,50.96614456176758
2014-08-21,50.98259353637695
2014-08-22,51.220943450927734
2014-08-25,51.55793380737305
2014-08-26,51.62368392944336
2014-08-27,51.77983474731445
2014-08-28,51.87024688720703
2014-08-29,52.24010467529297
2014-09-02,52.338722229003906
2014-09-03,52.725032806396484
2014-09-04,52.782554626464844
2014-09-05,53.19350814819336
2014-09-08,53.42364501953125
2014-09-09,52.9633903503418
2014-09-10,53.242828369140625
2014-09-11,53.57158660888672
2014-09-12,53.64555740356445
2014-09-15,53.57981872558594
2014-09-16,54.08116149902344
2014-09-17,54.17158126831055
2014-09-18,54.73045349121094
2014-09-19,54.681148529052734
2014-09-22,54.311302185058594
2014-09-23,54.204444885253906
2014-09-24,54.40171813964844
2014-09-25,53.90034484863281
2014-09-26,53.81815719604492
2014-09-29,53.70307540893555
2014-09-30,53.30036163330078
2014-10-01,53.48939895629883
2014-10-02,53.28392028808594
2014-10-03,53.974327087402344
2014-10-06,53.93323516845703
2014-10-07,52.782554626464844
2014-10-08,53.62089538574219
2014-10-09,52.84832000732422
2014-10-10,52.725032806396484
2014-10-13,52.00996780395508
2014-10-14,51.894901275634766
2014-10-15,51.6729850769043
2014-10-16,50.875755310058594
2014-10-17,51.434654235839844
2014-10-20,51.862030029296875
2014-10-21,53.160640716552734
2014-10-22,53.160640716552734
2014-10-23,52.88941192626953
2014-10-24,54.28664779663086
2014-10-27,54.40991973876953
2014-10-28,53.28392028808594
2014-10-29,53.826385498046875
2014-10-30,54.903079986572266
2014-10-31,54.516788482666016
2014-11-03,54.689361572265625
2014-11-04,55.20716857910156
2014-11-05,55.05923080444336
2014-11-06,55.03456115722656
2014-11-07,54.73868942260742
2014-11-10,56.177001953125
2014-11-11,55.76607131958008
2014-11-12,55.799198150634766
2014-11-13,56.03098678588867
2014-11-14,55.74122619628906
2014-11-17,55.70810317993164
2014-11-18,56.11378860473633
2014-11-19,55.64188003540039
2014-11-20,55.302459716796875
2014-11-21,55.76606369018555
2014-11-24,55.41007995605469
2014-11-25,55.343849182128906
2014-11-26,55.73293685913086
2014-11-28,56.39524841308594
2014-12-01,56.7181396484375
2014-12-02,58.26626968383789
2014-12-03,58.887176513671875
2014-12-04,59.922035217285156
2014-12-05,59.48326110839844
2014-12-08,60.2945556640625
2014-12-09,59.78128433227539
2014-12-10,58.82094192504883
2014-12-11,59.284576416015625
2014-12-12,57.57912826538086
2014-12-15,57.678462982177734
2014-12-16,57.33903503417969
2014-12-17,58.183475494384766
2014-12-18,59.979984283447266
2014-12-19,59.9385871887207
2014-12-22,59.12726593017578
2014-12-23,57.736427307128906
2014-12-24,58.0841178894043
2014-12-26,58.27455520629883
2014-12-29,58.034461975097656
2014-12-30,57.65363693237305
2014-12-31,57.11550521850586
2015-01-02,58.001338958740234
2015-01-05,57.430110931396484
2015-01-06,57.719871520996094
2015-01-07,57.314208984375
2015-01-08,58.67194366455078
2015-01-09,57.89371871948242
