,T
2014-05-14,12.6432523727417
2014-05-15,12.6884183883667
2014-05-16,12.76485538482666
2014-05-19,12.639781951904297
2014-05-20,12.334029197692871
2014-05-21,12.254120826721191
2014-05-22,12.292336463928223
2014-05-23,12.271491050720215
2014-05-27,12.233280181884766
2014-05-28,12.278441429138184
2014-05-29,12.295815467834473
2014-05-30,12.323612213134766
2014-06-02,12.31318473815918
2014-06-03,12.2298002243042
2014-06-04,12.177691459655762
2014-06-05,12.195056915283203
2014-06-06,12.16726303100586
2014-06-09,12.163787841796875
2014-06-10,12.139466285705566
2014-06-11,12.09429931640625
2014-06-12,12.101248741149902
2014-06-13,12.170736312866211
2014-06-16,12.15336799621582
2014-06-17,12.16726303100586
2014-06-18,12.2298002243042
2014-06-19,12.285390853881836
2014-06-20,12.295815467834473
2014-06-23,12.295815467834473
2014-06-24,12.261072158813477
2014-06-25,12.250643730163574
2014-06-26,12.250643730163574
2014-06-27,12.302763938903809
2014-06-30,12.285390853881836
2014-07-01,12.327085494995117
2014-07-02,12.393095016479492
2014-07-03,12.452160835266113
2014-07-07,12.514700889587402
2014-07-08,12.567376136779785
2014-07-09,12.599183082580566
2014-07-10,12.616846084594727
2014-07-11,12.638056755065918
2014-07-14,12.673394203186035
2014-07-15,12.807693481445312
2014-07-16,12.881911277770996
2014-07-17,12.733478546142578
2014-07-18,12.782954216003418
2014-07-21,12.708741188049316
2014-07-22,12.701674461364746
2014-07-23,12.680465698242188
2014-07-24,12.54616641998291
2014-07-25,12.560302734375
2014-07-28,12.599183082580566
2014-07-29,12.931388854980469
2014-07-30,12.850101470947266
2014-07-31,12.57797622680664
2014-08-01,12.486089706420898
2014-08-04,12.53203010559082
2014-08-05,12.408332824707031
2014-08-06,12.235163688659668
2014-08-07,12.090263366699219
2014-08-08,12.182154655456543
2014-08-11,12.182154655456543
2014-08-12,12.242231369018555
2014-08-13,12.259902000427246
2014-08-14,12.337653160095215
2014-08-15,12.277575492858887
2014-08-18,12.245762825012207
2014-08-19,12.185687065124512
2014-08-20,12.203354835510254
2014-08-21,12.242231369018555
2014-08-22,12.192754745483398
2014-08-25,12.196292877197266
2014-08-26,12.192754745483398
2014-08-27,12.281106948852539
2014-08-28,12.277575492858887
2014-08-29,12.355325698852539
2014-09-02,12.312912940979004
2014-09-03,12.358858108520508
2014-09-04,12.348258018493652
2014-09-05,12.422475814819336
2014-09-08,12.372997283935547
2014-09-09,12.249300956726074
2014-09-10,12.263439178466797
2014-09-11,12.316448211669922
2014-09-12,12.192754745483398
2014-09-15,12.259902000427246
2014-09-16,12.351791381835938
2014-09-17,12.376531600952148
2014-09-18,12.426007270812988
2014-09-19,12.535564422607422
2014-09-22,12.54616641998291
2014-09-23,12.461350440979004
2014-09-24,12.510828971862793
2014-09-25,12.397732734680176
2014-09-26,12.468416213989258
2014-09-29,12.45074462890625
2014-09-30,12.454279899597168
2014-10-01,12.355325698852539
2014-10-02,12.358858108520508
2014-10-03,12.496692657470703
2014-10-06,12.542635917663574
2014-10-07,12.486089706420898
2014-10-08,12.64037799835205
2014-10-09,12.464164733886719
2014-10-10,12.316723823547363
2014-10-13,12.162088394165039
2014-10-14,12.169285774230957
2014-10-15,12.180072784423828
2014-10-16,12.097359657287598
2014-10-17,12.25558853149414
2014-10-20,12.3275146484375
2014-10-21,12.44978141784668
2014-10-22,12.406630516052246
2014-10-23,12.104554176330566
2014-10-24,12.180072784423828
2014-10-27,12.266378402709961
2014-10-28,12.345491409301758
2014-10-29,12.3706693649292
2014-10-30,12.41022777557373
2014-10-31,12.52889347076416
2014-11-03,12.52889347076416
2014-11-04,12.510920524597168
2014-11-05,12.557665824890137
2014-11-06,12.485742568969727
2014-11-07,12.554067611694336
2014-11-10,12.629587173461914
2014-11-11,12.622397422790527
2014-11-12,12.730279922485352
2014-11-13,12.805801391601562
2014-11-14,12.91008472442627
2014-11-17,12.89210319519043
2014-11-18,12.845355987548828
2014-11-19,12.71949291229248
2014-11-20,12.687124252319336
2014-11-21,12.687124252319336
2014-11-24,12.478550910949707
2014-11-25,12.52170467376709
2014-11-26,12.63318157196045
2014-11-28,12.723087310791016
2014-12-01,12.608013153076172
2014-12-02,12.331107139587402
2014-12-03,12.226823806762695
2014-12-04,12.194453239440918
2014-12-05,12.205244064331055
2014-12-08,12.183671951293945
2014-12-09,11.82765007019043
2014-12-10,11.683807373046875
2014-12-11,11.762922286987305
2014-12-12,11.565134048461914
2014-12-15,11.597497940063477
2014-12-16,11.557941436767578
2014-12-17,11.748536109924316
2014-12-18,12.050609588623047
2014-12-19,12.061402320861816
2014-12-22,12.172880172729492
2014-12-23,12.23760986328125
2014-12-24,12.21243667602539
2014-12-26,12.287958145141602
2014-12-29,12.266378402709961
2014-12-30,12.25558853149414
2014-12-31,12.079376220703125
2015-01-02,12.180072784423828
2015-01-05,12.064994812011719
2015-01-06,12.082977294921875
2015-01-07,12.153430938720703
2015-01-08,12.274337768554688
2015-01-09,12.237699508666992
2015-01-12,12.270674705505371
2015-01-13,12.270674705505371
2015-01-14,12.212053298950195
2015-01-15,12.186408042907715
2015-01-16,12.384260177612305
2015-01-20,12.439220428466797
2015-01-21,12.457541465759277
2015-01-22,12.38059139251709
2015-01-23,12.226706504821777
2015-01-26,12.157090187072754
2015-01-27,12.02152156829834
2015-01-28,11.973893165588379
2015-01-29,12.076481819152832
2015-01-30,12.06182861328125
2015-02-02,12.29632568359375
2015-02-03,12.582114219665527
2015-02-04,12.607762336730957
2015-02-05,12.655394554138184
2015-02-06,12.776304244995117
2015-02-09,12.692030906677246
2015-02-10,12.768978118896484
2015-02-11,12.600430488586426
2015-02-12,12.681036949157715
2015-02-13,12.699359893798828
2015-02-17,12.717679977416992
2015-02-18,12.637072563171387
2015-02-19,12.490511894226074
2015-02-20,12.486846923828125
2015-02-23,12.40257740020752
2015-02-24,12.475852966308594
2015-02-25,12.534481048583984
2015-02-26,12.640734672546387
2015-02-27,12.662720680236816
2015-03-02,12.692030906677246
2015-03-03,12.607762336730957
2015-03-04,12.457541465759277
2015-03-05,12.457541465759277
2015-03-06,12.267008781433105
2015-03-09,12.219378471374512
2015-03-10,12.01053237915039
2015-03-11,11.951908111572266
2015-03-12,12.138773918151855
2015-03-13,12.003207206726074
2015-03-16,12.113127708435059
2015-03-17,12.054499626159668
2015-03-18,12.307315826416016
2015-03-19,12.164422035217285
2015-03-20,12.175409317016602
2015-03-23,12.193726539611816
2015-03-24,12.116787910461426
2015-03-25,11.951908111572266
2015-03-26,12.025190353393555
2015-03-27,11.999536514282227
2015-03-30,12.080147743225098
2015-03-31,11.96290111541748
2015-04-01,12.0508394241333
2015-04-02,12.138773918151855
2015-04-06,12.212053298950195
2015-04-07,12.149762153625488
2015-04-08,12.191691398620605
2015-04-09,12.206624031066895
2015-04-10,12.236501693725586
2015-04-13,12.277573585510254
2015-04-14,12.206624031066895
2015-04-15,12.281310081481934
2015-04-16,12.229026794433594
2015-04-17,12.139410018920898
2015-04-20,12.258902549743652
2015-04-21,12.19542407989502
2015-04-22,12.27010440826416
2015-04-23,12.781670570373535
2015-04-24,12.699517250061035
2015-04-27,12.729391098022461
2015-04-28,13.016914367675781
2015-04-29,12.979576110839844
2015-04-30,12.934762954711914
2015-05-01,12.852614402770996
2015-05-04,12.893689155578613
