,HON
2014-07-02,72.71839904785156
2014-07-03,73.18115234375
2014-07-07,72.7955322265625
2014-07-08,72.66439056396484
2014-07-09,72.9189453125
2014-07-10,72.71839904785156
2014-07-11,73.19660949707031
2014-07-14,73.844482421875
2014-07-15,74.01415252685547
2014-07-16,74.34583282470703
2014-07-17,73.40484619140625
2014-07-18,74.6775131225586
2014-07-21,75.07855224609375
2014-07-22,74.96287536621094
2014-07-23,74.5078125
2014-07-24,74.05274200439453
2014-07-25,73.85991668701172
2014-07-28,73.40484619140625
2014-07-29,72.33274841308594
2014-07-30,72.55642700195312
2014-07-31,70.82869720458984
2014-08-01,70.62816619873047
2014-08-04,70.46619415283203
2014-08-05,70.37364196777344
2014-08-06,69.84915161132812
2014-08-07,70.15765380859375
2014-08-08,71.50743865966797
2014-08-11,71.85453033447266
2014-08-12,71.66171264648438
2014-08-13,72.710693359375
2014-08-14,72.80323791503906
2014-08-15,72.6798095703125
2014-08-18,73.47427368164062
2014-08-19,73.40450286865234
2014-08-20,74.21822357177734
2014-08-21,74.34998321533203
2014-08-22,74.05548095703125
2014-08-25,74.24923706054688
2014-08-26,74.01675415039062
2014-08-27,74.063232421875
2014-08-28,73.85398864746094
2014-08-29,73.79975891113281
2014-09-02,74.00900268554688
2014-09-03,73.97798919677734
2014-09-04,73.6137466430664
2014-09-05,74.09420776367188
2014-09-08,73.80748748779297
2014-09-09,73.20303344726562
2014-09-10,73.12552642822266
2014-09-11,73.42002868652344
2014-09-12,73.23401641845703
2014-09-15,73.35028839111328
2014-09-16,73.51300048828125
2014-09-17,74.03998565673828
2014-09-18,74.69869995117188
2014-09-19,74.7839584350586
2014-09-22,73.3890151977539
2014-09-23,72.37382507324219
2014-09-24,72.71479797363281
2014-09-25,71.60661315917969
2014-09-26,72.3041000366211
2014-09-29,72.48230743408203
2014-09-30,72.16456604003906
2014-10-01,71.03313446044922
2014-10-02,70.61463928222656
2014-10-03,71.07188415527344
2014-10-06,71.25788116455078
2014-10-07,69.58395385742188
2014-10-08,70.8703842163086
2014-10-09,69.56847381591797
2014-10-10,68.1192855834961
2014-10-13,66.38334655761719
2014-10-14,66.79407501220703
2014-10-15,65.95713806152344
2014-10-16,66.94908905029297
2014-10-17,69.7931900024414
2014-10-20,69.74668884277344
2014-10-21,72.00957489013672
2014-10-22,70.6456527709961
2014-10-23,72.52107238769531
2014-10-24,73.3890151977539
2014-10-27,72.61406707763672
2014-10-28,73.75325012207031
2014-10-29,73.66027069091797
2014-10-30,74.07872772216797
2014-10-31,74.48945617675781
2014-11-03,74.13296508789062
2014-11-04,73.84622955322266
