,MAR
2014-05-20,52.908424377441406
2014-05-21,52.97152328491211
2014-05-22,52.97152328491211
2014-05-23,53.422264099121094
2014-05-27,53.59355163574219
2014-05-28,53.58453369140625
2014-05-29,54.702388763427734
2014-05-30,55.549781799316406
2014-06-02,55.477657318115234
2014-06-03,55.43259811401367
2014-06-04,55.639930725097656
2014-06-05,56.17181396484375
2014-06-06,56.65862274169922
2014-06-09,56.63157272338867
2014-06-10,56.52339553833008
2014-06-11,55.68500518798828
2014-06-12,55.39653015136719
2014-06-13,55.33341979980469
2014-06-16,55.549781799316406
2014-06-17,56.29801559448242
2014-06-18,56.90202331542969
2014-06-19,57.12738800048828
2014-06-20,57.29867172241211
2014-06-23,57.506011962890625
2014-06-24,57.31669998168945
2014-06-25,57.18148422241211
2014-06-26,57.686317443847656
2014-06-27,57.67729187011719
2014-06-30,57.78547668457031
2014-07-01,58.2993278503418
2014-07-02,58.92136001586914
2014-07-03,59.101646423339844
2014-07-07,59.381107330322266
2014-07-08,58.524696350097656
2014-07-09,58.9754524230957
2014-07-10,59.11066436767578
2014-07-11,58.61484909057617
2014-07-14,58.88529586791992
2014-07-15,58.578792572021484
2014-07-16,58.34440994262695
2014-07-17,57.13640594482422
2014-07-18,58.50666809082031
2014-07-21,58.56977081298828
2014-07-22,59.59748458862305
2014-07-23,59.92202377319336
2014-07-24,60.246543884277344
2014-07-25,59.83184051513672
2014-07-28,59.65156555175781
2014-07-29,59.218841552734375
2014-07-30,58.966426849365234
2014-07-31,58.33538055419922
2014-08-01,58.4886360168457
2014-08-04,59.489295959472656
2014-08-05,58.51569747924805
2014-08-06,58.15509033203125
2014-08-07,57.91169357299805
2014-08-08,58.5427360534668
2014-08-11,59.245914459228516
2014-08-12,59.11066436767578
2014-08-13,59.9941291809082
2014-08-14,60.63417434692383
2014-08-15,60.73334503173828
2014-08-18,60.99477767944336
2014-08-19,61.600582122802734
2014-08-20,61.97128677368164
2014-08-21,61.88086700439453
2014-08-22,61.889896392822266
2014-08-25,62.170196533203125
2014-08-26,62.37814712524414
2014-08-27,62.27867126464844
2014-08-28,62.37814712524414
2014-08-29,62.74885940551758
2014-09-02,62.77596664428711
2014-09-03,63.291343688964844
2014-09-04,63.76151657104492
2014-09-05,64.04180908203125
2014-09-08,64.25881958007812
2014-09-09,63.9965934753418
2014-09-10,64.00564575195312
2014-09-11,64.55718231201172
2014-09-12,63.851924896240234
2014-09-15,63.93332290649414
2014-09-16,64.32209777832031
2014-09-17,64.8555679321289
2014-09-18,65.50654602050781
2014-09-19,65.2714614868164
2014-09-22,64.74706268310547
2014-09-23,64.1231918334961
2014-09-24,64.54812622070312
2014-09-25,63.76151657104492
2014-09-26,63.94234848022461
2014-09-29,63.68918228149414
2014-09-30,63.20094299316406
2014-10-01,61.42877960205078
2014-10-02,60.398033142089844
2014-10-03,61.57343292236328
2014-10-06,60.877235412597656
2014-10-07,59.67470169067383
2014-10-08,59.82841110229492
2014-10-09,58.39079284667969
2014-10-10,57.459510803222656
2014-10-13,55.79585647583008
2014-10-14,56.55533218383789
2014-10-15,56.238887786865234
2014-10-16,56.7723503112793
2014-10-17,58.77958679199219
2014-10-20,60.59694290161133
2014-10-21,61.8627815246582
2014-10-22,61.8627815246582
2014-10-23,61.871822357177734
2014-10-24,62.64940643310547
2014-10-27,63.52643966674805
2014-10-28,65.05445861816406
2014-10-29,66.93511199951172
2014-10-30,68.71632385253906
2014-10-31,68.49029541015625
2014-11-03,68.53550720214844
2014-11-04,67.42338562011719
