,C
2015-07-28,44.731903076171875
2015-07-29,45.153404235839844
2015-07-30,45.161075592041016
2015-07-31,44.838924407958984
2015-08-03,44.8235969543457
2015-08-04,44.84660339355469
2015-08-05,45.05369567871094
2015-08-06,44.562801361083984
2015-08-07,44.417076110839844
2015-08-10,45.05369567871094
2015-08-11,44.209983825683594
2015-08-12,43.65009307861328
2015-08-13,43.97221755981445
2015-08-14,44.171634674072266
2015-08-17,44.309688568115234
2015-08-18,44.140953063964844
2015-08-19,43.7191047668457
2015-08-20,42.438209533691406
2015-08-21,41.111305236816406
2015-08-24,38.610870361328125
2015-08-25,38.258052825927734
2015-08-26,40.09886169433594
2015-08-27,40.98856735229492
2015-08-28,40.8658561706543
2015-08-31,41.019264221191406
2015-09-01,39.07107162475586
2015-09-02,39.69235610961914
2015-09-03,39.7230224609375
2015-09-04,38.802616119384766
2015-09-08,39.615638732910156
2015-09-09,39.025047302246094
2015-09-10,39.17078399658203
2015-09-11,39.19379425048828
2015-09-14,39.10176086425781
2015-09-15,39.884090423583984
2015-09-16,40.33662414550781
2015-09-17,39.615638732910156
2015-09-18,38.57252502441406
2015-09-21,38.89467239379883
2015-09-22,38.64154815673828
2015-09-23,38.44213104248047
2015-09-24,37.68280029296875
2015-09-25,38.771942138671875
2015-09-28,37.6060905456543
2015-09-29,37.583091735839844
2015-09-30,38.05097198486328
2015-10-01,38.26570510864258
2015-10-02,38.258052825927734
2015-10-05,39.23981475830078
2015-10-06,39.16312026977539
2015-10-07,39.36252975463867
2015-10-08,39.615638732910156
2015-10-09,39.40856170654297
2015-10-12,39.33185958862305
2015-10-13,39.278160095214844
2015-10-14,38.90233612060547
2015-10-15,40.62809371948242
2015-10-16,40.4133186340332
2015-10-19,40.54372024536133
2015-10-20,40.52838134765625
2015-10-21,39.73836898803711
2015-10-22,40.275264739990234
2015-10-23,41.14198303222656
2015-10-26,40.73545837402344
2015-10-27,40.351966857910156
2015-10-28,41.978004455566406
2015-10-29,41.19493865966797
2015-10-30,40.818782806396484
2015-11-02,41.32545852661133
2015-11-03,41.57879638671875
2015-11-04,41.32545852661133
2015-11-05,41.57112503051758
2015-11-06,42.89156723022461
2015-11-09,42.76874542236328
2015-11-10,42.83784484863281
2015-11-11,42.146915435791016
2015-11-12,41.041412353515625
2015-11-13,40.818782806396484
2015-11-16,41.217979431152344
2015-11-17,41.0644416809082
2015-11-18,42.20831298828125
2015-11-19,42.269737243652344
2015-11-20,42.0317497253418
2015-11-23,41.67092514038086
2015-11-24,41.59416580200195
2015-11-25,41.51737976074219
2015-11-27,41.6171760559082
2015-11-30,41.525062561035156
2015-12-01,42.13154602050781
2015-12-02,41.56344985961914
2015-12-03,41.079803466796875
2015-12-04,42.29277038574219
2015-12-07,41.76305389404297
2015-12-08,40.98767852783203
2015-12-09,40.54241180419922
2015-12-10,40.41956329345703
2015-12-11,39.23729705810547
2015-12-14,39.22964096069336
2015-12-15,40.319766998291016
2015-12-16,41.37920379638672
2015-12-17,40.5654411315918
2015-12-18,39.3140754699707
2015-12-21,39.75933837890625
2015-12-22,39.92824172973633
2015-12-23,40.40422821044922
2015-12-24,40.46562957763672
2015-12-28,40.21228790283203
2015-12-29,40.67292404174805
2015-12-30,40.15087127685547
2015-12-31,39.72865295410156
2016-01-04,39.252655029296875
2016-01-05,39.04538345336914
2016-01-06,38.47728729248047
2016-01-07,36.511962890625
2016-01-08,35.41414260864258
2016-01-11,35.96689987182617
2016-01-12,35.989933013916016
2016-01-13,34.69249725341797
2016-01-14,34.838375091552734
2016-01-15,32.60436248779297
2016-01-19,32.19747543334961
2016-01-20,31.084299087524414
2016-01-21,30.823274612426758
2016-01-22,31.521894454956055
2016-01-25,30.362661361694336
2016-01-26,31.09197998046875
2016-01-27,31.138050079345703
2016-01-28,31.04581069946289
2016-01-29,32.729148864746094
2016-02-01,32.652278900146484
2016-02-02,31.0688533782959
2016-02-03,31.022743225097656
2016-02-04,31.353273391723633
2016-02-05,30.638425827026367
2016-02-08,29.062685012817383
2016-02-09,28.832082748413086
2016-02-10,28.755224227905273
2016-02-11,26.88740348815918
2016-02-12,28.855152130126953
2016-02-16,29.892822265625
2016-02-17,30.576921463012695
2016-02-18,29.91588020324707
2016-02-19,29.969707489013672
2016-02-22,30.377079010009766
2016-02-23,29.37783432006836
2016-02-24,29.277908325195312
2016-02-25,29.685285568237305
2016-02-26,30.361709594726562
2016-02-29,29.862083435058594
2016-03-01,31.72220802307129
2016-03-02,32.45243835449219
2016-03-03,32.92131805419922
2016-03-04,32.92131805419922
2016-03-07,32.75221252441406
2016-03-08,31.5531063079834
2016-03-09,31.629966735839844
2016-03-10,31.79906463623047
2016-03-11,33.04429244995117
2016-03-14,32.79833221435547
2016-03-15,32.736839294433594
2016-03-16,32.460121154785156
2016-03-17,32.93668746948242
2016-03-18,33.46705627441406
2016-03-21,33.51316452026367
2016-03-22,33.344078063964844
2016-03-23,32.567718505859375
2016-03-24,32.23721694946289
2016-03-28,32.221832275390625
2016-03-29,32.06810760498047
2016-03-30,32.19109344482422
2016-03-31,32.09117889404297
2016-04-01,32.64460372924805
2016-04-04,32.32945251464844
2016-04-05,31.906696319580078
2016-04-06,32.175724029541016
2016-04-07,30.953561782836914
2016-04-08,31.107288360595703
2016-04-11,31.60692024230957
2016-04-12,32.20646286010742
2016-04-13,34.012786865234375
2016-04-14,34.573909759521484
2016-04-15,34.527793884277344
2016-04-18,34.67383575439453
2016-04-19,35.07353591918945
2016-04-20,35.92673873901367
2016-04-21,35.81911849975586
2016-04-22,36.1035270690918
2016-04-25,35.88829040527344
2016-04-26,36.203453063964844
2016-04-27,36.3802375793457
2016-04-28,35.957035064697266
2016-04-29,35.61077117919922
2016-05-02,35.91855239868164
2016-05-03,35.064449310302734
2016-05-04,34.3642463684082
2016-05-05,34.03337860107422
2016-05-06,34.171878814697266
2016-05-09,33.77174758911133
2016-05-10,34.502750396728516
2016-05-11,34.218040466308594
2016-05-12,33.85640335083008
2016-05-13,33.17156982421875
2016-05-16,33.20237350463867
2016-05-17,33.62556838989258
2016-05-18,35.29529571533203
2016-05-19,34.67203140258789
2016-05-20,34.54890823364258
2016-05-23,34.710506439208984
2016-05-24,35.28760528564453
2016-05-25,36.11861801147461
2016-05-26,35.47997283935547
2016-05-27,35.84161376953125
2016-05-31,35.833919525146484
