,L
2015-11-18,36.27296829223633
2015-11-19,36.16790771484375
2015-11-20,36.21566390991211
2015-11-23,36.07237243652344
2015-11-24,36.16790771484375
2015-11-25,36.14207458496094
2015-11-27,36.0942268371582
2015-11-30,36.256893157958984
2015-12-01,36.65879440307617
2015-12-02,36.60137939453125
2015-12-03,35.88370895385742
2015-12-04,36.754478454589844
2015-12-07,36.67793273925781
2015-12-08,36.381290435791016
2015-12-09,35.59662628173828
2015-12-10,36.1707763671875
2015-12-11,35.32870864868164
2015-12-14,35.185176849365234
2015-12-15,35.797576904296875
2015-12-16,36.13249206542969
2015-12-17,35.36697006225586
2015-12-18,35.099056243896484
2015-12-21,35.44352722167969
2015-12-22,36.1707763671875
2015-12-23,36.81189727783203
2015-12-24,36.81189727783203
2015-12-28,36.687503814697266
2015-12-29,37.1276741027832
2015-12-30,36.85016632080078
2015-12-31,36.74491882324219
2016-01-04,36.15163803100586
2016-01-05,36.256893157958984
2016-01-06,35.4531135559082
2016-01-07,34.60145568847656
2016-01-08,34.35267639160156
2016-01-11,34.30481719970703
2016-01-12,34.35267639160156
2016-01-13,33.66370391845703
2016-01-14,34.23783874511719
2016-01-15,33.922054290771484
2016-01-19,33.55843734741211
2016-01-20,32.792911529541016
2016-01-21,32.8981819152832
2016-01-22,33.4914665222168
2016-01-25,32.735504150390625
2016-01-26,33.13739776611328
2016-01-27,34.00816345214844
2016-01-28,34.419654846191406
2016-01-29,35.41482925415039
2016-02-01,35.386112213134766
2016-02-02,34.65887451171875
2016-02-03,34.73542022705078
2016-02-04,34.97465515136719
2016-02-05,34.72585678100586
2016-02-08,34.75456237792969
2016-02-09,34.81197738647461
2016-02-10,34.71629333496094
2016-02-11,34.00816345214844
2016-02-12,34.314388275146484
2016-02-16,34.955509185791016
2016-02-17,35.7784423828125
2016-02-18,35.62535858154297
2016-02-19,35.32870864868164
2016-02-22,35.83585739135742
2016-02-23,34.92679977416992
2016-02-24,34.6205940246582
2016-02-25,34.869384765625
2016-02-26,35.10230255126953
2016-02-29,34.843505859375
2016-03-01,35.71580505371094
2016-03-02,35.830833435058594
2016-03-03,36.11839294433594
2016-03-04,36.30051803588867
2016-03-07,35.84040832519531
2016-03-08,35.150245666503906
2016-03-09,34.862674713134766
2016-03-10,35.073570251464844
2016-03-11,36.15673828125
2016-03-14,36.070465087890625
2016-03-15,36.05128860473633
2016-03-16,36.20466613769531
2016-03-17,37.15364074707031
2016-03-18,37.73835372924805
2016-03-21,37.709598541259766
2016-03-22,37.623321533203125
2016-03-23,37.038597106933594
2016-03-24,36.770198822021484
2016-03-28,36.77980041503906
2016-03-29,36.683937072753906
2016-03-30,36.952335357666016
2016-03-31,36.674354553222656
2016-04-01,36.93315505981445
2016-04-04,36.38678741455078
2016-04-05,36.12797546386719
2016-04-06,36.12797546386719
2016-04-07,35.965023040771484
2016-04-08,36.34843826293945
2016-04-11,36.63601303100586
2016-04-12,37.0865364074707
2016-04-13,37.81504440307617
2016-04-14,37.87255096435547
2016-04-15,37.719173431396484
2016-04-18,37.80543899536133
2016-04-19,38.093017578125
2016-04-20,38.2943000793457
2016-04-21,37.51788330078125
2016-04-22,38.208045959472656
2016-04-25,38.0355110168457
2016-04-26,38.42851638793945
2016-04-27,38.572296142578125
2016-04-28,38.10260772705078
2016-04-29,38.0355110168457
2016-05-02,38.48602294921875
2016-05-03,38.208045959472656
2016-05-04,38.1121826171875
2016-05-05,38.06427001953125
2016-05-06,38.01634216308594
2016-05-09,37.78627395629883
2016-05-10,38.33265686035156
2016-05-11,37.95881652832031
2016-05-12,38.006752014160156
2016-05-13,37.73835372924805
2016-05-16,38.17929458618164
2016-05-17,38.0355110168457
2016-05-18,38.62980270385742
2016-05-19,38.236793518066406
2016-05-20,38.505191802978516
2016-05-23,38.41893005371094
2016-05-24,38.581886291503906
2016-05-25,38.562705993652344
2016-05-26,38.79275894165039
2016-05-27,39.02605438232422
2016-05-31,38.86284255981445
2016-06-01,38.82444381713867
2016-06-02,38.930049896240234
2016-06-03,38.65163803100586
2016-06-06,38.59403610229492
2016-06-07,38.555625915527344
2016-06-08,38.920448303222656
2016-06-09,38.49802780151367
2016-06-10,38.200408935546875
2016-06-13,38.12361526489258
2016-06-14,37.787593841552734
2016-06-15,37.90279006958008
2016-06-16,38.10439682006836
2016-06-17,38.4404296875
2016-06-20,38.4404296875
2016-06-21,38.72843933105469
2016-06-22,38.64204025268555
2016-06-23,39.32367706298828
2016-06-24,37.79719543457031
2016-06-27,36.80834197998047
2016-06-28,37.47077178955078
2016-06-29,38.32521057128906
2016-06-30,39.44847869873047
2016-07-01,39.275657653808594
2016-07-05,38.42121887207031
2016-07-06,38.52681350708008
2016-07-07,38.52681350708008
2016-07-08,39.15085220336914
2016-07-11,39.00685119628906
2016-07-12,39.56367492675781
2016-07-13,39.56367492675781
2016-07-14,39.832489013671875
2016-07-15,39.72688293457031
2016-07-18,39.59248352050781
2016-07-19,39.582881927490234
2016-07-20,39.53487777709961
2016-07-21,39.438865661621094
2016-07-22,39.650089263916016
2016-07-25,39.51567840576172
2016-07-26,39.640480041503906
2016-07-27,39.5540771484375
2016-07-28,39.54448699951172
2016-07-29,39.67887878417969
2016-08-01,38.901248931884766
2016-08-02,38.56521987915039
2016-08-03,38.834041595458984
2016-08-04,38.77644348144531
2016-08-05,39.506080627441406
2016-08-08,39.47726058959961
2016-08-09,39.573272705078125
2016-08-10,39.32367706298828
2016-08-11,39.61168670654297
2016-08-12,39.419677734375
2016-08-15,39.67887878417969
2016-08-16,39.53487777709961
2016-08-17,39.688480377197266
2016-08-18,39.9092903137207
2016-08-19,39.79408645629883
2016-08-22,39.813297271728516
2016-08-23,39.822906494140625
2016-08-24,39.813297271728516
2016-08-25,40.062904357910156
2016-08-26,39.774898529052734
2016-08-29,40.16238021850586
2016-08-30,40.191226959228516
2016-08-31,40.24892044067383
2016-09-01,39.720096588134766
2016-09-02,40.027774810791016
2016-09-06,39.95085144042969
2016-09-07,39.902767181396484
2016-09-08,40.16238021850586
2016-09-09,39.62393569946289
2016-09-12,40.143157958984375
2016-09-13,39.614315032958984
2016-09-14,39.13356399536133
2016-09-15,39.354713439941406
2016-09-16,38.62396240234375
2016-09-19,38.81626892089844
2016-09-20,38.758583068847656
2016-09-21,39.297019958496094
2016-09-22,39.56624221801758
2016-09-23,38.57588577270508
2016-09-26,38.36435317993164
2016-09-27,38.873958587646484
2016-09-28,39.364322662353516
2016-09-29,39.20087432861328
2016-09-30,39.56624221801758
2016-10-03,39.345088958740234
2016-10-04,39.297019958496094
2016-10-05,39.6720085144043
2016-10-06,39.575870513916016
2016-10-07,39.70086669921875
2016-10-10,39.95085144042969
2016-10-11,39.5950813293457
2016-10-12,39.796993255615234
2016-10-13,39.345088958740234
2016-10-14,39.55662536621094
2016-10-17,39.43162536621094
2016-10-18,39.70086669921875
2016-10-19,40.220069885253906
2016-10-20,39.81623077392578
2016-10-21,39.22972106933594
2016-10-24,39.31624984741211
2016-10-25,39.306640625
2016-10-26,39.306640625
2016-10-27,39.43162536621094
2016-10-28,39.44125747680664
2016-10-31,41.37388610839844
2016-11-01,40.729671478271484
2016-11-02,40.181610107421875
2016-11-03,40.23930740356445
2016-11-04,39.81623077392578
2016-11-07,40.220069885253906
2016-11-08,40.912357330322266
2016-11-09,41.47965621948242
2016-11-10,41.80656051635742
2016-11-11,41.7392692565918
2016-11-14,42.268096923828125
2016-11-15,42.24885177612305
2016-11-16,41.93157196044922
2016-11-17,42.296932220458984
2016-11-18,42.171939849853516
2016-11-21,42.49885559082031
2016-11-22,42.73924255371094
2016-11-23,43.03730773925781
2016-11-25,42.75846481323242
2016-11-28,42.684326171875
2016-11-29,42.7709846496582
2016-11-30,42.9924430847168
2016-12-01,43.339080810546875
2016-12-02,43.21391296386719
2016-12-05,43.531646728515625
2016-12-06,44.23454284667969
2016-12-07,44.764122009277344
2016-12-08,45.19743728637695
2016-12-09,45.61146545410156
2016-12-12,45.73664474487305
2016-12-13,45.93885040283203
2016-12-14,45.47666549682617
2016-12-15,45.678863525390625
2016-12-16,45.727012634277344
2016-12-19,45.66923141479492
2016-12-20,45.94847869873047
2016-12-21,46.12179183959961
2016-12-22,45.90996170043945
2016-12-23,45.746273040771484
2016-12-27,45.678863525390625
2016-12-28,45.43814468383789
2016-12-29,45.20707702636719
2016-12-30,45.09151840209961
2017-01-03,45.44778823852539
2017-01-04,45.15892791748047
2017-01-05,44.812286376953125
2017-01-06,45.014488220214844
2017-01-09,44.571563720703125
2017-01-10,44.7448844909668
2017-01-11,44.70636749267578
2017-01-12,44.436771392822266
2017-01-13,44.38861083984375
2017-01-17,43.98421096801758
2017-01-18,44.54267120361328
2017-01-19,44.00346755981445
2017-01-20,44.32122039794922
2017-01-23,44.22492599487305
2017-01-24,45.00486373901367
2017-01-25,45.34187316894531
2017-01-26,45.399635314941406
2017-01-27,44.966346740722656
2017-01-30,44.696739196777344
2017-01-31,44.850799560546875
2017-02-01,44.48489761352539
2017-02-02,44.552310943603516
2017-02-03,44.879676818847656
2017-02-06,44.773780822753906
2017-02-07,44.696739196777344
2017-02-08,44.533050537109375
2017-02-09,44.52341079711914
2017-02-10,44.7545051574707
2017-02-13,45.0722770690918
2017-02-14,45.2166862487793
2017-02-15,45.49592590332031
2017-02-16,45.3033447265625
2017-02-17,45.2359504699707
2017-02-21,45.370750427246094
2017-02-22,45.370750427246094
2017-02-23,45.65961456298828
2017-02-24,45.47666549682617
2017-02-27,45.392784118652344
2017-02-28,45.29636764526367
2017-03-01,46.106266021728516
2017-03-02,45.556678771972656
2017-03-03,45.971275329589844
2017-03-06,45.80738067626953
2017-03-07,45.74951934814453
2017-03-08,45.56633377075195
2017-03-09,45.45063400268555
2017-03-10,45.50848388671875
2017-03-13,45.46027755737305
2017-03-14,45.50848388671875
2017-03-15,45.83631134033203
2017-03-16,45.6723747253418
2017-03-17,45.51811981201172
2017-03-20,45.199951171875
2017-03-21,44.80463790893555
2017-03-22,44.57324981689453
2017-03-23,44.67930603027344
2017-03-24,44.390052795410156
2017-03-27,44.27435302734375
2017-03-28,44.82392883300781
2017-03-29,44.688961029052734
2017-03-30,45.180667877197266
2017-03-31,45.0938835144043
2017-04-03,45.06497573852539
2017-04-04,45.40243148803711
2017-04-05,45.31564712524414
2017-04-06,45.60491180419922
2017-04-07,45.547054290771484
2017-04-10,45.75917434692383
2017-04-11,45.51811981201172
2017-04-12,45.04568862915039
2017-04-13,44.476837158203125
2017-04-17,44.81429672241211
2017-04-18,44.5057487487793
2017-04-19,44.235801696777344
2017-04-20,44.40934753417969
2017-04-21,44.303287506103516
2017-04-24,45.36385726928711
2017-04-25,45.643470764160156
2017-04-26,45.74951934814453
2017-04-27,45.633819580078125
2017-04-28,44.94927978515625
2017-05-01,45.52777862548828
2017-05-02,45.36385726928711
2017-05-03,45.32529067993164
2017-05-04,45.074607849121094
2017-05-05,45.32529067993164
2017-05-08,45.08425521850586
2017-05-09,44.66967010498047
2017-05-10,44.785377502441406
2017-05-11,44.26472473144531
2017-05-12,44.12009048461914
2017-05-15,44.418983459472656
2017-05-16,44.71786117553711
2017-05-17,44.187583923339844
2017-05-18,44.39970397949219
2017-05-19,44.27435302734375
2017-05-22,44.70822525024414
2017-05-23,45.103546142578125
2017-05-24,44.82392883300781
2017-05-25,45.074607849121094
2017-05-26,45.26094436645508
2017-05-30,45.26094436645508
2017-05-31,45.531272888183594
2017-06-01,46.0236701965332
2017-06-02,45.66644287109375
2017-06-05,45.511966705322266
2017-06-06,45.14508056640625
2017-06-07,45.04854202270508
2017-06-08,45.087162017822266
2017-06-09,45.830570220947266
2017-06-12,46.00435256958008
2017-06-13,46.12021255493164
2017-06-14,46.01401138305664
2017-06-15,46.39053726196289
2017-06-16,46.47743225097656
2017-06-19,46.33260726928711
2017-06-20,45.86919403076172
2017-06-21,45.2030143737793
2017-06-22,44.797542572021484
2017-06-23,44.681671142578125
2017-06-26,45.00026321411133
2017-06-27,45.009918212890625
2017-06-28,45.347843170166016
2017-06-29,45.212669372558594
2017-06-30,45.19336700439453
2017-07-03,45.76298904418945
2017-07-05,45.38645553588867
2017-07-06,45.164398193359375
2017-07-07,45.579559326171875
2017-07-10,45.5216178894043
2017-07-11,45.28025817871094
2017-07-12,45.17404556274414
2017-07-13,45.30921173095703
2017-07-14,45.32854461669922
2017-07-17,45.5216178894043
2017-07-18,45.6085205078125
2017-07-19,46.255374908447266
2017-07-20,46.149169921875
2017-07-21,46.23606491088867
2017-07-24,46.36158752441406
2017-07-25,46.805686950683594
2017-07-26,46.45811080932617
2017-07-27,46.45811080932617
2017-07-28,46.59327697753906
2017-07-31,46.9987678527832
2017-08-01,47.49116516113281
2017-08-02,47.423580169677734
2017-08-03,47.27876663208008
2017-08-04,47.44289016723633
2017-08-07,47.32704162597656
2017-08-08,47.24980163574219
2017-08-09,47.182220458984375
2017-08-10,46.90224075317383
2017-08-11,46.602943420410156
2017-08-14,46.76707077026367
2017-08-15,46.69948196411133
2017-08-16,46.64156723022461
2017-08-17,45.79195022583008
2017-08-18,45.9367790222168
2017-08-21,45.76298904418945
2017-08-22,46.12021255493164
2017-08-23,45.84988784790039
2017-08-24,45.579559326171875
2017-08-25,45.8402214050293
2017-08-28,45.34041976928711
2017-08-29,45.06972122192383
2017-08-30,45.06972122192383
2017-08-31,45.03105926513672
2017-09-01,45.35008239746094
2017-09-05,44.3156623840332
2017-09-06,44.63468933105469
2017-09-07,43.61960220336914
2017-09-08,44.441349029541016
2017-09-11,45.176055908203125
2017-09-12,45.32107925415039
2017-09-13,45.591766357421875
2017-09-14,45.6497802734375
2017-09-15,45.910804748535156
2017-09-18,45.92045974731445
2017-09-19,46.104148864746094
2017-09-20,46.20081329345703
2017-09-21,46.12347412109375
2017-09-22,46.02680969238281
2017-09-25,46.20081329345703
