,BRO
2015-11-10,14.710214614868164
2015-11-11,14.765413284301758
2015-11-12,14.641215324401855
2015-11-13,14.415827751159668
2015-11-16,14.576821327209473
2015-11-17,14.517024040222168
2015-11-18,14.797612190246582
2015-11-19,14.829811096191406
2015-11-20,14.986207008361816
2015-11-23,14.917210578918457
2015-11-24,14.949405670166016
2015-11-25,14.898810386657715
2015-11-27,14.903409957885742
2015-11-30,14.93100643157959
2015-12-01,15.087396621704102
2015-12-02,15.050605773925781
2015-12-03,14.885009765625
2015-12-04,15.188596725463867
2015-12-07,15.211592674255371
2015-12-08,15.000001907348633
2015-12-09,14.839007377624512
2015-12-10,14.797612190246582
2015-12-11,14.728614807128906
2015-12-14,14.678019523620605
2015-12-15,14.908010482788086
2015-12-16,14.793012619018555
2015-12-17,14.56302547454834
2015-12-18,14.374432563781738
2015-12-21,14.549223899841309
2015-12-22,14.572221755981445
2015-12-23,14.751614570617676
2015-12-24,14.756214141845703
2015-12-28,14.774613380432129
2015-12-29,14.926405906677246
2015-12-30,14.875808715820312
2015-12-31,14.765413284301758
2016-01-04,14.549223899841309
2016-01-05,14.687216758728027
2016-01-06,14.434228897094727
2016-01-07,14.001847267150879
2016-01-08,13.891449928283691
2016-01-11,13.942045211791992
2016-01-12,13.97884464263916
2016-01-13,13.75345230102539
2016-01-14,14.020244598388672
2016-01-15,13.739654541015625
2016-01-19,13.633857727050781
2016-01-20,13.385469436645508
2016-01-21,13.394669532775879
2016-01-22,13.52346420288086
2016-01-25,13.27967357635498
2016-01-26,13.666056632995605
2016-01-27,13.371667861938477
2016-01-28,13.440669059753418
2016-01-29,13.914446830749512
2016-02-01,14.072866439819336
2016-02-02,13.975874900817871
2016-02-03,14.206804275512695
2016-02-04,14.516250610351562
2016-02-05,14.548582077026367
2016-02-08,14.65942668914795
2016-02-09,14.5762939453125
2016-02-10,14.423877716064453
2016-02-11,14.340743064880371
2016-02-12,14.488537788391113
2016-02-16,14.497776985168457
2016-02-17,14.539340019226074
2016-02-18,14.585527420043945
2016-02-19,14.539340019226074
2016-02-22,14.714852333068848
2016-02-23,14.691755294799805
2016-02-24,14.673283576965332
2016-02-25,14.816459655761719
2016-02-26,14.987346649169922
2016-02-29,14.922686576843262
2016-03-01,15.185948371887207
2016-03-02,15.232132911682129
2016-03-03,15.26908016204834
2016-03-04,15.532344818115234
2016-03-07,15.60623836517334
2016-03-08,15.421496391296387
2016-03-09,15.601622581481934
2016-03-10,15.620096206665039
2016-03-11,15.869500160217285
2016-03-14,15.832548141479492
2016-03-15,15.897211074829102
2016-03-16,15.864884376525879
2016-03-17,16.178943634033203
2016-03-18,16.25746726989746
2016-03-21,16.331356048583984
2016-03-22,16.382165908813477
2016-03-23,16.18817710876465
2016-03-24,16.266698837280273
2016-03-28,16.32674217224121
2016-03-29,16.46991539001465
2016-03-30,16.45606803894043
2016-03-31,16.534578323364258
2016-04-01,16.446826934814453
2016-04-04,16.363689422607422
2016-04-05,16.178943634033203
2016-04-06,16.192808151245117
2016-04-07,16.00344467163086
2016-04-08,15.998819351196289
2016-04-11,16.045011520385742
2016-04-12,16.192808151245117
2016-04-13,16.396020889282227
2016-04-14,16.405254364013672
2016-04-15,16.405254364013672
2016-04-18,16.6269474029541
2016-04-19,15.934162139892578
2016-04-20,15.998819351196289
2016-04-21,15.841791152954102
2016-04-22,16.021913528442383
2016-04-25,16.16509246826172
2016-04-26,16.308271408081055
2016-04-27,16.275938034057617
2016-04-28,16.137380599975586
2016-04-29,16.215896606445312
2016-05-02,16.396020889282227
2016-05-03,16.322124481201172
2016-05-04,16.252845764160156
2016-05-05,16.28203582763672
2016-05-06,16.170808792114258
2016-05-09,16.29131317138672
2016-05-10,16.47207260131836
2016-05-11,16.309850692749023
2016-05-12,16.356197357177734
2016-05-13,16.28203582763672
2016-05-16,16.416454315185547
2016-05-17,16.249595642089844
2016-05-18,16.38864517211914
2016-05-19,16.29131317138672
2016-05-20,16.31448745727539
2016-05-23,16.249595642089844
2016-05-24,16.499881744384766
2016-05-25,16.569400787353516
2016-05-26,16.620380401611328
2016-05-27,16.671367645263672
2016-05-31,16.713077545166016
2016-06-01,16.694541931152344
2016-06-02,16.759431838989258
2016-06-03,16.676000595092773
2016-06-06,16.759431838989258
2016-06-07,16.833587646484375
2016-06-08,16.87529754638672
2016-06-09,16.949451446533203
2016-06-10,16.87529754638672
2016-06-13,16.680633544921875
2016-06-14,16.569400787353516
2016-06-15,16.476701736450195
2016-06-16,16.532323837280273
2016-06-17,16.504512786865234
2016-06-20,16.662097930908203
2016-06-21,16.833587646484375
2016-06-22,16.847488403320312
2016-06-23,17.13947296142578
2016-06-24,16.504512786865234
2016-06-27,16.138368606567383
2016-06-28,16.58794593811035
2016-06-29,16.912372589111328
2016-06-30,17.36659049987793
2016-07-01,17.195096969604492
2016-07-05,17.014339447021484
2016-07-06,17.11167335510254
2016-07-07,17.05141830444336
2016-07-08,17.306331634521484
2016-07-11,17.13947296142578
2016-07-12,17.102401733398438
2016-07-13,16.92627716064453
2016-07-14,16.731618881225586
2016-07-15,16.703813552856445
2016-07-18,16.63892936706543
2016-07-19,17.338781356811523
2016-07-20,17.26462173461914
2016-07-21,17.097763061523438
2016-07-22,17.181196212768555
2016-07-25,17.19973373413086
2016-07-26,17.134845733642578
2016-07-27,17.06995964050293
2016-07-28,17.074596405029297
2016-07-29,16.99116325378418
2016-08-01,16.972625732421875
2016-08-02,16.912372589111328
2016-08-03,16.963350296020508
2016-08-04,16.917009353637695
2016-08-05,17.136978149414062
2016-08-08,17.188135147094727
2016-08-09,17.136978149414062
2016-08-10,17.090473175048828
2016-08-11,17.10442352294922
2016-08-12,16.978857040405273
2016-08-15,17.006763458251953
2016-08-16,16.84864616394043
2016-08-17,16.909103393554688
2016-08-18,16.988162994384766
2016-08-19,17.006763458251953
2016-08-22,17.099775314331055
2016-08-23,17.090473175048828
2016-08-24,17.136978149414062
2016-08-25,17.18348503112793
2016-08-26,17.150924682617188
2016-08-29,17.378803253173828
2016-08-30,17.383451461791992
2016-08-31,17.425310134887695
