,EXC
2019-08-21,26.885026931762695
2019-08-22,26.93235969543457
2019-08-23,26.553699493408203
2019-08-26,27.027027130126953
2019-08-27,27.358352661132812
2019-08-28,27.470766067504883
2019-08-29,27.660099029541016
2019-08-30,27.96184730529785
2019-09-03,28.35234260559082
2019-09-04,28.399677276611328
2019-09-05,28.47066879272461
2019-09-06,28.47066879272461
2019-09-09,28.417421340942383
2019-09-10,28.60675048828125
2019-09-11,28.831584930419922
2019-09-12,28.32866859436035
2019-09-13,27.967758178710938
2019-09-16,28.032838821411133
2019-09-17,27.97959327697754
2019-09-18,28.364171981811523
2019-09-19,28.281339645385742
2019-09-20,28.665916442871094
2019-09-23,28.583084106445312
2019-09-24,28.872997283935547
2019-09-25,28.997249603271484
2019-09-26,29.097827911376953
2019-09-27,28.742834091186523
2019-09-30,28.583084106445312
2019-10-01,28.387842178344727
2019-10-02,28.174840927124023
2019-10-03,28.2340087890625
2019-10-04,28.665916442871094
2019-10-07,28.671836853027344
2019-10-08,28.263587951660156
2019-10-09,28.34642219543457
2019-10-10,28.0565128326416
2019-10-11,28.109756469726562
2019-10-14,27.873092651367188
2019-10-15,27.84351921081543
2019-10-16,26.57144546508789
2019-10-17,26.068532943725586
2019-10-18,26.429439544677734
2019-10-21,26.45311164855957
2019-10-22,26.772611618041992
2019-10-23,27.0092716217041
2019-10-24,27.322847366333008
2019-10-25,27.151273727416992
2019-10-28,26.979690551757812
2019-10-29,27.13351821899414
2019-10-30,27.606849670410156
2019-10-31,26.914609909057617
2019-11-01,26.82586097717285
2019-11-04,26.32886505126953
2019-11-05,26.494531631469727
2019-11-06,26.51819610595703
2019-11-07,26.447195053100586
2019-11-08,26.45311164855957
2019-11-11,26.04486656188965
2019-11-12,26.222362518310547
2019-11-13,26.32886505126953
2019-11-14,26.622947692871094
2019-11-15,26.855594635009766
2019-11-18,27.088237762451172
2019-11-19,27.064380645751953
2019-11-20,27.05841636657715
2019-11-21,26.479787826538086
2019-11-22,26.503646850585938
2019-11-25,26.348548889160156
2019-11-26,26.25310516357422
2019-11-27,26.408203125
2019-11-29,26.485750198364258
2019-12-02,26.19345474243164
2019-12-03,26.40223503112793
2019-12-04,26.56926727294922
2019-12-05,26.760150909423828
2019-12-06,26.760150909423828
2019-12-09,26.801908493041992
2019-12-10,26.676639556884766
2019-12-11,26.36644744873047
2019-12-12,26.306795120239258
2019-12-13,26.13976287841797
2019-12-16,26.66470718383789
2019-12-17,26.831735610961914
2019-12-18,27.064380645751953
2019-12-19,26.831735610961914
2019-12-20,27.112096786499023
2019-12-23,26.962968826293945
2019-12-24,27.03455352783203
2019-12-26,27.03455352783203
2019-12-27,27.088237762451172
2019-12-30,27.07034683227539
2019-12-31,27.195615768432617
2020-01-02,27.100170135498047
2020-01-03,27.183687210083008
2020-01-06,27.22544288635254
2020-01-07,27.24930763244629
2020-01-08,27.44615936279297
2020-01-09,27.5296630859375
2020-01-10,27.595287322998047
2020-01-13,27.553529739379883
2020-01-14,27.326845169067383
2020-01-15,27.768285751342773
2020-01-16,27.881616592407227
2020-01-17,28.269357681274414
2020-01-21,28.382699966430664
2020-01-22,28.430423736572266
2020-01-23,28.60341453552246
2020-01-24,28.47218132019043
2020-01-27,28.197776794433594
2020-01-28,28.47218132019043
2020-01-29,28.519901275634766
2020-01-30,28.66904067993164
2020-01-31,28.388662338256836
2020-02-03,28.752552032470703
2020-02-04,28.686925888061523
2020-02-05,28.830095291137695
2020-02-06,28.788341522216797
2020-02-07,28.74658203125
2020-02-10,28.81816291809082
2020-02-11,29.43259048461914
2020-02-12,29.384862899780273
2020-02-13,29.569782257080078
2020-02-14,29.683134078979492
2020-02-18,30.052976608276367
2020-02-19,29.81434440612793
2020-02-20,29.964618682861328
2020-02-21,29.886470794677734
2020-02-24,29.345487594604492
2020-02-25,28.630176544189453
2020-02-26,28.281543731689453
2020-02-27,27.133453369140625
2020-02-28,25.913232803344727
2020-03-02,27.307769775390625
2020-03-03,26.562416076660156
2020-03-04,28.14329719543457
2020-03-05,27.728538513183594
2020-03-06,27.151485443115234
2020-03-09,25.191917419433594
2020-03-10,25.91924476623535
2020-03-11,23.929615020751953
2020-03-12,21.200637817382812
2020-03-13,21.8558349609375
2020-03-16,18.33942413330078
2020-03-17,21.63943862915039
2020-03-18,19.860197067260742
2020-03-19,19.48150634765625
2020-03-20,18.633962631225586
2020-03-23,18.02084732055664
2020-03-24,20.743806838989258
2020-03-25,20.767852783203125
2020-03-26,21.994083404541016
2020-03-27,21.338891983032227
2020-03-30,22.3787841796875
2020-03-31,22.126325607299805
2020-04-01,20.12468147277832
2020-04-02,20.845991134643555
2020-04-03,19.68587875366211
2020-04-06,21.831789016723633
2020-04-07,21.513208389282227
2020-04-08,22.595186233520508
2020-04-09,23.532888412475586
2020-04-13,22.691356658935547
2020-04-14,23.484804153442383
2020-04-15,22.258569717407227
2020-04-16,22.300642013549805
2020-04-17,23.106115341186523
2020-04-20,22.282615661621094
2020-04-21,21.447092056274414
2020-04-22,22.36075782775879
2020-04-23,21.831789016723633
2020-04-24,22.000093460083008
2020-04-27,22.73944664001465
2020-04-28,22.745452880859375
2020-04-29,23.033981323242188
2020-04-30,22.28862190246582
2020-05-01,21.51922035217285
2020-05-04,21.308837890625
2020-05-05,21.561298370361328
2020-05-06,20.72577476501465
2020-05-07,21.062389373779297
2020-05-08,22.499008178710938
2020-05-11,22.408845901489258
2020-05-12,22.138349533081055
2020-05-13,21.447092056274414
2020-05-14,21.93501091003418
2020-05-15,21.442838668823242
2020-05-18,22.809974670410156
2020-05-19,22.305654525756836
2020-05-20,22.46363639831543
2020-05-21,22.1415958404541
2020-05-22,22.390718460083008
2020-05-26,22.846437454223633
2020-05-27,23.053024291992188
2020-05-28,23.247461318969727
2020-05-29,23.277847290039062
2020-06-01,23.599882125854492
2020-06-02,23.654565811157227
2020-06-03,24.250032424926758
2020-06-04,23.684946060180664
2020-06-05,24.523460388183594
2020-06-08,25.43488883972168
2020-06-09,24.614606857299805
2020-06-10,24.304718017578125
2020-06-11,23.119863510131836
2020-06-12,23.0347957611084
2020-06-15,23.277847290039062
2020-06-16,23.447975158691406
2020-06-17,23.362911224365234
2020-06-18,23.21100425720215
2020-06-19,22.803895950317383
2020-06-22,22.82820701599121
2020-06-23,22.633766174316406
2020-06-24,22.159822463989258
2020-06-25,21.521825790405273
2020-06-26,21.090417861938477
2020-06-29,21.868167877197266
2020-06-30,22.050453186035156
2020-07-01,22.700605392456055
2020-07-02,22.773517608642578
2020-07-06,22.724910736083984
2020-07-07,22.481863021850586
2020-07-08,22.573007583618164
2020-07-09,22.25096893310547
2020-07-10,22.718833923339844
2020-07-13,22.76744270324707
2020-07-14,23.0104923248291
2020-07-15,23.119863510131836
2020-07-16,23.125940322875977
2020-07-17,23.940147399902344
2020-07-20,23.283918380737305
2020-07-21,23.53304672241211
2020-07-22,23.691022872924805
2020-07-23,23.47835922241211
2020-07-24,22.967960357666016
2020-07-27,22.83428192138672
2020-07-28,23.071252822875977
2020-07-29,23.429746627807617
2020-07-30,23.375062942504883
2020-07-31,23.460128784179688
2020-08-03,23.08340835571289
2020-08-04,23.545202255249023
2020-08-05,22.919349670410156
2020-08-06,23.028718948364258
2020-08-07,23.654565811157227
2020-08-10,23.277847290039062
2020-08-11,23.028718948364258
