,LMT
2015-02-12,151.0626678466797
2015-02-13,150.6573028564453
2015-02-17,151.131591796875
2015-02-18,151.8965301513672
2015-02-19,154.2985076904297
2015-02-20,156.04254150390625
2015-02-23,157.26651000976562
2015-02-24,158.05438232421875
2015-02-25,156.70811462402344
2015-02-26,155.1437530517578
2015-02-27,154.1574249267578
2015-03-02,156.44606018066406
2015-03-03,154.06497192382812
2015-03-04,153.3251190185547
2015-03-05,153.42539978027344
2015-03-06,152.315673828125
2015-03-09,153.91848754882812
2015-03-10,152.2540283203125
2015-03-11,151.96893310546875
2015-03-12,153.1787872314453
2015-03-13,151.89190673828125
2015-03-16,155.74484252929688
2015-03-17,154.63519287109375
2015-03-18,156.1224365234375
2015-03-19,155.80650329589844
2015-03-20,157.02401733398438
2015-03-23,156.36904907226562
2015-03-24,156.661865234375
2015-03-25,153.3637237548828
2015-03-26,154.5504150390625
2015-03-27,155.83729553222656
2015-03-30,157.8870849609375
2015-03-31,156.3998565673828
2015-04-01,153.1633758544922
2015-04-02,153.1325225830078
2015-04-06,154.5272979736328
2015-04-07,154.23446655273438
2015-04-08,154.7430877685547
2015-04-09,155.22854614257812
2015-04-10,154.42713928222656
2015-04-13,151.8456268310547
2015-04-14,152.069091796875
2015-04-15,151.96893310546875
2015-04-16,151.8995361328125
2015-04-17,150.12722778320312
2015-04-20,151.6529998779297
2015-04-21,151.25997924804688
2015-04-22,152.29257202148438
2015-04-23,151.96119689941406
2015-04-24,150.55108642578125
2015-04-27,149.37203979492188
2015-04-28,149.5106964111328
2015-04-29,147.406982421875
2015-04-30,143.79290771484375
2015-05-01,145.64234924316406
2015-05-04,146.174072265625
2015-05-05,144.37088012695312
2015-05-06,143.97018432617188
2015-05-07,145.0335693359375
2015-05-08,146.78282165527344
2015-05-11,146.775146484375
2015-05-12,146.88304138183594
2015-05-13,147.18350219726562
2015-05-14,148.7632293701172
2015-05-15,148.23155212402344
2015-05-18,148.78634643554688
2015-05-19,149.01756286621094
2015-05-20,148.91738891601562
2015-05-21,148.8094940185547
2015-05-22,148.61688232421875
2015-05-26,146.80592346191406
2015-05-27,147.45326232910156
2015-05-28,147.6629638671875
2015-05-29,146.17169189453125
2015-06-01,148.40081787109375
2015-06-02,148.16783142089844
2015-06-03,149.03768920898438
2015-06-04,147.7018280029297
2015-06-05,147.04937744140625
2015-06-08,147.0803985595703
2015-06-09,147.06492614746094
2015-06-10,147.01055908203125
2015-06-11,148.71922302246094
2015-06-12,148.33090209960938
2015-06-15,147.50762939453125
2015-06-16,148.20664978027344
2015-06-17,148.3619842529297
2015-06-18,149.7056121826172
2015-06-19,148.4552001953125
2015-06-22,149.18519592285156
2015-06-23,148.84352111816406
2015-06-24,147.7018280029297
2015-06-25,147.56195068359375
2015-06-26,146.51345825195312
2015-06-29,144.0902557373047
2015-06-30,144.38534545898438
2015-07-01,146.14840698242188
2015-07-02,145.47268676757812
2015-07-06,146.00863647460938
2015-07-07,147.6939697265625
2015-07-08,147.60861206054688
2015-07-09,149.22412109375
2015-07-10,150.8240203857422
2015-07-13,153.68997192382812
2015-07-14,154.59872436523438
2015-07-15,154.87832641601562
2015-07-16,156.59481811523438
2015-07-17,156.25303649902344
2015-07-20,159.32093811035156
2015-07-21,157.7830810546875
2015-07-22,157.5035400390625
2015-07-23,157.53457641601562
2015-07-24,156.14431762695312
2015-07-27,156.24530029296875
2015-07-28,158.15597534179688
2015-07-29,161.6665496826172
2015-07-30,160.36166381835938
2015-07-31,160.8509979248047
2015-08-03,161.3868865966797
2015-08-04,162.7383270263672
2015-08-05,162.66070556640625
2015-08-06,162.52862548828125
2015-08-07,162.39659118652344
2015-08-10,163.70916748046875
2015-08-11,162.21798706054688
2015-08-12,162.1558837890625
2015-08-13,162.94029235839844
2015-08-14,164.6256866455078
2015-08-17,165.44898986816406
2015-08-18,165.17713928222656
2015-08-19,164.09751892089844
2015-08-20,162.42762756347656
2015-08-21,158.97142028808594
2015-08-24,153.3638153076172
2015-08-25,154.54432678222656
2015-08-26,156.98316955566406
2015-08-27,159.55392456054688
2015-08-28,159.53048706054688
2015-08-31,157.40235900878906
2015-09-01,154.61703491210938
2015-09-02,159.6400146484375
2015-09-03,160.54757690429688
2015-09-04,158.52902221679688
2015-09-08,161.96371459960938
2015-09-09,160.12510681152344
2015-09-10,161.2908935546875
2015-09-11,161.8072509765625
2015-09-14,161.17352294921875
2015-09-15,162.6131134033203
2015-09-16,162.39407348632812
2015-09-17,162.42535400390625
2015-09-18,159.06887817382812
2015-09-21,159.88258361816406
2015-09-22,159.3426971435547
2015-09-23,158.6464080810547
2015-09-24,160.203369140625
2015-09-25,159.52268981933594
2015-09-28,156.65130615234375
2015-09-29,158.4116668701172
2015-09-30,162.198486328125
2015-10-01,160.195556640625
2015-10-02,161.65081787109375
2015-10-05,165.6566162109375
2015-10-06,164.6160430908203
2015-10-07,166.6111602783203
2015-10-08,167.72215270996094
2015-10-09,166.85365295410156
2015-10-12,167.6908721923828
2015-10-13,165.8522491455078
2015-10-14,162.85565185546875
2015-10-15,163.66151428222656
2015-10-16,164.13095092773438
2015-10-19,164.80381774902344
2015-10-20,163.3094482421875
2015-10-21,165.52362060546875
2015-10-22,169.39649963378906
2015-10-23,171.59507751464844
2015-10-26,172.86248779296875
2015-10-27,174.5055389404297
2015-10-28,172.9407501220703
2015-10-29,170.7578582763672
2015-10-30,171.9940643310547
2015-11-02,172.5886688232422
2015-11-03,171.26646423339844
2015-11-04,171.21165466308594
2015-11-05,171.03170776367188
2015-11-06,169.49037170410156
2015-11-09,167.9803466796875
2015-11-10,167.48744201660156
2015-11-11,168.30113220214844
2015-11-12,167.10409545898438
2015-11-13,166.77548217773438
2015-11-16,172.65127563476562
2015-11-17,173.99696350097656
2015-11-18,174.6464080810547
2015-11-19,175.25660705566406
2015-11-20,176.8683624267578
2015-11-23,176.8449249267578
2015-11-24,177.15786743164062
2015-11-25,176.66500854492188
2015-11-27,178.05209350585938
2015-11-30,172.73208618164062
2015-12-01,173.55174255371094
2015-12-02,172.5586700439453
2015-12-03,169.8158721923828
2015-12-04,172.12522888183594
2015-12-07,172.70840454101562
2015-12-08,172.4562225341797
2015-12-09,171.4552001953125
2015-12-10,172.5113983154297
2015-12-11,171.18728637695312
2015-12-14,170.6986083984375
2015-12-15,169.32723999023438
2015-12-16,171.42372131347656
2015-12-17,169.62672424316406
2015-12-18,167.23074340820312
2015-12-21,169.82379150390625
2015-12-22,171.48680114746094
2015-12-23,171.7626190185547
2015-12-24,172.2591552734375
2015-12-28,172.14093017578125
2015-12-29,173.76454162597656
2015-12-30,173.2364501953125
2015-12-31,171.14784240722656
2016-01-04,168.0425262451172
2016-01-05,172.02267456054688
2016-01-06,171.52615356445312
2016-01-07,168.1055908203125
2016-01-08,167.8060760498047
2016-01-11,169.7292022705078
2016-01-12,171.7863006591797
2016-01-13,168.9804229736328
2016-01-14,170.572509765625
2016-01-15,170.23361206054688
2016-01-19,169.6819610595703
2016-01-20,165.8278350830078
2016-01-21,166.13519287109375
2016-01-22,167.12042236328125
2016-01-25,166.30860900878906
2016-01-26,165.45733642578125
2016-01-27,163.82591247558594
2016-01-28,162.88011169433594
2016-01-29,166.3007354736328
2016-02-01,165.35494995117188
2016-02-02,165.86724853515625
2016-02-03,167.81399536132812
2016-02-04,165.67807006835938
2016-02-05,167.04161071777344
2016-02-08,169.08291625976562
2016-02-09,170.2257537841797
2016-02-10,168.62574768066406
2016-02-11,163.28997802734375
2016-02-12,162.4229736328125
2016-02-16,164.7244415283203
2016-02-17,167.67208862304688
2016-02-18,168.8228302001953
2016-02-19,168.3656768798828
2016-02-22,169.46119689941406
2016-02-23,169.571533203125
2016-02-24,170.7379913330078
2016-02-25,173.41775512695312
2016-02-26,172.512451171875
2016-02-29,171.36102294921875
2016-03-01,173.21920776367188
2016-03-02,172.480712890625
2016-03-03,173.52894592285156
2016-03-04,173.68777465820312
2016-03-07,171.40072631835938
2016-03-08,171.00364685058594
2016-03-09,171.8533935546875
2016-03-10,171.9724578857422
2016-03-11,172.36160278320312
2016-03-14,172.00425720214844
2016-03-15,172.36160278320312
2016-03-16,173.26686096191406
2016-03-17,174.10865783691406
2016-03-18,175.4268798828125
2016-03-21,175.70480346679688
2016-03-22,175.2838897705078
2016-03-23,175.70480346679688
2016-03-24,173.11599731445312
2016-03-28,173.9577178955078
2016-03-29,175.30772399902344
2016-03-30,177.05479431152344
2016-03-31,175.8953857421875
2016-04-01,177.1738739013672
2016-04-04,177.98390197753906
2016-04-05,179.16709899902344
2016-04-06,179.9691619873047
2016-04-07,179.85003662109375
2016-04-08,179.70713806152344
2016-04-11,178.39678955078125
2016-04-12,179.4530029296875
2016-04-13,179.7706756591797
2016-04-14,179.02420043945312
2016-04-15,179.31797790527344
2016-04-18,180.37417602539062
2016-04-19,179.8738555908203
2016-04-20,179.92947387695312
2016-04-21,179.52444458007812
2016-04-22,180.12802124023438
2016-04-25,179.70713806152344
2016-04-26,184.36061096191406
2016-04-27,185.54385375976562
2016-04-28,184.8052978515625
2016-04-29,184.53526306152344
2016-05-02,185.2182159423828
2016-05-03,186.37765502929688
2016-05-04,187.41790771484375
2016-05-05,189.10940551757812
2016-05-06,190.79286193847656
2016-05-09,190.84051513671875
2016-05-10,194.04869079589844
2016-05-11,192.0396270751953
2016-05-12,194.50929260253906
2016-05-13,192.26995849609375
2016-05-16,192.94491577148438
2016-05-17,191.8013916015625
2016-05-18,191.84109497070312
2016-05-19,189.70497131347656
2016-05-20,190.6420135498047
2016-05-23,190.20523071289062
2016-05-24,191.35671997070312
2016-05-25,191.2534942626953
2016-05-26,191.80934143066406
2016-05-27,191.9692840576172
2016-05-31,188.88290405273438
2016-06-01,190.36212158203125
2016-06-02,190.1621856689453
2016-06-03,191.03375244140625
