,WYNN
2017-03-22,103.87353515625
2017-03-23,102.92965698242188
2017-03-24,102.56307220458984
2017-03-27,105.06485748291016
2017-03-28,105.5505599975586
2017-03-29,105.8346176147461
2017-03-30,104.74412536621094
2017-03-31,105.02818298339844
2017-04-03,106.61355590820312
2017-04-04,106.98011016845703
2017-04-05,106.92513275146484
2017-04-06,107.99732208251953
2017-04-07,107.06258392333984
2017-04-10,106.46693420410156
2017-04-11,106.51274871826172
2017-04-12,105.74298095703125
2017-04-13,103.98350524902344
2017-04-17,105.05567169189453
2017-04-18,106.20117950439453
2017-04-19,105.33062744140625
2017-04-20,106.43946838378906
2017-04-21,106.21035766601562
2017-04-24,105.90792846679688
2017-04-25,108.33638000488281
2017-04-26,114.7236557006836
2017-04-27,114.09136199951172
2017-04-28,112.72592163085938
2017-05-01,115.39264678955078
2017-05-02,114.8244857788086
2017-05-03,115.32847595214844
2017-05-04,113.9264144897461
2017-05-05,111.92866516113281
2017-05-08,110.15084075927734
2017-05-09,113.61088562011719
2017-05-10,113.43604278564453
2017-05-11,112.47901916503906
2017-05-12,115.29490661621094
2017-05-15,115.66300964355469
2017-05-16,117.70590209960938
2017-05-17,112.8379135131836
2017-05-18,112.65385437011719
2017-05-19,112.0189208984375
2017-05-22,115.17527770996094
2017-05-23,114.2458724975586
2017-05-24,114.10783386230469
2017-05-25,114.51272583007812
2017-05-26,115.6998062133789
2017-05-30,116.48199462890625
2017-05-31,118.4328842163086
2017-06-01,122.93275451660156
2017-06-02,123.93580627441406
2017-06-05,122.64749145507812
2017-06-06,122.02173614501953
2017-06-07,121.7548828125
2017-06-08,123.9818344116211
2017-06-09,119.25186157226562
2017-06-12,119.85921478271484
2017-06-13,123.457275390625
2017-06-14,122.84075927734375
2017-06-15,123.34686279296875
2017-06-16,123.7333755493164
2017-06-19,127.37742614746094
2017-06-20,126.19039154052734
2017-06-21,126.49405670166016
2017-06-22,126.11675262451172
2017-06-23,127.28540802001953
2017-06-26,126.208740234375
2017-06-27,124.81002044677734
2017-06-28,125.09529113769531
2017-06-29,122.16897583007812
2017-06-30,123.42045593261719
2017-07-03,120.55858612060547
2017-07-05,121.8561019897461
2017-07-06,120.466552734375
2017-07-07,121.89293670654297
2017-07-10,124.1843032836914
2017-07-11,123.5769271850586
2017-07-12,124.47872924804688
2017-07-13,124.21186828613281
2017-07-14,120.0156478881836
2017-07-17,119.49114227294922
2017-07-18,122.89598083496094
2017-07-19,122.5462646484375
2017-07-20,121.46958923339844
2017-07-21,123.43888854980469
2017-07-24,127.47871398925781
2017-07-25,127.89275360107422
2017-07-26,121.46958923339844
2017-07-27,117.80711364746094
2017-07-28,118.34085845947266
2017-07-31,119.02179718017578
2017-08-01,117.78871154785156
2017-08-02,115.90225219726562
2017-08-03,116.26113891601562
2017-08-04,117.33782196044922
2017-08-07,119.8407974243164
2017-08-08,120.15489196777344
2017-08-09,119.9516830444336
2017-08-10,116.41361236572266
2017-08-11,116.0533447265625
2017-08-14,118.4089584350586
2017-08-15,125.9931411743164
2017-08-16,126.04853820800781
2017-08-17,124.3580322265625
2017-08-18,124.61669921875
2017-08-21,125.3003158569336
2017-08-22,125.77141571044922
2017-08-23,124.47815704345703
2017-08-24,123.87772369384766
2017-08-25,124.38578033447266
2017-08-28,123.69291687011719
2017-08-29,124.94002532958984
2017-08-30,125.72525787353516
2017-08-31,128.3949737548828
2017-09-01,132.4872589111328
2017-09-05,131.6373748779297
2017-09-06,132.45030212402344
2017-09-07,134.63963317871094
2017-09-08,133.42022705078125
2017-09-11,134.7781524658203
2017-09-12,134.79666137695312
2017-09-13,134.3809814453125
2017-09-14,133.11541748046875
2017-09-15,132.30247497558594
2017-09-18,132.87521362304688
2017-09-19,135.80355834960938
2017-09-20,134.58419799804688
2017-09-21,134.31626892089844
2017-09-22,133.86363220214844
2017-09-25,130.37184143066406
2017-09-26,133.59576416015625
2017-09-27,134.20545959472656
2017-09-28,133.3740692138672
2017-09-29,137.56797790527344
2017-10-02,135.85902404785156
2017-10-03,135.87747192382812
2017-10-04,135.76666259765625
2017-10-05,135.75741577148438
2017-10-06,132.9675750732422
2017-10-09,132.4410400390625
2017-10-10,131.67433166503906
2017-10-11,132.34869384765625
2017-10-12,130.030029296875
2017-10-13,131.4803466796875
2017-10-16,135.6188507080078
2017-10-17,135.24008178710938
2017-10-18,134.2516326904297
2017-10-19,134.4364013671875
2017-10-20,133.4294891357422
2017-10-23,133.72511291503906
2017-10-24,133.86363220214844
2017-10-25,132.5703582763672
2017-10-26,134.2608642578125
2017-10-27,132.23785400390625
2017-10-30,130.44569396972656
2017-10-31,136.2469940185547
2017-11-01,139.9974822998047
2017-11-02,138.6118621826172
2017-11-03,138.6488037109375
2017-11-06,139.84971618652344
2017-11-07,140.5886993408203
2017-11-08,141.1429901123047
2017-11-09,141.8820037841797
2017-11-10,142.28846740722656
2017-11-13,143.40618896484375
2017-11-14,141.8912353515625
2017-11-15,140.5195770263672
2017-11-16,141.98391723632812
2017-11-17,141.13125610351562
2017-11-20,145.46865844726562
2017-11-21,146.9607696533203
2017-11-22,147.07196044921875
2017-11-24,147.74851989746094
2017-11-27,146.88661193847656
2017-11-28,145.96910095214844
2017-11-29,144.64378356933594
2017-11-30,146.50662231445312
2017-12-01,147.3685302734375
2017-12-04,146.4973602294922
2017-12-05,147.77633666992188
2017-12-06,146.29347229003906
2017-12-07,147.2851104736328
2017-12-08,147.85971069335938
2017-12-11,152.2341766357422
2017-12-12,150.42694091796875
2017-12-13,152.78097534179688
2017-12-14,152.92001342773438
2017-12-15,153.87460327148438
2017-12-18,153.0404510498047
2017-12-19,153.9765167236328
2017-12-20,156.58084106445312
2017-12-21,156.17303466796875
2017-12-22,155.46865844726562
2017-12-26,156.27499389648438
2017-12-27,157.7485809326172
2017-12-28,156.14523315429688
2017-12-29,156.24716186523438
2018-01-02,152.27125549316406
2018-01-03,150.62155151367188
2018-01-04,151.43711853027344
2018-01-05,152.44732666015625
2018-01-08,150.41770935058594
2018-01-09,151.43711853027344
2018-01-10,150.1396484375
2018-01-11,150.60302734375
2018-01-12,153.42047119140625
2018-01-16,156.37689208984375
2018-01-17,160.88113403320312
2018-01-18,162.6327362060547
2018-01-19,166.48818969726562
2018-01-22,180.9368133544922
2018-01-23,180.6772918701172
2018-01-24,185.89511108398438
2018-01-25,185.9136505126953
2018-01-26,167.09059143066406
2018-01-29,151.51124572753906
2018-01-30,158.84217834472656
2018-01-31,153.46678161621094
