,LKQ
2015-01-22,25.16811180114746
2015-01-23,25.252349853515625
2015-01-26,25.533140182495117
2015-01-27,25.121313095092773
2015-01-28,24.26958465576172
2015-01-29,24.531654357910156
2015-01-30,24.15726661682129
2015-02-02,24.606534957885742
2015-02-03,25.13067054748535
2015-02-04,24.877962112426758
2015-02-05,24.962202072143555
2015-02-06,25.28978729248047
2015-02-09,25.31786346435547
2015-02-10,25.598655700683594
2015-02-11,25.41145896911621
2015-02-12,25.38338279724121
2015-02-13,25.476978302001953
2015-02-17,25.673532485961914
2015-02-18,25.50505828857422
2015-02-19,25.561216354370117
2015-02-20,25.626733779907227
2015-02-23,25.495695114135742
2015-02-24,25.60801887512207
2015-02-25,26.066638946533203
2015-02-26,23.193227767944336
2015-02-27,23.006027221679688
2015-03-02,23.23066520690918
2015-03-03,23.3336238861084
2015-03-04,22.49125099182129
2015-03-05,22.603565216064453
2015-03-06,22.304058074951172
2015-03-09,22.444454193115234
2015-03-10,22.294696807861328
2015-03-11,22.603565216064453
2015-03-12,22.903076171875
2015-03-13,22.856279373168945
2015-03-16,23.118349075317383
2015-03-17,23.043468475341797
2015-03-18,22.75331687927246
2015-03-19,22.678443908691406
2015-03-20,22.86564064025879
2015-03-23,22.76268196105957
2015-03-24,22.641002655029297
2015-03-25,22.126222610473633
2015-03-26,22.58484649658203
2015-03-27,23.18386459350586
2015-03-30,23.389774322509766
2015-03-31,23.923274993896484
2015-04-01,23.773521423339844
2015-04-02,23.941993713378906
2015-04-06,24.194704055786133
2015-04-07,24.026227951049805
2015-04-08,24.288301467895508
2015-04-09,24.17598533630371
2015-04-10,24.194704055786133
2015-04-13,23.93263816833496
2015-04-14,23.86711883544922
2015-04-15,23.951356887817383
2015-04-16,23.97943687438965
2015-04-17,23.60504722595215
2015-04-20,23.857757568359375
2015-04-21,23.829679489135742
2015-04-22,23.88583755493164
2015-04-23,23.941993713378906
2015-04-24,23.941993713378906
2015-04-27,23.633127212524414
2015-04-28,23.408496856689453
2015-04-29,23.642486572265625
2015-04-30,25.336584091186523
2015-05-01,26.029197692871094
2015-05-04,26.05727767944336
2015-05-05,25.888803482055664
2015-05-06,25.776485443115234
2015-05-07,25.86072540283203
2015-05-08,25.748409271240234
2015-05-11,25.804567337036133
2015-05-12,25.982402801513672
2015-05-13,26.066638946533203
2015-05-14,26.038558959960938
2015-05-15,26.26319122314453
2015-05-18,26.600139617919922
2015-05-19,26.693735122680664
2015-05-20,26.852848052978516
2015-05-21,26.88092613220215
2015-05-22,26.90900993347168
2015-05-26,26.525259017944336
2015-05-27,27.011962890625
2015-05-28,26.965166091918945
2015-05-29,26.740535736083984
2015-06-01,26.965166091918945
2015-06-02,27.002601623535156
2015-06-03,27.36762809753418
2015-06-04,27.161718368530273
2015-06-05,27.620338439941406
2015-06-08,27.180435180664062
2015-06-09,27.25531578063965
2015-06-10,27.4144287109375
2015-06-11,27.536102294921875
2015-06-12,27.51738166809082
2015-06-15,27.4144287109375
2015-06-16,27.4144287109375
2015-06-17,27.47058868408203
2015-06-18,27.68585777282715
2015-06-19,27.788814544677734
2015-06-22,27.873050689697266
2015-06-23,28.107040405273438
2015-06-24,28.107040405273438
2015-06-25,28.38783073425293
2015-06-26,28.818378448486328
2015-06-29,28.275516510009766
2015-06-30,28.312952041625977
2015-07-01,28.64054298400879
2015-07-02,28.462711334228516
2015-07-06,28.312952041625977
2015-07-07,28.64054298400879
2015-07-08,28.415912628173828
2015-07-09,28.153841018676758
2015-07-10,28.38783073425293
2015-07-13,28.79029655456543
2015-07-14,28.940052032470703
2015-07-15,29.061723709106445
2015-07-16,29.174043655395508
2015-07-17,29.12724494934082
2015-07-20,29.25827980041504
2015-07-21,29.211483001708984
2015-07-22,29.192764282226562
2015-07-23,29.38931655883789
2015-07-24,28.92133331298828
2015-07-27,28.762218475341797
2015-07-28,28.893253326416016
2015-07-29,29.361238479614258
2015-07-30,29.333158493041992
2015-07-31,29.445472717285156
2015-08-03,29.35187530517578
2015-08-04,29.68882179260254
2015-08-05,29.71690559387207
2015-08-06,29.473552703857422
2015-08-07,29.398672103881836
2015-08-10,29.613943099975586
2015-08-11,29.436113357543945
2015-08-12,29.117883682250977
2015-08-13,29.35187530517578
2015-08-14,29.5109920501709
2015-08-17,29.426755905151367
2015-08-18,29.202123641967773
2015-08-19,28.86517333984375
2015-08-20,28.472070693969727
2015-08-21,27.582901000976562
2015-08-24,26.852848052978516
2015-08-25,26.65629768371582
2015-08-26,27.208515167236328
2015-08-27,27.938570022583008
2015-08-28,28.013446807861328
2015-08-31,28.069602966308594
2015-09-01,27.56418228149414
2015-09-02,28.191280364990234
2015-09-03,28.425270080566406
2015-09-04,27.90113067626953
2015-09-08,28.537588119506836
2015-09-09,28.312952041625977
2015-09-10,28.40654945373535
2015-09-11,28.369112014770508
2015-09-14,28.415912628173828
2015-09-15,28.546945571899414
2015-09-16,28.7060604095459
2015-09-17,28.696699142456055
2015-09-18,28.022808074951172
2015-09-21,28.631183624267578
2015-09-22,27.929208755493164
2015-09-23,27.601619720458984
2015-09-24,27.30211067199707
2015-09-25,27.264671325683594
2015-09-28,26.45038414001465
2015-09-29,26.150876998901367
2015-09-30,26.543981552124023
2015-10-01,26.618858337402344
2015-10-02,26.787330627441406
2015-10-05,27.217876434326172
2015-10-06,27.09619903564453
2015-10-07,26.9838809967041
2015-10-08,27.040040969848633
2015-10-09,26.73117446899414
2015-10-12,26.637575149536133
2015-10-13,26.41294288635254
2015-10-14,26.010478973388672
2015-10-15,26.27254867553711
2015-10-16,26.019838333129883
2015-10-19,26.16959571838379
2015-10-20,26.066638946533203
2015-10-21,25.86072540283203
2015-10-22,26.30063247680664
2015-10-23,26.469104766845703
2015-10-26,26.72181510925293
2015-10-27,26.38486671447754
2015-10-28,27.582901000976562
2015-10-29,28.022808074951172
2015-10-30,27.713937759399414
2015-11-02,27.947925567626953
2015-11-03,28.022808074951172
2015-11-04,28.116403579711914
2015-11-05,28.16320037841797
2015-11-06,28.153841018676758
2015-11-09,28.18191909790039
2015-11-10,28.453351974487305
2015-11-11,28.266157150268555
2015-11-12,27.723299026489258
2015-11-13,26.955806732177734
2015-11-16,27.51738166809082
2015-11-17,27.620338439941406
2015-11-18,27.56418228149414
2015-11-19,27.592260360717773
2015-11-20,27.676498413085938
2015-11-23,27.882408142089844
2015-11-24,27.882408142089844
