,HAL
2016-06-17,37.793331146240234
2016-06-20,37.51915740966797
2016-06-21,38.23030471801758
2016-06-22,38.264583587646484
2016-06-23,39.275604248046875
2016-06-24,37.63054275512695
2016-06-27,35.882686614990234
2016-06-28,37.073631286621094
2016-06-29,38.204612731933594
2016-06-30,38.804359436035156
2016-07-01,39.03570556640625
2016-07-05,37.29640197753906
2016-07-06,37.39921569824219
2016-07-07,37.313533782958984
2016-07-08,38.58159255981445
2016-07-11,38.11035919189453
2016-07-12,39.43838882446289
2016-07-13,38.73582077026367
2016-07-14,39.249908447265625
2016-07-15,38.95001220703125
2016-07-18,39.07854461669922
2016-07-19,38.547325134277344
2016-07-20,37.93899154663086
2016-07-21,37.30497360229492
2016-07-22,37.553436279296875
2016-07-25,36.44816589355469
2016-07-26,37.04792785644531
2016-07-27,36.77375411987305
2016-07-28,36.645233154296875
2016-07-29,37.40777587890625
2016-08-01,36.225406646728516
2016-08-02,36.036903381347656
2016-08-03,36.79088592529297
2016-08-04,36.833740234375
2016-08-05,37.45063018798828
2016-08-08,37.92186737060547
2016-08-09,37.741943359375
2016-08-10,37.49345016479492
2016-08-11,37.76763916015625
2016-08-12,37.56200408935547
2016-08-15,38.084651947021484
2016-08-16,38.23030471801758
2016-08-17,38.641578674316406
2016-08-18,39.80680847167969
2016-08-19,40.14097213745117
2016-08-22,38.62444305419922
2016-08-23,38.547325134277344
2016-08-24,37.99898147583008
2016-08-25,38.18746566772461
2016-08-26,38.178897857666016
2016-08-29,38.33312225341797
2016-08-30,37.759071350097656
2016-08-31,36.850868225097656
2016-09-01,37.0222282409668
2016-09-02,37.27173614501953
2016-09-06,37.62449264526367
2016-09-07,37.48682403564453
2016-09-08,37.96003341674805
2016-09-09,36.09300994873047
2016-09-12,36.480194091796875
2016-09-13,35.37029266357422
2016-09-14,35.49934387207031
2016-09-15,35.938148498535156
2016-09-16,35.31006622314453
2016-09-19,35.51655197143555
2016-09-20,35.49934387207031
2016-09-21,36.7555046081543
2016-09-22,36.695281982421875
2016-09-23,35.99835968017578
2016-09-26,35.60260009765625
2016-09-27,35.23263168334961
2016-09-28,36.815738677978516
2016-09-29,38.011653900146484
2016-09-30,38.613922119140625
2016-10-03,38.631141662597656
2016-10-04,38.36442565917969
2016-10-05,39.3366584777832
2016-10-06,39.89589309692383
2016-10-07,39.80125427246094
2016-10-10,40.66164016723633
2016-10-11,40.12820816040039
2016-10-12,40.403526306152344
2016-10-13,40.45514678955078
2016-10-14,40.41212844848633
2016-10-17,39.85287857055664
2016-10-18,40.498165130615234
2016-10-19,42.21893310546875
2016-10-20,41.943599700927734
2016-10-21,41.66828155517578
2016-10-24,41.504817962646484
2016-10-25,41.10043716430664
2016-10-26,40.971370697021484
2016-10-27,40.91115188598633
2016-10-28,40.07658767700195
2016-10-31,39.57754898071289
2016-11-01,39.77545166015625
2016-11-02,39.517333984375
2016-11-03,40.07658767700195
2016-11-04,39.90450668334961
2016-11-07,40.81650924682617
2016-11-08,40.54117965698242
2016-11-09,41.14345169067383
2016-11-10,41.9952278137207
2016-11-11,41.306922912597656
2016-11-14,41.418766021728516
2016-11-15,42.812599182128906
2016-11-16,41.95220947265625
2016-11-17,41.81455612182617
2016-11-18,42.42542266845703
2016-11-21,43.105133056640625
2016-11-22,42.881431579589844
2016-11-23,42.56307601928711
2016-11-25,42.597503662109375
2016-11-28,41.98662185668945
2016-11-29,41.11764144897461
2016-11-30,45.67766189575195
2016-12-01,45.806724548339844
2016-12-02,46.60688018798828
2016-12-05,46.529178619384766
2016-12-06,46.63277053833008
2016-12-07,46.218421936035156
2016-12-08,46.9867057800293
2016-12-09,46.78815460205078
2016-12-12,47.03850173950195
2016-12-13,47.392433166503906
2016-12-14,46.192508697509766
2016-12-15,46.43421936035156
2016-12-16,46.606876373291016
2016-12-19,46.373802185058594
2016-12-20,46.03713607788086
2016-12-21,47.44423294067383
2016-12-22,47.5391960144043
2016-12-23,47.340641021728516
2016-12-27,47.40106964111328
2016-12-28,46.87449264526367
2016-12-29,46.650047302246094
2016-12-30,46.69321060180664
2017-01-03,48.06577682495117
2017-01-04,48.24705123901367
2017-01-05,48.52328872680664
2017-01-06,48.911746978759766
2017-01-09,48.40243911743164
2017-01-10,47.167991638183594
2017-01-11,47.815433502197266
2017-01-12,47.634151458740234
2017-01-13,47.0816764831543
2017-01-17,47.487388610839844
2017-01-18,47.590980529785156
2017-01-19,47.772274017333984
2017-01-20,48.73047637939453
2017-01-23,47.306121826171875
2017-01-24,48.87723159790039
2017-01-25,49.55919647216797
2017-01-26,50.12030792236328
2017-01-27,50.24978256225586
2017-01-30,48.75637435913086
2017-01-31,48.83405303955078
2017-02-01,48.540557861328125
2017-02-02,48.592350006103516
2017-02-03,48.842689514160156
2017-02-06,48.42833709716797
2017-02-07,47.37518310546875
2017-02-08,47.85858917236328
2017-02-09,48.92902755737305
2017-02-10,48.454227447509766
2017-02-13,48.61825180053711
2017-02-14,48.80816650390625
2017-02-15,48.143463134765625
2017-02-16,46.88310623168945
2017-02-17,46.365169525146484
2017-02-21,46.47739028930664
2017-02-22,45.80405807495117
2017-02-23,45.916282653808594
2017-02-24,45.64003372192383
2017-02-27,46.08180236816406
2017-02-28,46.3070182800293
2017-03-01,47.38108444213867
2017-03-02,46.66215515136719
2017-03-03,46.66215515136719
2017-03-06,46.60151672363281
2017-03-07,45.882572174072266
2017-03-08,44.42735290527344
2017-03-09,44.08087921142578
2017-03-10,44.09819412231445
2017-03-13,44.07222366333008
2017-03-14,43.13672637939453
2017-03-15,44.6439094543457
2017-03-16,44.10686111450195
2017-03-17,43.985595703125
2017-03-20,43.86432647705078
2017-03-21,43.43989562988281
2017-03-22,43.16271209716797
2017-03-23,43.05876541137695
2017-03-24,42.798912048339844
2017-03-27,41.387001037597656
2017-03-28,41.59488296508789
2017-03-29,42.63432693481445
2017-03-30,42.46107864379883
2017-03-31,42.62565994262695
2017-04-03,42.68628692626953
2017-04-04,42.920162200927734
2017-04-05,43.180023193359375
2017-04-06,43.43989562988281
2017-04-07,43.032772064208984
2017-04-10,43.28398132324219
2017-04-11,43.31861877441406
2017-04-12,42.729610443115234
2017-04-13,41.90671920776367
2017-04-17,42.305171966552734
2017-04-18,42.036659240722656
2017-04-19,41.08382797241211
2017-04-20,41.30904006958008
2017-04-21,40.763336181640625
2017-04-24,40.49481201171875
2017-04-25,40.728702545166016
2017-04-26,40.702693939208984
2017-04-27,40.191646575927734
2017-04-28,39.7412223815918
2017-05-01,39.64594268798828
2017-05-02,39.238834381103516
2017-05-03,39.19550704956055
2017-05-04,38.632484436035156
2017-05-05,39.48134994506836
2017-05-08,39.290802001953125
2017-05-09,39.00495147705078
2017-05-10,39.68058776855469
2017-05-11,39.507354736328125
2017-05-12,39.10023498535156
2017-05-15,40.286922454833984
2017-05-16,40.52079772949219
2017-05-17,40.13966369628906
2017-05-18,40.34756088256836
2017-05-19,41.387001037597656
2017-05-22,40.81529998779297
2017-05-23,41.2310791015625
2017-05-24,41.326358795166016
2017-05-25,39.33409881591797
2017-05-26,39.63727569580078
2017-05-30,39.10890197753906
2017-05-31,39.14353942871094
2017-06-01,39.403404235839844
2017-06-02,39.238834381103516
2017-06-05,39.41275405883789
2017-06-06,40.00411605834961
2017-06-07,38.612667083740234
2017-06-08,38.377864837646484
2017-06-09,39.004005432128906
2017-06-12,39.06489944458008
2017-06-13,39.86497116088867
2017-06-14,38.98662567138672
2017-06-15,38.33439254760742
2017-06-16,38.49961471557617
2017-06-19,38.23871994018555
2017-06-20,37.7430305480957
2017-06-21,36.725521087646484
2017-06-22,36.438533782958984
2017-06-23,36.09067153930664
2017-06-26,36.26460647583008
2017-06-27,36.116756439208984
2017-06-28,36.53419494628906
2017-06-29,36.89076614379883
2017-06-30,37.14295959472656
2017-07-03,38.02132034301758
2017-07-05,37.273399353027344
2017-07-06,36.54290008544922
2017-07-07,36.334171295166016
2017-07-10,36.803794860839844
2017-07-11,37.14295959472656
2017-07-12,37.20383071899414
2017-07-13,38.06478500366211
2017-07-14,38.45613479614258
2017-07-17,38.360469818115234
2017-07-18,38.264808654785156
2017-07-19,39.638858795166016
2017-07-20,39.46493148803711
2017-07-21,38.595272064208984
2017-07-24,36.96902084350586
2017-07-25,37.12556838989258
2017-07-26,37.6734504699707
2017-07-27,37.47343826293945
2017-07-28,37.33427047729492
2017-07-31,36.90815734863281
2017-08-01,36.916847229003906
2017-08-02,37.264705657958984
2017-08-03,36.55158233642578
2017-08-04,36.51679992675781
2017-08-07,36.04719543457031
2017-08-08,35.68193435668945
2017-08-09,35.908050537109375
2017-08-10,35.22970962524414
