,ADM
2014-09-29,38.41326904296875
2014-09-30,38.26350784301758
2014-10-01,37.73933792114258
2014-10-02,37.836692810058594
2014-10-03,38.27099609375
2014-10-06,37.881614685058594
2014-10-07,37.11783981323242
2014-10-08,35.957210540771484
2014-10-09,35.29078674316406
2014-10-10,34.714210510253906
2014-10-13,33.516143798828125
2014-10-14,32.258140563964844
2014-10-15,32.18326950073242
2014-10-16,32.325538635253906
2014-10-17,33.321434020996094
2014-10-20,33.995365142822266
2014-10-21,34.21998977661133
2014-10-22,34.264930725097656
2014-10-23,34.100189208984375
2014-10-24,34.130149841308594
2014-10-27,33.411293029785156
2014-10-28,34.21250534057617
2014-10-29,34.30986022949219
2014-10-30,34.878944396972656
2014-10-31,35.193443298339844
2014-11-03,35.38064193725586
2014-11-04,37.09537124633789
