,EXR
2014-09-29,35.87236022949219
2014-09-30,35.73377227783203
2014-10-01,35.62983703613281
2014-10-02,35.816917419433594
2014-10-03,35.823848724365234
2014-10-06,36.04557418823242
2014-10-07,35.740699768066406
2014-10-08,36.59992218017578
2014-10-09,36.849369049072266
2014-10-10,36.9948844909668
2014-10-13,37.1403923034668
2014-10-14,38.19363784790039
2014-10-15,38.06889343261719
2014-10-16,38.26292419433594
2014-10-17,37.98576736450195
2014-10-20,38.436161041259766
2014-10-21,38.97662353515625
2014-10-22,39.00434875488281
2014-10-23,39.22608947753906
2014-10-24,38.94198989868164
2014-10-27,39.316165924072266
2014-10-28,39.47553634643555
2014-10-29,39.27458572387695
2014-10-30,39.38545608520508
2014-10-31,40.30009841918945
2014-11-03,40.75742721557617
2014-11-04,40.52877426147461
2014-11-05,40.57033920288086
2014-11-06,40.38326644897461
2014-11-07,40.34168243408203
2014-11-10,40.6396369934082
2014-11-11,40.46640396118164
2014-11-12,40.11994171142578
2014-11-13,40.50798034667969
2014-11-14,40.057594299316406
2014-11-17,40.043739318847656
2014-11-18,40.35554122924805
2014-11-19,39.63490676879883
2014-11-20,39.537899017333984
2014-11-21,40.113006591796875
2014-11-24,40.30703353881836
2014-11-25,40.62577819824219
2014-11-26,41.083106994628906
2014-11-28,41.06924057006836
2014-12-01,40.944515228271484
2014-12-02,41.27019500732422
2014-12-03,41.65822982788086
2014-12-04,41.65822982788086
2014-12-05,41.187042236328125
2014-12-08,41.33255386352539
2014-12-09,41.53349304199219
2014-12-10,41.14547348022461
2014-12-11,41.18038558959961
2014-12-12,40.705448150634766
2014-12-15,40.12572479248047
2014-12-16,40.02096176147461
2014-12-17,40.94989776611328
2014-12-18,41.17340087890625
2014-12-19,41.11054229736328
2014-12-22,41.75311279296875
2014-12-23,41.51564025878906
2014-12-24,41.3829345703125
2014-12-26,41.45277786254883
2014-12-29,41.8369255065918
2014-12-30,41.78803634643555
2014-12-31,40.956886291503906
2015-01-02,41.16641616821289
2015-01-05,42.074398040771484
2015-01-06,42.9893684387207
2015-01-07,43.6109733581543
2015-01-08,44.267520904541016
2015-01-09,44.099891662597656
2015-01-12,44.72850799560547
2015-01-13,44.77737808227539
2015-01-14,45.245338439941406
2015-01-15,45.692359924316406
2015-01-16,46.58637237548828
2015-01-20,46.29301452636719
2015-01-21,46.195228576660156
2015-01-22,46.76096725463867
2015-01-23,46.4466667175293
2015-01-26,46.60732650756836
2015-01-27,46.698116302490234
2015-01-28,46.956539154052734
2015-01-29,47.06827926635742
2015-01-30,46.097450256347656
2015-02-02,46.20222091674805
2015-02-03,46.56540298461914
2015-02-04,46.56540298461914
2015-02-05,47.473388671875
2015-02-06,46.216190338134766
2015-02-09,45.71330642700195
2015-02-10,45.55267333984375
2015-02-11,45.32217788696289
2015-02-12,45.852996826171875
2015-02-13,45.629486083984375
2015-02-17,45.18946838378906
2015-02-18,45.71330642700195
2015-02-19,44.532936096191406
2015-02-20,45.79710388183594
2015-02-23,46.14634704589844
2015-02-24,45.650447845458984
2015-02-25,46.33491516113281
2015-02-26,45.71330642700195
2015-02-27,45.94379425048828
2015-03-02,46.4396858215332
2015-03-03,46.25809860229492
2015-03-04,45.61552810668945
2015-03-05,45.99269104003906
2015-03-06,44.854209899902344
2015-03-09,44.931053161621094
2015-03-10,44.6656379699707
2015-03-11,44.707550048828125
2015-03-12,45.67853546142578
2015-03-13,45.50965881347656
2015-03-16,45.77703094482422
2015-03-17,45.81221008300781
2015-03-18,46.82541275024414
2015-03-19,47.09278869628906
2015-03-20,48.70406723022461
2015-03-23,48.76035690307617
2015-03-24,48.141170501708984
2015-03-25,47.24054718017578
2015-03-26,47.31794357299805
2015-03-27,47.127967834472656
2015-03-30,48.028594970703125
2015-03-31,47.54310607910156
2015-04-01,47.381263732910156
2015-04-02,47.754188537597656
2015-04-06,48.12710189819336
2015-04-07,47.65568542480469
2015-04-08,47.99340057373047
2015-04-09,47.078712463378906
2015-04-10,47.19832992553711
2015-04-13,47.06463623046875
2015-04-14,47.120933532714844
2015-04-15,46.51583480834961
2015-04-16,46.58620071411133
2015-04-17,46.31178283691406
2015-04-20,46.59321975708008
2015-04-21,47.05760192871094
2015-04-22,47.120933532714844
2015-04-23,47.374229431152344
2015-04-24,47.57123947143555
2015-04-27,46.99428176879883
2015-04-28,47.03649139404297
2015-04-29,45.798133850097656
2015-04-30,46.38917922973633
2015-05-01,46.811344146728516
2015-05-04,46.945037841796875
2015-05-05,46.199214935302734
2015-05-06,46.1358642578125
2015-05-07,47.135005950927734
2015-05-08,48.20450210571289
2015-05-11,47.880836486816406
2015-05-12,48.4859619140625
2015-05-13,48.23263931274414
2015-05-14,49.65394973754883
2015-05-15,50.81490707397461
2015-05-18,50.392738342285156
2015-05-19,50.054996490478516
2015-05-20,49.96354293823242
2015-05-21,49.576534271240234
2015-05-22,49.801700592041016
2015-05-26,49.68207931518555
2015-05-27,49.9283447265625
2015-05-28,49.703182220458984
2015-05-29,49.273983001708984
2015-06-01,49.47098922729492
2015-06-02,48.66887283325195
2015-06-03,47.98636245727539
2015-06-04,47.57828903198242
2015-06-05,46.85355758666992
2015-06-08,46.74097442626953
2015-06-09,46.31881332397461
2015-06-10,46.81837463378906
2015-06-11,47.634769439697266
2015-06-12,47.70576858520508
2015-06-15,47.634769439697266
