,YUM
2018-05-22,73.2063980102539
2018-05-23,73.83732604980469
2018-05-24,74.17501831054688
2018-05-25,73.33968353271484
2018-05-29,72.78874206542969
2018-05-30,73.32191467285156
2018-05-31,72.2733154296875
2018-06-01,72.78874206542969
2018-06-04,73.12640380859375
2018-06-05,73.67737579345703
2018-06-06,74.29942321777344
2018-06-07,74.81485748291016
2018-06-08,73.91728210449219
2018-06-11,73.85508728027344
2018-06-12,73.96173858642578
2018-06-13,73.39300537109375
2018-06-14,74.09504699707031
2018-06-15,73.4196548461914
2018-06-18,73.58851623535156
2018-06-19,71.98896026611328
2018-06-20,71.85565948486328
2018-06-21,70.85150146484375
2018-06-22,71.41134643554688
2018-06-25,69.83843231201172
2018-06-26,71.10033416748047
2018-06-27,70.08726501464844
2018-06-28,69.21639251708984
2018-06-29,69.50965118408203
2018-07-02,69.4118881225586
2018-07-03,69.17196655273438
2018-07-05,69.08308410644531
2018-07-06,69.5540542602539
2018-07-09,70.35385131835938
2018-07-10,70.47826385498047
2018-07-11,70.01616668701172
2018-07-12,70.30943298339844
2018-07-13,70.32718658447266
2018-07-16,69.90064239501953
2018-07-17,69.95399475097656
2018-07-18,70.63822937011719
2018-07-19,70.49604034423828
2018-07-20,70.47826385498047
2018-07-23,70.15834045410156
2018-07-24,69.53630828857422
2018-07-25,69.90953826904297
2018-07-26,70.15834045410156
2018-07-27,70.122802734375
2018-07-30,69.97172546386719
2018-07-31,70.46051025390625
2018-08-01,70.62043762207031
2018-08-02,71.65127563476562
2018-08-03,72.74430084228516
2018-08-06,72.50437927246094
2018-08-07,72.2733154296875
2018-08-08,72.79764556884766
2018-08-09,73.51744079589844
2018-08-10,73.70404052734375
2018-08-13,73.2063980102539
2018-08-14,73.83732604980469
2018-08-15,73.64183044433594
2018-08-16,74.82373809814453
2018-08-17,74.79694366455078
2018-08-20,75.06468200683594
2018-08-21,75.26103973388672
2018-08-22,74.79694366455078
2018-08-23,74.53813171386719
2018-08-24,75.09146881103516
2018-08-27,75.40382385253906
2018-08-28,76.1891860961914
2018-08-29,76.74250793457031
2018-08-30,76.48368072509766
2018-08-31,77.54572296142578
2018-09-04,77.6617431640625
2018-09-05,77.40293884277344
2018-09-06,78.46495056152344
2018-09-07,78.89336395263672
2018-09-10,78.94688415527344
2018-09-11,78.74163818359375
2018-09-12,78.83085632324219
2018-09-13,78.97364807128906
2018-09-14,78.66131591796875
2018-09-17,78.25971221923828
2018-09-18,78.79517364501953
2018-09-19,79.0272216796875
2018-09-20,79.39311218261719
2018-09-21,79.90181732177734
2018-09-24,79.69654846191406
2018-09-25,80.21417999267578
2018-09-26,80.21417999267578
2018-09-27,80.60687255859375
2018-09-28,81.1334228515625
2018-10-01,80.69610595703125
2018-10-02,80.30342864990234
2018-10-03,80.10709381103516
2018-10-04,79.93751525878906
2018-10-05,80.32129669189453
2018-10-08,80.89244079589844
2018-10-09,81.37437438964844
2018-10-10,79.60730743408203
2018-10-11,77.70635986328125
2018-10-12,78.58098602294922
2018-10-15,78.93798065185547
2018-10-16,80.70503997802734
2018-10-17,81.5350112915039
2018-10-18,80.16062927246094
2018-10-19,79.78579711914062
2018-10-22,79.7411880493164
2018-10-23,79.26818084716797
2018-10-24,77.69744110107422
2018-10-25,77.57250213623047
2018-10-26,76.55511474609375
2018-10-29,76.27845001220703
2018-10-30,77.13520050048828
2018-10-31,80.68720245361328
2018-11-01,78.52742767333984
2018-11-02,77.55465698242188
2018-11-05,78.06336975097656
2018-11-06,78.44711303710938
2018-11-07,79.76793670654297
2018-11-08,80.73179626464844
2018-11-09,80.9638671875
2018-11-12,79.8304214477539
2018-11-13,79.45559692382812
2018-11-14,79.58946228027344
2018-11-15,79.24141693115234
2018-11-16,79.33064270019531
2018-11-19,78.65238189697266
2018-11-20,77.8134765625
2018-11-21,77.67066192626953
2018-11-23,78.13667297363281
2018-11-26,79.140380859375
2018-11-27,80.179931640625
2018-11-28,82.20526885986328
2018-11-29,82.32176971435547
2018-11-30,82.64437866210938
2018-12-03,82.50997924804688
2018-12-04,81.2643051147461
2018-12-06,81.99915313720703
2018-12-07,81.04027557373047
2018-12-10,80.88790130615234
2018-12-11,80.484619140625
2018-12-12,81.067138671875
2018-12-13,83.75562286376953
2018-12-14,82.17837524414062
2018-12-17,80.39500427246094
2018-12-18,80.7445297241211
2018-12-19,80.76244354248047
2018-12-20,78.07393646240234
2018-12-21,78.98804473876953
2018-12-24,77.98433685302734
2018-12-26,80.64594268798828
2018-12-27,81.5152359008789
2018-12-28,82.09771728515625
2018-12-31,82.37552642822266
2019-01-02,81.94539642333984
2019-01-03,79.88420104980469
2019-01-04,81.96330261230469
2019-01-07,81.8736801147461
2019-01-08,81.71237182617188
2019-01-09,81.67654418945312
2019-01-10,82.25904083251953
2019-01-11,81.49729919433594
2019-01-14,80.65491485595703
2019-01-15,81.00440979003906
2019-01-16,80.5025405883789
2019-01-17,81.28221893310547
2019-01-18,82.76985931396484
2019-01-22,82.4920654296875
2019-01-23,83.14625549316406
2019-01-24,83.26274871826172
2019-01-25,83.08351135253906
2019-01-28,82.9759750366211
2019-01-29,83.04766082763672
2019-01-30,83.74667358398438
2019-01-31,84.22163391113281
2019-02-01,84.3560562133789
2019-02-04,84.82207489013672
2019-02-05,84.63388061523438
2019-02-06,84.76829528808594
2019-02-07,84.7862319946289
2019-02-08,84.67870330810547
2019-02-11,83.576416015625
2019-02-12,84.28437805175781
2019-02-13,84.01431274414062
2019-02-14,84.482421875
2019-02-15,84.7254638671875
2019-02-19,85.08552551269531
2019-02-20,85.26557159423828
2019-02-21,85.40959930419922
2019-02-22,85.86871337890625
2019-02-25,84.16737365722656
2019-02-26,84.04132080078125
2019-02-27,83.81629180908203
2019-02-28,85.06753540039062
2019-03-01,85.8507080078125
2019-03-04,85.64363861083984
2019-03-05,86.35478210449219
2019-03-06,86.95792388916016
2019-03-07,86.90390014648438
2019-03-08,87.02093505859375
2019-03-11,88.02915954589844
2019-03-12,88.20020294189453
2019-03-13,88.79430389404297
2019-03-14,89.10037231445312
2019-03-15,90.8287353515625
2019-03-18,90.23460388183594
2019-03-19,89.33439636230469
2019-03-20,88.73127746582031
2019-03-21,89.2894058227539
2019-03-22,89.09136199951172
2019-03-25,89.09136199951172
2019-03-26,88.893310546875
2019-03-27,89.10037231445312
2019-03-28,89.244384765625
2019-03-29,89.8475112915039
2019-04-01,90.54065704345703
2019-04-02,90.18059539794922
2019-04-03,90.50466918945312
2019-04-04,90.42364501953125
2019-04-05,89.98255920410156
2019-04-08,89.64948272705078
2019-04-09,89.55045318603516
2019-04-10,90.0545654296875
2019-04-11,90.71170806884766
2019-04-12,91.27881622314453
2019-04-15,91.49486541748047
2019-04-16,91.48587036132812
2019-04-17,91.36883544921875
2019-04-18,93.00715637207031
2019-04-22,92.88113403320312
2019-04-23,92.64710998535156
2019-04-24,93.0251693725586
2019-04-25,93.12418365478516
2019-04-26,93.70032501220703
2019-04-29,93.43926239013672
2019-04-30,93.97037506103516
2019-05-01,91.764892578125
2019-05-02,91.58486938476562
2019-05-03,92.46707153320312
2019-05-06,92.18800354003906
2019-05-07,91.34183502197266
2019-05-08,90.45964813232422
2019-05-09,90.68467712402344
2019-05-10,91.30583953857422
2019-05-13,90.38764190673828
2019-05-14,90.63069915771484
2019-05-15,90.72109985351562
2019-05-16,91.18209075927734
2019-05-17,91.57080841064453
2019-05-20,91.01937103271484
2019-05-21,92.00466918945312
2019-05-22,91.7154312133789
2019-05-23,91.65214538574219
2019-05-24,91.29055786132812
2019-05-28,90.21485137939453
2019-05-29,90.07926177978516
2019-05-30,91.79679870605469
2019-05-31,92.51994323730469
2019-06-03,94.11090087890625
2019-06-04,96.69624328613281
2019-06-05,96.98550415039062
2019-06-06,98.00697326660156
2019-06-07,98.59454345703125
2019-06-10,98.21488189697266
2019-06-11,97.23860931396484
2019-06-12,98.47701263427734
2019-06-13,98.5132064819336
2019-06-14,99.24537658691406
2019-06-17,98.67591857910156
2019-06-18,98.26911163330078
2019-06-19,98.93803405761719
2019-06-20,99.99566650390625
2019-06-21,99.67929077148438
2019-06-24,100.03182983398438
2019-06-25,99.71542358398438
2019-06-26,99.54369354248047
2019-06-27,99.9414291381836
2019-06-28,100.04086303710938
2019-07-01,98.97421264648438
2019-07-02,100.2488021850586
2019-07-03,100.32109069824219
2019-07-05,99.65216064453125
2019-07-08,99.48041534423828
2019-07-09,99.8781509399414
2019-07-10,100.32109069824219
2019-07-11,100.79114532470703
2019-07-12,100.38436889648438
2019-07-15,101.17985534667969
2019-07-16,100.82731628417969
2019-07-17,101.03520202636719
2019-07-18,102.20133209228516
2019-07-19,101.72223663330078
2019-07-22,102.40019226074219
2019-07-23,102.07476806640625
2019-07-24,101.83975219726562
2019-07-25,102.04766845703125
2019-07-26,103.06912231445312
2019-07-29,103.14143371582031
2019-07-30,102.36402893066406
2019-07-31,101.71318054199219
2019-08-01,105.70867156982422
2019-08-02,106.07928466796875
2019-08-05,104.01827239990234
2019-08-06,104.90415954589844
2019-08-07,105.09398651123047
2019-08-08,106.05217742919922
2019-08-09,107.58889770507812
2019-08-12,105.34710693359375
2019-08-13,105.88041687011719
2019-08-14,104.45218658447266
2019-08-15,105.22054290771484
2019-08-16,104.8939437866211
2019-08-19,105.65601348876953
2019-08-20,105.75579833984375
2019-08-21,106.35457611083984
2019-08-22,106.42715454101562
2019-08-23,104.6126937866211
2019-08-26,106.35457611083984
2019-08-27,106.11868286132812
2019-08-28,106.10962677001953
2019-08-29,106.42715454101562
2019-08-30,105.94632720947266
2019-09-03,105.8828125
2019-09-04,106.95333099365234
2019-09-05,107.19830322265625
2019-09-06,108.15087890625
2019-09-09,106.88077545166016
2019-09-10,104.5763931274414
2019-09-11,103.24276733398438
2019-09-12,102.7619400024414
2019-09-13,101.02912902832031
2019-09-16,100.28519439697266
2019-09-17,102.33555603027344
2019-09-18,103.95040893554688
2019-09-19,103.51495361328125
