,MDT
2018-06-19,73.39590454101562
2018-06-20,72.98912811279297
2018-06-21,73.13319396972656
2018-06-22,73.56538391113281
2018-06-25,73.50605773925781
2018-06-26,73.60778045654297
2018-06-27,72.44677734375
2018-06-28,73.15863037109375
2018-06-29,72.54846954345703
2018-07-02,72.9043960571289
2018-07-03,72.86202239990234
2018-07-05,73.22855377197266
2018-07-06,73.8422622680664
2018-07-09,74.26846313476562
2018-07-10,74.4900894165039
2018-07-11,74.37928771972656
2018-07-12,74.89923095703125
2018-07-13,75.31689453125
2018-07-16,74.77989959716797
2018-07-17,75.25723266601562
2018-07-18,75.01856994628906
2018-07-19,75.36805725097656
2018-07-20,75.02708435058594
2018-07-23,75.54703521728516
2018-07-24,75.78572845458984
2018-07-25,76.48467254638672
2018-07-26,76.08405303955078
2018-07-27,75.57261657714844
2018-07-30,75.93061065673828
2018-07-31,76.91085052490234
2018-08-01,76.91938781738281
2018-08-02,76.6210708618164
2018-08-03,77.12395477294922
2018-08-06,77.21772766113281
2018-08-07,77.4393539428711
2018-08-08,77.40524291992188
2018-08-09,77.75472259521484
2018-08-10,77.22624969482422
2018-08-13,77.34557342529297
2018-08-14,77.60980987548828
2018-08-15,77.55867767333984
2018-08-16,77.65245819091797
2018-08-17,77.22624969482422
2018-08-20,76.7403793334961
2018-08-21,81.12165069580078
2018-08-22,81.47113037109375
2018-08-23,81.4967041015625
2018-08-24,81.445556640625
2018-08-27,81.351806640625
2018-08-28,81.63308715820312
2018-08-29,82.33203125
2018-08-30,82.51956939697266
2018-08-31,82.1786117553711
2018-09-04,81.4540786743164
2018-09-05,81.86323547363281
2018-09-06,82.24681091308594
2018-09-07,82.10189819335938
2018-09-10,82.1445083618164
2018-09-11,81.8973388671875
2018-09-12,82.04224395751953
2018-09-13,82.63890075683594
2018-09-14,82.69005584716797
2018-09-17,81.85472106933594
2018-09-18,82.57926177978516
2018-09-19,82.22123718261719
2018-09-20,83.09068298339844
2018-09-21,83.40605163574219
2018-09-24,84.26695251464844
2018-09-25,84.38629913330078
2018-09-26,84.53119659423828
2018-09-27,83.2781982421875
2018-09-28,83.84928894042969
2018-10-01,84.80396270751953
2018-10-02,84.4033432006836
2018-10-03,83.08214569091797
2018-10-04,82.66448974609375
2018-10-05,82.82644653320312
2018-10-08,81.80355834960938
2018-10-09,81.99108123779297
2018-10-10,81.03640747070312
2018-10-11,79.36573791503906
2018-10-12,80.7125244140625
2018-10-15,79.97093963623047
2018-10-16,82.29794311523438
2018-10-17,82.92870330810547
2018-10-18,81.76095581054688
2018-10-19,80.07321166992188
2018-10-22,79.80045318603516
2018-10-23,79.34870910644531
2018-10-24,77.96781158447266
2018-10-25,78.21501922607422
2018-10-26,76.50172424316406
2018-10-29,76.24601745605469
2018-10-30,76.94495391845703
2018-10-31,76.56136322021484
2018-11-01,78.03601837158203
2018-11-02,77.9251937866211
2018-11-05,78.08715057373047
2018-11-06,78.85430908203125
2018-11-07,80.22664642333984
2018-11-08,80.75511932373047
2018-11-09,80.43121337890625
2018-11-12,78.9651107788086
2018-11-13,78.47926330566406
2018-11-14,78.51335144042969
2018-11-15,79.07592010498047
2018-11-16,79.86864471435547
2018-11-19,77.03019714355469
2018-11-20,78.55596923828125
2018-11-21,79.24639892578125
2018-11-23,78.42810821533203
2018-11-26,78.47071838378906
2018-11-27,79.38277435302734
2018-11-28,81.2921371459961
2018-11-29,82.34054565429688
2018-11-30,83.1332778930664
2018-12-03,84.17320251464844
2018-12-04,82.24681091308594
2018-12-06,82.03369140625
2018-12-07,80.32890319824219
2018-12-10,81.3858871459961
2018-12-11,81.37736511230469
2018-12-12,81.58195495605469
2018-12-13,81.4029312133789
2018-12-14,79.88570404052734
2018-12-17,78.2917251586914
2018-12-18,78.41957092285156
2018-12-19,77.78883361816406
2018-12-20,76.62959289550781
2018-12-21,75.521484375
2018-12-24,73.1347885131836
2018-12-26,75.57261657714844
2018-12-27,76.84989166259766
2018-12-28,76.51555633544922
2018-12-31,77.97285461425781
2019-01-02,75.36687469482422
2019-01-03,73.24954986572266
2019-01-04,75.54691314697266
2019-01-07,70.67789459228516
2019-01-08,71.1750717163086
2019-01-09,72.26374816894531
2019-01-10,72.72661590576172
2019-01-11,72.72661590576172
2019-01-14,72.64949798583984
2019-01-15,73.74671173095703
2019-01-16,74.56966400146484
2019-01-17,75.09258270263672
2019-01-18,74.83540344238281
2019-01-22,74.5782470703125
2019-01-23,74.71538543701172
2019-01-24,74.77539825439453
2019-01-25,74.59539031982422
2019-01-28,74.08104705810547
2019-01-29,74.12390899658203
2019-01-30,75.28972625732422
2019-01-31,75.76976776123047
2019-02-01,75.70117950439453
2019-02-04,75.2725830078125
2019-02-05,75.46119689941406
2019-02-06,76.17264556884766
2019-02-07,76.20694732666016
2019-02-08,76.3012466430664
2019-02-11,76.8070068359375
2019-02-12,77.36421966552734
2019-02-13,77.72423553466797
2019-02-14,78.20427703857422
2019-02-15,79.0958023071289
2019-02-19,79.14723205566406
2019-02-20,79.55011749267578
2019-02-21,79.38724517822266
2019-02-22,80.38162231445312
2019-02-25,79.05293273925781
2019-02-26,78.2557373046875
2019-02-27,77.91282653808594
2019-02-28,77.57852172851562
2019-03-01,78.94149017333984
2019-03-04,79.1129379272461
2019-03-05,79.48153686523438
2019-03-06,78.93291473388672
2019-03-07,78.07569885253906
2019-03-08,77.59565734863281
2019-03-11,78.86433410644531
2019-03-12,79.24153900146484
2019-03-13,79.73870086669922
2019-03-14,80.00444793701172
2019-03-15,80.39878845214844
2019-03-18,78.77002716064453
2019-03-19,79.43009948730469
2019-03-20,78.62432098388672
2019-03-21,79.38280487060547
2019-03-22,77.908935546875
2019-03-25,78.10717010498047
2019-03-26,78.4950180053711
2019-03-27,77.7968978881836
2019-03-28,77.53829193115234
2019-03-29,78.50365447998047
2019-04-01,78.16751098632812
2019-04-02,77.91754150390625
2019-04-03,76.23680877685547
2019-04-04,76.90911102294922
2019-04-05,76.65052032470703
2019-04-08,76.70223999023438
2019-04-09,76.46952819824219
2019-04-10,76.3919448852539
2019-04-11,75.50418090820312
2019-04-12,74.77155303955078
2019-04-15,74.87496185302734
2019-04-16,74.25440216064453
2019-04-17,73.03047180175781
2019-04-18,72.59086608886719
2019-04-22,72.53055572509766
2019-04-23,73.349365234375
2019-04-24,73.81480407714844
2019-04-25,74.86634826660156
2019-04-26,75.28868103027344
2019-04-29,75.36626434326172
2019-04-30,76.54710388183594
2019-05-01,76.11612701416016
2019-05-02,76.83153533935547
2019-05-03,77.21078491210938
2019-05-06,77.70206451416016
2019-05-07,76.94358825683594
2019-05-08,76.7108383178711
2019-05-09,75.96961212158203
2019-05-10,76.13337707519531
2019-05-13,75.27145385742188
2019-05-14,75.555908203125
