,TPR
2018-07-16,38.9709587097168
2018-07-17,39.26927185058594
2018-07-18,39.1946907043457
2018-07-19,39.79130554199219
2018-07-20,40.03990173339844
2018-07-23,39.973609924316406
2018-07-24,39.749881744384766
2018-07-25,39.81616973876953
2018-07-26,39.766448974609375
2018-07-27,39.418426513671875
2018-07-30,39.38528060913086
2018-07-31,39.04553985595703
2018-08-01,38.506919860839844
2018-08-02,38.5566291809082
2018-08-03,38.5566291809082
2018-08-06,37.62855529785156
2018-08-07,37.9185791015625
2018-08-08,38.98753356933594
2018-08-09,39.39356994628906
2018-08-10,39.71672821044922
2018-08-13,39.3272705078125
2018-08-14,44.05052947998047
2018-08-15,43.14730453491211
2018-08-16,42.57554244995117
2018-08-17,42.60040283203125
2018-08-20,43.246742248535156
2018-08-21,43.114158630371094
2018-08-22,42.79927444458008
2018-08-23,42.583831787109375
2018-08-24,42.285526275634766
2018-08-27,42.04521560668945
2018-08-28,42.55897903442383
2018-08-29,42.525821685791016
2018-08-30,41.93749237060547
2018-08-31,42.003780364990234
2018-09-04,42.144649505615234
2018-09-05,41.788333892822266
2018-09-06,41.678226470947266
2018-09-07,41.02751922607422
2018-09-10,41.50303268432617
2018-09-11,41.81169128417969
2018-09-12,42.153724670410156
2018-09-13,41.678226470947266
2018-09-14,41.66152572631836
2018-09-17,42.13703918457031
2018-09-18,42.39564895629883
2018-09-19,42.07030487060547
2018-09-20,41.9952278137207
2018-09-21,41.87843322753906
2018-09-24,41.15265655517578
2018-09-25,41.08591079711914
2018-09-26,41.452972412109375
2018-09-27,41.828369140625
2018-09-28,41.93682861328125
2018-10-01,41.9952278137207
2018-10-02,41.56977081298828
2018-10-03,41.828369140625
2018-10-04,40.4018440246582
2018-10-05,40.009742736816406
2018-10-08,40.2600212097168
2018-10-09,39.859588623046875
2018-10-10,36.51431655883789
2018-10-11,35.60500717163086
2018-10-12,36.55603790283203
2018-10-15,35.9220085144043
2018-10-16,37.09828186035156
2018-10-17,36.697853088378906
2018-10-18,36.23902130126953
2018-10-19,35.46318817138672
2018-10-22,35.554954528808594
2018-10-23,35.40479278564453
2018-10-24,34.7874641418457
2018-10-25,34.637306213378906
2018-10-26,34.40371322631836
2018-10-29,34.036651611328125
2018-10-30,33.63622283935547
2018-10-31,35.29634094238281
2018-11-01,35.82190704345703
2018-11-02,35.71345520019531
2018-11-05,35.66340255737305
2018-11-06,35.41313934326172
2018-11-07,35.39645004272461
2018-11-08,35.89698791503906
2018-11-09,35.03773880004883
2018-11-12,34.428749084472656
2018-11-13,34.28691864013672
2018-11-14,34.27857208251953
2018-11-15,34.21183776855469
2018-11-16,33.89483642578125
2018-11-19,32.65182876586914
2018-11-20,31.75921058654785
2018-11-21,31.592357635498047
2018-11-23,31.425504684448242
2018-11-26,32.309791564941406
2018-11-27,31.150209426879883
2018-11-28,32.117919921875
2018-11-29,31.709152221679688
2018-11-30,32.47664260864258
2018-12-03,32.98552322387695
2018-12-04,31.88433837890625
2018-12-06,31.630155563354492
2018-12-07,29.744800567626953
2018-12-10,30.165632247924805
2018-12-11,29.424962997436523
2018-12-12,30.333972930908203
2018-12-13,29.31554412841797
2018-12-14,29.121957778930664
2018-12-17,29.231372833251953
2018-12-18,29.18929672241211
2018-12-19,28.574874877929688
2018-12-20,28.120363235473633
2018-12-21,27.6153621673584
2018-12-24,27.18610382080078
