,CCL
2014-08-25,32.06142044067383
2014-08-26,32.239540100097656
2014-08-27,32.129268646240234
2014-08-28,31.611879348754883
2014-08-29,32.129268646240234
2014-09-02,32.18864440917969
2014-09-03,32.4091682434082
2014-09-04,33.155574798583984
2014-09-05,33.3591423034668
2014-09-08,33.18102264404297
2014-09-09,32.80781936645508
2014-09-10,32.96897506713867
2014-09-11,33.316734313964844
2014-09-12,33.23191452026367
2014-09-15,33.426998138427734
2014-09-16,33.503334045410156
2014-09-17,33.681453704833984
2014-09-18,34.020729064941406
2014-09-19,34.538124084472656
2014-09-22,34.2158088684082
2014-09-23,34.36000061035156
2014-09-24,34.87739181518555
2014-09-25,34.31758117675781
2014-09-26,34.665348052978516
2014-09-29,34.26670455932617
2014-09-30,34.07160949707031
2014-10-01,33.197994232177734
2014-10-02,32.722999572753906
2014-10-03,33.571189880371094
2014-10-06,33.503334045410156
2014-10-07,31.671247482299805
2014-10-08,31.951152801513672
2014-10-09,30.25478172302246
2014-10-10,30.11907196044922
2014-10-13,28.736536026000977
2014-10-14,29.381149291992188
2014-10-15,29.186073303222656
2014-10-16,29.423561096191406
2014-10-17,29.618635177612305
2014-10-20,30.466821670532227
2014-10-21,32.231056213378906
2014-10-22,32.02749252319336
2014-10-23,32.08686447143555
2014-10-24,32.6721076965332
2014-10-27,32.51095962524414
2014-10-28,33.155574798583984
2014-10-29,33.40155029296875
2014-10-30,33.98680114746094
2014-10-31,34.054649353027344
2014-11-03,33.98680114746094
2014-11-04,33.901981353759766
