,KIM
2019-08-15,14.540144920349121
2019-08-16,14.657913208007812
2019-08-19,14.854187965393066
2019-08-20,14.477334022521973
2019-08-21,14.547994613647461
2019-08-22,14.60295295715332
2019-08-23,14.249658584594727
2019-08-26,14.430230140686035
2019-08-27,14.29676342010498
2019-08-28,14.343865394592285
2019-08-29,14.469481468200684
2019-08-30,14.430230140686035
2019-09-03,14.7050142288208
2019-09-04,14.775674819946289
2019-09-05,14.84633731842041
2019-09-06,15.191778182983398
2019-09-09,15.513671875
2019-09-10,15.788460731506348
2019-09-11,15.851273536682129
2019-09-12,16.008289337158203
2019-09-13,15.796309471130371
2019-09-16,15.709946632385254
2019-09-17,15.764906883239746
2019-09-18,15.835567474365234
2019-09-19,15.874817848205566
2019-09-20,15.914079666137695
2019-09-23,15.859122276306152
2019-09-24,15.859122276306152
2019-09-25,15.929780006408691
2019-09-26,16.314477920532227
2019-09-27,16.369436264038086
2019-09-30,16.392990112304688
2019-10-01,16.30545425415039
2019-10-02,16.281579971313477
2019-10-03,16.209964752197266
2019-10-04,16.313411712646484
2019-10-07,16.4168643951416
2019-10-08,16.35320281982422
2019-10-09,16.289541244506836
2019-10-10,16.345247268676758
2019-10-11,16.50440216064453
2019-10-14,16.528274536132812
2019-10-15,16.464611053466797
2019-10-16,16.472572326660156
2019-10-17,16.38503646850586
2019-10-18,16.647640228271484
2019-10-21,16.894338607788086
2019-10-22,17.021652221679688
2019-10-23,16.9182071685791
2019-10-24,16.8386287689209
2019-10-25,16.830669403076172
2019-10-28,16.67947006225586
2019-10-29,16.806793212890625
2019-10-30,17.30017852783203
2019-10-31,17.15693473815918
2019-11-01,17.292221069335938
2019-11-04,17.02961540222168
2019-11-05,16.93411636352539
2019-11-06,17.021652221679688
2019-11-07,16.623767852783203
2019-11-08,16.591934204101562
2019-11-11,16.623767852783203
2019-11-12,16.496444702148438
2019-11-13,16.751087188720703
2019-11-14,17.15693473815918
2019-11-15,17.133068084716797
2019-11-18,17.324052810668945
2019-11-19,17.24447250366211
2019-11-20,17.061445236206055
