,REG
2019-01-31,50.7132453918457
2019-02-01,50.284122467041016
2019-02-04,50.588409423828125
2019-02-05,50.53379440307617
2019-02-06,50.31534194946289
2019-02-07,51.28279113769531
2019-02-08,51.27498245239258
2019-02-11,51.70409393310547
2019-02-12,50.97071075439453
2019-02-13,51.087738037109375
2019-02-14,51.30619812011719
2019-02-15,51.74311447143555
2019-02-19,51.93815612792969
2019-02-20,51.36081314086914
2019-02-21,51.7821159362793
2019-02-22,51.85688781738281
2019-02-25,51.778175354003906
2019-02-26,51.78605651855469
2019-02-27,51.23505783081055
2019-02-28,51.361000061035156
2019-03-01,50.518760681152344
2019-03-04,50.786376953125
2019-03-05,51.242919921875
2019-03-06,50.72342300415039
2019-03-07,50.38495635986328
2019-03-08,50.19602584838867
2019-03-11,50.8021240234375
2019-03-12,51.14847183227539
2019-03-13,51.416099548339844
2019-03-14,51.416099548339844
2019-03-15,50.97529983520508
2019-03-18,50.74703598022461
2019-03-19,50.64468765258789
2019-03-20,51.014652252197266
2019-03-21,51.951358795166016
2019-03-22,52.03793716430664
2019-03-25,52.053688049316406
2019-03-26,52.8250846862793
2019-03-27,53.029747009277344
2019-03-28,53.56499481201172
2019-03-29,53.12419891357422
2019-04-01,53.273765563964844
2019-04-02,53.25800704956055
2019-04-03,53.48628234863281
2019-04-04,53.5098991394043
2019-04-05,54.202571868896484
2019-04-08,53.70668029785156
2019-04-09,53.17144012451172
2019-04-10,54.139610290527344
2019-04-11,53.80902099609375
2019-04-12,54.202571868896484
2019-04-15,53.83263397216797
2019-04-16,52.31343460083008
2019-04-17,51.70734786987305
2019-04-18,52.25046157836914
2019-04-22,50.88084030151367
2019-04-23,51.92774200439453
2019-04-24,52.6912727355957
2019-04-25,53.06909942626953
2019-04-26,53.18716049194336
2019-04-29,52.45512390136719
2019-04-30,52.87230682373047
2019-05-01,52.974632263183594
2019-05-02,52.707008361816406
2019-05-03,52.5810661315918
2019-05-06,52.187496185302734
2019-05-07,51.25867462158203
2019-05-08,51.384605407714844
2019-05-09,51.463321685791016
2019-05-10,52.055049896240234
2019-05-13,52.412452697753906
2019-05-14,52.76190948486328
2019-05-15,53.09551239013672
2019-05-16,53.413211822509766
2019-05-17,53.1828727722168
2019-05-20,52.47599792480469
2019-05-21,52.80957794189453
2019-05-22,52.73016357421875
2019-05-23,53.00019073486328
2019-05-24,53.024024963378906
2019-05-28,52.75397872924805
2019-05-29,51.71351623535156
2019-05-30,51.86442565917969
2019-05-31,52.38861846923828
2019-06-03,52.4283447265625
2019-06-04,52.30125427246094
2019-06-05,53.937416076660156
2019-06-06,53.92152404785156
2019-06-07,53.58793640136719
2019-06-10,53.59588623046875
2019-06-11,53.63558578491211
2019-06-12,53.85005187988281
2019-06-13,54.41395950317383
2019-06-14,54.69988250732422
2019-06-17,55.247928619384766
2019-06-18,54.95405960083008
2019-06-19,55.39088439941406
2019-06-20,55.5179557800293
2019-06-21,55.21615982055664
2019-06-24,54.69194030761719
2019-06-25,54.0247802734375
2019-06-26,52.60307312011719
2019-06-27,53.135231018066406
2019-06-28,53.00813674926758
2019-07-01,52.99224853515625
2019-07-02,53.810333251953125
2019-07-03,54.65223693847656
2019-07-05,54.390132904052734
2019-07-08,54.66018295288086
2019-07-09,55.1287727355957
2019-07-10,55.13671875
2019-07-11,54.48543930053711
2019-07-12,54.43779373168945
2019-07-15,54.12009811401367
2019-07-16,53.3973274230957
2019-07-17,52.84928894042969
2019-07-18,52.84928894042969
2019-07-19,51.63408660888672
2019-07-22,51.33228302001953
2019-07-23,52.06299591064453
2019-07-24,52.53953170776367
2019-07-25,52.51571273803711
2019-07-26,52.57923126220703
2019-07-29,53.00813674926758
2019-07-30,53.1590461730957
2019-07-31,52.976356506347656
2019-08-01,52.38861846923828
2019-08-02,52.22977828979492
2019-08-05,50.70481872558594
2019-08-06,50.998687744140625
2019-08-07,51.387874603271484
2019-08-08,52.10268783569336
2019-08-09,52.07464599609375
2019-08-12,51.96245574951172
2019-08-13,52.25094985961914
2019-08-14,51.858272552490234
2019-08-15,52.12273406982422
2019-08-16,52.242942810058594
2019-08-19,52.67568588256836
2019-08-20,52.090675354003906
2019-08-21,52.37916946411133
2019-08-22,52.21890640258789
2019-08-23,50.76036071777344
2019-08-26,50.97674560546875
2019-08-27,50.35165023803711
2019-08-28,50.74433517456055
2019-08-29,51.63387680053711
2019-08-30,51.69799041748047
2019-09-03,52.35513687133789
2019-09-04,53.27674865722656
2019-09-05,53.35688400268555
2019-09-06,53.62934494018555
2019-09-09,54.80740737915039
2019-09-10,54.67116165161133
2019-09-11,55.071868896484375
