,MCK
2021-02-01,175.19749450683594
2021-02-02,175.99684143066406
2021-02-03,176.9326171875
2021-02-04,181.3776397705078
2021-02-05,178.4435272216797
2021-02-08,179.16485595703125
2021-02-09,180.31507873535156
2021-02-10,179.39883422851562
2021-02-11,177.18606567382812
2021-02-12,177.6442108154297
2021-02-16,176.24050903320312
2021-02-17,176.71815490722656
2021-02-18,173.23818969726562
2021-02-19,173.14071655273438
2021-02-22,173.50137329101562
2021-02-23,176.0260772705078
2021-02-24,176.71815490722656
2021-02-25,169.71922302246094
2021-02-26,165.24501037597656
2021-03-01,169.7889862060547
2021-03-02,169.75967407226562
2021-03-03,168.28407287597656
2021-03-04,168.38180541992188
2021-03-05,171.11795043945312
2021-03-08,172.0756378173828
2021-03-09,174.6456756591797
2021-03-10,179.3264617919922
2021-03-11,178.95509338378906
2021-03-12,183.2743682861328
2021-03-15,184.56427001953125
2021-03-16,182.28738403320312
2021-03-17,182.74668884277344
2021-03-18,183.70436096191406
2021-03-19,185.4437713623047
2021-03-22,187.9942626953125
2021-03-23,184.13429260253906
2021-03-24,183.51869201660156
2021-03-25,187.0854949951172
2021-03-26,189.66525268554688
2021-03-29,191.53175354003906
2021-03-30,192.0496368408203
2021-03-31,190.59359741210938
2021-04-01,189.1571502685547
2021-04-05,190.1734161376953
2021-04-06,187.0854949951172
2021-04-07,188.85421752929688
2021-04-08,185.15065002441406
2021-04-09,186.51870727539062
2021-04-12,187.3395538330078
2021-04-13,184.84768676757812
2021-04-14,186.26461791992188
2021-04-15,187.00726318359375
2021-04-16,188.77601623535156
2021-04-19,189.2744140625
2021-04-20,190.09523010253906
2021-04-21,191.5708465576172
2021-04-22,190.8770294189453
2021-04-23,191.62945556640625
2021-04-26,187.2515869140625
2021-04-27,185.0137939453125
2021-04-28,183.65548706054688
2021-04-29,185.93235778808594
2021-04-30,183.2841339111328
2021-05-03,187.7401885986328
2021-05-04,189.25485229492188
2021-05-05,184.76950073242188
2021-05-06,180.87046813964844
2021-05-07,193.1050567626953
2021-05-10,197.52200317382812
2021-05-11,193.42750549316406
2021-05-12,192.57733154296875
2021-05-13,191.2971954345703
2021-05-14,190.55453491210938
2021-05-17,194.8151397705078
2021-05-18,192.79232788085938
2021-05-19,194.2092742919922
2021-05-20,195.84120178222656
2021-05-21,198.05943298339844
2021-05-24,195.0887451171875
2021-05-25,191.55130004882812
2021-05-26,189.8704833984375
2021-05-27,189.88026428222656
2021-05-28,188.41128540039062
2021-06-01,187.86288452148438
2021-06-02,187.4221954345703
2021-06-03,189.85092163085938
2021-06-04,190.9085693359375
2021-06-07,190.99668884277344
2021-06-08,187.96078491210938
2021-06-09,186.60935974121094
2021-06-10,191.46676635742188
2021-06-11,191.45697021484375
2021-06-14,188.9205322265625
2021-06-15,190.2425994873047
2021-06-16,187.46133422851562
2021-06-17,185.48312377929688
2021-06-18,181.06639099121094
2021-06-21,184.81716918945312
2021-06-22,186.1686553955078
2021-06-23,184.92491149902344
2021-06-24,185.07180786132812
2021-06-25,187.38299560546875
2021-06-28,188.088134765625
2021-06-29,187.83349609375
2021-06-30,187.28506469726562
2021-07-01,188.6855010986328
2021-07-02,188.5973358154297
2021-07-06,185.42437744140625
2021-07-07,185.91404724121094
2021-07-08,184.67031860351562
2021-07-09,185.1893310546875
2021-07-12,186.0315704345703
2021-07-13,185.40478515625
2021-07-14,185.1893310546875
2021-07-15,185.5810546875
2021-07-16,185.3068389892578
2021-07-19,184.52337646484375
2021-07-20,190.34054565429688
2021-07-21,193.4547882080078
2021-07-22,194.91395568847656
2021-07-23,198.43951416015625
2021-07-26,198.31219482421875
2021-07-27,199.8987274169922
2021-07-28,199.93789672851562
2021-07-29,200.97593688964844
2021-07-30,199.6147003173828
2021-08-02,199.360107421875
2021-08-03,202.15113830566406
2021-08-04,201.12289428710938
2021-08-05,195.54071044921875
2021-08-06,195.7953643798828
2021-08-09,192.7594757080078
2021-08-10,191.035888671875
2021-08-11,193.22952270507812
2021-08-12,193.89549255371094
2021-08-13,194.32638549804688
2021-08-16,195.81495666503906
2021-08-17,198.91940307617188
2021-08-18,195.5897216796875
2021-08-19,195.13919067382812
2021-08-20,196.26544189453125
2021-08-23,198.14573669433594
2021-08-24,196.26544189453125
2021-08-25,196.15769958496094
2021-08-26,193.552734375
2021-08-27,196.96075439453125
2021-08-30,197.0096893310547
2021-08-31,200.386474609375
2021-09-01,199.2576141357422
2021-09-02,202.99755859375
2021-09-03,202.4871368408203
2021-09-07,201.71165466308594
2021-09-08,202.37913513183594
2021-09-09,200.87728881835938
2021-09-10,199.00238037109375
2021-09-13,202.2515411376953
2021-09-14,200.23924255371094
2021-09-15,204.82333374023438
2021-09-16,203.94973754882812
2021-09-17,203.9300994873047
2021-09-20,198.17782592773438
2021-09-21,197.40235900878906
2021-09-22,198.90420532226562
2021-09-23,198.95330810546875
2021-09-24,199.4146728515625
2021-09-27,200.71043395996094
2021-09-28,198.864990234375
2021-09-29,201.67237854003906
2021-09-30,195.71397399902344
2021-10-01,196.34222412109375
2021-10-04,196.28334045410156
2021-10-05,194.57534790039062
2021-10-06,194.56552124023438
2021-10-07,195.92991638183594
2021-10-08,196.51889038085938
2021-10-11,198.06985473632812
2021-10-12,196.4501953125
2021-10-13,195.59619140625
2021-10-14,199.32632446289062
2021-10-15,200.41590881347656
2021-10-18,197.10787963867188
