,AIZ
2016-06-28,70.07626342773438
2016-06-29,71.06204223632812
2016-06-30,72.721923828125
2016-07-01,74.10372924804688
2016-07-05,72.03103637695312
2016-07-06,71.95518493652344
2016-07-07,71.12947082519531
2016-07-08,72.82302856445312
2016-07-11,73.19374084472656
2016-07-12,73.74984741210938
2016-07-13,74.09530639648438
2016-07-14,74.40704345703125
2016-07-15,74.0869140625
2016-07-18,73.80039978027344
2016-07-19,73.80039978027344
2016-07-20,73.63188171386719
2016-07-21,73.57290649414062
2016-07-22,74.06158447265625
2016-07-25,73.808837890625
2016-07-26,72.89044189453125
2016-07-27,70.56494903564453
2016-07-28,70.22791290283203
2016-07-29,69.94145202636719
2016-08-01,70.14364624023438
2016-08-02,70.1773910522461
2016-08-03,70.8682632446289
2016-08-04,70.514404296875
2016-08-05,71.45804595947266
2016-08-08,71.4159164428711
2016-08-09,71.43282318115234
2016-08-10,71.43282318115234
2016-08-11,71.82037353515625
2016-08-12,71.77823638916016
2016-08-15,72.2837905883789
2016-08-16,71.77823638916016
2016-08-17,72.2922134399414
2016-08-18,72.57868957519531
2016-08-19,73.19374084472656
2016-08-22,73.05895233154297
2016-08-23,73.07579803466797
2016-08-24,73.16846466064453
2016-08-25,74.27012634277344
2016-08-26,74.31253814697266
2016-08-29,75.18539428710938
2016-08-30,75.84640502929688
2016-08-31,75.88876342773438
2016-09-01,75.64302825927734
2016-09-02,76.47350311279297
2016-09-06,76.16844177246094
2016-09-07,76.38028717041016
2016-09-08,76.22774505615234
2016-09-09,75.61760711669922
2016-09-12,76.52435302734375
2016-09-13,74.97356414794922
2016-09-14,74.00746154785156
2016-09-15,74.47354125976562
2016-09-16,74.45659637451172
2016-09-19,75.94812774658203
2016-09-20,75.67692565917969
2016-09-21,76.86335754394531
2016-09-22,77.35486602783203
2016-09-23,76.3887710571289
2016-09-26,76.21930694580078
2016-09-27,76.87181854248047
2016-09-28,77.77009582519531
2016-09-29,77.51588439941406
2016-09-30,78.17689514160156
2016-10-03,76.72774505615234
2016-10-04,76.60910034179688
2016-10-05,77.06674194335938
2016-10-06,76.21930694580078
2016-10-07,76.2108154296875
2016-10-10,76.94808197021484
2016-10-11,76.69386291503906
2016-10-12,77.22774505615234
2016-10-13,76.34639739990234
2016-10-14,77.10064697265625
2016-10-17,77.33789825439453
2016-10-18,77.37179565429688
2016-10-19,70.88885498046875
2016-10-20,70.66851043701172
2016-10-21,70.17699432373047
2016-10-24,70.24480438232422
2016-10-25,69.70244598388672
2016-10-26,69.43123626708984
2016-10-27,67.93973541259766
2016-10-28,67.77871704101562
2016-10-31,68.236328125
2016-11-01,67.25334167480469
2016-11-02,66.7109375
2016-11-03,68.11770629882812
2016-11-04,67.56685638427734
2016-11-07,67.77871704101562
2016-11-08,67.87194061279297
2016-11-09,69.50752258300781
2016-11-10,70.75325775146484
2016-11-11,70.32955169677734
2016-11-14,72.88882446289062
2016-11-15,72.8803482055664
