,KMI
2015-02-25,25.429285049438477
2015-02-26,24.89182472229004
2015-02-27,24.765012741088867
2015-03-02,24.65631103515625
2015-03-03,24.813318252563477
2015-03-04,24.783124923706055
2015-03-05,24.662351608276367
2015-03-06,24.402685165405273
2015-03-09,24.20944595336914
2015-03-10,24.20944595336914
2015-03-11,24.040353775024414
2015-03-12,24.01620101928711
2015-03-13,24.106773376464844
2015-03-16,24.529495239257812
2015-03-17,24.65631103515625
2015-03-18,25.097143173217773
2015-03-19,25.079029083251953
2015-03-20,25.43531036376953
2015-03-23,25.453426361083984
2015-03-24,24.89182472229004
2015-03-25,24.837467193603516
2015-03-26,24.928056716918945
2015-03-27,24.922016143798828
2015-03-30,25.405118942260742
2015-03-31,25.399084091186523
2015-04-01,25.31454086303711
2015-04-02,25.193763732910156
2015-04-06,25.34473419189453
2015-04-07,25.356809616088867
2015-04-08,25.39304542541504
2015-04-09,25.568166732788086
2015-04-10,25.924455642700195
2015-04-13,25.95464515686035
2015-04-14,25.972759246826172
2015-04-15,26.226390838623047
2015-04-16,26.37736701965332
2015-04-17,26.510215759277344
2015-04-20,26.395479202270508
2015-04-21,26.335094451904297
2015-04-22,26.61287498474121
2015-04-23,26.91480827331543
2015-04-24,26.775922775268555
2015-04-27,26.637035369873047
2015-04-28,26.37450408935547
2015-04-29,26.295141220092773
2015-04-30,26.221878051757812
2015-05-01,26.331764221191406
2015-05-04,26.14860725402832
2015-05-05,26.038715362548828
2015-05-06,26.050928115844727
2015-05-07,26.04482650756836
2015-05-08,26.270713806152344
2015-05-11,26.032617568969727
2015-05-12,26.069242477416992
2015-05-13,25.73956298828125
2015-05-14,25.72735023498535
2015-05-15,26.02040672302246
2015-05-18,26.14860725402832
2015-05-19,26.166927337646484
2015-05-20,26.00208854675293
2015-05-21,26.04482650756836
2015-05-22,26.063148498535156
2015-05-26,25.69682502746582
2015-05-27,25.635772705078125
2015-05-28,25.409881591796875
2015-05-29,25.330516815185547
2015-06-01,25.208417892456055
2015-06-02,25.208417892456055
2015-06-03,24.95199203491211
2015-06-04,24.481889724731445
2015-06-05,24.66504669189453
2015-06-08,24.54294776916504
2015-06-09,24.567359924316406
2015-06-10,24.56125831604004
2015-06-11,24.286521911621094
2015-06-12,23.761478424072266
2015-06-15,24.030107498168945
2015-06-16,24.109479904174805
2015-06-17,24.127790451049805
2015-06-18,24.469680786132812
2015-06-19,24.139999389648438
2015-06-22,24.2071533203125
2015-06-23,24.072837829589844
2015-06-24,24.085052490234375
2015-06-25,23.79810333251953
2015-06-26,23.785886764526367
2015-06-29,23.41958236694336
2015-06-30,23.437902450561523
2015-07-01,23.187589645385742
2015-07-02,23.218107223510742
2015-07-06,22.89453887939453
2015-07-07,23.04106330871582
2015-07-08,22.772432327270508
2015-07-09,22.89453887939453
2015-07-10,23.25474739074707
