,AVY
2014-05-20,37.910789489746094
2014-05-21,38.1951789855957
2014-05-22,39.19451904296875
2014-05-23,39.16203689575195
2014-05-27,39.495155334472656
2014-05-28,39.665775299072266
2014-05-29,39.98263931274414
2014-05-30,41.19325637817383
2014-06-02,40.857818603515625
2014-06-03,40.44057846069336
2014-06-04,40.497840881347656
2014-06-05,40.59601593017578
2014-06-06,40.71055221557617
2014-06-09,40.97235870361328
2014-06-10,41.05418395996094
2014-06-11,40.65328598022461
2014-06-12,40.481468200683594
2014-06-13,40.694183349609375
2014-06-16,41.078712463378906
2014-06-17,41.40596389770508
2014-06-18,41.618690490722656
2014-06-19,41.71685791015625
2014-06-20,42.04412078857422
2014-06-23,41.65959167480469
2014-06-24,41.700504302978516
2014-06-25,41.585968017578125
2014-06-26,42.06047439575195
2014-06-27,42.117740631103516
2014-06-30,41.92957305908203
2014-07-01,42.03593826293945
2014-07-02,41.72505187988281
2014-07-03,42.125946044921875
2014-07-07,41.618690490722656
2014-07-08,41.790504455566406
2014-07-09,41.63505554199219
2014-07-10,41.60231399536133
2014-07-11,41.307796478271484
2014-07-14,41.70866775512695
2014-07-15,41.63505554199219
2014-07-16,41.757774353027344
2014-07-17,41.4632453918457
2014-07-18,41.70866775512695
2014-07-21,41.42233657836914
2014-07-22,41.33233642578125
2014-07-23,41.397789001464844
2014-07-24,41.643226623535156
2014-07-25,40.285133361816406
2014-07-28,40.0478630065918
2014-07-29,39.295169830322266
2014-07-30,39.147911071777344
2014-07-31,38.624298095703125
2014-08-01,38.70611572265625
2014-08-04,39.04973602294922
2014-08-05,38.74702835083008
2014-08-06,38.624298095703125
2014-08-07,38.567039489746094
2014-08-08,38.918827056884766
2014-08-11,39.07427215576172
2014-08-12,39.131553649902344
2014-08-13,39.25425720214844
2014-08-14,39.31153106689453
2014-08-15,39.17245864868164
2014-08-18,39.58152389526367
2014-08-19,40.17057800292969
2014-08-20,39.91695022583008
2014-08-21,39.70425033569336
2014-08-22,39.270633697509766
2014-08-25,39.40971755981445
2014-08-26,39.286983489990234
2014-08-27,39.18882369995117
2014-08-28,39.36062240600586
2014-08-29,39.665557861328125
2014-09-02,39.68204116821289
2014-09-03,39.92103958129883
2014-09-04,40.11058807373047
2014-09-05,40.283653259277344
2014-09-08,40.184757232666016
2014-09-09,39.96224594116211
2014-09-10,39.813899993896484
2014-09-11,40.143550872802734
2014-09-12,39.77267837524414
2014-09-15,39.91278839111328
2014-09-16,39.72324752807617
2014-09-17,39.311187744140625
2014-09-18,39.48424530029297
2014-09-19,39.38534927368164
2014-09-22,39.32766342163086
2014-09-23,38.56121826171875
2014-09-24,38.70130157470703
2014-09-25,38.058494567871094
2014-09-26,38.24803924560547
2014-09-29,37.456886291503906
2014-09-30,36.79756164550781
2014-10-01,36.22892761230469
2014-10-02,36.0640754699707
2014-10-03,36.19595718383789
2014-10-06,36.31956100463867
2014-10-07,35.39654541015625
2014-10-08,35.90750503540039
2014-10-09,35.14106369018555
2014-10-10,34.58064651489258
2014-10-13,34.02024459838867
2014-10-14,34.48175811767578
2014-10-15,34.432308197021484
2014-10-16,35.075130462646484
2014-10-17,35.544883728027344
2014-10-20,35.79212951660156
2014-10-21,36.79756164550781
2014-10-22,36.311336517333984
2014-10-23,36.410221099853516
2014-10-24,38.2150764465332
2014-10-27,37.29204559326172
2014-10-28,37.90190887451172
2014-10-29,37.41566467285156
2014-10-30,37.918392181396484
2014-10-31,38.610660552978516
2014-11-03,38.371665954589844
2014-11-04,38.412872314453125
2014-11-05,38.67660140991211
2014-11-06,39.03920364379883
2014-11-07,39.344146728515625
2014-11-10,39.59138488769531
2014-11-11,39.52545166015625
2014-11-12,39.64083480834961
2014-11-13,39.63258743286133
2014-11-14,39.1793098449707
2014-11-17,39.377105712890625
2014-11-18,39.53369903564453
2014-11-19,39.50896072387695
2014-11-20,39.451290130615234
2014-11-21,39.78092575073242
2014-11-24,40.506168365478516
2014-11-25,40.42375564575195
2014-11-26,40.53913116455078
2014-11-28,40.802852630615234
2014-12-01,40.77796936035156
2014-12-02,41.43364334106445
2014-12-03,41.78226852416992
2014-12-04,41.184654235839844
2014-12-05,41.36725997924805
2014-12-08,41.0020751953125
2014-12-09,41.28425979614258
2014-12-10,41.35066223144531
2014-12-11,41.68265914916992
2014-12-12,41.607975006103516
2014-12-15,41.9316520690918
2014-12-16,41.607975006103516
2014-12-17,41.67435836791992
2014-12-18,42.39646911621094
2014-12-19,43.135169982910156
2014-12-22,43.02726364135742
2014-12-23,43.35096740722656
2014-12-24,43.284568786621094
2014-12-26,43.6746711730957
2014-12-29,43.716163635253906
2014-12-30,43.69126510620117
2014-12-31,43.06046676635742
2015-01-02,42.985774993896484
