,RMD
2020-08-03,194.5150146484375
2020-08-04,195.25650024414062
2020-08-05,195.439453125
2020-08-06,169.0161895751953
2020-08-07,166.82070922851562
2020-08-10,168.65988159179688
2020-08-11,166.57032775878906
2020-08-12,169.32431030273438
2020-08-13,170.93247985839844
2020-08-14,170.22950744628906
2020-08-17,176.41163635253906
2020-08-18,176.24795532226562
2020-08-19,177.01028442382812
2020-08-20,174.63636779785156
2020-08-21,173.09237670898438
2020-08-24,170.24562072753906
2020-08-25,172.82215881347656
2020-08-26,173.77752685546875
2020-08-27,174.3565216064453
2020-08-28,173.92227172851562
2020-08-31,174.4530029296875
2020-09-01,172.6485137939453
2020-09-02,176.5953369140625
2020-09-03,171.63522338867188
2020-09-04,167.48573303222656
2020-09-08,165.4206085205078
2020-09-09,168.56649780273438
2020-09-10,166.03819274902344
2020-09-11,165.98033142089844
2020-09-14,168.32528686523438
2020-09-15,169.4060516357422
2020-09-16,167.96820068359375
2020-09-17,166.83912658691406
2020-09-18,164.0599365234375
2020-09-21,165.50746154785156
2020-09-22,166.23118591308594
2020-09-23,162.79580688476562
2020-09-24,162.2554168701172
2020-09-25,163.12388610839844
2020-09-28,165.98033142089844
2020-09-29,166.61721801757812
2020-09-30,165.43023681640625
2020-10-01,163.5774383544922
2020-10-02,161.6377716064453
2020-10-05,164.8319549560547
2020-10-06,161.7825469970703
2020-10-07,164.72579956054688
2020-10-08,166.65576171875
2020-10-09,169.95608520507812
2020-10-12,171.22021484375
2020-10-13,171.44224548339844
2020-10-14,171.58692932128906
2020-10-15,173.3142852783203
2020-10-16,174.4626922607422
2020-10-19,173.1309814453125
2020-10-20,173.1502227783203
2020-10-21,172.86077880859375
2020-10-22,176.42164611816406
2020-10-23,176.62428283691406
2020-10-26,174.21176147460938
2020-10-27,178.38059997558594
2020-10-28,174.33721923828125
2020-10-29,173.22747802734375
2020-10-30,185.22244262695312
2020-11-02,189.91236877441406
2020-11-03,195.37423706054688
2020-11-04,202.0906524658203
2020-11-05,205.36199951171875
2020-11-06,206.69369506835938
2020-11-09,212.8697509765625
2020-11-10,205.04905700683594
2020-11-11,208.64523315429688
2020-11-12,205.7064208984375
2020-11-13,207.5915069580078
2020-11-16,208.36485290527344
2020-11-17,207.02113342285156
2020-11-18,204.04368591308594
2020-11-19,204.71070861816406
2020-11-20,203.995361328125
2020-11-23,202.59361267089844
2020-11-24,199.65481567382812
2020-11-25,199.1714630126953
2020-11-27,202.66128540039062
2020-11-30,202.62261962890625
2020-12-01,204.56570434570312
2020-12-02,202.29393005371094
2020-12-03,200.49583435058594
2020-12-04,202.70962524414062
2020-12-07,202.24560546875
2020-12-08,205.04905700683594
2020-12-09,204.7203826904297
2020-12-10,201.78155517578125
2020-12-11,197.72140502929688
2020-12-14,199.5098114013672
2020-12-15,201.7042236328125
2020-12-16,203.5023193359375
2020-12-17,206.61509704589844
2020-12-18,211.17799377441406
2020-12-21,206.36378479003906
2020-12-22,204.62368774414062
2020-12-23,202.98995971679688
2020-12-24,205.34873962402344
2020-12-28,204.39170837402344
2020-12-29,204.22735595703125
2020-12-30,202.73861694335938
2020-12-31,205.48411560058594
2021-01-04,205.11672973632812
2021-01-05,207.46580505371094
2021-01-06,206.1124267578125
2021-01-07,208.09417724609375
2021-01-08,211.65170288085938
2021-01-11,212.9663848876953
2021-01-12,209.66026306152344
2021-01-13,209.27354431152344
2021-01-14,206.1800994873047
2021-01-15,204.57534790039062
2021-01-19,207.74618530273438
2021-01-20,210.7042999267578
2021-01-21,209.84393310546875
2021-01-22,208.34555053710938
2021-01-25,214.3004608154297
2021-01-26,214.88050842285156
2021-01-27,206.9341278076172
2021-01-28,208.74185180664062
2021-01-29,194.85992431640625
2021-02-01,195.9232940673828
2021-02-02,199.79017639160156
2021-02-03,196.4453582763672
2021-02-04,197.2670135498047
2021-02-05,195.43997192382812
2021-02-08,194.840576171875
2021-02-09,193.20684814453125
2021-02-10,194.107666015625
2021-02-11,194.2335205078125
2021-02-12,194.25294494628906
2021-02-16,188.0054168701172
2021-02-17,193.45864868164062
2021-02-18,193.60397338867188
2021-02-19,194.8631591796875
2021-02-22,193.73959350585938
2021-02-23,193.807373046875
2021-02-24,194.6597137451172
2021-02-25,188.85781860351562
2021-02-26,186.7269287109375
2021-03-01,189.47769165039062
2021-03-02,187.14340209960938
2021-03-03,184.23760986328125
2021-03-04,177.30242919921875
2021-03-05,179.23959350585938
2021-03-08,173.8251190185547
2021-03-09,176.53721618652344
2021-03-10,179.56895446777344
2021-03-11,180.84747314453125
2021-03-12,179.3074188232422
2021-03-15,181.21554565429688
2021-03-16,185.96173095703125
2021-03-17,185.45803833007812
2021-03-18,179.27835083007812
2021-03-19,179.7723388671875
2021-03-22,183.8307647705078
2021-03-23,184.7509765625
2021-03-24,186.14572143554688
2021-03-25,181.6417694091797
2021-03-26,184.9349822998047
2021-03-29,185.0512237548828
2021-03-30,183.36582946777344
2021-03-31,187.92796325683594
2021-04-01,188.3347625732422
2021-04-05,188.98373413085938
2021-04-06,190.1266632080078
2021-04-07,190.93063354492188
2021-04-08,191.046875
2021-04-09,192.90655517578125
2021-04-12,195.40554809570312
2021-04-13,198.9990692138672
2021-04-14,201.15904235839844
2021-04-15,197.78834533691406
2021-04-16,200.994384765625
2021-04-19,199.20248413085938
