,PAYX
2020-04-06,56.963497161865234
2020-04-07,56.55344009399414
2020-04-08,56.7628288269043
2020-04-09,58.05408477783203
2020-04-13,55.9688835144043
2020-04-14,57.70509719848633
2020-04-15,56.6145133972168
2020-04-16,55.637351989746094
2020-04-17,58.891658782958984
2020-04-20,57.98429489135742
2020-04-21,55.85546112060547
2020-04-22,58.29838180541992
2020-04-23,58.37689208984375
2020-04-24,59.406402587890625
2020-04-27,59.816463470458984
2020-04-28,59.903717041015625
2020-04-29,60.95067596435547
2020-04-30,59.78157043457031
2020-05-01,58.10642623901367
2020-05-04,58.603736877441406
2020-05-05,59.0487060546875
2020-05-06,58.56012725830078
2020-05-07,59.38896560668945
2020-05-08,58.551395416259766
2020-05-11,57.853416442871094
2020-05-12,55.86418914794922
2020-05-13,54.014556884765625
2020-05-14,55.63614273071289
2020-05-15,55.90052032470703
2020-05-18,58.45628356933594
2020-05-19,57.81292724609375
2020-05-20,59.76060104370117
2020-05-21,59.39925765991211
2020-05-22,59.557884216308594
2020-05-26,61.10017013549805
2020-05-27,62.624813079833984
2020-05-28,63.52372741699219
2020-05-29,63.70000457763672
2020-06-01,63.40915298461914
2020-06-02,64.52839660644531
2020-06-03,65.91203308105469
2020-06-04,65.38325500488281
2020-06-05,70.54763793945312
2020-06-08,70.78557586669922
2020-06-09,68.59117126464844
2020-06-10,68.11527252197266
2020-06-11,63.946739196777344
2020-06-12,65.0042953491211
2020-06-15,66.14117431640625
2020-06-16,67.38380432128906
2020-06-17,66.9343490600586
2020-06-18,66.5641860961914
2020-06-19,65.18937683105469
2020-06-22,65.43612670898438
2020-06-23,65.37445068359375
2020-06-24,62.97732162475586
2020-06-25,64.3785629272461
2020-06-26,63.26815414428711
2020-06-29,64.96903991699219
2020-06-30,66.75807189941406
2020-07-01,67.24278259277344
2020-07-02,67.49835968017578
2020-07-06,68.54708862304688
2020-07-07,65.16294860839844
2020-07-08,65.70053100585938
2020-07-09,64.22876739501953
2020-07-10,64.59892272949219
2020-07-13,63.12714385986328
2020-07-14,63.338653564453125
2020-07-15,64.8016128540039
2020-07-16,64.10536193847656
2020-07-17,64.76634979248047
2020-07-20,64.65177154541016
2020-07-21,64.62533569335938
2020-07-22,65.06598663330078
2020-07-23,64.48432159423828
2020-07-24,63.62066650390625
2020-07-27,63.973182678222656
2020-07-28,64.45790100097656
2020-07-29,64.81922149658203
2020-07-30,63.76166534423828
2020-07-31,63.93056869506836
2020-08-03,64.6772689819336
2020-08-04,64.54393005371094
2020-08-05,64.6417007446289
2020-08-06,64.5261459350586
2020-08-07,65.29060363769531
2020-08-10,66.12615966796875
2020-08-11,65.73504638671875
2020-08-12,65.89507293701172
2020-08-13,66.19730377197266
2020-08-14,66.0550537109375
2020-08-17,66.17950439453125
2020-08-18,66.22396087646484
2020-08-19,65.9039535522461
2020-08-20,65.81507110595703
2020-08-21,65.69950103759766
2020-08-24,67.13064575195312
2020-08-25,67.42398834228516
2020-08-26,67.41511535644531
2020-08-27,68.037353515625
2020-08-28,68.72180938720703
2020-08-31,67.97511291503906
2020-09-01,67.78845977783203
2020-09-02,69.34403991699219
2020-09-03,67.85955810546875
2020-09-04,67.61066436767578
2020-09-08,66.03729248046875
2020-09-09,67.36176300048828
2020-09-10,66.93509674072266
2020-09-11,66.65951538085938
2020-09-14,68.99736785888672
2020-09-15,70.1440658569336
2020-09-16,70.8907470703125
2020-09-17,70.68629455566406
2020-09-18,69.85960388183594
2020-09-21,68.22401428222656
2020-09-22,68.9795913696289
2020-09-23,67.61954498291016
2020-09-24,67.47734069824219
2020-09-25,69.0684814453125
2020-09-28,70.7396240234375
2020-09-29,70.37517547607422
2020-09-30,70.90850830078125
2020-10-01,70.5351791381836
2020-10-02,70.6063003540039
2020-10-05,72.40190124511719
2020-10-06,70.6063003540039
2020-10-07,71.5752182006836
2020-10-08,72.95304107666016
2020-10-09,73.24636840820312
2020-10-12,73.78861999511719
2020-10-13,73.77971649169922
2020-10-14,74.9708480834961
2020-10-15,74.02860260009766
2020-10-16,74.4286117553711
2020-10-19,72.82859802246094
2020-10-20,73.13969421386719
2020-10-21,73.44194030761719
2020-10-22,74.65975189208984
2020-10-23,75.5842056274414
2020-10-26,73.31747436523438
2020-10-27,72.82859802246094
2020-10-28,71.2463150024414
2020-10-29,73.29081726074219
2020-10-30,73.66698455810547
2020-11-02,74.607421875
2020-11-03,77.50931549072266
2020-11-04,76.56887817382812
2020-11-05,77.56304168701172
2020-11-06,78.83485412597656
2020-11-09,81.13668823242188
2020-11-10,81.76363372802734
