,HSY
2015-05-15,76.79646301269531
2015-05-18,76.0618667602539
2015-05-19,76.05387115478516
2015-05-20,75.91815185546875
2015-05-21,75.52873229980469
2015-05-22,75.10311126708984
2015-05-26,74.67752838134766
2015-05-27,75.05496978759766
2015-05-28,74.9906997680664
2015-05-29,74.56510925292969
2015-06-01,74.46072387695312
2015-06-02,74.30010223388672
2015-06-03,73.63362884521484
2015-06-04,73.28836822509766
2015-06-05,72.96717834472656
2015-06-08,73.52926635742188
2015-06-09,73.12777709960938
2015-06-10,73.15985107421875
2015-06-11,72.87883758544922
2015-06-12,73.10368347167969
2015-06-15,72.95916748046875
2015-06-16,73.95484161376953
2015-06-17,74.251953125
2015-06-18,74.08331298828125
2015-06-19,71.49771881103516
2015-06-22,71.6583023071289
2015-06-23,71.56196594238281
2015-06-24,70.85533905029297
2015-06-25,70.5501937866211
2015-06-26,71.10426330566406
2015-06-29,70.59034729003906
2015-06-30,71.32909393310547
2015-07-01,71.91525268554688
2015-07-02,72.30070495605469
2015-07-06,71.40135192871094
2015-07-07,73.30443572998047
2015-07-08,72.565673828125
2015-07-09,72.91899108886719
2015-07-10,73.77015686035156
2015-07-13,73.97893524169922
2015-07-14,74.2198486328125
2015-07-15,73.61759185791016
2015-07-16,74.13151550292969
2015-07-17,73.48109436035156
2015-07-20,73.33655548095703
2015-07-21,72.84671783447266
2015-07-22,73.14381408691406
2015-07-23,72.7905044555664
2015-07-24,72.42918395996094
2015-07-27,72.80656433105469
2015-07-28,73.89060974121094
2015-07-29,74.27603912353516
2015-07-30,74.56510925292969
2015-07-31,74.58919525146484
2015-08-03,74.29208374023438
2015-08-04,74.51693725585938
2015-08-05,74.40450286865234
2015-08-06,74.03514099121094
2015-08-07,72.05177307128906
2015-08-10,73.72199249267578
2015-08-11,73.42488861083984
2015-08-12,74.08331298828125
2015-08-13,72.65397644042969
2015-08-14,73.35260009765625
2015-08-17,74.12345123291016
2015-08-18,75.03085327148438
2015-08-19,73.93879699707031
2015-08-20,73.54532623291016
2015-08-21,72.34364318847656
2015-08-24,69.87885284423828
2015-08-25,68.79595184326172
2015-08-26,71.26883697509766
2015-08-27,72.92550659179688
2015-08-28,72.8931655883789
2015-08-31,72.34364318847656
2015-09-01,70.37178802490234
2015-09-02,71.6163101196289
