,KHC
2018-06-28,46.21753692626953
2018-06-29,46.34295654296875
2018-07-02,45.80442810058594
2018-07-03,46.21017074584961
2018-07-05,47.17656707763672
2018-07-06,47.530662536621094
2018-07-09,47.19133377075195
2018-07-10,47.21345138549805
2018-07-11,47.02165603637695
2018-07-12,46.947879791259766
2018-07-13,47.1027946472168
2018-07-16,46.21017074584961
2018-07-17,46.51262283325195
2018-07-18,45.43558120727539
2018-07-19,45.25114822387695
2018-07-20,44.771636962890625
2018-07-23,44.483924865722656
2018-07-24,44.0191650390625
2018-07-25,44.14458465576172
2018-07-26,44.616722106933594
2018-07-27,44.45440673828125
2018-07-30,44.46918487548828
2018-07-31,44.44704055786133
2018-08-01,43.731468200683594
2018-08-02,43.81999588012695
2018-08-03,47.56756210327149
2018-08-06,45.959346771240234
2018-08-07,45.23639678955078
2018-08-08,44.46918487548828
2018-08-09,44.26261520385742
2018-08-10,44.004417419433594
2018-08-13,43.731468200683594
2018-08-14,43.90851211547851
2018-08-15,43.59130096435547
2018-08-16,44.75815963745117
2018-08-17,45.49630355834961
2018-08-20,45.21297073364258
2018-08-21,44.61649703979492
2018-08-22,44.400272369384766
2018-08-23,43.841064453125
2018-08-24,44.01255798339844
2018-08-27,44.4151725769043
2018-08-28,43.8336181640625
2018-08-29,44.21387481689453
2018-08-30,43.40862655639648
2018-08-31,43.4459114074707
2018-09-04,42.245487213134766
2018-09-05,42.49900436401367
2018-09-06,42.34988021850586
2018-09-07,42.19330596923828
2018-09-10,42.677940368652344
2018-09-11,43.065650939941406
2018-09-12,44.07966232299805
2018-09-13,44.35553741455078
2018-09-14,43.96782684326172
2018-09-17,43.50555419921875
2018-09-18,42.57355117797851
2018-09-19,42.4169807434082
2018-09-20,42.92398834228515
2018-09-21,42.58846282958984
2018-09-24,42.14111328125
2018-09-25,41.499900817871094
2018-09-26,41.134552001953125
2018-09-27,41.037628173828125
2018-09-28,41.089820861816406
2018-10-01,41.41043472290039
2018-10-02,41.70121765136719
2018-10-03,41.45515823364258
2018-10-04,41.39552688598633
2018-10-05,41.67138671875
2018-10-08,42.54374313354492
2018-10-09,41.80559921264648
2018-10-10,41.55955505371094
2018-10-11,40.12799072265625
2018-10-12,40.441162109375
2018-10-15,40.612640380859375
2018-10-16,41.33586502075195
2018-10-17,42.05165100097656
2018-10-18,41.41043472290039
2018-10-19,42.916534423828125
2018-10-22,41.90997695922851
2018-10-23,42.20075225830078
2018-10-24,41.589378356933594
2018-10-25,41.738494873046875
