,SBUX
2015-09-04,45.3999137878418
2015-09-08,46.17776107788086
2015-09-09,45.74282455444336
2015-09-10,46.31158447265625
2015-09-11,47.28181457519531
2015-09-14,47.08107376098633
2015-09-15,47.59964370727539
2015-09-16,47.89238357543945
2015-09-17,47.90910720825195
2015-09-18,47.54109191894531
2015-09-21,48.12657928466797
2015-09-22,47.77528381347656
2015-09-23,48.3356819152832
2015-09-24,48.8207893371582
2015-09-25,48.50296401977539
2015-09-28,46.64613723754883
2015-09-29,46.60432434082031
2015-09-30,47.54109191894531
2015-10-01,48.076393127441406
2015-10-02,48.57823944091797
2015-10-05,49.38118362426758
2015-10-06,49.088443756103516
2015-10-07,49.163719177246094
2015-10-08,49.73246765136719
2015-10-09,50.242679595947266
2015-10-12,50.63579177856445
2015-10-13,50.31795883178711
2015-10-14,49.19717025756836
2015-10-15,49.924842834472656
2015-10-16,50.12559127807617
2015-10-19,50.99544906616211
2015-10-20,50.920169830322266
2015-10-21,50.627418518066406
2015-10-22,51.43037033081055
2015-10-23,52.36714172363281
2015-10-26,53.053001403808594
2015-10-27,52.450782775878906
2015-10-28,53.11989212036133
2015-10-29,52.27513885498047
2015-10-30,52.33368682861328
2015-11-02,52.05767059326172
2015-11-03,52.52605438232422
2015-11-04,51.82347106933594
2015-11-05,52.09111404418945
2015-11-06,51.83184051513672
2015-11-09,51.47102737426758
2015-11-10,52.17588806152344
2015-11-11,51.91575622558594
2015-11-12,51.24446487426758
2015-11-13,50.128448486328125
2015-11-16,50.91720199584961
2015-11-17,50.80812454223633
2015-11-18,51.85702133178711
2015-11-19,51.57171630859375
2015-11-20,52.01645278930664
2015-11-23,52.56187057495117
2015-11-24,51.991268157958984
2015-11-25,52.18426513671875
2015-11-27,52.17588806152344
2015-11-30,51.51298141479492
2015-12-01,51.496192932128906
2015-12-02,51.370330810546875
2015-12-03,49.969017028808594
2015-12-04,51.815059661865234
2015-12-07,51.93252944946289
2015-12-08,52.159095764160156
2015-12-09,51.336769104003906
2015-12-10,51.91575622558594
2015-12-11,50.195579528808594
2015-12-14,50.27949142456055
2015-12-15,50.32982635498047
2015-12-16,50.64030838012695
2015-12-17,49.943851470947266
2015-12-18,49.188636779785156
2015-12-21,49.960636138916016
2015-12-22,50.33822250366211
2015-12-23,50.63191604614258
2015-12-24,50.6151237487793
2015-12-28,50.50604248046875
2015-12-29,51.29481887817383
2015-12-30,51.034690856933594
2015-12-31,50.371788024902344
2016-01-04,48.88655471801758
2016-01-05,49.21381759643555
2016-01-06,48.777488708496094
2016-01-07,47.56915283203125
2016-01-08,47.51882553100586
2016-01-11,48.51735305786133
2016-01-12,49.89349365234375
2016-01-13,48.5593147277832
2016-01-14,49.49071502685547
2016-01-15,48.66839599609375
2016-01-19,49.12990188598633
2016-01-20,47.76214599609375
2016-01-21,49.53268051147461
2016-01-22,49.65015411376953
2016-01-25,48.4250602722168
2016-01-26,49.18025588989258
2016-01-27,48.35792922973633
2016-01-28,49.750850677490234
2016-01-29,50.99272918701172
2016-02-01,51.52137756347656
2016-02-02,51.10044860839844
2016-02-03,50.115478515625
2016-02-04,49.07157516479492
2016-02-05,45.87253952026367
2016-02-08,45.57789611816406
2016-02-09,45.81360626220703
2016-02-10,46.41975021362305
2016-02-11,46.23454284667969
2016-02-12,47.02587127685547
2016-02-16,47.4888916015625
2016-02-17,48.515953063964844
2016-02-18,47.95192337036133
2016-02-19,48.54963302612305
2016-02-22,49.55984878540039
2016-02-23,49.214698791503906
2016-02-24,48.920047760009766
2016-02-25,49.45882797241211
2016-02-26,49.11366271972656
