,MMM
2017-09-15,137.38623046875
2017-09-18,137.65025329589844
2017-09-19,137.52146911621094
2017-09-20,135.55735778808594
2017-09-21,135.5123291015625
2017-09-22,135.7184295654297
2017-09-25,135.69908142089844
2017-09-26,135.89227294921875
2017-09-27,134.8941650390625
2017-09-28,134.9392547607422
2017-09-29,135.1646270751953
2017-10-02,137.00631713867188
2017-10-03,138.17185974121094
2017-10-04,139.4275360107422
2017-10-05,139.33094787597656
2017-10-06,139.4275360107422
2017-10-09,139.5305633544922
2017-10-10,139.57565307617188
2017-10-11,139.42108154296875
2017-10-12,140.11656188964844
2017-10-13,140.20025634765625
2017-10-16,140.84422302246094
2017-10-17,140.21961975097656
2017-10-18,140.554443359375
2017-10-19,141.17906188964844
2017-10-20,142.5185089111328
2017-10-23,142.66664123535156
2017-10-24,151.102294921875
2017-10-25,153.05345153808594
2017-10-26,150.0011749267578
2017-10-27,151.16026306152344
2017-10-30,148.76478576660156
2017-10-31,148.23031616210938
2017-11-01,148.223876953125
2017-11-02,149.5439453125
2017-11-03,149.53749084472656
2017-11-06,148.30758666992188
2017-11-07,148.1401824951172
2017-11-08,147.99847412109375
2017-11-09,147.0712127685547
2017-11-10,146.46588134765625
2017-11-13,146.96168518066406
2017-11-14,147.676513671875
2017-11-15,146.4337158203125
2017-11-16,147.73448181152344
2017-11-17,147.69581604003906
2017-11-20,149.06744384765625
2017-11-21,150.74171447753906
2017-11-22,149.877685546875
2017-11-24,149.74826049804688
2017-11-27,151.44387817382812
2017-11-28,152.49887084960938
2017-11-29,154.03915405273438
2017-11-30,157.35928344726562
2017-12-01,156.07135009765625
2017-12-04,154.84817504882812
2017-12-05,154.20094299316406
2017-12-06,154.46630859375
2017-12-07,155.52125549316406
2017-12-08,154.1168670654297
2017-12-11,154.8740692138672
2017-12-12,153.11367797851562
2017-12-13,154.75106811523438
2017-12-14,154.08445739746094
2017-12-15,154.0326690673828
2017-12-18,154.3045196533203
2017-12-19,154.2851104736328
2017-12-20,153.3336944580078
2017-12-21,151.94871520996094
2017-12-22,151.9163818359375
2017-12-26,152.38232421875
2017-12-27,152.86773681640625
2017-12-28,152.5570831298828
2017-12-29,152.33055114746094
2018-01-02,152.50531005859375
2018-01-03,152.49887084960938
2018-01-04,154.4922332763672
2018-01-05,155.6959991455078
2018-01-08,155.19119262695312
2018-01-09,156.15554809570312
2018-01-10,156.0648956298828
2018-01-11,156.8220977783203
2018-01-12,158.22006225585938
2018-01-16,158.39480590820312
2018-01-17,160.5758514404297
2018-01-18,159.1520538330078
2018-01-19,160.62118530273438
2018-01-22,160.05160522460938
2018-01-23,159.41087341308594
2018-01-24,160.3040313720703
2018-01-25,163.32640075683594
2018-01-26,167.38433837890625
2018-01-29,165.68869018554688
2018-01-30,162.79571533203125
2018-01-31,162.12265014648438
2018-02-01,160.4658203125
2018-02-02,158.673095703125
2018-02-05,149.787109375
2018-02-06,151.20443725585938
2018-02-07,150.91970825195312
2018-02-08,144.25355529785156
2018-02-09,145.75503540039062
2018-02-12,148.3309326171875
2018-02-13,149.73532104492188
2018-02-14,150.1495361328125
2018-02-15,152.90328979492188
2018-02-16,154.07513427734375
2018-02-20,153.03350830078125
