,MRK
2019-02-19,63.15723419189453
2019-02-20,63.30867385864258
2019-02-21,63.62748718261719
2019-02-22,64.37670135498047
2019-02-25,64.06585693359375
2019-02-26,64.352783203125
2019-02-27,64.25714111328125
2019-02-28,64.79115295410156
2019-03-01,65.07807922363281
2019-03-04,64.85490417480469
2019-03-05,65.1179428100586
2019-03-06,64.36871337890625
2019-03-07,64.12164306640625
2019-03-08,63.60356140136719
2019-03-11,64.4563980102539
2019-03-12,64.74333953857422
2019-03-13,65.03823852539062
2019-03-14,65.39132690429688
2019-03-15,65.45551300048828
2019-03-18,65.27896118164062
2019-03-19,65.72834014892578
2019-03-20,65.86478424072266
2019-03-21,66.5628890991211
2019-03-22,66.03326416015625
2019-03-25,66.08142852783203
2019-03-26,66.538818359375
2019-03-27,66.03326416015625
2019-03-28,66.30609893798828
2019-03-29,66.73941802978516
2019-04-01,66.84373474121094
2019-04-02,66.77152252197266
2019-04-03,66.74746704101562
2019-04-04,65.68018341064453
2019-04-05,65.11849212646484
2019-04-08,64.95800018310547
2019-04-09,64.837646484375
2019-04-10,64.85368347167969
2019-04-11,64.06729125976562
2019-04-12,63.73828125
2019-04-15,63.01605224609375
2019-04-16,62.23770523071289
2019-04-17,59.316802978515625
2019-04-18,58.73100280761719
2019-04-22,58.94767761230469
2019-04-23,59.86246109008789
2019-04-24,59.966773986816406
2019-04-25,61.258731842041016
2019-04-26,61.49141311645508
2019-04-29,61.61180877685547
2019-04-30,63.16051483154297
2019-05-01,63.16855239868164
2019-05-02,63.81050109863281
2019-05-03,64.19567108154297
2019-05-06,63.77840042114258
2019-05-07,62.51054382324219
2019-05-08,62.73522186279297
2019-05-09,62.85558319091797
2019-05-10,62.74325180053711
2019-05-13,61.924739837646484
2019-05-14,62.125362396240234
2019-05-15,62.22970199584961
2019-05-16,63.49754333496094
2019-05-17,63.16855239868164
2019-05-20,63.29692840576172
2019-05-21,63.79445266723633
2019-05-22,64.98206329345703
2019-05-23,65.0141830444336
2019-05-24,65.13453674316406
2019-05-28,64.404296875
2019-05-29,63.682106018066406
2019-05-30,63.938880920410156
2019-05-31,63.56174087524414
2019-06-03,64.404296875
2019-06-04,65.06230163574219
2019-06-05,65.55179595947266
2019-06-06,65.3511962890625
2019-06-07,66.16968536376953
2019-06-10,66.18573760986328
2019-06-11,66.58695983886719
2019-06-12,67.17274475097656
2019-06-13,66.52275085449219
2019-06-14,66.87013244628906
2019-06-17,67.2901611328125
2019-06-18,68.25146484375
2019-06-19,68.95423889160156
2019-06-20,68.34033203125
2019-06-21,68.31609344482422
2019-06-24,69.07543182373047
2019-06-25,68.85731506347656
2019-06-26,67.48404693603516
2019-06-27,67.71831512451172
2019-06-28,67.73448181152344
2019-07-01,68.46148681640625
2019-07-02,69.07543182373047
2019-07-03,70.19828796386719
2019-07-05,69.14813995361328
2019-07-08,67.88795471191406
2019-07-09,68.55036163330078
2019-07-10,68.51803588867188
2019-07-11,65.43222045898438
2019-07-12,64.40633392333984
2019-07-15,65.39993286132812
2019-07-16,65.9088363647461
2019-07-17,66.17540740966797
2019-07-18,66.79740905761719
2019-07-19,65.74727630615234
2019-07-22,65.60185241699219
2019-07-23,66.2642822265625
2019-07-24,66.03807830810547
2019-07-25,66.03807830810547
2019-07-26,65.77957916259766
2019-07-29,66.6358642578125
2019-07-30,67.26594543457031
2019-07-31,67.03975677490234
2019-08-01,67.60521697998047
2019-08-02,68.23531341552734
2019-08-05,67.144775390625
2019-08-06,68.13837432861328
2019-08-07,68.05758666992188
2019-08-08,68.44532775878906
2019-08-09,69.08350372314453
2019-08-12,68.67960357666016
2019-08-13,69.53587341308594
2019-08-14,67.37096405029297
2019-08-15,67.41944122314453
2019-08-16,68.71190643310547
2019-08-19,69.6247329711914
2019-08-20,69.18852996826172
2019-08-21,70.20635223388672
2019-08-22,70.0528793334961
2019-08-23,68.614990234375
2019-08-26,69.37431335449219
2019-08-27,69.08350372314453
2019-08-28,69.85900115966797
2019-08-29,70.0528793334961
2019-08-30,69.8509292602539
2019-09-03,69.9963150024414
2019-09-04,69.51162719726562
2019-09-05,69.55203247070312
2019-09-06,69.93170928955078
2019-09-09,67.4275131225586
2019-09-10,65.9896011352539
2019-09-11,66.98320007324219
2019-09-12,67.29826354980469
2019-09-13,67.17628479003906
2019-09-16,66.70465087890625
2019-09-17,67.09495544433594
2019-09-18,67.50968933105469
2019-09-19,68.28219604492188
2019-09-20,69.24988555908203
2019-09-23,68.59934997558594
2019-09-24,67.9813232421875
2019-09-25,67.57472229003906
2019-09-26,68.20899963378906
2019-09-27,67.42023468017578
2019-09-30,68.45297241210938
2019-10-01,67.98944091796875
2019-10-02,66.37123107910156
2019-10-03,67.281982421875
2019-10-04,69.11976623535156
2019-10-07,68.62372589111328
2019-10-08,67.72925567626953
2019-10-09,68.45297241210938
2019-10-10,68.11141204833984
2019-10-11,68.58306121826172
2019-10-14,68.86768341064453
2019-10-15,69.15229034423828
2019-10-16,68.67251586914062
2019-10-17,68.14395904541016
2019-10-18,68.85956573486328
2019-10-21,68.72943878173828
2019-10-22,66.11103057861328
2019-10-23,67.3876953125
