,AXP
2015-03-18,70.89364624023438
2015-03-19,70.61651611328125
2015-03-20,71.62110900878906
2015-03-23,71.18809509277344
2015-03-24,70.46929931640625
2015-03-25,69.37808227539062
2015-03-26,67.9664535522461
2015-03-27,67.52476501464844
2015-03-30,67.59407043457031
2015-03-31,67.88081359863281
2015-04-01,68.58463287353516
2015-04-02,69.2536849975586
2015-04-06,69.19288635253906
2015-04-07,68.06327056884766
2015-04-08,68.37608337402344
2015-04-09,68.78448486328125
2015-04-10,69.15811920166016
2015-04-13,68.88005828857422
2015-04-14,69.07122802734375
2015-04-15,69.29713439941406
2015-04-16,70.30509948730469
2015-04-17,67.18566131591797
2015-04-20,67.10745239257812
2015-04-21,67.15089416503906
2015-04-22,68.15885162353516
2015-04-23,67.9068832397461
2015-04-24,67.7678451538086
2015-04-27,67.3333969116211
2015-04-28,67.3333969116211
2015-04-29,67.046630859375
2015-04-30,67.29862976074219
2015-05-01,67.49848175048828
2015-05-04,68.01981353759766
2015-05-05,67.63748931884766
2015-05-06,67.64618682861328
2015-05-07,68.15015411376953
2015-05-08,68.6280746459961
2015-05-11,69.2536849975586
2015-05-12,68.71499633789062
2015-05-13,69.3927230834961
2015-05-14,70.16606903076172
2015-05-15,69.70557403564453
2015-05-18,69.662109375
2015-05-19,70.69612884521484
2015-05-20,70.34857177734375
2015-05-21,70.17476654052734
2015-05-22,70.60054779052734
2015-05-26,69.67948150634766
2015-05-27,69.6099853515625
2015-05-28,69.59258270263672
2015-05-29,69.27106475830078
2015-06-01,69.05387878417969
2015-06-02,69.50570678710938
2015-06-03,70.03575134277344
2015-06-04,68.95826721191406
2015-06-05,68.98432159423828
2015-06-08,68.48035430908203
2015-06-09,68.79318237304688
2015-06-10,69.67948150634766
2015-06-11,69.77509307861328
2015-06-12,69.1059799194336
2015-06-15,68.86268615722656
2015-06-16,68.95826721191406
2015-06-17,69.79242706298828
2015-06-18,70.1834716796875
2015-06-19,69.67948150634766
2015-06-22,70.60054779052734
2015-06-23,70.69612884521484
2015-06-24,70.15739440917969
2015-06-25,69.41011047363281
2015-06-26,69.41011047363281
2015-06-29,67.60275268554688
2015-06-30,67.78589630126953
2015-07-01,68.37898254394531
2015-07-02,68.2132568359375
2015-07-06,67.67254638671875
2015-07-07,67.63764190673828
2015-07-08,66.22469329833984
2015-07-09,66.58228302001953
2015-07-10,67.42829895019531
2015-07-13,68.49235534667969
2015-07-14,68.87612915039062
2015-07-15,68.5010986328125
2015-07-16,68.83250427246094
2015-07-17,69.09419250488281
2015-07-20,69.16394805908203
2015-07-21,68.85868835449219
2015-07-22,68.89356994628906
2015-07-23,67.1666488647461
2015-07-24,66.19853973388672
2015-07-27,65.34379577636719
2015-07-28,65.5094985961914
2015-07-29,66.02410125732422
2015-07-30,66.39043426513672
2015-07-31,66.33808135986328
2015-08-03,66.26830291748047
2015-08-04,66.04154205322266
2015-08-05,65.92814636230469
2015-08-06,65.41358184814453
2015-08-07,69.5302505493164
2015-08-10,70.87342834472656
2015-08-11,70.94319152832031
2015-08-12,70.64664459228516
2015-08-13,70.43733215332031
2015-08-14,70.56816864013672
2015-08-17,70.64664459228516
2015-08-18,70.85596466064453
2015-08-19,70.6030502319336
2015-08-20,68.69300079345703
2015-08-21,67.18409729003906
2015-08-24,65.1082992553711
2015-08-25,64.12274169921875
2015-08-26,65.96305084228516
2015-08-27,67.05327606201172
2015-08-28,66.85267639160156
2015-08-31,66.91368865966797
2015-09-01,64.54138946533203
2015-09-02,65.36123657226562
2015-09-03,65.64035034179688
2015-09-04,64.61116790771484
2015-09-08,65.8409423828125
2015-09-09,65.51824188232422
2015-09-10,65.68394470214844
2015-09-11,65.84967041015625
2015-09-14,65.5356674194336
2015-09-15,66.7218246459961
2015-09-16,67.43701171875
2015-09-17,67.21025848388672
2015-09-18,66.24214172363281
2015-09-21,66.93114471435547
2015-09-22,66.03282165527344
2015-09-23,65.96305084228516
2015-09-24,65.1431884765625
2015-09-25,65.50078582763672
2015-09-28,63.965721130371094
2015-09-29,63.756412506103516
2015-09-30,64.65476989746094
2015-10-01,64.44546508789062
2015-10-02,64.89895629882812
2015-10-05,67.4195785522461
2015-10-06,67.07942199707031
