,WMB
2018-08-27,20.729719161987305
2018-08-28,20.565629959106445
2018-08-29,20.449398040771484
2018-08-30,20.29214859008789
2018-08-31,20.230619430541992
2018-09-04,19.963977813720703
2018-09-05,20.148576736450195
2018-09-06,19.712814331054688
2018-09-07,19.76815414428711
2018-09-10,19.726648330688477
2018-09-11,19.761232376098633
2018-09-12,19.63673973083496
2018-09-13,19.498394012451172
2018-09-14,19.429231643676758
2018-09-17,19.53297996520996
2018-09-18,19.429231643676758
2018-09-19,19.498394012451172
2018-09-20,19.539899826049805
2018-09-21,19.283977508544922
2018-09-24,19.062639236450195
2018-09-25,18.855134963989258
2018-09-26,18.74447250366211
2018-09-27,18.855134963989258
2018-09-28,18.806718826293945
2018-10-01,19.131807327270508
2018-10-02,19.124893188476562
2018-10-03,19.353147506713867
2018-10-04,19.207895278930664
2018-10-05,19.104148864746094
2018-10-08,19.15256118774414
2018-10-09,19.111061096191406
2018-10-10,18.813636779785156
2018-10-11,18.391714096069336
2018-10-12,18.453968048095703
2018-10-15,18.51621437072754
2018-10-16,18.633800506591797
2018-10-17,18.592300415039062
2018-10-18,18.433210372924805
2018-10-19,18.495468139648438
2018-10-22,18.177289962768555
2018-10-23,17.914451599121094
2018-10-24,17.471784591674805
2018-10-25,17.305782318115234
2018-10-26,16.821605682373047
2018-10-29,16.621021270751953
2018-10-30,16.73860740661621
2018-10-31,16.828523635864258
2018-11-01,17.810705184936523
2018-11-02,17.693126678466797
2018-11-05,17.789955139160156
2018-11-06,17.803789138793945
2018-11-07,18.31563377380371
2018-11-08,17.67237091064453
2018-11-09,17.520200729370117
2018-11-12,17.174362182617188
2018-11-13,16.821605682373047
2018-11-14,17.119028091430664
2018-11-15,17.291950225830078
2018-11-16,17.381858825683594
2018-11-19,17.520200729370117
2018-11-20,17.04985809326172
2018-11-21,17.31269645690918
2018-11-23,16.97377586364746
2018-11-26,17.1605281829834
2018-11-27,17.285030364990234
2018-11-28,17.527118682861328
2018-11-29,17.679285049438477
2018-11-30,17.51328468322754
2018-12-03,17.776119232177734
2018-12-04,17.3265323638916
2018-12-06,16.966859817504883
2018-12-07,16.93227195739746
2018-12-10,16.65559959411621
2018-12-11,16.551851272583008
2018-12-12,16.731685638427734
2018-12-13,16.738704681396484
2018-12-14,16.451072692871094
2018-12-17,16.121347427368164
2018-12-18,15.728490829467773
2018-12-19,15.658332824707031
2018-12-20,15.32159423828125
2018-12-21,15.279505729675293
2018-12-24,14.437658309936523
2018-12-26,15.202339172363281
2018-12-27,15.055007934570312
2018-12-28,15.069042205810547
2018-12-31,15.468920707702637
2019-01-02,15.728490829467773
2019-01-03,15.861780166625977
2019-01-04,16.521221160888672
2019-01-07,16.942148208618164
2019-01-08,17.44725799560547
2019-01-09,17.643688201904297
2019-01-10,17.643688201904297
2019-01-11,17.566518783569336
2019-01-14,17.75593376159668
2019-01-15,17.854148864746094
2019-01-16,18.141780853271484
2019-01-17,18.35224151611328
2019-01-18,18.520606994628906
2019-01-22,18.35224151611328
2019-01-23,18.11371421813965
2019-01-24,18.590763092041016
2019-01-25,18.710023880004883
2019-01-28,18.64689064025879
2019-01-29,18.717041015625
2019-01-30,18.955568313598633
2019-01-31,18.89242172241211
2019-02-01,19.243192672729492
2019-02-04,19.201101303100586
2019-02-05,19.187070846557617
2019-02-06,18.983627319335938
2019-02-07,18.717041015625
2019-02-08,18.857345581054688
2019-02-11,18.74509620666504
2019-02-12,18.752117156982422
2019-02-13,18.96257781982422
2019-02-14,18.84331703186035
2019-02-15,19.130949020385742
2019-02-19,19.23617935180664
2019-02-20,19.187070846557617
2019-02-21,18.983627319335938
2019-02-22,19.01870346069336
2019-02-25,19.187070846557617
2019-02-26,18.92048454284668
2019-02-27,19.004671096801758
2019-02-28,18.724058151245117
2019-03-01,19.243192672729492
2019-03-04,19.22214698791504
2019-03-05,19.250205993652344
2019-03-06,19.187070846557617
2019-03-07,19.165729522705078
2019-03-08,19.158615112304688
2019-03-11,19.464527130126953
2019-03-12,19.585468292236328
2019-03-13,19.706409454345703
2019-03-14,19.727752685546875
2019-03-15,19.606807708740234
2019-03-18,19.77043914794922
2019-03-19,20.01232147216797
2019-03-20,20.1688289642334
2019-03-21,20.581462860107422
2019-03-22,20.254201889038086
2019-03-25,20.417829513549805
2019-03-26,20.353803634643555
2019-03-27,20.268430709838867
2019-03-28,20.38937759399414
2019-03-29,20.43206024169922
2019-04-01,20.82334327697754
2019-04-02,20.88025665283203
2019-04-03,20.567230224609375
2019-04-04,20.503198623657227
2019-04-05,20.709514617919922
2019-04-08,20.63125991821289
2019-04-09,20.42494010925293
2019-04-10,20.38937759399414
2019-04-11,20.46051788330078
2019-04-12,20.588573455810547
2019-04-15,20.296890258789062
2019-04-16,20.368032455444336
2019-04-17,20.19729232788086
2019-04-18,20.147493362426758
2019-04-22,20.46051788330078
2019-04-23,20.503198623657227
2019-04-24,20.403600692749023
2019-04-25,20.254201889038086
2019-04-26,20.268430709838867
2019-04-29,20.126148223876953
2019-04-30,20.154603958129883
2019-05-01,19.905607223510742
2019-05-02,19.535663604736328
2019-05-03,19.628149032592773
2019-05-06,19.478755950927734
2019-05-07,19.578351974487305
2019-05-08,19.272441864013672
2019-05-09,19.179954528808594
2019-05-10,19.599699020385742
2019-05-13,19.379154205322266
2019-05-14,19.549898147583008
2019-05-15,19.713523864746094
2019-05-16,19.65660858154297
2019-05-17,19.56412696838379
2019-05-20,19.535663604736328
2019-05-21,19.84157943725586
2019-05-22,19.65660858154297
2019-05-23,19.21552848815918
2019-05-24,19.2012996673584
2019-05-28,18.767332077026367
2019-05-29,18.710420608520508
2019-05-30,18.9451847076416
2019-05-31,18.767332077026367
2019-06-03,19.115930557250977
2019-06-04,19.699296951293945
2019-06-05,19.81312370300293
2019-06-06,19.87082290649414
2019-06-07,20.022293090820312
2019-06-10,19.820337295532227
2019-06-11,19.92852210998535
2019-06-12,19.62558937072754
2019-06-13,19.748210906982422
2019-06-14,19.4669132232666
2019-06-17,19.502975463867188
2019-06-18,19.66165542602539
2019-06-19,19.438066482543945
2019-06-20,19.712146759033203
2019-06-21,19.979013442993164
2019-06-24,19.582319259643555
2019-06-25,19.322664260864258
2019-06-26,19.834760665893555
2019-06-27,19.86361312866211
2019-06-28,20.224241256713867
2019-07-01,20.23866844177246
2019-07-02,20.339645385742188
2019-07-03,20.4766845703125
2019-07-05,20.447832107543945
2019-07-08,20.51274871826172
2019-07-09,20.729129791259766
2019-07-10,20.786827087402344
2019-07-11,20.707487106323242
2019-07-12,20.808469772338867
2019-07-15,20.772401809692383
2019-07-16,20.339645385742188
2019-07-17,19.993436813354492
2019-07-18,19.878034591674805
2019-07-19,19.8852481842041
2019-07-22,19.921316146850586
2019-07-23,19.697721481323242
2019-07-24,19.40199851989746
2019-07-25,18.983667373657227
2019-07-26,18.125364303588867
2019-07-29,17.88013458251953
2019-07-30,18.046030044555664
2019-07-31,17.771947860717773
2019-08-01,18.406654357910156
2019-08-02,18.0388126373291
2019-08-05,17.151655197143555
2019-08-06,16.971345901489258
2019-08-07,17.036252975463867
2019-08-08,17.33197593688965
2019-08-09,17.30312156677246
2019-08-12,17.093957901000977
2019-08-13,17.230995178222656
2019-08-14,16.66840934753418
2019-08-15,16.5313720703125
2019-08-16,16.79102325439453
2019-08-19,16.992979049682617
2019-08-20,16.971345901489258
2019-08-21,17.22378158569336
2019-08-22,17.02182960510254
2019-08-23,16.502519607543945
2019-08-26,16.538585662841797
2019-08-27,16.5313720703125
2019-08-28,16.827089309692383
2019-08-29,17.101167678833008
2019-08-30,17.02182960510254
2019-09-03,16.985767364501953
2019-09-04,17.093957901000977
2019-09-05,17.360822677612305
2019-09-06,17.39689064025879
2019-09-09,17.800798416137695
2019-09-10,17.92340850830078
2019-09-11,18.00274658203125
2019-09-12,17.79035186767578
2019-09-13,18.090635299682617
2019-09-16,18.303037643432617
2019-09-17,18.31036376953125
2019-09-18,18.193178176879883
2019-09-19,18.171201705932617
2019-09-20,18.097963333129883
2019-09-23,18.02472496032715
2019-09-24,17.79035186767578
2019-09-25,17.870914459228516
2019-09-26,17.67316246032715
2019-09-27,17.724430084228516
2019-09-30,17.621891021728516
2019-10-01,17.446117401123047
2019-10-02,17.116531372070312
2019-10-03,17.255685806274414
2019-10-04,17.32160186767578
2019-10-07,17.197092056274414
2019-10-08,16.77961540222168
2019-10-09,16.640460968017578
2019-10-10,16.65510368347168
2019-10-11,16.911449432373047
2019-10-14,16.933425903320312
2019-10-15,16.955398559570312
2019-10-16,16.706377029418945
2019-10-17,16.699050903320312
2019-10-18,16.77961540222168
2019-10-21,16.874832153320312
2019-10-22,16.99934196472168
2019-10-23,17.182445526123047
2019-10-24,17.00666618347168
2019-10-25,17.02131462097168
2019-10-28,16.82356071472168
2019-10-29,17.00666618347168
2019-10-30,16.76496696472168
2019-10-31,16.340166091918945
2019-11-01,16.76496696472168
2019-11-04,17.087234497070312
2019-11-05,16.808914184570312
2019-11-06,16.288896560668945
2019-11-07,16.208332061767578
2019-11-08,16.179039001464844
2019-11-11,16.171716690063477
2019-11-12,16.142412185668945
2019-11-13,16.142412185668945
2019-11-14,16.076494216918945
2019-11-15,16.376787185668945
2019-11-18,16.332843780517578
2019-11-19,16.215656280517578
2019-11-20,16.391437530517578
2019-11-21,16.691728591918945
2019-11-22,16.918777465820312
2019-11-25,16.911449432373047
2019-11-26,16.750324249267578
2019-11-27,16.63313102722168
2019-11-29,16.640460968017578
2019-12-02,16.515945434570312
2019-12-03,16.259605407714844
2019-12-04,16.208332061767578
2019-12-05,16.252281188964844
2019-12-06,16.398761749267578
2019-12-09,16.772289276123047
2019-12-10,16.80159568786621
2019-12-11,16.984697341918945
2019-12-12,16.865554809570312
2019-12-13,16.91023063659668
2019-12-16,16.992137908935547
2019-12-17,17.081497192382812
2019-12-18,17.185745239257812
2019-12-19,17.498477935791016
2019-12-20,17.72186279296875
2019-12-23,17.826108932495117
2019-12-24,17.751649856567383
2019-12-26,17.729310989379883
2019-12-27,17.565494537353516
2019-12-30,17.27509117126465
2019-12-31,17.66229820251465
2020-01-02,17.49103355407715
2020-01-03,17.565494537353516
2020-01-06,17.79632568359375
2020-01-07,17.79632568359375
2020-01-08,17.52081871032715
2020-01-09,17.625062942504883
2020-01-10,17.498477935791016
2020-01-13,17.70697021484375
2020-01-14,17.751649856567383
2020-01-15,17.729310989379883
2020-01-16,17.900575637817383
2020-01-17,17.766542434692383
2020-01-21,17.133617401123047
2020-01-22,16.858104705810547
2020-01-23,16.709182739257812
2020-01-24,16.523035049438477
2020-01-27,16.091157913208008
2020-01-28,16.113492965698242
2020-01-29,15.756078720092773
2020-01-30,15.837981224060059
2020-01-31,15.406109809875488
2020-02-03,15.726292610168457
2020-02-04,15.994352340698242
2020-02-05,16.120941162109375
2020-02-06,15.964569091796875
2020-02-07,15.681612014770508
2020-02-10,15.957119941711426
2020-02-11,15.986905097961426
2020-02-12,16.046478271484375
2020-02-13,16.098596572875977
2020-02-14,16.039031982421875
2020-02-18,16.001802444458008
2020-02-19,16.046478271484375
2020-02-20,16.418787002563477
2020-02-21,16.024145126342773
2020-02-24,15.190168380737305
2020-02-25,14.33385944366455
2020-02-26,14.31152057647705
2020-02-27,14.073246002197266
2020-02-28,14.1849365234375
2020-03-02,14.594478607177734
2020-03-03,14.132816314697266
2020-03-04,14.460448265075684
2020-03-05,13.820075035095215
2020-03-06,12.993553161621094
2020-03-09,11.161794662475586
2020-03-10,12.129796981811523
2020-03-11,11.928749084472656
2020-03-12,10.14936637878418
2020-03-13,12.073851585388184
2020-03-16,10.302101135253906
2020-03-17,9.263493537902832
2020-03-18,7.064079761505127
2020-03-19,8.26306438446045
2020-03-20,8.805280685424805
2020-03-23,8.515081405639648
2020-03-24,9.866803169250488
2020-03-25,10.225732803344727
2020-03-26,10.882502555847168
2020-03-27,10.622849464416504
2020-03-30,10.554119110107422
2020-03-31,10.806133270263672
2020-04-01,10.179911613464355
2020-04-02,10.981782913208008
2020-04-03,10.424288749694824
2020-04-06,10.30974006652832
2020-04-07,11.569817543029785
2020-04-08,11.714920043945312
2020-04-09,12.669524192810059
2020-04-13,13.059002876281738
2020-04-14,13.219374656677246
2020-04-15,12.837535858154297
2020-04-16,12.669524192810059
2020-04-17,13.807415962219238
2020-04-20,14.120524406433105
2020-04-21,13.761592864990234
2020-04-22,13.486668586730957
2020-04-23,13.372113227844238
2020-04-24,13.960150718688965
2020-04-27,14.143434524536133
2020-04-28,14.441274642944336
2020-04-29,14.861297607421875
2020-04-30,14.792563438415527
2020-05-01,14.166345596313477
2020-05-04,14.609281539916992
2020-05-05,14.510004997253418
2020-05-06,14.212164878845215
2020-05-07,14.67037582397461
2020-05-08,14.868931770324707
2020-05-11,14.91475772857666
2020-05-12,14.571098327636719
2020-05-13,14.112887382507324
2020-05-14,14.120524406433105
2020-05-15,14.32672119140625
2020-05-18,14.952938079833984
2020-05-19,14.830755233764648
2020-05-20,15.059856414794922
2020-05-21,14.868931770324707
2020-05-22,15.00639533996582
2020-05-26,15.602075576782227
2020-05-27,15.632620811462402
2020-05-28,15.243141174316406
2020-05-29,15.602075576782227
2020-06-01,15.609709739685059
2020-06-02,15.533343315124512
2020-06-03,15.777719497680664
2020-06-04,15.815905570983887
2020-06-05,16.144290924072266
2020-06-08,16.480310440063477
2020-06-09,15.678439140319824
2020-06-10,15.380603790283203
2020-06-11,14.157323837280273
2020-06-12,14.204072952270508
2020-06-15,14.897528648376465
2020-06-16,15.08452320098877
2020-06-17,14.78844165802002
2020-06-18,15.154650688171387
2020-06-19,14.975440979003906
2020-06-22,15.224769592285156
2020-06-23,15.131274223327637
2020-06-24,14.679360389709473
2020-06-25,14.881943702697754
2020-06-26,14.422240257263184
2020-06-29,14.313155174255371
2020-06-30,14.819610595703125
2020-07-01,14.655988693237305
2020-07-02,14.866358757019043
2020-07-06,15.045565605163574
2020-07-07,14.733901023864746
2020-07-08,14.75727653503418
2020-07-09,14.23523998260498
2020-07-10,14.453405380249023
2020-07-13,14.461196899414062
2020-07-14,14.881943702697754
2020-07-15,15.645515441894531
2020-07-16,15.505267143249512
2020-07-17,15.40397834777832
2020-07-20,15.029983520507812
2020-07-21,15.668893814086914
2020-07-22,15.154650688171387
2020-07-23,15.05335807800293
2020-07-24,14.967647552490234
2020-07-27,14.6715669631958
2020-07-28,14.702737808227539
2020-07-29,15.40397834777832
2020-07-30,15.068940162658691
2020-07-31,14.905314445495605
2020-08-03,15.365017890930176
2020-08-04,16.627256393432617
2020-08-05,16.588300704956055
2020-08-06,16.222097396850586
2020-08-07,16.245471954345703
2020-08-10,16.783090591430664
2020-08-11,16.689592361450195
2020-08-12,16.837635040283203
2020-08-13,16.806467056274414
2020-08-14,17.24279022216797
2020-08-17,17.406415939331055
2020-08-18,16.985668182373047
2020-08-19,16.86880111694336
2020-08-20,16.67400360107422
2020-08-21,16.681798934936523
2020-08-24,16.89217758178711
2020-08-25,16.666215896606445
2020-08-26,16.401302337646484
2020-08-27,16.331178665161133
2020-08-28,16.416887283325195
2020-08-31,16.17534637451172
2020-09-01,16.331178665161133
2020-09-02,16.580507278442383
2020-09-03,16.284427642822266
2020-09-04,16.120805740356445
2020-09-08,15.95718002319336
2020-09-09,16.377927780151367
2020-09-10,16.028446197509766
2020-09-11,16.068159103393555
2020-09-14,16.560611724853516
2020-09-15,16.576499938964844
2020-09-16,17.01334571838379
2020-09-17,16.92597198486328
2020-09-18,16.473243713378906
2020-09-21,16.417644500732422
2020-09-22,16.528839111328125
2020-09-23,15.813992500305176
2020-09-24,15.829874992370605
2020-09-25,15.869593620300293
2020-09-28,16.203187942504883
2020-09-29,16.09198570251465
2020-09-30,15.6074800491333
2020-10-01,14.91646671295166
2020-10-02,15.162691116333008
2020-10-05,15.520112037658691
2020-10-06,15.353314399719238
2020-10-07,15.400972366333008
2020-10-08,15.877534866333008
2020-10-09,15.424800872802734
2020-10-12,15.448627471923828
2020-10-13,15.424800872802734
2020-10-14,15.631309509277344
2020-10-15,15.655138969421387
2020-10-16,15.305657386779785
2020-10-19,15.32154369354248
2020-10-20,15.639254570007324
2020-10-21,15.329480171203613
2020-10-22,16.131698608398438
2020-10-23,15.853703498840332
2020-10-26,15.250057220458984
2020-10-27,15.424800872802734
2020-10-28,14.980005264282227
2020-10-29,15.170632362365723
2020-10-30,15.242117881774902
2020-11-02,14.908522605895996
2020-11-03,15.0753173828125
2020-11-04,15.162691116333008
2020-11-05,15.178577423095703
2020-11-06,14.503440856933594
2020-11-09,15.3691987991333
2020-11-10,15.877534866333008
2020-11-11,15.901365280151367
2020-11-12,15.361257553100586
2020-11-13,15.917251586914062
2020-11-16,16.068159103393555
2020-11-17,16.54472541809082
2020-11-18,15.885477066040039
2020-11-19,16.012561798095703
2020-11-20,16.15553092956543
2020-11-23,16.902149200439453
2020-11-24,17.4422550201416
2020-11-25,17.17220115661621
2020-11-27,17.04511833190918
2020-11-30,16.663867950439453
2020-12-01,16.600324630737305
2020-12-02,17.196025848388672
2020-12-03,17.12454605102539
2020-12-04,17.863218307495117
2020-12-07,17.15631675720215
2020-12-08,17.553457260131836
2020-12-09,17.791738510131836
2020-12-10,17.79173469543457
2020-12-11,17.735124588012695
2020-12-14,17.395463943481445
2020-12-15,18.058612823486328
2020-12-16,17.589553833007812
2020-12-17,17.629989624023438
2020-12-18,17.12858772277832
2020-12-21,16.740406036376953
2020-12-22,16.667619705200195
2020-12-23,16.780841827392578
2020-12-24,16.77275848388672
2020-12-28,16.287525177001953
2020-12-29,16.239004135131836
2020-12-30,16.125783920288086
2020-12-31,16.214740753173828
2021-01-04,16.25517463684082
2021-01-05,16.748493194580078
2021-01-06,17.387378692626953
2021-01-07,17.419727325439453
2021-01-08,17.225637435913086
2021-01-11,17.395463943481445
2021-01-12,18.139484405517578
2021-01-13,17.98582649230957
2021-01-14,18.34975242614746
2021-01-15,18.196094512939453
2021-01-19,18.155656814575195
2021-01-20,18.139484405517578
