,BAC
2017-09-14,20.464609146118164
2017-09-15,20.582799911499023
2017-09-18,20.85296630859375
2017-09-19,20.98804473876953
2017-09-20,21.156890869140625
2017-09-21,21.24131202697754
2017-09-22,21.123119354248047
2017-09-25,20.903614044189453
2017-09-26,20.94582748413086
2017-09-27,21.452377319335938
2017-09-28,21.48615074157715
2017-09-29,21.393281936645508
2017-10-02,21.629671096801758
2017-10-03,21.83228874206543
2017-10-04,21.705646514892578
2017-10-05,22.060239791870117
2017-10-06,22.127777099609375
2017-10-09,21.8238525390625
2017-10-10,21.891386032104492
2017-10-11,21.80695915222168
2017-10-12,21.48615074157715
2017-10-13,21.80695915222168
2017-10-16,22.15310287475586
2017-10-17,22.119333267211914
2017-10-18,22.355724334716797
2017-10-19,22.44015121459961
2017-10-20,22.938255310058594
2017-10-23,22.92981719970703
2017-10-24,23.36882209777832
2017-10-25,23.326608657836914
2017-10-26,23.419471740722656
2017-10-27,23.470134735107422
2017-10-30,23.30128288269043
2017-10-31,23.123987197875977
2017-11-01,23.242183685302734
2017-11-02,23.52923583984375
2017-11-03,23.487010955810547
2017-11-06,23.42792320251465
2017-11-07,22.946699142456055
2017-11-08,22.61743927001953
2017-11-09,22.364166259765625
2017-11-10,22.38104820251465
2017-11-13,22.28818702697754
2017-11-14,22.15310287475586
2017-11-15,22.61743927001953
2017-11-16,22.59211540222168
2017-11-17,22.473920822143555
2017-11-20,22.575225830078125
2017-11-21,22.566783905029297
2017-11-22,22.507686614990234
2017-11-24,22.44858741760254
2017-11-27,22.44858741760254
2017-11-28,23.335054397583008
2017-11-29,23.875375747680664
2017-11-30,23.88384437561035
2017-12-01,23.824499130249023
2017-12-04,24.63843536376953
2017-12-05,24.528213500976562
2017-12-06,24.28233528137207
2017-12-07,24.401037216186523
2017-12-08,24.629953384399414
2017-12-11,24.536691665649414
2017-12-12,24.858875274658203
2017-12-13,24.451906204223633
2017-12-14,24.358642578125
2017-12-15,24.62148094177246
2017-12-18,24.994529724121094
2017-12-19,24.96909523010254
2017-12-20,24.994529724121094
2017-12-21,25.282798767089844
2017-12-22,25.333669662475586
2017-12-26,25.248886108398438
2017-12-27,25.20648765563965
2017-12-28,25.265836715698242
2017-12-29,25.028438568115234
2018-01-02,25.350627899169922
2018-01-03,25.265836715698242
2018-01-04,25.59650230407715
2018-01-05,25.7152042388916
2018-01-08,25.537145614624023
2018-01-09,25.66432762145996
2018-01-10,25.90172576904297
2018-01-11,25.99498748779297
2018-01-12,26.44434928894043
2018-01-16,26.48674201965332
2018-01-17,26.435867309570312
2018-01-18,26.690223693847656
2018-01-19,26.893707275390625
2018-01-22,27.080236434936523
2018-01-23,27.063278198242188
2018-01-24,27.20741081237793
2018-01-25,27.20741081237793
2018-01-26,27.300674438476562
2018-01-29,27.368499755859375
2018-01-30,27.02936553955078
2018-01-31,27.131101608276367
2018-02-01,27.555028915405273
2018-02-02,27.088712692260742
2018-02-05,25.655853271484375
2018-02-06,26.45282745361328
2018-02-07,26.49521827697754
2018-02-08,25.214969635009766
2018-02-09,25.7152042388916
2018-02-12,26.38500213623047
2018-02-13,26.435867309570312
2018-02-14,27.131101608276367
2018-02-15,27.309154510498047
2018-02-16,27.105669021606445
2018-02-20,27.071754455566406
2018-02-21,27.02088737487793
2018-02-22,26.868268966674805
2018-02-23,27.156538009643555
2018-02-26,27.48719596862793
2018-02-27,27.410898208618164
2018-02-28,27.21588706970215
2018-03-01,26.790372848510742
2018-03-02,26.918031692504883
2018-03-05,27.343544006347656
2018-03-06,27.32652473449707
2018-03-07,27.38609504699707
2018-03-08,27.40311622619629
2018-03-09,27.845653533935547
2018-03-12,27.947772979736328
2018-03-13,27.539283752441406
2018-03-14,27.352052688598633
2018-03-15,27.318010330200195
2018-03-16,27.37758445739746
2018-03-19,27.215892791748047
2018-03-20,27.215892791748047
2018-03-21,27.122278213500977
2018-03-22,25.998918533325195
2018-03-23,24.82450294494629
2018-03-26,25.905303955078125
2018-03-27,25.12235450744629
2018-03-28,25.011730194091797
2018-03-29,25.522342681884766
2018-04-02,24.943647384643555
2018-04-03,25.181934356689453
2018-04-04,25.428730010986328
2018-04-05,25.803176879882812
2018-04-06,25.215972900390625
2018-04-09,25.420223236083984
2018-04-10,25.939350128173828
2018-04-11,25.445749282836914
2018-04-12,26.084026336669922
2018-04-13,25.360645294189453
2018-04-16,25.471281051635742
2018-04-17,25.564891815185547
2018-04-18,25.13086700439453
2018-04-19,25.684040069580078
2018-04-20,25.75212287902832
2018-04-23,25.803176879882812
2018-04-24,25.69255256652832
2018-04-25,25.64999771118164
2018-04-26,25.590425491333008
2018-04-27,25.658510208129883
2018-04-30,25.4627742767334
2018-05-01,25.48830223083496
2018-05-02,25.17342185974121
2018-05-03,24.850032806396484
2018-05-04,24.935134887695312
2018-05-07,25.224489212036133
2018-05-08,25.471281051635742
2018-05-09,26.14359474182129
2018-05-10,26.288270950317383
2018-05-11,26.313796997070312
2018-05-14,26.4840087890625
2018-05-15,26.569108963012695
2018-05-16,26.43294334411621
2018-05-17,26.22019386291504
2018-05-18,25.75212287902832
2018-05-21,25.998918533325195
2018-05-22,26.288270950317383
2018-05-23,25.905303955078125
2018-05-24,25.70956802368164
2018-05-25,25.667016983032227
2018-05-29,24.645780563354492
2018-05-30,25.096824645996094
2018-05-31,24.814844131469727
2018-06-01,25.122465133666992
2018-06-04,25.122465133666992
2018-06-05,24.883201599121094
2018-06-06,25.669353485107422
2018-06-07,25.71207618713379
2018-06-08,25.64371109008789
2018-06-11,25.686437606811523
2018-06-12,25.54971694946289
2018-06-13,25.498443603515625
2018-06-14,25.207914352416992
2018-06-15,25.019926071166992
2018-06-18,25.122465133666992
2018-06-19,25.00283432006836
2018-06-20,24.98574447631836
2018-06-21,25.028465270996094
2018-06-22,24.772111892700195
2018-06-25,24.336313247680664
2018-06-26,24.387590408325195
2018-06-27,24.13123893737793
2018-06-28,24.49867820739746
2018-06-29,24.088518142700195
2018-07-02,24.16541862487793
2018-07-03,23.73816680908203
2018-07-05,23.85779571533203
2018-07-06,23.951793670654297
2018-07-09,24.823381423950195
2018-07-10,24.63539695739746
2018-07-11,24.507221221923828
2018-07-12,24.584123611450195
2018-07-13,24.39613151550293
2018-07-16,25.447175979614258
2018-07-17,25.64371109008789
2018-07-18,25.746253967285156
2018-07-19,25.353181838989258
2018-07-20,25.746253967285156
2018-07-23,26.276044845581055
2018-07-24,26.344409942626953
2018-07-25,26.54948616027832
2018-07-26,26.438404083251953
2018-07-27,26.540939331054688
2018-07-30,26.75456428527832
2018-07-31,26.387126922607422
2018-08-01,26.70330047607422
2018-08-02,26.72893524169922
2018-08-03,26.925466537475586
2018-08-06,26.934019088745117
2018-08-07,26.925466537475586
2018-08-08,27.17327880859375
2018-08-09,27.00238037109375
2018-08-10,26.65203285217285
2018-08-13,26.04532814025879
2018-08-14,26.31022834777832
2018-08-15,25.942787170410156
2018-08-16,26.25040626525879
2018-08-17,26.267498016357422
2018-08-20,26.37858772277832
2018-08-21,26.50676155090332
2018-08-22,26.472579956054688
2018-08-23,26.35295295715332
2018-08-24,26.395681381225586
2018-08-27,26.75456428527832
2018-08-28,26.720386505126953
2018-08-29,26.609304428100586
2018-08-30,26.49821662902832
2018-08-31,26.429855346679688
2018-09-04,26.609304428100586
2018-09-05,26.64348602294922
2018-09-06,26.48893165588379
2018-09-07,26.497516632080078
2018-09-10,26.46316909790039
2018-09-11,26.48893165588379
2018-09-12,26.1283016204834
2018-09-13,25.87929344177246
2018-09-14,26.076778411865234
2018-09-17,25.999507904052734
2018-09-18,25.93939781188965
2018-09-19,26.617721557617188
2018-09-20,26.78086280822754
2018-09-21,26.64348602294922
2018-09-24,26.39447593688965
2018-09-25,26.334369659423828
2018-09-26,25.870708465576172
2018-09-27,25.707571029663086
2018-09-28,25.29542350769043
2018-10-01,25.45856285095215
2018-10-02,25.398460388183594
2018-10-03,25.759084701538086
2018-10-04,26.1283016204834
2018-10-05,25.956571578979492
2018-10-08,25.990922927856445
2018-10-09,25.741914749145508
2018-10-10,25.106523513793945
2018-10-11,24.35092544555664
2018-10-12,24.436784744262695
2018-10-15,23.97312355041504
2018-10-16,24.496891021728516
2018-10-17,24.81458854675293
2018-10-18,24.256471633911133
2018-10-19,24.316579818725586
2018-10-22,23.50945472717285
2018-10-23,23.200353622436523
2018-10-24,22.487686157226562
2018-10-25,22.83113670349121
2018-10-26,22.659412384033203
2018-10-29,22.848312377929688
2018-10-30,22.994277954101562
2018-10-31,23.61249542236328
2018-11-01,23.878673553466797
2018-11-02,23.947364807128906
2018-11-05,24.09333038330078
2018-11-06,24.222129821777344
2018-11-07,24.505481719970703
2018-11-08,24.78882598876953
2018-11-09,24.488304138183594
2018-11-12,23.827152252197266
2018-11-13,23.83574104309082
2018-11-14,23.36349105834961
2018-11-15,23.95594596862793
2018-11-16,23.827152252197266
2018-11-19,23.827152252197266
2018-11-20,23.50945472717285
2018-11-21,23.415008544921875
2018-11-23,23.157419204711914
2018-11-26,23.664016723632812
2018-11-27,23.818567276000977
2018-11-28,24.41103172302246
2018-11-29,24.076162338256836
2018-11-30,24.385272979736328
2018-12-03,24.505481719970703
2018-12-04,23.174591064453125
2018-12-06,22.691068649291992
2018-12-07,21.9571475982666
2018-12-10,21.37864875793457
2018-12-11,21.223234176635742
2018-12-12,21.171428680419922
2018-12-13,21.067813873291016
2018-12-14,21.13688087463379
2018-12-17,21.128252029418945
2018-12-18,21.128252029418945
2018-12-19,20.877853393554688
2018-12-20,20.817415237426758
2018-12-21,20.178476333618164
2018-12-24,19.62587547302246
2018-12-26,20.817415237426758
2018-12-27,21.04191017150879
2018-12-28,21.059171676635742
2018-12-31,21.275035858154297
2019-01-02,21.55133056640625
2019-01-03,21.20595932006836
2019-01-04,22.0866641998291
2019-01-07,22.06939125061035
2019-01-08,22.026222229003906
2019-01-09,22.242082595825195
2019-01-10,22.2161808013916
2019-01-11,22.47521209716797
2019-01-14,22.768779754638672
2019-01-15,22.9241943359375
2019-01-16,24.564722061157227
2019-01-17,25.030977249145508
2019-01-18,25.298643112182617
2019-01-22,25.117319107055664
2019-01-23,24.970535278320312
2019-01-24,25.108684539794922
2019-01-25,25.5404052734375
2019-01-28,25.583572387695312
2019-01-29,25.3763484954834
2019-01-30,25.100055694580078
2019-01-31,24.58199119567871
2019-02-01,24.504281997680664
2019-02-04,24.935998916625977
2019-02-05,24.849655151367188
2019-02-06,24.80648422241211
2019-02-07,24.383399963378906
2019-02-08,24.426570892333984
2019-02-11,24.53018569946289
2019-02-12,24.77194595336914
2019-02-13,24.780582427978516
2019-02-14,24.512914657592773
2019-02-15,25.134586334228516
2019-02-19,25.151857376098633
2019-02-20,25.393619537353516
2019-02-21,25.290008544921875
2019-02-22,25.108684539794922
2019-02-25,25.272743225097656
2019-02-26,25.290008544921875
2019-02-27,25.497234344482422
2019-02-28,25.23687744140625
2019-03-01,25.436481475830078
2019-03-04,25.19348907470703
2019-03-05,25.23687744140625
2019-03-06,25.028589248657227
2019-03-07,24.776920318603516
2019-03-08,24.86370849609375
2019-03-11,25.11538314819336
2019-03-12,25.11538314819336
2019-03-13,25.419126510620117
2019-03-14,25.566654205322266
2019-03-15,25.427804946899414
2019-03-18,25.87908172607422
2019-03-19,25.73154640197754
2019-03-20,24.85502815246582
2019-03-21,24.455820083618164
2019-03-22,23.440446853637695
2019-03-25,23.292909622192383
2019-03-26,23.614011764526367
2019-03-27,23.45780372619629
2019-03-28,23.71815299987793
2019-03-29,23.943790435791016
2019-04-01,24.76824378967285
2019-04-02,25.05463409423828
2019-04-03,25.028589248657227
2019-04-04,25.297622680664062
2019-04-05,25.23687744140625
2019-04-08,25.31498146057129
2019-04-09,25.071990966796875
2019-04-10,25.22820281982422
2019-04-11,25.22820281982422
2019-04-12,26.18282699584961
2019-04-15,25.896440505981445
2019-04-16,25.93115234375
2019-04-17,26.061330795288086
2019-04-18,26.061330795288086
2019-04-22,26.078685760498047
2019-04-23,26.096044540405273
2019-04-24,26.052650451660156
2019-04-25,26.10472297668457
2019-04-26,26.339038848876953
2019-04-29,26.703535079956055
2019-04-30,26.53863525390625
2019-05-01,26.260934829711914
2019-05-02,26.46921157836914
2019-05-03,26.65146255493164
2019-05-06,26.44318389892578
2019-05-07,25.965869903564453
2019-05-08,25.861730575561523
2019-05-09,25.783615112304688
2019-05-10,25.670801162719727
2019-05-13,24.51656723022461
2019-05-14,24.83767318725586
2019-05-15,24.55128288269043
2019-05-16,24.811630249023438
2019-05-17,24.646745681762695
2019-05-20,24.646745681762695
2019-05-21,24.898418426513672
2019-05-22,24.724849700927734
2019-05-23,24.091327667236328
2019-05-24,24.455820083618164
2019-05-28,24.212825775146484
2019-05-29,24.0826473236084
2019-05-30,23.570621490478516
2019-05-31,23.084625244140625
2019-06-03,23.154052734375
2019-06-04,24.230178833007812
2019-06-05,24.221500396728516
2019-06-06,24.326202392578125
2019-06-07,24.02082061767578
2019-06-10,24.491987228393555
2019-06-11,24.64031982421875
2019-06-12,24.387287139892578
2019-06-13,24.37855339050293
2019-06-14,24.46581268310547
2019-06-17,24.369834899902344
2019-06-18,24.971878051757812
2019-06-19,24.710119247436523
2019-06-20,24.6664981842041
2019-06-21,24.535612106323242
2019-06-24,24.41345977783203
2019-06-25,24.22150230407715
2019-06-26,24.352386474609375
2019-06-27,24.6141414642334
2019-06-28,25.303442001342773
2019-07-01,25.669906616210938
2019-07-02,25.4343204498291
2019-07-03,25.347068786621094
2019-07-05,25.530303955078125
2019-07-08,25.47794532775879
2019-07-09,25.608827590942383
2019-07-10,25.320890426635742
2019-07-11,25.617555618286133
2019-07-12,25.696083068847656
2019-07-15,25.495397567749023
2019-07-16,25.294715881347656
2019-07-17,25.46922492980957
2019-07-18,25.722257614135742
2019-07-19,25.65245246887207
2019-07-22,25.80078887939453
2019-07-23,26.394105911254883
2019-07-24,26.76057243347168
2019-07-25,26.472639083862305
2019-07-26,26.84782600402832
2019-07-29,26.62969398498535
2019-07-30,26.952526092529297
2019-07-31,26.769296646118164
2019-08-01,25.73098373413086
2019-08-02,25.6350040435791
2019-08-05,24.50071144104004
2019-08-06,24.797374725341797
2019-08-07,24.334928512573242
2019-08-08,24.762474060058594
2019-08-09,24.718849182128906
2019-08-12,24.11680030822754
2019-08-13,24.18659782409668
2019-08-14,23.05230712890625
2019-08-15,22.903982162475586
2019-08-16,23.584552764892578
2019-08-19,23.793960571289062
2019-08-20,23.314067840576172
2019-08-21,23.49730110168457
2019-08-22,23.724159240722656
2019-08-23,23.095935821533203
2019-08-26,23.366418838500977
2019-08-27,23.095935821533203
2019-08-28,23.42749786376953
2019-08-29,23.8463134765625
2019-08-30,24.003366470336914
2019-09-03,23.601999282836914
2019-09-04,23.985919952392578
2019-09-05,24.69732666015625
2019-09-06,24.354793548583984
2019-09-09,25.145248413085938
2019-09-10,25.77761459350586
2019-09-11,25.874221801757812
2019-09-12,26.058666229248047
2019-09-13,26.49781036376953
2019-09-16,26.462677001953125
2019-09-17,26.295806884765625
2019-09-18,26.34849739074707
2019-09-19,26.19040870666504
2019-09-20,25.988399505615234
2019-09-23,25.926931381225586
2019-09-24,25.41752052307129
2019-09-25,25.689786911010742
2019-09-26,25.584396362304688
2019-09-27,25.77761459350586
2019-09-30,25.619525909423828
2019-10-01,24.978374481201172
2019-10-02,24.45140266418457
2019-10-03,24.42505645751953
2019-10-04,24.91689682006836
2019-10-07,24.864200592041016
2019-10-08,24.266965866088867
2019-10-09,24.495323181152344
2019-10-10,24.987163543701172
2019-10-11,25.391172409057617
2019-10-14,25.59317398071289
2019-10-15,26.111364364624023
2019-10-16,26.49781036376953
2019-10-17,26.576852798461914
2019-10-18,26.655902862548828
2019-10-21,27.244348526000977
2019-10-22,27.40243911743164
2019-10-23,27.595661163330078
2019-10-24,27.5429630279541
2019-10-25,27.859148025512695
2019-10-28,27.96453857421875
2019-10-29,28.166545867919922
2019-10-30,27.771318435668945
2019-10-31,27.46392059326172
2019-11-01,27.929412841796875
2019-11-04,28.45638084411621
2019-11-05,28.82526397705078
2019-11-06,28.798908233642578
2019-11-07,29.185352325439453
2019-11-08,29.21170425415039
2019-11-11,29.141441345214844
2019-11-12,29.062395095825195
2019-11-13,28.798908233642578
2019-11-14,28.719863891601562
2019-11-15,28.9218692779541
2019-11-18,28.94822120666504
2019-11-19,28.930654525756836
2019-11-20,28.71108055114746
2019-11-21,28.842824935913086
2019-11-22,29.141441345214844
2019-11-25,29.396142959594727
2019-11-26,29.290746688842773
2019-11-27,29.35222625732422
2019-11-29,29.264400482177734
2019-12-02,29.36100959777832
2019-12-03,28.842824935913086
2019-12-04,29.115093231201172
2019-12-05,29.221057891845703
2019-12-06,29.733247756958008
2019-12-09,29.591951370239258
2019-12-10,29.609615325927734
2019-12-11,29.70675277709961
2019-12-12,30.62514877319336
2019-12-13,30.41321563720703
2019-12-16,30.642820358276367
2019-12-17,30.94306182861328
2019-12-18,31.004878997802734
2019-12-19,30.863590240478516
2019-12-20,30.872419357299805
2019-12-23,31.057863235473633
2019-12-24,31.102014541625977
2019-12-26,31.366947174072266
2019-12-27,31.216819763183594
2019-12-30,31.04020118713379
2019-12-31,31.102014541625977
2020-01-02,31.472909927368164
2020-01-03,30.819433212280273
2020-01-06,30.775272369384766
2020-01-07,30.572168350219727
2020-01-08,30.881244659423828
2020-01-09,30.934234619140625
2020-01-10,30.678142547607422
2020-01-13,30.960729598999023
2020-01-14,31.19032859802246
2020-01-15,30.616321563720703
2020-01-16,30.66048812866211
2020-01-17,30.651643753051758
2020-01-21,30.25425910949707
2020-01-22,30.342578887939453
2020-01-23,30.13062858581543
2020-01-24,29.618446350097656
2020-01-27,29.009119033813477
2020-01-28,29.353527069091797
2020-01-29,29.150413513183594
2020-01-30,29.565462112426758
2020-01-31,28.9914608001709
2020-02-03,29.115089416503906
2020-02-04,29.68909454345703
2020-02-05,30.651643753051758
2020-02-06,30.616321563720703
2020-02-07,30.563343048095703
2020-02-10,30.633995056152344
2020-02-11,30.704639434814453
2020-02-12,30.837087631225586
2020-02-13,30.82826042175293
2020-02-14,30.775272369384766
2020-02-18,30.263097763061523
2020-02-19,30.66048812866211
2020-02-20,30.775272369384766
2020-02-21,30.342578887939453
2020-02-24,28.903156280517578
2020-02-25,27.44607162475586
2020-02-26,27.04868507385254
2020-02-27,25.724075317382812
2020-02-28,25.167734146118164
2020-03-02,25.936010360717773
2020-03-03,24.505420684814453
2020-03-04,25.070592880249023
2020-03-05,23.799734115600586
2020-03-06,22.84881019592285
2020-03-09,19.48948097229004
2020-03-10,20.982515335083008
2020-03-11,20.147123336791992
2020-03-12,18.22750473022461
2020-03-13,21.471309661865234
2020-03-16,18.165300369262695
2020-03-17,19.533910751342773
2020-03-18,18.476348876953125
2020-03-19,18.84071922302246
2020-03-20,17.480989456176758
2020-03-23,16.06793212890625
2020-03-24,18.68963623046875
2020-03-25,18.751842498779297
2020-03-26,20.19156265258789
2020-03-27,19.196203231811523
2020-03-30,19.587238311767578
2020-03-31,18.86737632751465
2020-04-01,17.569852828979492
2020-04-02,18.28082847595215
2020-04-03,17.800926208496094
2020-04-06,19.00956916809082
2020-04-07,19.676103591918945
2020-04-08,20.840322494506836
2020-04-09,22.093402862548828
2020-04-13,21.258012771606445
2020-04-14,21.08915901184082
2020-04-15,19.720544815063477
2020-04-16,19.036235809326172
2020-04-17,20.689241409301758
2020-04-20,19.99604606628418
2020-04-21,19.23175048828125
2020-04-22,19.37394142150879
2020-04-23,19.436155319213867
2020-04-24,19.711654663085938
2020-04-27,20.85809326171875
2020-04-28,21.231348037719727
2020-04-29,22.02231216430664
2020-04-30,21.373546600341797
2020-05-01,20.51149559020996
2020-05-04,20.378189086914062
2020-05-05,20.13823890686035
2020-05-06,19.862733840942383
2020-05-07,20.29820442199707
2020-05-08,20.94696617126465
2020-05-11,20.067136764526367
2020-05-12,19.436155319213867
2020-05-13,18.54743766784668
2020-05-14,19.29395866394043
2020-05-15,19.054006576538086
