,DUK
2014-11-11,54.368446350097656
2014-11-12,53.03022766113281
2014-11-13,52.459083557128906
2014-11-14,52.538814544677734
2014-11-17,53.32908248901367
2014-11-18,53.335731506347656
2014-11-19,53.382232666015625
2014-11-20,53.242759704589844
2014-11-21,52.97709655761719
2014-11-24,52.48566436767578
2014-11-25,52.56535720825195
2014-11-26,52.923980712890625
2014-11-28,53.72755813598633
2014-12-01,54.45810317993164
2014-12-02,54.68391036987305
2014-12-03,54.438194274902344
2014-12-04,54.69053649902344
2014-12-05,53.61467361450195
2014-12-08,54.212379455566406
2014-12-09,54.57764434814453
2014-12-10,54.6241340637207
2014-12-11,55.049171447753906
2014-12-12,54.91634750366211
2014-12-15,53.886940002441406
2014-12-16,53.541603088378906
2014-12-17,54.039703369140625
2014-12-18,55.12886428833008
2014-12-19,55.02259063720703
2014-12-22,55.52732849121094
2014-12-23,55.573829650878906
2014-12-24,56.4305534362793
2014-12-26,56.98841857910156
2014-12-29,57.66582489013672
2014-12-30,56.2512321472168
2014-12-31,55.480857849121094
2015-01-02,55.819557189941406
2015-01-05,55.015953063964844
2015-01-06,55.91917419433594
2015-01-07,56.09849548339844
2015-01-08,56.324283599853516
2015-01-09,56.403987884521484
2015-01-12,56.45709991455078
2015-01-13,56.76261901855469
2015-01-14,56.90870666503906
2015-01-15,57.61933135986328
2015-01-16,58.01118087768555
2015-01-20,58.23695373535156
2015-01-21,58.894439697265625
2015-01-22,58.861244201660156
2015-01-23,58.9210090637207
2015-01-26,58.808101654052734
2015-01-27,58.9210090637207
2015-01-28,58.343223571777344
2015-01-29,59.346038818359375
2015-01-30,57.87169647216797
2015-02-02,57.778724670410156
2015-02-03,57.63261032104492
2015-02-04,57.101314544677734
2015-02-05,57.5927734375
2015-02-06,55.19527816772461
2015-02-09,54.922969818115234
2015-02-10,55.90589141845703
2015-02-11,54.87675094604492
2015-02-12,54.34708786010742
2015-02-13,53.529117584228516
2015-02-17,53.22742462158203
2015-02-18,54.286739349365234
2015-02-19,53.07992172241211
2015-02-20,52.77151107788086
2015-02-23,53.14027404785156
2015-02-24,53.53582000732422
2015-02-25,52.97264099121094
2015-02-26,52.67094039916992
2015-02-27,52.66423797607422
2015-03-02,51.66525650024414
2015-03-03,51.966976165771484
2015-03-04,51.67866134643555
2015-03-05,52.01390838623047
2015-03-06,50.25730895996094
2015-03-09,50.123226165771484
2015-03-10,50.08298110961914
2015-03-11,49.80140686035156
2015-03-12,50.47184371948242
2015-03-13,50.022647857666016
2015-03-16,50.7601432800293
2015-03-17,50.337772369384766
2015-03-18,51.222774505615234
