,CINF
2020-03-02,89.19879150390625
2020-03-03,87.79957580566406
2020-03-04,91.90045928955078
2020-03-05,89.00519561767578
2020-03-06,86.42672729492188
2020-03-09,79.81779479980469
2020-03-10,84.47308349609375
2020-03-11,79.20177459716797
2020-03-12,70.89437866210938
2020-03-13,79.7121810913086
2020-03-16,69.09913635253906
2020-03-17,75.35993194580078
2020-03-18,75.70576477050781
2020-03-19,72.65518951416016
2020-03-20,66.53631591796875
2020-03-23,59.22023391723633
2020-03-24,69.18782043457031
2020-03-25,65.82687377929688
2020-03-26,69.80857849121094
2020-03-27,67.35216522216797
2020-03-30,70.71311950683594
2020-03-31,66.90876770019531
2020-04-01,65.2415771484375
2020-04-02,64.66517639160156
2020-04-03,62.98911666870117
2020-04-06,68.64688110351562
2020-04-07,70.8372573852539
2020-04-08,71.90142822265625
2020-04-09,74.118408203125
2020-04-13,73.28483581542969
2020-04-14,77.23992919921875
2020-04-15,73.55087280273438
2020-04-16,73.13406372070312
2020-04-17,76.08709716796875
2020-04-20,73.14295196533203
2020-04-21,71.09444427490234
2020-04-22,70.66876983642578
2020-04-23,69.5248031616211
2020-04-24,69.64009094238281
2020-04-27,72.74388122558594
2020-04-28,63.68082809448242
2020-04-29,62.44816970825195
2020-04-30,58.35118103027344
2020-05-01,54.050209045410156
2020-05-04,53.340782165527344
2020-05-05,52.32096481323242
2020-05-06,47.106597900390625
2020-05-07,48.78264617919922
2020-05-08,49.421138763427734
2020-05-11,47.753963470458984
2020-05-12,45.62565994262695
2020-05-13,43.04507064819336
2020-05-14,44.76545715332031
2020-05-15,43.67469787597656
2020-05-18,47.15093994140625
2020-05-19,46.19320297241211
2020-05-20,47.49679183959961
2020-05-21,50.94643783569336
2020-05-22,50.831146240234375
2020-05-26,52.5338020324707
2020-05-27,54.449283599853516
2020-05-28,53.713226318359375
2020-05-29,52.2766227722168
2020-06-01,52.88851547241211
2020-06-02,53.908329010009766
2020-06-03,56.639652252197266
2020-06-04,57.31361770629883
2020-06-05,60.99382781982422
2020-06-08,63.34383773803711
2020-06-09,61.02043533325195
2020-06-10,57.845706939697266
2020-06-11,52.01945114135742
